name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
build! Gründungszentrum Carinthia,https://www.eu-startups.com/investor/build-grundungszentrum-carinthia/,"build! Startup Center is the startup incubator for innovative, technology-based business ideas in Carinthia. We support visionary founders from the initial idea to successful market entry with tailored consulting, funding opportunities, and access to a strong network of experts, investors, and established companies. Our offering includes a structured incubation program, access to co-working spaces, and personalized mentoring. As a member of the Carinthian Startup Network, we promote sustainable growth and innovation throughout the region.",Accelerator,Austria,http://www.build.or.at,"Startups, Techology",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/build-gruendungszentrum/,[email protected],AT
Lophas,https://www.eu-startups.com/investor/lophas-2/,"*Community based training program and team traing program focusing priorities on protection is better than cure. Digital health, healthcare and laboratory research programs. *Environmental health Protection. *Innovations and AI.",Corporate VC,Austria,http://www.samimport.com,"Health science, innovation, AI, Environmental health and",€100k-€1.5M,Series A/B,,[email protected],AT
Lophas,https://www.eu-startups.com/investor/lophas/,"Digital healthcare, innovations and environmental health.",VC Firm,Austria,http://www.samimport.com,"Health science, innovation, AI, Environmental health and",€100k-€1.5M,Series A/B,,[email protected],AT
Carinthian Venture Fonds GmbH,https://www.eu-startups.com/investor/carinthian-venture-fonds-gmbh/,"Carinthian Venture Fonds GmbH is a public venture fund founded in 2022 by public stakeholders in Carinthia. The company's objective is to invest in start-ups and small and medium-sized companies in the technology sector in Carinthia (seed and growth stage companies). The company invests only together with a private, independent co-investor.",VC Firm,Austria,https://www.cvf.at,"Deep Tech, Digital Health, Edu Tech, FinTech & InsurTech, Impact, Other",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/carinthian-venture-fonds/?viewAsMember=true,[email protected],AT
Pentech VC,https://www.eu-startups.com/investor/pentech-vc/,"Pentech Ventures is a leading early-stage software investor looking for opportunities to help build breakout companies in emerging market spaces, with particular focus on AI and ML. Founded in 2001, the firm has raised over £150m across three funds and has a long track record of guiding small founding teams from pre-launch to international scale. Pentech’s four partners are ex-operators with deep tech backgrounds and an immersive understanding of the businesses they invest in. Pentech Ventures invest in teams who believe they can build a category leading software company. Our main areas of interest are around use of advanced Artificial Intelligence and Machine Learning; and advanced Infrastructure such as Blockchain; and verticals that are enabled via the efficient use of AI and new infrastructure approaches, such as FinServ, Health, Mobility and Enterprise Transformation. We consider both B2C and B2B opportunities.",VC Firm,Austria,https://pentech.vc/,"AI, ML, Bloackchain, Health, Mobility, Enterprise Transformation",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/pentech-ventures-llp/,[email protected],AT
PUSH Ventures,https://www.eu-startups.com/investor/push-ventures/,"At PUSH, we are committed to combat climate change and transform healthcare. Our initial investments are typically at pre-seed or seed stage with the potential to follow-on. Focus areas are health and future of the planet in Europe, especially Austria and Germany.",VC Firm,Austria,https://www.push.vc/,"Healthtech, Fintech, Deep Tech, Crypto, Circularity, Food Systems, TravelTech, HRTech, Energy",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/push-ventures-pv-/,[email protected],AT
Forbion Capital Partners,https://www.eu-startups.com/investor/forbion-capital-partners/,Forbion is a leading European venture capital firm that helps companies bridge research and development through the team’s expertise in drug development and company building. Forbion is signatory to the United Nations Principles for Responsible Investment further demonstrating our philosophy that investments in companies should positively impact the health and well-being of patients.,VC Firm,Austria,https://forbion.com/,"Life Sciences, Bioeconomy",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/forbion-capital-partners/,[email protected],AT
Grow F,https://www.eu-startups.com/investor/grow-f/,"Grow F, the 5-week hybrid program to unlock your investment potential. Join our hands-on hybrid program, featuring workshops by industry experts, a comprehensive fundraising toolbox, individual support, and access to our wide network, which will prepare you for your upcoming VC round. To kick off your fundraising, we’ll connect you with carefully selected investors at an exclusive in-person networking event in Europe’s biggest startup hubs. Accelerate your path to funding with Grow F!",Accelerator,Austria,https://female-founders.org/startup-program/,Early stage gender-diverse startups in Europe,0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/femalefoundersglobal/mycompany/,[email protected],AT
Gateway Ventures,https://www.eu-startups.com/investor/gateway-ventures/,"Our mission is to make startup investments accessible to everyone. As boutique VC we invest in various Co-Investment opportunities across Europe, leveraging our vast network of over 3000 Business Angels to propel your venture to the next level. We love what we do and we do it with passion. We value bold ideas and smart initiatives.",VC Firm,Austria,https://gateway.ventures/,"B2B SaaS, HealthTech, Sustainability",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/gatewayventure,[email protected],AT
GC Investments,https://www.eu-startups.com/investor/gc-investments/,"GC Investment SA (gcinvest.pl) provides diverse investment opportunities and asset management services for clients looking to enhance their financial portfolios. GC Investments was founded in 1993. The company's investment activities consist of purchasing attractively priced properties in attractive locations, which are then transformed into investment projects, leading to the increase in the property's value.",VC Firm,Austria,http://gcinvest.pl,"Semiconductor, MedTech, Pharma, Healthtech",Above €3M,"Series A/B, Series C & Beyond",,[email protected],AT
Epopée Gestion,https://www.eu-startups.com/investor/epopee-gestion/,"Épopée Gestion is an investment firm co-founded in 2020 by Ronan Le Moal and Charles Cabillic. Our mission is to develop the regional economy by providing long-term support to regional companies, mainly based in the West of France. We aim to ""reinvest in the regions"" and create regional champions through an inclusive investment ecosystem built around four complementary investment sectors: innovation and digital (West Web Valley I and Épopée West Web Valley II), SME/ETI transitions (Épopée Transitions I), sustainable real estate (Épopée Immo Rendement I), and infrastructure contributing to decarbonization. Our geographical area of ​​action is expected to gradually expand in the coming years.",VC Firm,Austria,https://epopeegestion.fr/,"Funding Platform, Impact Investing, Venture Capital",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/epop%C3%A9e/,[email protected],AT
Partech,https://www.eu-startups.com/investor/partech-2/,"Partech is a global tech investment firm headquartered in Paris, with offices in Berlin, Dakar, Dubai, Nairobi, and San Francisco. We are a team of independent thinkers, unconstrained by hype, trend, or fixed ways of working. We believe in the power of alliance in action, working together and side-by-side with the founders we back, in the shared pursuit of success. At Partech, we bring together capital, operational experience, and strategic support for the entrepreneurs we back from seed through to growth stage. Born in San Francisco 40 years ago, today we manage €2.5bn AUM and our current portfolio includes 220 companies in 40 countries across 4 continents.",VC Firm,Austria,https://partechpartners.com,"Finance, Financial Services, Venture Capital",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/partech,[email protected],AT
Founders Future,https://www.eu-startups.com/investor/founders-future-2/,"Founded by serial European tech entrepreneur Marc Ménasé, Founders Future operates as a venture studio, providing creativity, network, support, and productive capital. We've developed an investment platform specifically for entrepreneurs, managed by entrepreneurs, to deliver high value and foster an ambitious mindset. Our goal is to partner with exceptional individuals, align stakeholder interests, and cultivate operational collaborations. At Founders Future, we aim to be a strategic partner, actively influencing business aspects such as product development, go-to-market strategies, business development, and talent acquisition. We've assembled a team of top-tier operating partners from leading entrepreneurial ventures to oversee critical company functions. By sourcing off-market deals and maintaining flexibility in our investment criteria, we prioritize being entrepreneur-friendly and leveraging synergies with our Tier One European investors. Our investment focus centers on teams with A+ potential, scalable business models (including platforms, marketplaces, and SaaS solutions), and industries undergoing significant transformation.",VC Firm,Austria,http://www.foundersfuture.com,"Finance, Financial Services, marketplaces, SaaS",0-€100k,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/founders-future/,[email protected],AT
Genesis Ventures,https://www.eu-startups.com/investor/genesis-ventures/,"Genesis Ventures is an angel co-investment fund providing pre-seed and seed capital to early-stage founders in Greece and Southeast Europe. Backed by the European Investment Fund and leading angel investors, they aim to create successful technology startups, making Greece a unicorn producer and regional tech hub. With tickets ranging from €100,000 to €400,000, Genesis Ventures focuses on strong, committed founding teams across various sectors, offering acceleration programs, coaching, and connections to help startups thrive.",VC Firm,Austria,https://www.genesis-ventures.vc/,"software, AI, Fintech, Healthcare",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/genesisvc,[email protected],AT
Ioconic,https://www.eu-startups.com/investor/ioconic/,"Ioconic, we are a venture studio dedicated to creating and collaborating with ambitious entrepreneurs to establish, fund, and grow companies that aim to pioneer the next generation of consumer experiences. Our team, comprising experienced product, engineering, and go-to-market experts, offers extensive operational support to each venture we engage with. Our partnerships include some of the largest and most respected investors and leading technology platforms globally, providing a robust foundation for the success and growth of our emerging next-generation digital businesses. At ioconic, we are committed to driving innovation and shaping the future of consumer experiences through strategic collaboration and operational excellence.",VC Firm,Austria,https://www.ioconic.io,"Artificial Intelligence (AI), Blockchain, Gaming, Venture Capital",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/ioconic,[email protected],AT
Fable Investments,https://www.eu-startups.com/investor/fable-investments/,"Founded in 2020, Fable Investments is a corporate venture capital arm of Natura &Co based in São Paulo, Brazil. The firm seeks investments in emerging and high growth companies. The firm prefers to make investments in the beauty and wellness sectors.",Corporate VC,Austria,https://fableinvestments.com/,"Investment, Venture Capital, Private Equity Principals, Deliver agility, Autonomy",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/fable-investments/,[email protected],AT
Smartworks Innovation,https://www.eu-startups.com/investor/smartworks-innovation/,"Smartworks is the corporate venture capital fund of Wien Energie and Wiener Stadtwerke.365.fintech is a fintech venture investor focusing on innovative b2b or b2b2c FinTech, InsurTech, and Big Data startups in Europe with global ambitions. They provide financing, support, and a strong network to help their portfolio companies.",Corporate VC,Austria,https://smartworks.at/,"Energy, Facility Management, Funerals, Information Technology, Parking, Public Transportation, Smart Building, Smart Cities",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/smartworks-innovation/,[email protected],AT
whataventure,https://www.eu-startups.com/investor/whataventure/,"New business. Powered by entrepreneurs.
From setting up new business strategies and structures as well as intrapreneurship programs to exploring corporate venturing opportunities, whataventure improves success rates and time to market for new business, build new revenue streams and innovates beyond the core.",Corporate VC,Austria,http://www.whataventure.com,"Business Development, Business Intelligence, Consulting, Coaching, Investment,",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/what-a-venture-gbr,[email protected],AT
Symbia VC,https://www.eu-startups.com/investor/symbia-vc-2/,"Symbia VC is an energetic venture capital firm that serves as a sparring partner for innovative entrepreneurs and businesses. They invest in their sustainable and environmentally friendly core business throughout the wood and forestry value chain. We believe on supporting individuals who work relentlessly to change, improve, and initiate new thinking. We provide a supporting surrounding that enables us to redefine this industry as we know it for the long run.",Corporate VC,Austria,https://www.symbia-vc.com/,"Deeptech, Hardware, Construction, Material processing, Automation",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/symbiavc/,[email protected],AT
Agro Innovation Lab Gmbh,https://www.eu-startups.com/investor/agro-innovation-lab-gmbh/,"The Agro Innovation Lab takes an active part in shaping the future of agriculture. Our mission is to foster new technologies or strategies, which increase efficiency, conserve resources or significantly improve the lives of farmers and thus the lives of consumers and customers. The Agro Innovation Lab was founded in 2016 as a joint innovation platform of BayWa & RWA, two of the most important players in the global agricultural sector. We see ourselves as trend scout, accelerator, networker, mentor, unconventional think tank, knowledge carrier, partner, and facilitator – unified in our goal to play an active part in shaping the future of agriculture through innovation.",Corporate VC,Austria,https://www.agroinnovationlab.com,"Agriculture, AgTech, Animal Feed, Farming, GreenTech, Internet of Things",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/agroinnovationlab,[email protected],AT
Elevator Ventures,https://www.eu-startups.com/investor/elevator-ventures/,"Elevator Ventures is the Corporate Venture Capital entity of Raiffeisen Bank International (RBI) headquartered in Vienna. Its primary focus is on early stage and growth investments in Fintech and related enabling technologies in Central and Eastern Europe. In the role of a leading growth partner for Fintech's in CEE, Elevator Ventures leverages RBI Group`s expertise, network and corporate strength in order to help promising scaleups expand across this dynamic region and beyond.",Corporate VC,Austria,http://www.elevator-ventures.com/,"Finance, Financial Services, FinTech, Venture Capital, Investing",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://linkedin.com/company/elevatorventures,[email protected],AT
UNIQA Ventures,https://www.eu-startups.com/investor/uniqa-ventures-2/,"UNIQA Ventures is the Venture Capital arm of UNIQA Insurance Group AG, a leading insurance carrier in Central & Eastern Europe and a pioneer in Corporate-backed Venture Capital in Austria and CEE. Based in Vienna, Austria, the firm is investing in outstanding business models driven by strong teams and a clear vision to shape the future of key industries. Investment areas are the future of Health, Mobility, Intelligent Home and FinTech/InsurTech as well as enabling technologies such as IoT, Blockchain, ML/AI.",Corporate VC,Austria,http://www.uniqaventures.com,"Automotive, Clean Energy, CleanTech, FinTech, Health Care, InsurTech",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/uniqa-ventures-gmbh/,[email protected],AT
Start-up Center Start Up Tirol,https://www.eu-startups.com/investor/start-up-center-start-up-tirol/,"Startup.Tirol combines the strengths of many existing startup initiatives in Tyrol with the aim of supporting entrepreneurs and startup companies and jointly creating an attractive startup location in Tyrol. We advise and support researchers, students and scientists on the way from the first idea to the growing company. We accompany you on the way from the first idea to the growing company!",Accelerator,Austria,https://www.startup.tirol,"Business Consulting, Services, Entrepreneurs, Research",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/startup-tirol,[email protected],AT
StartupHighway,https://www.eu-startups.com/investor/startuphighway/,"StartupHighway is a Baltic startup accelerator and an early seed stage fund based in Vilnius, Lithuania. Since it’s establishment in 2011 it has developed a proven investment programme focusing all of its efforts on value maximization for innovative technology startups. It has been purely designed to provide individually tailored support for the most perspective participating entrepreneurs.",Accelerator,Austria,http://startuphighway.com,"Consulting, Information Technology, Venture Capital, Seed investment",0-€100k,,https://www.linkedin.com/company/2283013,[email protected],AT
StartupLab,https://www.eu-startups.com/investor/http-www-startuplab-no/,"StartupLab is an incubator, accelerator and early stage investor for technology startups, located in Oslo and Bergen. The team at StartupLab consist of experienced entrepreneurs, intrapreneurs, investors and business developers set out to help tech founders in an early stage.",VC Firm,Austria,http://www.startuplab.no/,"Angel Investment, Business Development, Incubators, Financial Services, Investments",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/startuplab-no,[email protected],AT
Seedraisr,https://www.eu-startups.com/investor/accelerator-incubator-micro-vc/,Seedraisr is a startup and scaleup fundraising service that helps early-stage enterprises in raising capital. Startup & Scaleup Fundraising as a service. Investor outreach at scale and without the hassle. We know the struggle to raise funds for your startup. Therefore let us take care of it and close deals with angel investors & VCs interested in your industry.,Accelerator,Austria,https://seedraisr.com,"Fundraising, Artificial Intelligence (AI), CleanTech, Marketplace, SaaS",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/seedraisr,[email protected],AT
Next Floor,https://www.eu-startups.com/investor/next-floor/,"Accelerator for Travel and Tourism startups. Next Floor runs an investor circle in Salzburg. 4-5 times a year, experts, investors and companies meet in investor lounges where two startups present themselves. The circle discusses, evaluates and, if necessary, invests as part of a club deal.",Accelerator,Austria,http://tacc.next-floor.at/,"Financial Services, Venture Capital, Private Equity Principals, Sustainability",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/next-floor-gmbh/about/,[email protected],AT
Next Monday Ventures,https://www.eu-startups.com/investor/next-monday-ventures-2/,"Venture Fund and Accelerator. NEXT MONDAY backs the world of founders in German, Dutch, and English-speaking countries, igniting their B2B innovations into business success. B2B ain't no walk in the park. Spinning wheels cost the most in terms of losing time to market, and a vital network is your passport to serve it. We've been there, done that, and we know the rollercoaster of challenges and opportunities like the back of our hands.",Accelerator,Austria,https://www.nextmonday.vc/,"E-Commerce, Finance, Health Care, Information Technology, Marketing",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/93788988,[email protected],AT
