name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
EIT Food RisingFoodStars,https://www.eu-startups.com/investor/eit-food-risingfoodstars/,"EIT Food RisingFoodStars, co-funded by the European Union, is a leading accelerator dedicated to scaling innovative agri-food solutions that enhance food sovereignty, sustainability, and waste reduction across Europe. The program provides startups with workshops, mentorship, and access to an extensive network of investors and industry leaders. With alumni having commercialized 33 innovations and secured over €870M in investments, RisingFoodStars is driving transformative change in the agri-food sector, advancing innovations in alternative proteins, sustainable packaging, and net-zero food systems.",Accelerator,Belgium,https://www.eitfood.eu/entrepreneurship/scale-risingfoodstars,"agri-food, sustainable packaging, net-zero food systems",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/showcase/eit-food-risingfoodstars/?originalSubdomain=be,[email protected],BE
Seven Camp,https://www.eu-startups.com/investor/seven-camp/,"Brussels-based tech accelerator program. 3 months of acceleration for tech startups in AI, dual-use technology and cybersecurity. MedTech welcome starting next cohort. Our portfolio: https://seven.camp/portfolio",Accelerator,Belgium,https://seven.camp/,"Dual use, AI, Cybersecurity, Edtech, Legaltech, Medtech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/seven-camp/,[email protected],BE
Ethias Ventures,https://www.eu-startups.com/investor/ethias-ventures/,"Ethias Ventures is the venture capital arm of Ethias group. Investing in innovative start-ups relevant in insurance ecosystem is our leitmotif. Beyond investments, we create partnership opportunities with Ethias insurance business to accelerate your growth. Because we believe in win-win investments ! We are currently looking for European start-ups, with visible traction, and scale-ups in InsurTech and in the ecosystems related to insurance : Mobility, Health and Property. With Ethias Ventures, you can rely on our rich expertise and strong position in Belgian insurance market : • #1 Direct Insurer with 1.2 Mios B2C customers, 46.5K B2B customers (#1 public sector), • financial strength : Fitch rating A (May 2022).",VC Firm,Belgium,https://www.ethias.be/invest/investors_relations/company-profile.html,"InsurTech, Mobility, Health and Property",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/ethiasventures/about/,[email protected],BE
QBIC Fund,https://www.eu-startups.com/investor/qbic-fund/,"Qbic is a seed and early-stage venture capital fund supporting spin-offs and start-ups that valorize research from Qbic's knowledge partners. Qbic is one of the largest spin-off funds in Europe managing €190 million in resources over the different funds. Qbic I launched in 2012 and has finalized its portfolio of 18 ventures; Qbic II launched in 2017 and has a portfolio of 19 ventures, and Qbic III launched in 2022 and is currently building its portfolio.",VC Firm,Belgium,https://www.qbic.be/,"Biotech, Healthtech, DeepTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/qbic/,[email protected],BE
Miles Ahead Capital,https://www.eu-startups.com/investor/miles-ahead-capital/,"Miles Ahead is a Venture Studio helping first-time founders of Deep Tech & AI startups grow faster by ‘producing’ and funding their business in an empowering environment. Our name is inspired by the Miles Davis album. Just like great music, successful ventures are built through a combination of individual talent and strong team chemistry.",VC Firm,Belgium,https://www.milesahead.ai/,"AI, B2B SaaS",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/miles-ahead-studio/,[email protected],BE
Finindus,https://www.eu-startups.com/investor/finindus/,"Finindus is a Belgium based investment company funded by ArcelorMittal and the Flemish Region and is linked to OCAS, a world class metals research centre near Ghent (Belgium). Since 2006, Finindus provides early stage and growth financing (both equity and debt) to innovative technology companies active in the field of materials, sustainable manufacturing and industry 4.0. Finindus invests across Europe and North-America, with Flanders as our home base and sweet spot.",VC Firm,Belgium,http://www.finindus.be,"Materials, Sustainable Industries and Industry 4.0",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/finindus/,[email protected],BE
Crescent Ventures,https://www.eu-startups.com/investor/crescent-ventures/,"Crescent Ventures develops and delivers dependable, secure, and environmentally friendly Internet of Things solutions for smart buildings, smart cities, industry 4.0, and smart energy applications around the world. They enable and accelerate the transition to a safer, more sustainable, and more comfortable living environment, allowing businesses to thrive. The group is organized along 3 business units: Crescent IoT Solutions, Crescent Lighting and Crescent Ventures.",Corporate VC,Belgium,https://www.crescent-ventures.com,"Wireless Services, IoT, Internet of Things, Investors, Sustainable",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://linkedin.com/company/opticrescent,[email protected],BE
Aliaxis Next,https://www.eu-startups.com/investor/aliaxis-next/,"Aliaxis Next is an impact business builder division of Aliaxis. We are Aliaxis Next, a team of business builders who identify, engage, and accelerate water tech companies and entrepreneurs through our four business units: Sustainable Water Management, Access to Water, Resilient Water Infrastructure, and Water for Food. As a world leader in fluid management solutions, we are investing at pace in the technologies we will need to solve the immense water challenges of the future. And we’re laying the foundations for our continued growth beyond 2025.",Corporate VC,Belgium,https://aliaxis.com/who-we-are/aliaxis-next/,"Utilities, Sustainable, Innovative, Investors",0-€100k,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/aliaxis-next/about/,[email protected],BE
Lab Box,https://www.eu-startups.com/investor/lab-box-3/,Lab Box is a great Belgian start-up studio focusing on the future of mobility. Lab Box has the ambition to promote and develop new mobility solutions that will make cities more liveable and enjoyable in the future.,Corporate VC,Belgium,https://www.lab-box.com/,"Information Technology, SaaS, Software",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/lab-box,[email protected],BE
Sparkalis,https://www.eu-startups.com/investor/sparkalis/,"Sparkalis is a newly created corporate venture arm of the PURATOS GROUP.Sparkalis, a corporate venture arm of Puratos Group, invests in innovative technologies to create a healthier food print for future generations, collaborating with entrepreneurs to transform ideas into successful businesses.",Corporate VC,Belgium,https://sparkalis.com/,"FoodTech, Entrepreneurs, Investment, Venture Capital, Private Equity Principals",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/foodtech-sparkalis,[email protected],BE
