name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Sofia Angels Ventures,https://www.eu-startups.com/investor/sofia-angels-ventures/,"Sofia Angels Ventures is a EUR 13 million co-investment venture capital fund backed by the European Investment Fund to co-invest on deal-by-deal basis alongside private co-investors (angels, family offices, funds and other private institutions). Focus on tech startups at the early stage of development. Ticket size of EUR 200k – EUR 500k for first investment and up-to EUR 1.0m for follow-on investments. The management team consists of professionals with considerable financial, entrepreneurial and operating experience, who themselves are angel investors. The management team has invested its own capital in the fund. Strong network of angel investors creates a unique advantage in deal sourcing.",VC Firm,Bulgaria,https://sofiaventures.eu/,"Fintech, Greentech, Agritech, Medtech, HRtech, AI, Sustainability",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/sofia-angels-ventures/,[email protected],BG
Zaz Ventures,https://www.eu-startups.com/investor/zaz-ventures/,"Zaz Ventures has helped deeptech innovators to raise 1.1Bn Euros of EC funding since 2014. We provide fundraising advisory services (identifying funding instruments, preparing hybrid funding application combining grant and equity) across a variety of domains (ICT, Robotics, Security, Space, Transportation, Manufacturing, Nanomaterials, Health, Agri-Food, Energy, Raw Materials, Environment). We have offices in Brussels, London, Paris, Stans, Krakow and Madrid. All our projects are carried out on a no-win-no-pay basis. This means that we only invoice our services when (and if) the client receives public funding. This formula is particularly attractive for very competitive schemes where the average success rate is currently below 5%, such as the EIC Accelerator.",Corporate VC,Bulgaria,https://www.zazventures.com/,"Consulting, Finance, Call Monitoring, Fundraising",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/zaz-ventures/,[email protected],BG
Shelly Group,https://www.eu-startups.com/investor/shelly-group/,"Leading IoT company with main focus on producing high-class smart home devices. Shelly is a company that specializes in smart home and facility automation. They offer highly customizable solutions for both home buildings and business facilities, including smart lighting and appliance control.",Corporate VC,Bulgaria,https://www.shelly.com/,"Mobile messaging, Mobile billing, Digital media, Marketing, IoT",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/shellygroup/,[email protected],BG
Eleven Ventures,https://www.eu-startups.com/investor/eleven-ventures/,"Eleven is one of the leading early-stage VCs in Southeast Europe, investing in startups since 2012. With 170+ collective investments over 12 years, Eleven’s team has been instrumental in catalyzing the regional startup ecosystem. Eleven supports tech companies in four priority verticals - Fintech, Healthcare, Future of Work, and Sustainable Food. Some of the startups that Eleven has backed include Payhawk, Quantive, Dronamics, SMSBump, and Native Teams.",VC Firm,Bulgaria,http://11.vc,"Fintech, Healthcare, Sustainable Food, Future of Work",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/eleven-ventures-11/,[email protected],BG
Innovation Capital,https://www.eu-startups.com/investor/innovation-capital-2/,"EUR 21.1 million Pre-Seed and Seed Venture Fund with Acceleration program. Venture capital fund focused on Pre-Seed (EUR 25,000-50,000) and Seed (up to EUR 1,000,000) funding rounds. Sector agnostic with preference for scaleable and innovative business models.",VC Firm,Bulgaria,https://www.innovationcapital.bg/,"Robotics, AI, Enterprise Software, FoodTech, Transport, Logistics, Automotive",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/innovationacceleratorbg/,[email protected],BG
LAUNCHub Ventures,https://www.eu-startups.com/investor/launchub-ventures/,"LAUNCHub Ventures is a leading early-stage venture capital fund focusing on technology startups in Central and Southeastern Europe (SEE & CEE), and beyond, with investments ranging from €300K to €2M initially, and up to €4M in subsequent rounds. They support ambitious founders from the region, offering not just funding but also extensive assistance to accelerate growth. Their 'Series A academy' program has successfully guided many startups to milestones and follow-up funding. Established in 2012, LAUNCHub Ventures has significantly contributed to the CEE startup ecosystem and attracted investments from major VC firms in Europe and the US.",VC Firm,Bulgaria,https://launchub.com,"Future of Work, Productivity, Blockchain, EV Mobility, AI, Hardware, Fintech, Software, Marketplaces, SaaS, Gaming, Travel Tech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/launchub,[email protected],BG
Vitosha Venture Partners,https://www.eu-startups.com/investor/vitosha-venture-partners-2/,"€20m acceleration, seed, and post-seed fund based in Sofia, Bulgaria. Vitosha Venture Partners specializes in early-stage and growth-stage investments ranging from EUR 25,000 to EUR 1,000,000, specifically targeting companies based in or connected to Bulgaria. They seek out resourceful founders with impactful ideas and a strong execution strategy. Leveraging their extensive investment experience, global network, and market access, Vitosha Venture Partners is dedicated to empowering entrepreneurs and nurturing them into industry leaders.",VC Firm,Bulgaria,http://vitosha.vc,"Marketplace, Ecommerce, SaaS, ML, AI",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/vitoshavp/,[email protected],BG
Impetus Capital,https://www.eu-startups.com/investor/impetus-capital/,"""Impetus Capital is an early-stage venture capital fund specializing in backing strong founding teams focused on building rapidly growing tech companies poised for global expansion. They target companies in the early stage with post-traction, typically investing initial tickets ranging from EUR 0.3m to 0.5m. Impetus Capital is committed to long-term support, particularly for companies that have demonstrated double-digit growth potential. With a strategic focus on Central and Eastern Europe (CEE), Impetus Capital prioritizes investments in CEE-based companies, with a preference for those with a Bulgarian angle. Their investment approach aims to foster growth and innovation within the region's tech ecosystem while facilitating global scalability for their portfolio companies.""",VC Firm,Bulgaria,http://impetus.capital,"SaaS, Biotech, Life Sciences, InsurTech, Machine Learning",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/10485294/,[email protected],BG
New Vision 3,https://www.eu-startups.com/investor/new-vision-3/,"New Vision 3 is a venture capital fund specializing in early-stage investments in tech-enabled companies driving innovation. Founded and managed by a seasoned team with a decade-long track record in startup and tech investments, the fund aims to become the preferred partner for visionary entrepreneurs contributing to the growth of the Bulgarian and regional economies. They are committed to supporting, commercializing, and globalizing the regional tech ecosystem, particularly in sectors such as FinTech, AI, Blockchain, and the Shared Economy. New Vision 3 Fund is co-financed by the European Structural and Investment Funds under the Operational Programme for Innovation and Competitiveness 2014-2020, managed by the Fund of Funds in Bulgaria, underscoring their commitment to fostering innovation and competitiveness in the region.",VC Firm,Bulgaria,https://www.newvision3.com,"""FinTech & Blockchain Artificial Intelligence Shared Economy & Platforms IoT & Big Data""",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/new-vision-3-fund,[email protected],BG
Neo Ventures,https://www.eu-startups.com/investor/neo-ventures/,"Neo Ventures is a deep tech fund that invests in the builders of digital infrastructure for smart cities, outpatient healthcare, and space missions. For nearly a decade, they have supported artificial intelligence and machine learning technology startups in developing and deploying reliable, scalable data solutions that serve billions today. Neo Ventures provides comprehensive support to founders, including business planning, scaling operations, follow-on investments, maximizing opportunities, and navigating challenging situations.",VC Firm,Bulgaria,https://neoventures.net,"Aerospace, Cyber Security, Health Care, Security",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/neo-ventures-capital/,[email protected],BG
