name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
First Serve Ventures,https://www.eu-startups.com/investor/first-serve-ventures-2/,"As a direct investor: Pre-revenue software with a specific geographic arbitrage play. We back European teams who don't know how to enter Africa, and African teams who would like to enter Europe. As an LP: GP's on Fund III onwards who have fully returned capital to LPs in prior funds (DPI 1.0).",VC Firm,Switzerland,http://www.firstserve.co.za,Sector Agnostic,0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/firstserve/,[email protected],CH
First Serve Ventures,https://www.eu-startups.com/investor/first-serve-ventures/,Sector Agnostic First Cheque Angel Investor bridging the gap between Africa and Europe.,VC Firm,Switzerland,http://www.firstserve.co.za,"SAAS, AI, Nano Tech",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/in/mrtendaishamu/,[email protected],CH
Nestle Ventures,https://www.eu-startups.com/investor/nestle-ventures/,"We complement our own research and development capabilities with those of external researchers, startups and other partners to bring innovative products and services to market more quickly. As part of our open innovation approach, we also invest into startup companies and organizations through venture capital (VC). We have a long track record of leveraging VC investing to help us to stay on top of the latest food industry trends. Today, we focus on three investment pillars - health science, innovation and sustainability - to drive new business and support our path to Net Zero, with businesses and technologies that can be deployed across our value chain. Through VC funding, we provide catalytic capital to support pioneering ideas on their launch and growth journey. Our investment strategy is predominantly based on a fund of funds approach, where we invest in VC funds with a proven track record and industry expertise.",Corporate VC,Switzerland,https://www.nestle.com/investors/overview/venture-capital-funds,"health science, innovation and sustainability",Above €3M,Series C & Beyond,,[email protected],CH
Founderful,https://www.eu-startups.com/investor/founderful/,"We’re a venture capital firm based in Switzerland. Our team consists of experienced entrepreneurs and venture experts with a deep understanding of founders and what it takes to start, scale, and sell market-leading companies. We invest at the pre-seed stage, which, simply put, is your company's first financing round. We focus on this first investment because it's often the toughest time to secure funding, and our support can make a real difference.",VC Firm,Switzerland,https://www.founderful.com/,"Industrial Tech, Consumer Tech, B2B",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/founderfulvc/,[email protected],CH
Quadia,https://www.eu-startups.com/investor/quadia/,"Our vision is of a Regenerative Economy where people can thrive while respecting social and planetary boundaries. In line with its mission «we finance the solutions for a regenerative economy», Quadia targets companies which have positioned their strategic development on products and service that contribute to a regenerative economy. These transformative companies operate in the areas of clean energy, sustainable food and circular products & materials. Since its creation, Quadia has financed over 40 companies, projects and investment funds for the equivalent of EUR 200 million. Quadia is based in Geneva, Switzerland.",VC Firm,Switzerland,https://quadia.ch/,"sustainable food, responsible consumption, mobility, energy & housing",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/quadia-sa/,[email protected],CH
Pureos Bioventures,https://www.eu-startups.com/investor/pureos-bioventures/,"Pureos Bioventures is a venture capital fund, which invests exclusively in private innovative drug development companies, with a special emphasis on the next generation of biological drugs and drug formats. The fund’s portfolio companies are built on scientific excellence to develop therapies across a broad indication spectrum including oncology, immunology, ophthalmology, rare diseases, and neuroscience. Pureos has built a team with deep investment, operating and clinical expertise, that strives to impact patients’ lives by advancing innovative treatments for devastating diseases.",VC Firm,Switzerland,https://www.pureosbio.com/,"Diagnostics, Biopharma, Biotech, Life Sciences",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/pureos-bioventures/about/,[email protected],CH
TX Ventures,https://www.eu-startups.com/investor/tx-ventures/,"We believe that a sound financial system is crucial for our society. Therefore, we enable Fintechs to build a better generation of finance. Our mission is to invest in Fintechs democratizing access to financial products, empowering people to gain financial security and improving efficiency as well as sustainability. We manage a CHF 100m fund backed by TX Group, the largest private media group in Switzerland. We back our companies with hands-on support in the areas of Marketing, Tech and Cybersecurity.",VC Firm,Switzerland,https://www.tx.ventures/,"Fintech, Proptech, Insurtech, Digital Assets",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/showcase/tx-ventures-vc/,[email protected],CH
SNGLR,https://www.eu-startups.com/investor/snglr/,"Exponential tech focused Venture Capital Fund We invest in mainly European early-stage technology Start-ups with exponential growth potential in the sectors: vitality – longevity and smart mobility enabled by these technologies: AI, Blockchain, Data (IoT; API), 5G, Robotics and others. We work with entrepreneurs through all ups and downs on your journey as one team: experience as founders, early-stage tech investors, board members, advisors, mentors and coaches special engagement model with selected Corporate Venture Units and Consulting Firms with strong market access technology insights and support provided by our XLabs tech dev gurus",VC Firm,Switzerland,https://www.snglr.vc/,"AI, Blockchain, Data (IoT; API), 5G, Robotics",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/snglr-group/,[email protected],CH
Syngenta Group Ventures,https://www.eu-startups.com/investor/syngenta-group-ventures/,"Syngenta Group Ventures’ mission is to shape the future of agriculture and food through technology and business model innovation. As the venture capital arm of the Syngenta Group, we improve agriculture and global food security by enabling farmers to make better use of available resources. The power of technology, created by the ingenuity of people, can help ensure food security in partnership with the environment. Collectively, our team has deep experience in investments, management, entrepreneurship, expertise in technical and scientific disciplines – and a passion for pushing the industry forward. We invest in companies that: Strengthen existing innovations and markets Seize new opportunities to drive farmer profitability Shape the future of farming",Corporate VC,Switzerland,https://www.syngentagroupventures.com/about-us,"Agtech, Farming, Blue Economy, Climate",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/syngentagroup/,[email protected],CH
Olive Capital,https://www.eu-startups.com/investor/olive-capital/,"“Zero-Knowledge (ZK)”-centric pre-seed partner to crypto/web3 founders, building a safer, cleaner, privacy-focused, programmable trustless digital future.",VC Firm,Switzerland,https://olivecapital.vc/,"Web3, Web 2.0, Crypto, AI",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/olivecap/,[email protected],CH
MTIP,https://www.eu-startups.com/investor/mtip/,MTIP is a leading Swiss-based growth equity firm investing in European healthtech companies that aim to revolutionize global healthcare. We leverage our deep sector expertise to help scale up successful and sustainable healthtech businesses.,VC Firm,Switzerland,https://www.mtip.ch/,Healthtech,Above €3M,Series C & Beyond,https://www.linkedin.com/company/mtip-healthtech-investors/,[email protected],CH
Spicehaus Partners,https://www.eu-startups.com/investor/spicehaus-partners/,"Spicehaus Partners was founded in 2018 by Dr. Teddy Amberg and Daniel Andres, drawing on their extensive entrepreneurial experience and angel investments. With a track record of 40 investments over the past 12 years, they continue to support founders on their journey to success. With a fund size of CHF 31 million in Fund I, Spicehaus invested in 20 technology companies, including Amnis Treasury Services (Fintech), Fidentity (Regtech), Kemaro (Robotics), Kido Dynamics (Big Data), Klepsydra Technologies (Edge Computing), Vlot (Insurtech), Xorlab (Cybersecurity), Drone Harmony (deeptech) and many more. Thanks to the companies’ positive growth trajectory, Spicehaus Partners' first fund has already achieved a net return of +28%.",VC Firm,Switzerland,http://www.spicehaus.com/,"Fintech, Regtech, Robotics, Big Data, Edge Computing, Insurtech, Cybersecurity, Deeptech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/spicehauspartners/,[email protected],CH
Lightbird,https://www.eu-startups.com/investor/lightbird-2/,"At Lightbird, we partner, early in the journey, with companies that lead with distribution. We believe that establishing this from the beginning is the only way to stand out in today’s market.",VC Firm,Switzerland,https://www.lightbird.vc/,"GreenTech, SaaS, Cybersecurity, MarTech, DevTools",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/lightbird/about/,[email protected],CH
Forestay VC,https://www.eu-startups.com/investor/forestay-vc/,"Founded in 2018, Forestay is an early-growth stage tech fund and part of B-FLEXION, an entrepreneurial private investment firm founded by Ernesto Bertarelli. We invest in visionary teams reaching growth inflection points and partner with them to create future category leaders. We support start-ups with investments between $10M and $20M in Europe, Israel and opportunistically on the East coast of the US. Forestay Capital SA is the advisor to Forestay Capital Management Ltd, based in Jersey.",VC Firm,Switzerland,https://www.forestay.vc/,"Machine Learning, Big Data, Fintech, Analytics, IndustrialTech, Logistics",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/forestay-capital/,[email protected],CH
Emerald VC,https://www.eu-startups.com/investor/emerald-vc/,"Emerald is a globally recognized venture capital firm founded in 2000, that manages and advises assets of over €1 billion from its offices in Zurich, Toronto and Singapore. The firm invests in start-ups that tackle big challenges in climate change and sustainability, with 4 current funds, hundreds of venture transactions and four third-party investment mandates, including loan guarantees to over 100 start-ups.",VC Firm,Switzerland,https://emerald.vc/,"energy, water & wastewater, food and agriculture, mobility & urbanization, materials & packaging, industrial IT",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/emeraldvc/,[email protected],CH
DeepTech Ventures,https://www.eu-startups.com/investor/deeptech-ventures/,"DeepTech Ventures is here to close the gap between the promise of Web3 and a reality where users can finally call the internet 'ours to own.' DeepTech Ventures is here to close the gap between the promise of Web3, the third generation of the internet, and a reality where users can finally call the internet 'ours to own.' The Web2 of today is slowly unravelling. This evolution from a privately owned internet of data hoarding platforms, to a world where people can be in control of their data, identity, and destiny, is a huge opportunity. Entire billion-dollar industries - from finance, gaming, art, and more - are being transformed. As investment pioneers, DeepTech Ventures is giving an intrepid community the resources to become an established industry with the power to change the world. For Web3 to truly come alive, its layered and fragmented infrastructure needs reinforcing and fusing together. Imagine information that can be stored, accessed, and shared between tiers, free from the prying eyes of profiteering platforms. For the architects and builders of the internet of tomorrow this is a playground of infinite programming possibility.",VC Firm,Switzerland,https://www.deeptechventures.io/,"DEFI, NFT, DAO, IT, DeepTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/deeptech-ventures/,[email protected],CH
BackBone Ventures,https://www.eu-startups.com/investor/backbone-ventures/,"Backbone Ventures is an early-stage venture capital firm based in Zurich and Frankfurt am Main. Founded in 2018, we started out by investing without a fund, on a deal-by-deal basis. In four years we invested in 26 teams, mostly in Switzerland but also in Germany, the US, and Israel. Since September 2022 we have invested almost exclusively out of our Backbone Ventures 5502 Fund, a EUR 20m pre-seed fund with a strong geographical focus on Germany and Switzerland. We strive every day to justify the trust that our investors and our founders put in us and to become the trusted partner for the best founders who are still about to start their ventures.",VC Firm,Switzerland,https://www.backbone.vc/,Underrepresented Founders,€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/backbone-ventures/,[email protected],CH
MEDKAP Investor Association,https://www.eu-startups.com/investor/medkap-investor-association/,"MEDKAP is a Swiss non-profit association for private & institutional investors. We identify high-potential early-stage startups in the fields of digital health, medtech and diagnostics (HealthTech) and enable our members to build diversified portfolios.",VC Firm,Switzerland,https://medkap.org/,"HealthTech, Digital Health, Medtech, Diagnostics, Techbio",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/medkap,[email protected],CH
Collateral Good,https://www.eu-startups.com/investor/collateral-good/,"Switzerland-based VC firm that invests exclusively in high-caliber ventures built around innovative technologies. All investments are in alignment with Article 9 of the SFDR (EU Sustainable Finance Disclosure Regulation) – thus all portfolio companies have a positive impact on society or the environment at the core of their business. The firm currently manages several funds with total AUMs > EUR 200M: Sustainable Food, Sustainable Packaging and Sustainable Fashion. Collateral Good operates as a corporate innovation platform with anchor investors of the likes like Bimbo Corporation, HAVI, Givaudan, Delivery Hero, Sigma, HUGO BOSS and others.",VC Firm,Switzerland,https://collateralgood.eu/,"Sustainable Food, Sustainable Packaging, and sustainable Textile & Fashion",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/collateralgood/,[email protected],CH
IPV Global Capital,https://www.eu-startups.com/investor/ipv-global-capital/,"IPV Global has been investing in semiconductor companies for 20+ years and will focus on deep technology semi ecosystem opportunities that leverage rapid growth and massive disruption • New Technology - AI, IoT, Machine Learning, Robotics, Advanced Manufacturing, etc. • Expanding Applications - PC, mobile, communications, consumer electronics + auto, industrial, medtech, agriculture, aerospace, etc. • Changing Ecosystem - moving from globalization to regionalization with Western-Centric vs. Pan Asian-centric We are based in the US, Asia and Europe and help our portfolio companies to become global leaders.",VC Firm,Switzerland,http://www.ipv.global%20,"Semiconductors related AI, ioT, machine learning, robotics, EDA, systems, materials.",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Aorganization%3A103277835&keywords=ipv%20global%20capital&origin=RICH_QUERY_SUGGESTION&position=0&searchId=26162a1e-cb5d-43fd-9060-2a15d1be77be&sid=vx1&spellCorrectionEnabled=false,[email protected],CH
Chi Impact Capital,https://www.eu-startups.com/investor/chi-impact-capital/,"Chi Impact Capital (‘Chi') is the conscious impact investor creating deep, positive, measurable impact and achieve strong financial returns by investing in core-regenerative business models that advance the most burning Sustainable Development Goals in Europe. Through the Burning Issues Impact Fund (‘BIIF'), Chi is scaling early growth stage companies using breakthrough technologies to transform the sectors they operate in. Chi works with companies to create financial and impact value, providing comprehensive implementation and execution support across impact measurement, management, and reporting. Founded by Dr Christin ter Braak-Fostinger, an impact investor with over 15 years of experience, Chi is working to build a regenerative economy to deliver a more prosperous and sustainable future.",VC Firm,Switzerland,http://chi-impact.com/,"Impact Investing, Venture Capital",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/chi-impact-capital,[email protected],CH
DD Venture Capital,https://www.eu-startups.com/investor/dd-venture-capital/,"At DD Venture Capital (DD = data-driven) we empower outstanding entrepreneurs to realize their vision by providing capital, advisory and door opening. We have a strong focus on early-stage FinTech ventures.",VC Firm,Switzerland,https://www.ddvc.ch/,"FinTech, banking",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/ddvc2020/,[email protected],CH
Swiss Staking,https://www.eu-startups.com/investor/swiss-staking/,"Swiss Staking is an ever-expanding proof-of-stake validator and venture fund based in Switzerland. We offer ""Staking as a Service"" and back the blockchain protocols of tomorrow.",VC Firm,Switzerland,https://swiss-staking.ch/,"Blockchain, Cryptocurrency",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/swiss-staking-ag/,[email protected],CH
Cyverse Capital,https://www.eu-startups.com/investor/cyverse-capital/,"Cyverse Capital injects seed and growth capital into best-in-breed, next-gen cyber-security startups. Cyverse Capital builds on the track record of Cyverse AG, the Zug-based firm which distributes next-gen cyber-security technologies to over 100 multinational enterprises in the DACH and Scandinavia.",VC Firm,Switzerland,https://cyversecapital.com,"Venture Capital,Private Equity,Investment Management,Startup Funding",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/cyverse-capital,[email protected],CH
LOREA AG,https://www.eu-startups.com/investor/lorea-ag/,LOREA AG is a diversified industrial holding company which invests equity capital from entrepreneurs and from family businesses that have been successfully managed for generations.,VC Firm,Switzerland,https://www.lorea-ag.com/,"Venture Capital,Investment Management,Financial Services",Above €3M,Series A/B,https://www.linkedin.com/company/lorea-ag,[email protected],CH
