name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Polyvalent Capital,https://www.eu-startups.com/investor/polyvalent-capital/,"Multi-strategy Investment Fund helping its investors achieve great returns by dynamically allocating capital (and risk) to various investment universes: Public Equity, Fixed Income and Alternatives (PE/VC mostly) and various geographies given the dynamically changing global macroeconomic environment and regional perspectives and therefore the investment landscape and risk-return dynamics. Particular emphasis from mid-2018 has been on Venture Capital. The Fund started to invest in Late-stage venture companies, but we are selectively investing into Growth- and trying Early-stage as well. In Venture Capital, we always try to achieve high absolute returns, but also helping our companies achieve synergies by working with each other.",Corporate VC,Cyprus,https://www.polyvalent.capital,"Finance, Financial Services, Hedge Funds, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/69227479/admin/,[email protected],CY
Schwarzwald Capital Fund,https://www.eu-startups.com/investor/schwarzwald-capital-fund/,"Schwarzwald, established in 2021 and headquartered in Limassol, is a venture capital fund dedicated to investing in fintech and the creator economy. They support visionary entrepreneurs shaping a dynamic future through pioneering projects in the fintech and creator economy.",VC Firm,Cyprus,https://www.schwarzwaldcapital.com,"Fintech, Influencer Economy, Social Media,",Above €3M,Pre-Seed / Seed,,[email protected],CY
MVST:MG,https://www.eu-startups.com/investor/mvstmg/,"MVST:MG is an angel investor focused on Pre-Seed & Seed tech investment startup companies. Their goal is to invest seed money in startups and expedite their journey to success by facilitating the achievement of key milestones such as developing Minimum Viable Products (MVPs) and Proof of Concepts (POCs). They are dedicated to identifying suitable venture capital partners for subsequent round A investments, with the ultimate aim of nurturing startups into profitable enterprises. Their mission focuses on supporting the development of innovative projects and advocating for a fresh approach to investment that empowers investors to back ambitious ventures. Additionally, they aim to unite a network of business angels possessing diverse expertise across multiple business sectors.",VC Firm,Cyprus,https://www.MVSTmg.com,"Blockchain, Crypto, Web3, Gaming",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/mvst-mg,[email protected],CY
ULTRA.VC,https://www.eu-startups.com/investor/ultra-vc-2/,"ULTRA.VC is an early-stage investor equipped with an in-house accelerator, providing comprehensive support for startups at the inception stage. They offer essential resources such as funding, expert guidance, and emotional support from experienced mentors who understand the entrepreneurial journey firsthand. Their investment strategy centers around verticals where the integration of technology and human potential can bring about substantial improvements in people's quality of life.",VC Firm,Cyprus,https://ultra.vc/,"Wellbeing, EdTech, Future of Work, Fintech, AI",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/ultra-vc/,[email protected],CY
JOINT JOURNEY,https://www.eu-startups.com/investor/joint-journey/,"Joint Journey, founded by Sergey Dashkov, is a dynamic investment firm launched in 2016. With a robust portfolio exceeding 120 companies and investments totaling $43M, they focus on diverse sectors such as Big Data, FinTech, New Energy, VR, IoT, and BioTech. Known for their rapid and informed investment approach, ULTRA.VC empowers founders with operational autonomy while also serving as a founding partner of AngelsDeck Global Ventures, facilitating syndicate co-investments with over 500 active angel investors.",VC Firm,Cyprus,http://jjvc.info/,"Big Data, FinTech, New Energy, VR, Internet of Things, and BioTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/joint-journey/,[email protected],CY
Insta Ventures,https://www.eu-startups.com/investor/insta-ventures/,"Insta VC, leveraging deep expertise in enterprise IT, SaaS startup operations, and mobile app publishing, specializes in B2B projects and selected B2C niches like D2C (direct-to-consumer businesses). They co-invest alongside lead investors, focusing 70% of their deals on the Nordics and Baltics, including Finland, Sweden, Estonia, and Lithuania. Another 15% comes from Central and Eastern Europe, with the remaining 15% from global regions. Insta VC avoids mobile gaming and hardware investments but finds hardware-enabled software ventures compelling. They typically invest between USD $100K and USD $500K initially, with a sweet spot around USD $250K, and may allocate up to USD $1,000K with follow-on investments for companies showing proven traction, usually exceeding €15k in monthly revenue.",VC Firm,Cyprus,https://insta.vc,SaaS businesses B2B / B2B2C Marketplaces Enterprise software Mobile applications AdTech / MarTech FinTech ML / DL / AI AR / VR DevOps / Cloud EdTech Crypto / Blockchain,€100k-€1.5M,Series A/B,https://www.linkedin.com/company/insta-ventures/,[email protected],CY
AddVenture,https://www.eu-startups.com/investor/addventure/,"""AddVenture is an international venture capital fund distinguished by its sector-focused strategy, primarily investing in the Home & Local Services sector with a range from $1 to $20 million per investment. Their investment thesis centers on two primary areas: horizontal marketplaces that connect freelancers with job opportunities in home and local services, as well as SaaS solutions for workforce management. Additionally, AddVenture seeks to support vertically integrated service providers that offer trusted brands in sectors such as cleaning, beauty, storage, laundry & dry-cleaning, and legal services. They aim to back companies that ensure quality control and seamless service delivery, enhancing customer trust and satisfaction in these essential service sectors.""",VC Firm,Cyprus,http://addventure.vc,"HRTech, Wellness, Beauty, Marketplaces",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/addventure-vc/,[email protected],CY
Vershina Capital,https://www.eu-startups.com/investor/vershina-capital/,"Vershina Capital focuses on investing in late seed and Round A startups characterized by motivated founder teams, proven MVPs, and strong unit economics, poised to scale their business models across European and North American markets. They specialize in the Online Education/EdTech, FoodTech (e-grocery), and E-Commerce sectors. Vershina Capital provides comprehensive support to their portfolio companies, including access to industry-specific experts and advisors, assistance with fundraising efforts, and operational guidance aimed at fostering dynamic business growth. This support enables portfolio companies to gain a competitive advantage, surpass competitors, expand market share, and enhance company valuation.",VC Firm,Cyprus,https://www.vershina.vc/,"Online Education/EdTech, FoodTech (e-grocery) and E-Commerce sectors.",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/vershina-capital/,[email protected],CY
Bulba Ventures,https://www.eu-startups.com/investor/bulba-ventures/,"Bulba Ventures was founded in March 2018 by Yury Melnichek, the founder of MAPS.ME and AIMATTER, and Andrei Avsievich. Their mission is to improve the quality of human lives by funding machine learning startups.",VC Firm,Cyprus,http://bulba.com/,"AI, Machine Learning",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/bulba-ventures/,[email protected],CY
Melnichek Investments,https://www.eu-startups.com/investor/melnichek-investments/,"Melnichek Investments is dedicated to improving the quality of human lives by funding and supporting machine learning and biotech startups. The company leverages its owner's funds, sourced from the successful acquisitions of previous startups, including AIMATTER (creators of mobile applications Fabby and Fabby Look) acquired by Google, and Vochi (a mobile application for video editing) acquired by Pinterest.",VC Firm,Cyprus,https://www.melnichek.investments,"Biotech, AI, InsurTech, Aerospace, Robotics",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/melnichek-investments-ltd/,[email protected],CY
Rider Global,https://www.eu-startups.com/investor/rider-global/,"Rider Global is an investment platform that partners with founders to facilitate qualitative growth and expansion. Leveraging their expertise in building IPO or exit-oriented companies from scratch, Rider Global's team has extensive experience managing startups and transforming small and medium-sized companies into flexible, responsive corporations. They are a stage-agnostic fund, considering investments from seed to late stage. Rider Global seeks companies with a proven track record, strong unit economics, clear product-market fit, and optimal market entry timing. They believe in people who push the boundaries of what is possible.",VC Firm,Cyprus,http://riderglobal.vc/,"Mobility, Logistics, Ecommerce, Marketplaces",€1.5M-€3M,Series C & Beyond,https://www.linkedin.com/company/rider-global/,[email protected],CY
