name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Jet Ventures,https://www.eu-startups.com/investor/jet-ventures/,"Thesis - digitization of European industry picks up further and on-going shortage of qualified labor drives need for solutions that replace labor. Invest Focus: Industrial Tech/B2B, IoT, Supply Chain Tech, Enterprise SaaS, HW enabled SaaS KnowHow. Countries: CZ, PL, AT, DE, SK",VC Firm,Czech Republic,https://www.jetinvestment.eu/jet-funds/jet-ventures/,"industrial tech, IoT, supply chain tech, enterprise saas",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",,[email protected],CZ
J&T Ventures,https://www.eu-startups.com/investor/jt-ventures-2/,"J&T Ventures is an early-stage Prague based Venture Capital fund, which invests into promising startups from the CEE and SEE region. Our strategy is industry agnostic, but we primarily focus on companies in seed stage with proven product market fit. Our average ticket size is between 0.5m EUR - 3m EUR.",VC Firm,Czech Republic,https://www.jtventures.cz/,"B2B, B2C, Marketplaces – Sector Agnostic with focus on AI, Data, DevOps, Automation, FinTech, DeepTech, Cybersecurity, RetailTech, TravelTech, HealthTech, Dual Use.",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/j&t-ventures/,[email protected],CZ
PurposeTech,https://www.eu-startups.com/investor/purposetech/,"PurposeTech is a pre-seed fund that backs startups in the fields of health, sustainability and education in Central and Eastern Europe.",VC Firm,Czech Republic,http://www.purposetech.vc,"health, education, sustainability, edtech, healthtech, greentech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/purposetech-vc/,[email protected],CZ
DLTG Fund,https://www.eu-startups.com/investor/dltg-fund/,"The future of the investment world belongs to those that understand the technology driving it forward.The DLTG team, with its vast experience in high tech ecosystems, diverse backgrounds, and global outreach, has a unique edge in the current complex technology world. Our strategic partnerships, hyper-automation and exponential algorithms approach give us unfair advantages.",VC Firm,Czech Republic,https://dltg.fund/,"Artificial Intelligence (AI), Big Data, Blockchain, Cyber Security, Information Technology, Internet, Machine Learning, Robotics, Software",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/dltg-fund/,[email protected],CZ
LEVERAGE,https://www.eu-startups.com/investor/leverage/,"LEVERAGE build exceptional internet companies. We invest our own experience, time and capital. We are looking for new ambitious projects,specializing in technology investments with a high return rate. They actively build and invest in companies, offering expertise and support to accelerate business growth.",VC Firm,Czech Republic,https://www.lvrg.cz/,"Digital health, Medtech innovations, Biotechnology, Healthcare services",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/leverage-holding-sro/,[email protected],CZ
KOOPEO Ventures,https://www.eu-startups.com/investor/koopeo-ventures/,"KOOPEO Ventures is Prague-based investment company that makes pre-seed and seed stage investments in CEE region.They seek out emerging projects with high growth potential in industries such as E-commerce, Mobile, Internet, Affiliate Marketing, and Fintech.",VC Firm,Czech Republic,http://www.koopeoventures.com,"Medtech, Healthtech, Biotech, AI in healthcare",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/11366532,[email protected],CZ
TCF Capital,https://www.eu-startups.com/investor/tcf-capital/,"TCF Capital is an investment and family property management firm founded by entrepreneur Tomáš Čupr. The company's mission is to preserve, develop, and appreciate both investment portfolios and entrusted family assets.",VC Firm,Czech Republic,https://tcfcap.com,"Healthtech, Medtech, Artificial Intelligence",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/tcfcap,[email protected],CZ
QQ Capital,https://www.eu-startups.com/investor/qq-capital/,"Family venture office investing in early-stage tech companies. We stand by our founders & provide long term deep support.Q Capital is a family venture office in Prague, Czech Republic, investing in early stage technological companies in the Central and Eastern European region. They partner with companies with software-based products, focusing on proven product market.",VC Firm,Czech Republic,https://www.qq.capital,"Healthtech, Artificial Intelligence, Fintech, Sustainable Technologies",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/qq-capital/,[email protected],CZ
Nextech Ventures,https://www.eu-startups.com/investor/nextech-ventures/,"Nextech Ventures is a venture capital fund that invests in seed stage companies in the e-commerce, analytics, SaaS, and VR sectors.Nextech Ventures provides essential seed stage capital and a nimble team that makes fast decisions. They offer standard term sheets, international VC exposure, and a founders' network. With experience in e-commerce, retail, analytics, SaaS.",VC Firm,Czech Republic,https://www.nextechventures.com/,"Healthtech, MarTech, BioTech, MedTech",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/nextechventures/about/,[email protected],CZ
EXOVERSE,https://www.eu-startups.com/investor/exoverse/,"Exoverse is an XR venture fund investing in innovative VR, AR, Metaverse and web3 companies to help build and support innovative ideas.Exoverse is a global XR venture fund specializing in investing in innovative VR, AR, Metaverse, and Web3 companies. We support groundbreaking ideas in the virtual and augmented reality space, offering opportunities for private investors and companies.",VC Firm,Czech Republic,https://exoverse.fund/,"AI & Machine Learning, Blockchain & Crypto, Robotics & Automation, Digital Health",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/exoverseventurecapital/about/?viewAsMember=true,[email protected],CZ
i&i Prague,https://www.eu-startups.com/investor/ii-prague-2/,"i&i Prague is a bio-innovation center partner for biotech innovations and smart money investments.i&i Prague is located in the heart of Europe, specializing in identifying and investing in new inventions in Drug Discovery, Diagnostics, MedTech, and other Life Science fields. They support projects from academic institutions.",VC Firm,Czech Republic,https://www.iniprague.com,"Biotech, Healthtech, Medtech, Life Sciences",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/iniprague,[email protected],CZ
SPM Invest,https://www.eu-startups.com/investor/spm-invest/,"SPM is a Czech investment group that is looking for interesting opportunities, especially for long-term investments.Czech investment group focusing on long-term investments in companies with strong management and innovative ideas, with an initial investment size ranging from 10 to 200 million CZK per opportunity.",VC Firm,Czech Republic,http://www.spminvest.com,"Technology-driven solutions, Healthcare innovation, Sustainable technologies, Digital transformation",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/spmgroupcz/,[email protected],CZ
Finance Zealand,https://www.eu-startups.com/investor/finance-zealand/,"Finance Zealand is an Investment firm.Finance Zealand provides capital and expertise to businesses with high growth potential, investing in ambitious owner-managers to take their companies to the next level.",VC Firm,Czech Republic,http://financezealand.dk,"Fintech, Sustainable finance, Digital payment solution, Insurtech",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/finance-zealand,[email protected],CZ
Metatron Global,https://www.eu-startups.com/investor/metatron-global/,Metatron invests in exciting paradigm-shifting companies capable of commanding global markets while creating a legacy of positive impact,VC Firm,Czech Republic,http://www.metatron.com,"SpaceTech, Healthtech, TravelTech, Machine Learning",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/3651284,[email protected],CZ
JIC Ventures,https://www.eu-startups.com/investor/jic-ventures/,"JIC Ventures is an investment company which providing venture capital investments to graduates of its parent company's JIC programs.JIC, the South Moravian Innovation Centre, empowers entrepreneurs and fosters innovation in the Brno region. Since 2003, JIC has been creating an open innovation ecosystem that supports businesses from inception to global success.",VC Firm,Czech Republic,https://www.jic.cz/ventures/,"Semiconductor, Software, Security, Advanced Materials, DeepTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/jic-ventures/,[email protected],CZ
PRIME FUND Group,https://www.eu-startups.com/investor/prime-fund-group/,"We are a full-scale investment group in which we invest in all stages of development, from Pre-seed to Series A+.PRIME FUND is a tech-focused investment group fostering innovation and synergy between startups and established companies to create unique products and services through their Equitech strategy.",VC Firm,Czech Republic,https://primefund.cz/,"E-Commerce, Information Technology, Software",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/prime-fund/,[email protected],CZ
Enern,https://www.eu-startups.com/investor/enern/,"Enern is a multi-stage venture capital organization that invests in online firms and supports entrepreneurial talent.ENERN is a multi-stage venture capital firm investing in internet companies in the CEE region with a focus on marketplaces, FinTech, and renewable energy projects.",VC Firm,Czech Republic,http://enern.eu,"Fintech, SaaS, Marketplaces, Software",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/enern,[email protected],CZ
Purpose Ventures,https://www.eu-startups.com/investor/purpose-ventures/,Investing in ambitious founders and for-profit tech startups contributing to solving world challenges from Czech Republic and Slovakia.Purpose Ventures is a seed fund & studio supporting ambitious technological startups solving real-world problems.,VC Firm,Czech Republic,https://www.purposeventures.cz/,"Impact-driven startups, Edtech, SaaS, Sustainability",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/71937144,[email protected],CZ
V-Sharp Venture Studio,https://www.eu-startups.com/investor/v-sharp-venture-studio/,"V-Sharp Venture Studio is a venture capital company focused on early stage investments in Central and Eastern Europe. V-Sharp Venture Studio is an experienced investment group focusing on early-stage investments in logistics, e-commerce, and fintech, providing strategic guidance and support to founders.",VC Firm,Czech Republic,https://vsharp.vc/,"B2B, E-Commerce, FinTech, Logistics, Marketplace, SaaS, Venture Capital",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/v-sharp-ventures/,[email protected],CZ
Miton C,https://www.eu-startups.com/investor/miton-c/,"Miton offers access to its $50M+ liquid book and a network of the industry's largest market makers. Their hands-on approach means they work closely with their founders, delving into bytecode and experimenting with new ideas. Miton values flexibility without politics, having no external LPs and no forced exits. Integrity is at their core, as they prioritize honesty, eschew ego, and focus on positive-sum games.",VC Firm,Czech Republic,https://www.mitonc.com/,"Cryptocurrency, Web3, Blockchain, Gaming",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/miton-c/,[email protected],CZ
Patero,https://www.eu-startups.com/investor/patero/,"There are five of us and Patero is our common nest. We come from Logio and we want to improve the world around us. We are all different and we have a simple rule in our genes that when everything comes together in the right proportion, at the right time, in the right place and agrees on something in common, a unique combination is created that changes established principles. We founded our business on the principle of making complex things simpler and more efficient. We rid the world of unnecessary waste. Our mission is to make things nicer, make money and have fun doing it. We associate our business with clear ethical values. Sometimes we invest in a technological miracle and other times we invest in an approach that goes back to traditions and the natural way things work. We are not afraid to connect traditional fields with modern technologies and we believe that it is the merging of different contexts that leads to bigger and better wholes. If we set them up correctly step by step, then we can benefit from them for the whole society.",VC Firm,Czech Republic,https://www.patero.cz/,"Machine Learning, Supply Chain, SaaS, Logistics",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/patero-s-r-o,[email protected],CZ
Token Ventures,https://www.eu-startups.com/investor/token-ventures/,"Token Ventures invest into coins and tokens as well as into HW infrastructure.Token Ventures is a diverse team specializing in venture investments in blockchain technologies, crypto infrastructure, trading, and advisory services with a focus on Web3 startups, DeFi, and NFTs.",VC Firm,Czech Republic,https://www.token-ventures.com,"cryptocurrency technologies,, Decentralized finance, Digital assets and tokenization,, Blockchain",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/token-ventures,[email protected],CZ
Springtide Ventures,https://www.eu-startups.com/investor/springtide-ventures/,"Springtide Ventures is a venture capital company that helps to bring start-ups to life, materialize their visions, and global ambitions.Springtide Ventures s.r.o., a member of the KKCG group, is a venture capital and private equity firm with a vision to create lasting values through strong partnerships.They invest in SaaS companies specializing in Cyber Security, Cloud Infrastructure.",VC Firm,Czech Republic,http://springtide.cz,"DeepTech, AI, IoT, Data, Machine Learning",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/springtide-ventures-s.r.o.,[email protected],CZ
Credo Ventures,https://www.eu-startups.com/investor/credo-ventures/,"Credo Ventures is a venture capital company focused on early stage investments in Central Europe. Our mission is to identify and back the most interesting early stage companies in the region, support them in their growth plans (including expansion to the U.S. / global market) and help to achieve their objectives. We are looking for opportunities to invest in high-growth potential companies with international ambitions and competence to execute and deliver. Our industry focus is IT, Internet & Health.",VC Firm,Czech Republic,http://www.credoventures.com,"AI, Robotics, Machine Learning, E-Commerce",€1.5M-€3M,Pre-Seed / Seed,http://www.linkedin.com/company/credo-ventures,[email protected],CZ
Air Ventures,https://www.eu-startups.com/investor/air-ventures/,"Early stage VC based in Prague. Strong founders with profound knowledge of the industry who aims to disrupt with investing in innovations in DACH, Baltics, CEE and UK. They invest in late seed to pre-Series A startups scaling up with 300k ARR. Their investment tickets range from 200k to 2 million. Industry agnostic.",VC Firm,Czech Republic,http://airventures.eu/,"Sustainability, HR Tech, Robotics, Marketplaces",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/10632128,[email protected],CZ
