name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
BlueYard Capital,https://www.eu-startups.com/investor/blueyard-capital-2/,"BlueYard backs founders at the earliest stages building the interconnected elements that can become the fabric of our future. A future where markets are open and decentralized, where we have solved our largest planetary challenges, where knowledge and data is liberated and humanity can live long and prosper.",VC Firm,Germany,https://www.blueyard.com/blueyard,"Web3, Synthetic Biology, Computation & Engineering, Data",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/blueyard-capital/about/,[email protected],DE
Merantix,https://www.eu-startups.com/investor/merantix/,"The Merantix AI Fund builds and invests in category-defining early-stage AI-native companies, always seeking the largest exponential lever through AI as a general-purpose technology. We strongly believe in and focus on vertically integrated business models, data flywheel effects, multidisciplinary founding teams, societal impact, and leveraging the European industry sovereignty.",VC Firm,Germany,https://www.merantix.com/,"AI, healthcare, life sciences, techbio, manufacturing, legal, finance",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/merantix/,[email protected],DE
BOOOM,https://www.eu-startups.com/investor/booom/,"We built a unicorn with +1000 FTE and secured €400 million in capital investment to drive our vision forward. On this journey, we've encountered both challenges and triumphs and we want to help you miss out on some of the mistakes we know all too well - we've been there. We are founders.",VC Firm,Germany,https://booom.vc/,"Supply Chain, B2B, B2C",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/www.booom.vc/posts/?feedView=all,[email protected],DE
Green European Tech Fund,https://www.eu-startups.com/investor/green-european-tech-fund/,"We back European startups that develop Transformative Technologies which have the potential to fundamentally disrupt value chains in today’s major industry verticals and significantly improve the environmental impact. Technological advances in the IoT, machine learning, artificial intelligence, or robotics pave the way to create solutions that fundamentally change value chains in sectors that place a major burden on our planet and our communities: - Energy and Resources - Industry & Manufacturing - Mobility & Logistics - Building & Infrastructure. With +15 years of experience in sustainable investing, we are confident that economic growth and sustainability matters are not trade-offs but mutually reinforcing factors. The entrepreneurs we support strive for holistic value creation along the Triple Top Line of economic wealth, environmental prosperity, and social equity: they create solutions that enhance the well-being of nature and societies while generating economic value. Growing our investees along the triple top line, we are committed to actively contribute to the UN Sustainable Development Goals.",VC Firm,Germany,https://getfund.eu/,"Energy and Resources, Industry, Manufacturing, Mobility, Logistics, Building, Infrastructure",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/getfund/,[email protected],DE
Kärcher New Ventures,https://www.eu-startups.com/investor/karcher-new-ventures/,"We invest in innovative technologies and business models which have the potential to facilitate and expand our future cleaning business. We support new companies and teams with a pioneering product-, material- or service-based solution for future challenges within the cleaning sector. This might be new cleaning methods, digital cleaning solutions, software and hardware or even sustainable business models.",Corporate VC,Germany,https://www.kaercher.com/int/inside-kaercher/company/innovation/new-ventures.html,"Internal digitalisation, Smart Operation, New Technologies, Digital Business Models, Sustainable enteprise",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/alfred-kaercher-se-&-co-kg/,[email protected],DE
Better Ventures,https://www.eu-startups.com/investor/better-ventures/,"At better ventures, we believe that purpose-driven entrepreneurs will change our world for the better. They drive innovation and dare to tackle the most pressing challenges of the place our kids will live in. When you as founders work with us, we commit to doing the same: We’ll help you make an impact and add value to your business far beyond money. We see us as your experienced co-founders, sitting in the same boat, solving your challenges in the best way together. And we are in for the long-run. Our commitment doesn't stop. We are entrepreneurs first and foremost. We don't care how much money you raise in follow-on rounds. We care about building a successful venture that lasts. We know how you stay in the driver seat and what it’s worth down the road. To us, it’s the better way on a mission to drive change if you as founders keep control of your company. Therefore, we invest with founder-friendly terms and stick to our values that define the way we work.",VC Firm,Germany,https://www.betterventures.io/,"Climate, PropTech, Food, Agritech, Circularity, Mobility, Energy, Education",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/betterventures-io/,[email protected],DE
hub:raum,https://www.eu-startups.com/investor/hubraum-2/,"hubraum is Deutsche Telekom’s tech incubator. By bringing startups, developers, ecosystem partners and the leading digital telco together, hubraum sparks innovation transfer and creates business opportunities for all sides. Since 2012, hubraum has been collaborating with the digital ecosystem out of its campuses in Berlin, Krakow and Tel Aviv.",Accelerator,Germany,https://www.hubraum.com/,"AI, IoT, 5G, quantum computing, LTE, the metaverse",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/hubraumdt/about/,[email protected],DE
DB1 Ventures,https://www.eu-startups.com/investor/db1-ventures/,"Corporate Venture Capital arm of Deutsche Börse Group. DB1 Ventures’ vision is to be a strategic partner of choice for early-stage to growth-stage fintech start-ups along the capital markets infrastructure value chain. Through targeted start-up investments, we aim to gain access to innovations and technologies that are core or adjacent to Deutsche Börse Group’s strategy, generate attractive investment returns and add strategic value to the growth plans of our portfolio companies.",VC Firm,Germany,https://deutsche-boerse.com/db1ventures/,Fintech,Above €3M,Series C & Beyond,https://www.linkedin.com/company/deutscheboerse/,[email protected],DE
Schumpeter VC,https://www.eu-startups.com/investor/schumpeter-vc/,"Schumpeter Ventures is an early-stage venture capital fund that invests in start-ups in the FinTech, InsurTech and Cyber Security, focussing on building ecosystems with strong synergies.",VC Firm,Germany,https://schumpeter.vc/,"FinTech, InsurTech and Cyber Security",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/schumpeter-ventures-ffm/,[email protected],DE
blueworld.group,https://www.eu-startups.com/investor/blueworld-group/,"blueworld.group is an investor of a new generation. With a heart for technological progress and innovation blueworld.group’s area of activity is investing, developing and optimizing. blueworld.group acts as an investor and innovator for ambitious growth companies and new business models in a wide range of industries. Therefore, blueworld.group works hand in hand with pioneering companies, their managers and employees to create outstanding performance as well as genuine and sustainable value. Always with the aim of harmonizing progress and sustainability in all dimensions.",VC Firm,Germany,https://www.blueworld.group/,"Climate, Sustainability, Future of Work, Education",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/blueworldgroup/,[email protected],DE
