name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Final Frontier (Space & Defence VC),https://www.eu-startups.com/investor/final-frontier-space-defence-vc/,"Final Frontier is a Nordic venture capital firm investing in visionary companies building critical space and defence technologies for a strategically independent Europe. The fund invests across the value chain, including areas such as satellite systems, propulsion, drones, cybersecurity, and autonomous platforms. Its focus is on pre-seed and seed-stage companies, with a preference for teams that have functional prototypes prepared for real-world application.",VC Firm,Denmark,https://finalfrontier.vc,"Space, Defence, Security, Cybersecurity, European Sovereighty",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/finalfrontiervc/,[email protected],DK
Upfin,https://www.eu-startups.com/investor/upfin/,"Upfin is a Nordic VC specializing in early-stage fintech. We invest at pre-seed and seed stage, either as lead or joining as specialized co-investor. Fund I had a first close of 30m EUR in May 2022, backed by Vækstfonden, a sovereign wealth fund, Velliv, an innovative pension fund & Finansforbundet, the leading financial services union. To date, Upfin has invested in seven fintechs across Sweden, Denmark and the UK.",VC Firm,Denmark,https://www.upfin.io/,Fintech,€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/upfin-vc/,[email protected],DK
Odense Robotics StartUp Fund,https://www.eu-startups.com/investor/odense-robotics-startup-fund/,"Odense Robotics StartUp Fund is a business fund with the aim of giving robot entrepreneurs from Denmark and abroad easier access to capital, sparring and a strong incubation environment. The fund invests the assets directly in startups - at least 30 over the next six years. Returns from loans and additional contributions in case of acquisitions are reinvested in new startups. In this way, the fund will create a continuous flow of startups for many years to come. Startups get access to an incubation environment at the Technological Institute in Odense. Here they can access sparring and facilities for developing their product and company. In addition, they receive sparring from the foundation's founders, who, based on their deep insight into the industry, act as mentors.",Accelerator,Denmark,https://robotstartupfund.dk/,Robotics,0-€100k,Pre-Seed / Seed,,[email protected],DK
Likeminded,https://www.eu-startups.com/investor/likeminded/,"Likeminded is a venture capital firm founded in 2021 by a team of experienced professionals with diverse backgrounds in entrepreneurship and technology. The team specializes in supporting and investing in tech startups, providing them with the resources and expertise they need to succeed. Since its inception, Likeminded has made successful investments in various sectors and is dedicated to working closely with each company to provide guidance and support as they grow. The team is always looking for new opportunities to invest in and support ambitious startups.",VC Firm,Denmark,https://likeminded.vc/,"Hospitality, Retail, Delivery Services, Fintech, Legal",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/likemindedvc/,[email protected],DK
Nordic Secondary Fund,https://www.eu-startups.com/investor/nordic-secondary-fund/,"Founded in 2018 Nordic Secondary Fund is the first and only fund in the Nordics to exclusively invest in secondaries. The Private Equity “Secondaries” asset class is an attractive alternative investment with high yields and is a source of diversification for investors to mitigate overall risk. Nordic Secondary Fund’s investment focus is exclusively on Nordic and Baltic companies, where the founder and key employees are domiciled. All startups have a proven and scalable business model, locally as well as globally.",VC Firm,Denmark,https://www.n2f.vc/#home-s,"Insurtech, Fintech, Sharing Economy, E-Sports, Wellness, Robotics",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/nordic-secondary-fund/,[email protected],DK
Sunstone Life Science Ventures,https://www.eu-startups.com/investor/sunstone-life-science-ventures/,"Sunstone Life Science Ventures is an independent European venture capital investment firm. Our purpose – and passion – is to seek out, enable and empower the most promising life science therapeutics innovations. We help turn new science into new products, improving outcome for patients. And we help create value for innovators, investors and health care systems around the world.",VC Firm,Denmark,https://sunstone.eu/,Life Sciences,€1.5M-€3M,Series A/B,https://www.linkedin.com/company/sunstone-life-science-ventures/,[email protected],DK
Look Up Ventures,https://www.eu-startups.com/investor/look-up-ventures/,"We back pragmatic and systemic solutions to climate emergency and biodiversity loss. We are founders, operators, and investors who honor fast-scale potential and real-world results. We speak the unpleasant truth in change-resistant arenas to make decision-makers look up and pave the way for our ventures.",VC Firm,Denmark,https://www.lookupventures.com/,"Materials, Energy, Food & Agriculture, Transport, and Carbon Management",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/lookupventures/,[email protected],DK
PSV,https://www.eu-startups.com/investor/preseed-ventures/,"PSV cares about a conscious future. As a venture house, their mission is to clear the path for founders who build companies that matter. Their hybrid setup, comprising PSV Foundry, PSV Lab, and two unique venture funds, PSV Tech and PSV Hafnium, sets them free from adhering to a singular method. Rather they rethink existing ways and models to maximise impact beyond any individual firm or investment.",VC Firm,Denmark,https://psv.xyz/,"DeepTech, Tech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/psv-venturehouse/,[email protected],DK
Kompas VC,https://www.eu-startups.com/investor/kompas-vc-2/,"KOMPAS VC is a specialist early-stage venture capital firm with offices in Amsterdam, Berlin, Copenhagen, and Tel Aviv. We back innovative and scalable technology solutions that reduce emissions, increase productivity, and strengthen business resilience in the built environment an the manufacturing industry. Fund I (€135m) targets late Seed and Series A hardware and technology companies in Europe, Israel and the US. We solve key innovation challenges by partnering closely with industry leaders to identify, validate and scale cutting-edge technology solutions.",VC Firm,Denmark,http://www.kompas.vc,"Built Environment, Climate Tech, Manufacturing",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/kompasvc/,[email protected],DK
KRING,https://www.eu-startups.com/investor/kring/,"We are a venture studio and we are a family of impact funds. We partner with incredible entrepreneurs & corporates to co-create solutions that have a positive impact on society and the planet. We have our own investment fund that enables us to execute fast and focused with co-founders and strategic partners. At KRING we primarily work with: SDG3: Good Health and Well-Being: Ensure healthy lives and promote well-being for all at all ages. SDG7: Affordable and Clean Energy: Ensure access to affordable, reliable, sustainable and modern energy. We prefer to work with startups that operate in B2B2C and/or B2C markets (or has the potential to do so). Namely, we focus on solving real end-user problems, with high level of value-add and consumer demand, either directly or via corporate partnerships. In addition to KRING’s in-house venture building expertise, we are now seeking early-stage startups and idea-stage founders for investment and inclusion in our latest impact fund, KRING Speedbooting 2022. Early-stage startups must have strong synergies with the KRING portfolio, industry focus, mindset and values, along with an ability to adapt our proven venture-building methodology Stage Focus: We primarily invest in Pre-seed rounds, but will occasionally consider Seed rounds if the match is right. Namely, we believe this spectrum is where we can create the strongest synergies and mutual value creation. Geography: We only invest in ideas and startups based in Denmark Current Ownership and Cap Table: We look for startups with a clean cap table. We want to be “co-founders” alongside the existing Founders. You must be willing to accept an ownership for KRING Speedbooting 2022 of 25% – 50% depending on stage and valuation.",VC Firm,Denmark,https://kring.com/early-stage,"SDG3 (Good Health and Well-Being), SDG7 (Affordable and Clean Energy)",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/kringimpact,[email protected],DK
