name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Thorgate Ventures,https://www.eu-startups.com/investor/thorgate-ventures/,"We are the seed stage venture capital arm of Thorgate, doing up to four hands-on investments per year, mostly into scalable B2B solutions.",VC Firm,Estonia,https://thorgateventures.com/#about-us,"B2B, Technology, Fintech, Energy, Real Estate",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/thorgateventures/,[email protected],EE
The Better Fund,https://www.eu-startups.com/investor/the-better-fund/,"ESG-focused fund, helping female-founders and gender-balanced teams in the BaltiNordics get access to capital to scale world-changing ideas",VC Firm,Estonia,https://thebetterfund.co/,"Emerging Technologies Data & Platforms Digital Transformation, Health Tech Mental Health Sports & Fitness, Cleantech Greentech Sustainable Energy, Digital Learning ICT in Education Learning Technology",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/the-better-fund/,[email protected],EE
Metaplanet,https://www.eu-startups.com/investor/metaplanet/,Metaplanet is an early-stage investment firm making long-term bets on contrarians and leveraging the knowledge and network across sectors. We back mission-driven founders working on positively disruptive deep technologies.,VC Firm,Estonia,https://metaplanet.com/,"AI, Biotech, Crypto, Healthcare, Transportation,",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/metaplanet/,[email protected],EE
Trind VC,https://www.eu-startups.com/investor/trind-vc/,"55m Estonian VC fund, investing in early-stage European software startups with Consumer and Community components, including marketplaces, Consumer Tech and B2B companies with short sales cycles. Currently investing out of Fund II, launched in 2022. Investing in pre-seed, seed and early series A startups, with ticket size between 100k-1meur and follow-on capacity of up to 5meur. Investment team of 8 people with offices in Estonia, Finland and Germany.",VC Firm,Estonia,https://trind.vc/,"Marketplaces, Consumer Tech, B2B",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/trind-ventures/,[email protected],EE
Breakaway Partners,https://www.eu-startups.com/investor/breakaway-partners/,Cross Ocean Ventures is the premier early-stage investor for ambitious high-growth technology companies that got their start in Europe and Israel. - That now plan to launch or expand their footprint in the US market. - And are currently on a feasible growth path to receive US Venture Capital led Series-A funding within the next 12-24 months.,VC Firm,Estonia,https://www.breakaway.partners,"Artificial Intelligence (AI), Employment, Health Care, Health Diagnostics, Machine Learning, Medical, PaaS, SaaS, Software",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/breakaway-partners-ou,[email protected],EE
Honey Badger Capital,https://www.eu-startups.com/investor/honey-badger-capital/,We invest between 50k€-150k€ to startups along with access to our extensive network and know-how. We work together with an extended group of Pipedrive Angels who have the option to also join the investments we make which can bring the total amount invested up.,VC Firm,Estonia,https://badger.ee/,"cleantech, greentech, SaaS, B2B software, sustainability",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/in/helerypops/,[email protected],EE
Spring Capital,https://www.eu-startups.com/investor/spring-capital-2/,Spring Capital is a venture capital firm that operates two distinct funds: Seed and Growth. Our mission is to invest in exceptional early-stage companies in the Nordics & CEE+ and help them realize their full potential.,VC Firm,Estonia,http://springcapital.ee/,"deeptech, gaming, HRTech, edtech, sales tech, industry agnostic",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/spring-cap,[email protected],EE
Virtue Capital Fund,https://www.eu-startups.com/investor/virtue-capital-fund/,"Virtue Ventures is a distinguished limited partnership fund registered in Estonia with a mission to create value for our investors by strategically investing in the rapidly growing fintech sector. Our primary focus lies with Quanloop, an innovative group of fintech companies operating in Estonia and Lithuania. By supporting Quanloop's vision, we contribute to the advancement of financial technology, enabling more efficient and accessible financial solutions for businesses and individuals across Europe.",VC Firm,Estonia,http://www.virtue.ee,"fintech, banking, payments",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/virtue-capital-fund,[email protected],EE
Siena Secondary Fund,https://www.eu-startups.com/investor/siena-capital/,"Siena Secondary Fund provides liquidity for early investors, founders and employees of high growth startups from the Nordics & CEE region. We target companies which are usually post series A, have solid business model and are still in high growth phase.",VC Firm,Estonia,http://www.siena.ee/,"Siena Secondary Fund provides liquidity for early investors, founders and employees of high growth startups from the Nordics & CEE region. We target companies which are usually post series A, have solid business model and are still in high growth phase.",€1.5M-€3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/siena-secondary-fund/,[email protected],EE
TLG Ventures,https://www.eu-startups.com/investor/tlg-ventures/,"Project Investments: As strategic investors in early stage blockchain projects, we invest between $100,000 to $5,000,000 dollars in startups that meet our criteria prior to ICO. Project Stewardship: In addition to project capital, we offer our expertise and advice to startups, and help guide them through the pitfalls of early stage growth. Project Promotions: As part of our commitment to projects we choose to back, TLG embarks on a promotional campaign for each startup prior to ICO. TLG Ventures has broad access to social media personalities and influencers that are able to leverage their platforms and bring positive media awareness to each project.",VC Firm,Estonia,https://tlg.ventures/,"Blockchain, Cryptocurrency, Financial Services",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/tlg-ventures,[email protected],EE
