name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Club GLOBALS,https://www.eu-startups.com/investor/club-globals/,"Club GLOBALS is a growth acceleration platform headquartered in Barcelona, originally founded in Berlin in 2012. Unlike traditional accelerators, there are no fixed cohorts or endless mentorship sessions—we save you time (and coffee) by understanding your needs and connecting you directly with the right partners, institutions, and customers to grow your business fast. Through high-impact networking, strategic collaborations, and visibility at top tech conferences, Club GLOBALS helps founders scale across borders. Our flagship initiatives—GLOBALS Tech Festival and GLOBALS On Tour—bring together CxOs, innovators, and ecosystem builders across Europe and beyond. With a proven track record of enabling growth, Club GLOBALS is where ready-to-scale tech companies find the connections and visibility they need to grow.",Accelerator,Spain,http://www.clubglobals.com/startups,Agnostic,€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",http://www.linkedin.com/in/clubglobals,[email protected],ES
Prosegur Tech Ventures,https://www.eu-startups.com/investor/prosegur-tech-ventures/,"Prosegur Tech Ventures is the corporate venture capital arm of Prosegur. Prosegur Tech Ventures’ investments do not have any geographical limitation and, though flexible when analysing each investment, the ticket ranges from a minimum investment of 300 thousand euros to a maximum of 3 million euros. To date, investments have been made into two Israeli cybersecurity companies, one operating under the “command & control” platform and the other applying cognitive computing techniques with a special focus on GDPR (General Data Protection Regulation). In addition, Prosegur Tech Ventures has invested in a Brazilian FinTech specialized in the reconciliation of retail collections and capable of processing more than 18 million transactions per month. A Spanish AdTech (technology applied to marketing) specialist, through the incorporation of artificial intelligence, in the optimization of leads for the generation of sales (L2RM). And finally, a German company that develops augmented reality-based solutions in industrial applications.",Corporate VC,Spain,https://www.prosegur.com/en/media/article/press/NP_TECHVENTURES,"Cybersecurity, Fintech, AI, Salestech, Adtech, AR, VR",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/prosegur/,[email protected],ES
Inveready,https://www.eu-startups.com/investor/inveready/,"Convertible Tech Notes I seeks to consolidate a new investment category within the asset manager after years of experience in convertible notes through other vehicles of the firm, in which €200M+ has been invested in more than 100 operations through this product. It will invest between €1.5M to €3.5M in 15-20 technology companies both in Spain and the rest of Europe, being agnostic in terms of sector, but with a clear focus on technological models with traction and recurring character in the areas of Health, Cybersecurity, Financial Control, Telecommunications, Data & Analytics, Industrial, Artificial Intelligence or similar. The investment strategy is materialized through convertible instruments for companies in the expansion phase, with signs of maturity and high growth capacity.",VC Firm,Spain,https://inveready.com/,"Health, Cybersecurity, Financial Control, Telecommunications, Data & Analytics, Industrial, Artificial Intelligence",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/inveready/,[email protected],ES
Mutua Ventures,https://www.eu-startups.com/investor/mutua-ventures/,"Mutua Ventures is a corporate venture arm of Mutua Madrileña. Through this fund, the insurer channels direct investments into startups that have a strategic fit and reinforce the diversification and growth of the group. The insurer makes direct investments both in seed capital (newly created companies or early investments in business ideas) and in more advanced phases (capital rounds that allow start-ups to grow and continue developing their business ideas). In addition to the 30 million euros that the project will have, the vehicle includes investments in companies such as Movo, Singular Cover, Ubikare and Antai that the company has made to date. There are no plans to allow third-party investors into this fund.",Corporate VC,Spain,https://mutuaventures.es/,"Mobility, Savings & Investments, Health, Home",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/mutua-madrilena/,[email protected],ES
The Valley Venture Capital,https://www.eu-startups.com/investor/the-valley-venture-capital/,"The Valley Venture Capital is a CNMV-regulated asset manager focused on private investors, family offices and corporations that want to leverage the experience of the management team and the assets of The Valley's ecosystem. In addition to profitability, we also seek to ensure that The Valley has a positive impact on the people and large corporations that trust us. The Valley Venture Capital is a management team with more than 10 years of experience in venture capital and risk capital that has the advice of a committee of top-notch experts and makes all of The Valley's intelligence and knowledge available to entrepreneurs.",VC Firm,Spain,https://www.thevalleyventurecapital.com/,"Technology, SaaS, B2B",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/the-valley-venture-capital/,[email protected],ES
Creas,https://www.eu-startups.com/investor/creas-2/,"Creas is a VC with €30M under management. They integrate capital, purpose and talent and put them at the service of companies that solve major social and environmental challenges. So far they have 20 investments and 6 divestments. They are looking for companies at late/growth stage and invest between €1M and €3M per investment. Startups should be based in Spain and in the EU.",VC Firm,Spain,https://creas.es/en/,"Impact, Sustainability, Climate",Above €3M,Series A/B,https://www.linkedin.com/company/creas-impacto/about/,[email protected],ES
Cardumen Capital,https://www.eu-startups.com/investor/cardumen-capital/,"Cardumen Capital is a global venture capital firm and asset management company with presence in Europe and Israel that invests in world-class founders who bring the future into the present. With €250M in Assets Under Management, Cardumen Capital’s extensive portfolio encompasses tech companies and fund investments across three different strategies, with global coverage. Cardumen Capital strives to be the most active investor for both entrepreneurs and investors. Its portfolio benefits from decades of experience in the world’s most important tech ecosystems, a culture of radical collaboration and absolute availability. Cardumen Capital is backed by world-leading institutional investors and corporations. Cardumen Capital supports world-class entrepreneurs to reach their potential by proactively providing services, connections and capital. Our portfolio benefits from 14 years of experience in this business, a culture of radical collaboration and the availability of our team 24/7. We invest in companies that work to bring the future into the present, investing in people developing the technologies that drive the evolution of society and business.",VC Firm,Spain,https://www.cardumencapital.com/,"Cybersecurity, Big Data, Ai, Agritech, Foodtech, Circular Economy",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/cardumencapital/,[email protected],ES
Athos Capital,https://www.eu-startups.com/investor/athos-capital/,Athos Capital is a venture capital fund investing in early stage digital ventures with global ambitions.,VC Firm,Spain,https://www.athos-cap.com/,"SaaS, Deep Tech, AI",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/athos-capital-sgeic-sa/,[email protected],ES
HWK Techinvestment,https://www.eu-startups.com/investor/hwk-techinvestment/,"Seed/Series A VC fund investing tech companies, specifically those with a B2B software models. We have five verticals of interest: 1. Cybersecurity 2. AI/ML 3. Digital advertising 4. Fintech 5. Semiconductors and customer experience",VC Firm,Spain,https://www.ipw.es,Cybersecurity Software Artificial Intelligence Fintech Technology,€1.5M-€3M,Series A/B,,[email protected],ES
Fierce Capital,https://www.eu-startups.com/investor/fierce-capital/,"Fierce Capital is developing and investing in early-stage startups, including female-focused businesses. Fierce Capital is a European leading real estate investment, asset management, and development firm handling over 250,000 sqm of business, retail, logistics, and residential buildings. The company's focus on ESG principles and long-term capital.",Corporate VC,Spain,https://www.fircecapital.com/,"Venture Capital, Real Estate, Investment, Development, Retail",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://linkedin.com/company/fircecapital,[email protected],ES
