name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
FOV Ventures,https://www.eu-startups.com/investor/fov-ventures-2/,"FOV Ventures invests in early-stage companies across Spatial Computing, AI, 3D, and Robotics, backing ambitious founders shaping the future of these industries.",VC Firm,Finland,https://www.fov.ventures/,"Spatial Computing, 3D, AI, Robotics",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/fov-ventures/,[email protected],FI
Equilibrium Ventures,https://www.eu-startups.com/investor/equilibrium-ventures/,"Equilibrium Ventures (EQV) is a venture capital firm backed by the Equilibrium Group, a world-class, blockchain-native organization of 80+ senior blockchain engineers across 25+ countries. EQV invests in early-stage blockchain infrastructure, including scaling technologies & real-world bridges that will drive web3 to the mainstream. EQV has launched its debut investment fund, Equilibrium Ventures Fund I.",VC Firm,Finland,https://www.eqv.co/,"Web3, Blockchain, Crypto",€100k-€1.5M,Pre-Seed / Seed,,[email protected],FI
Kvanted Ventures,https://www.eu-startups.com/investor/kvanted-ventures/,"Kvanted is an early-stage venture capital fund investing in Northern European companies with industry-changing software and hardware solutions. Our investment philosophy is rooted in accelerating industrial decarbonization and digital transformation, driven by powerful tailwinds from increased demand for industrial automation, sustainability, and supply chain resilience. As the next Industrial Revolution introduces new growth possibilities through groundbreaking technologies, we recognize the innovation potential of traditional European industries.",VC Firm,Finland,https://www.kvanted.com/,"industrial robotics, AI, autonomous systems and IoT solutions, circularity solutions, biomaterials, sustainable construction materials, energy efficiency solutions, data processing, sensing technology, logistics, procurement and marketplace solutions",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/kvanted/,[email protected],FI
Stephen Industries,https://www.eu-startups.com/investor/stephen-industries/,"We specialize in driving long-term growth for companies with high potential. As your partner, we offer flexible funding solutions together with strategic and operational advice and hands-on expertise on creating a global success story. We invest in start-ups and scale-ups operating in Finland and Europe. Our focus is on promising and innovative companies operating on three main verticals: Healthtech, Greentech, and Deeptech. We also invest outside these three – in short, the better the impact of your company or a technology is on the world, the better it fits our investment portfolio and the more we can help it on your journey towards long-term growth.",VC Firm,Finland,https://www.stephenindustries.com/,"HealthTech, DeepTech, GreenTech",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/stephen-industries/,[email protected],FI
Sisu Ventures,https://www.eu-startups.com/investor/sisu-ventures/,"Sisu Game Ventures is an exclusive advisory and investment company focused 100% on games. It was setup in 2014 by Paul Bragiel, Moaffak Ahmed and Samuli Syvähuoko and it focuses on the best gaming companies in the Nordic region and beyond.",VC Firm,Finland,https://sisu.vc/,"Mobile Games, Other Games, Tech",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/sisu-game-ventures/,[email protected],FI
NordicNinja,https://www.eu-startups.com/investor/nordicninja/,"The largest Japanese VC in Europe backing companies tackling the world’s carbon footprint with a focus on climate tech, deeptech, and digital society. We are a team of founders and operators focusing on problem areas the world has to solve - from transportation to healthcare to a wide array of digital infrastructure – to decrease the vast carbon footprint. We serve founders with ambitious mission - investing in the future we want to live in. From its first €101 million Fund I launched in 2019, NordicNinja has made tens of investments, three of which have achieved unicorn status, with a handful showing similar potential. The portfolio includes companies that transformed industries including Bolt, Einride, Veriff, Voi, Starship, ClimateView, Kognic, Mavenoid, Pactum, Varjo, DappRadar and Ready Player Me. Half of the first fund’s investments are in mobility and transportation – an area with a massive carbon footprint, as well as inefficiency and poor user experience.",VC Firm,Finland,https://nordicninja.com/fund/,"Deep tech, Sustainability, Digital Society",Above €3M,Series A/B,https://www.linkedin.com/company/nordicninja-vc/,[email protected],FI
FOV Ventures,https://www.eu-startups.com/investor/fov-ventures/,"We invest at pre-seed and seed stage in founders building the Metaverse. FOV Ventures is the go-to fund in Europe for ambitious founders building a startup for the next era of compute. One that is more intelligent, more spatial and more human. We believe this is the next wave of billion dollar companies and have the expertise, conviction and global networks to find and support them from day zero.",VC Firm,Finland,https://www.fov.ventures/,"Metaverse, AR, AI, Creator Economy, E-Sports, Multiplayer",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/fov-ventures/?originalSubdomain=fi,[email protected],FI
VNT Management,https://www.eu-startups.com/investor/vnt-management-2/,"VNT Management, established in 2002, is a Finnish fund manager for three private equity funds. Funds and their sizes are Power Fund I, 16,9 million euros, Power Fund II, 62,8 million euros and Power Fund III, 77,0 million euros, totally 157 million euros. VNT funds focus on clean technology, in particular on renewable and distributed power generation and energy-saving technologies in electrical and power electronics applications. The funds invest in European early and growth phase companies. VNTM is a member of Finnish Venture Capital Association and complies with guidelines set to promote transparency in private equity and in venture capital industries. VNTM is under supervision of Finnish Financial Supervisory Authority and is registered in their AIFM register in 2015.",VC Firm,Finland,http://www.vntm.com,"Angel Investment, Finance, Financial Services, FinTech, Renewable Energy, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/276555,[email protected],FI
Metsa Spring,https://www.eu-startups.com/investor/metsa-spring-2/,"Metsä Group has its roots in the Finnish forests: our parent company Metsäliitto Cooperative is owned by over 90,000 forest owners. We use wood to make recyclable products for the day-to-day lives of millions of people globally. We focus on wood supply and forest services, wood products, pulp, paperboards, and tissue and greaseproof papers. We are committed to the principles of regenerative forestry to measurably strengthen the state of forest nature. We promote a culture of diversity, equality and inclusion. In 2023 our sales totaled EUR 6.1 billion, and we have around 9,500 employees.",VC Firm,Finland,https://www.metsaspring.com/,"Advanced Materials, Biomass Energy, Biotechnology, Building Material, Business Development, Finance, Financial Services, Forestry",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/metsaspring/,[email protected],FI
Vertical.vc,https://www.eu-startups.com/investor/vertical-vc-2/,"We stimulate growth through collaborative, strategic and transactional services. Our key expertise are: Market Intelligence, Transaction Advisory, Service Design, Innovation Strategy, Collaboration Projects and venture Building. In the early days of Vertical, we supported startups to become the best versions of themselves. We were great at what we did, yet along the way we noticed the changing needs of the market, and realised we could offer something even better. We adapted and grew into a new space, to focus on strategic development and using collaboration as a tool. When it comes to growth, strategy and collaboration, we don't just talk the talk: we walk the walk too.",Accelerator,Finland,http://www.vertical.vc/,"Artificial Intelligence (AI), Health Care, Industrial, Sports, Wellness",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/verticalvc/,[email protected],FI
Metsa Spring,https://www.eu-startups.com/investor/metsa-spring/,"Metsä Group has its roots in the Finnish forests: our parent company Metsäliitto Cooperative is owned by over 90,000 forest owners. We use wood to make recyclable products for the day-to-day lives of millions of people globally. We focus on wood supply and forest services, wood products, pulp, paperboards, and tissue and greaseproof papers. We are committed to the principles of regenerative forestry to measurably strengthen the state of forest nature. We promote a culture of diversity, equality and inclusion. In 2023 our sales totaled EUR 6.1 billion, and we have around 9,500 employees.",VC Firm,Finland,https://www.metsaspring.com/,"Advanced Materials, Biomass Energy, Biotechnology, Building Material, Business Development, Finance, Financial Services, Forestry",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/metsaspring/,[email protected],FI
VNT Management,https://www.eu-startups.com/investor/vnt-management/,"VNT Management, established in 2002, is a Finnish fund manager for three private equity funds. Funds and their sizes are Power Fund I, 16,9 million euros, Power Fund II, 62,8 million euros and Power Fund III, 77,0 million euros, totally 157 million euros. VNT funds focus on clean technology, in particular on renewable and distributed power generation and energy-saving technologies in electrical and power electronics applications. The funds invest in European early and growth phase companies. VNTM is a member of Finnish Venture Capital Association and complies with guidelines set to promote transparency in private equity and in venture capital industries. VNTM is under supervision of Finnish Financial Supervisory Authority and is registered in their AIFM register in 2015.",VC Firm,Finland,http://www.vntm.com,"Angel Investment, Finance, Financial Services, FinTech, Renewable Energy, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/276555,[email protected],FI
Grid.vc,https://www.eu-startups.com/investor/grid-vc/,Grid.vc is an early-stage venture capital company that focuses on new and emerging start-up and growth enterprises working with the energy sector and its customer interfaces. Grid.vc has access to electricity and power grids as well as power plants. We have possibility to offer pilot projects to startups and give industry insight with decades of energy sector expertise.,VC Firm,Finland,https://grid.vc/,"energy, clean tech, SaaS, infrastructure, and technology",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/grid-vc-oy/,[email protected],FI
Trifecta Retail Ventures,https://www.eu-startups.com/investor/trifecta-retail-ventures-2/,"Trifecta is a group of independent businesses. The businesses are: DealDash, an inventory liquidation specialist founded in 2008 - the world's largest auction site; Galton Voysey, a private equity firm focused on e-commerce businesses with one thing in common - being customer obsessed; Sterling Pacific, a manufacturer of full aluminum travel cases acquired in 2019 and fail ventures, our in-house venture studio.",VC Firm,Finland,http://Trifecta.vc,"gaming, manufacturing, jewelry",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/trifecta-retail-ventures,[email protected],FI
Trifecta Retail Ventures,https://www.eu-startups.com/investor/trifecta-retail-ventures/,"Trifecta is a group of independent businesses. The businesses are: DealDash, an inventory liquidation specialist founded in 2008 - the world's largest auction site; Galton Voysey, a private equity firm focused on e-commerce businesses with one thing in common - being customer obsessed; Sterling Pacific, a manufacturer of full aluminum travel cases acquired in 2019 and fail ventures, our in-house venture studio.",VC Firm,Finland,http://Trifecta.vc,"gaming, manufacturing, jewelry",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/trifecta-retail-ventures,[email protected],FI
Greencode Ventures,https://www.eu-startups.com/investor/greencode-ventures/,Greencode Ventures is a digital-first green transition venture capital firm supporting startups that have a positive environmental and social impact while building scalable profitable businesses. We focus on sustainable investments as in article 9 of Regulation (EU) 2019/2088 on sustainability-related disclosures in the financial sector (‘SFDR’). We focus on companies whose products or services inherently contribute towards our sustainable investment objective.,VC Firm,Finland,https://greencode.vc,"clean energy, information technology, clean technology, climate technology, infrastructure, micro-mobility & mobility technology",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/greencode-ventures,[email protected],FI
