name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Preminent Investments,https://www.eu-startups.com/investor/preminent-investments/,"Preminent Investments is am invetsment company that offers strategic planning, operations optimization, and ESG commitment to its partners. It aims to support businesses with potential.",VC Firm,France,http://preminentinvestments.com/,"Real estate, Hospitaliaty, Tech,",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/preminent-investments/,[email protected],FR
Varsity VC,https://www.eu-startups.com/investor/varsity-vc/,"The fund is primarily supported by institutional investors, including public bank Bpifrance and insurance companies MACSF, Sogécap, and Crédit Agricole Assurances. Varsity has collaborated with asset management firm Elevation Capital Partners to establish a feeder fund that will contribute to the VC's second closing.",VC Firm,France,https://www.varsity.vc/,"fintech, healthtech, climate tech and enterprise software",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/varsityvc/about/,[email protected],FR
Scientipole Capital,https://www.eu-startups.com/investor/scientipole-capital/,"Scientipole Ile-de-France Capital is a French venture capital firm specialized in funding seed stage companies. Scientipôle Capital invests in the innovative tech-based startups, at early stage. Team keeps a close relationship during the entire investment period to help entrepreneurs to succeed in all areas of management Scientipôle Capital is focused on innovative technologies developed in the Paris-Saclay area: • Solutions for the industry 4.0 : digital technologies, industrial technologies • Green tech applications to support energy and ecological transitions - smart grid, smart city • Health / medtech (except drugs) ...",VC Firm,France,https://scientipolecapital.fr/en/home-2/,"Industry 4.0: digital technologies, industrial technologies, green tech applications to support energy and ecological transitions - smart grid, smart city, health / medtech (except drugs)",€100k-€1.5M,,https://www.linkedin.com/company/scientipole-capital/,[email protected],FR
ADP Invest,https://www.eu-startups.com/investor/adp-invest/,"ADP Invest is the Corporate Venture Capital (""CVC"") fund of the Groupe ADP. It invests in start-ups and venture capital funds in line with the company's strategic priorities : Passenger Experience, Airport Operations & Infrastructure, Future of Work and Decarbonization. We focus on financing companies that have already experimented with the Groupe ADP, based on needs expressed by the company's various business divisions. Each investment is sponsored by one of these departments, and their representatives sit on our investment committee.",Corporate VC,France,https://www.parisaeroport.fr/en/group/strategy/innovation/invest,"Passenger Experience, Airport Operations & Infrastructure, Future of Work and Decarbonization",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/groupe-adp/,[email protected],FR
The Faktory Fund,https://www.eu-startups.com/investor/the-faktory-fund/,"The Faktory Fund is a private tech venture capital seed fund founded by Pierre L’Hoest, the Belgian entrepreneur renowned for starting EVS Broadcast Equipment, an international TV slow motion technology and co-funded by Simon Alexandre (Former CETIC CEO). The fund has invested now in 16 tech companies . Our companies offer products and services to international niche markets in the areas of high-technology, SaaS and IoT products. Our team and mentors come from all walks of life with professional experience in different countries. Furthermore, we partner with Boldstart Ventures, based in NYC (SNYK, BigID, SecurityScorecard, Front...) Based on efficient approaches like the Lean Startup and Business Model Canvas, we help startups grow with customer-centric development and business strategy.",VC Firm,France,https://www.thefaktory.com/,"SaaS, Logistics, AI",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/the-faktory---company-belinvest-s-a/?isFollowingPage=true,[email protected],FR
Xplore by Épopée Gestion,https://www.eu-startups.com/investor/xplore-by-epopee-gestion/,"Co-founded by Ronan Le Moal and Charles Cabillic in September 2020, Épopée Gestion is located in Brest, Nantes, Bordeaux and Paris and aims to reinvest in the Atlantic Arc territories by supporting companies in financing and operational support. Épopée Gestion operates in four areas: innovation capital, development capital, sustainable real estate and low-carbon infrastructure. Xplore inherits all the expertise of the West Web Valley accelerator created in 2012 at the initiative of Charles Cabillic, Ronan Le Moal and Sébastien Le Corfec to support and accelerate digital startups in Brittany, in particular via the West Web Valley 1 investment fund created in 2015. When it was created, Épopée Gestion took over the management of the West Web Valley 1 fund in 2020 and launched a second capital innovation fund in 2021, Épopée West Web Valley II, which brings the total investment capacity to 80 million euros solely for innovation in startups. These two funds are now renamed Xplore I and Xplore II.",VC Firm,France,https://www.xplore.vc/,"fintech, insurtech, agritech, agri-food, distribution, logistics, health, aeronautics, sea and real estate",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/xplorevc/about/,[email protected],FR
L’Oreal Bold Ventures,https://www.eu-startups.com/investor/loreal-bold-ventures/,"BOLD is the strategic venture capital fund of L'Oréal. We invest in brands, technology, and biotech & green science that are redefining the frontier of beauty.",Corporate VC,France,https://www.lorealboldventures.com/,"brands, technology, and biotech & green science",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/lorealbold/,[email protected],FR
5M Ventures,https://www.eu-startups.com/investor/5m-ventures/,"5M is a startup accelerator with three verticals: -investing in BtoC startups through two vehicles: a Cash Fund for Consumer Goods (DNVBs or Physical distribution) and Media for Equity (financing of offline marketing campaigns); -Fundraising BtoB companies through a unique network of French and European BAs, family offices and Vcs; we organise 5 times a year fundraising evening where we present 5 carefully selected startups to around 100 investors. -Advising startups and corporates in organisation, marketing and innovation.",Accelerator,France,https://www.5m-ventures.com/?lang=en,"Consumer Goods, B2C, B2B",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/5m-ventures/,[email protected],FR
Sia Partners,https://www.eu-startups.com/investor/sia-partners/,"Studio is constantly looking for B2B startups with founders who are obsessed with the success of their business and build real, disruptive technologies. Studio is dedicated to startups from Seed to Series A in France: with a strong ambition for French and international development with the ambition and capacity to address key accounts with the ability to create synergies with consulting professions (strategy consulting, management, data science consulting, project support, digital projects, communications agency etc).",VC Firm,France,https://www.sia-partners.com/en/about-us/studio,"B2B, tech, SaaS",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/sia-partners/,[email protected],FR
Cuir Invest,https://www.eu-startups.com/investor/cuir-invest/,"Provide finance to support the growth of young, innovative businesses in the Leather sector The Leather industry, thanks to the production of leather goods and footwear in particular, has long contributed to France’s reputation around the world, the embodiment of France’s finest products. But it is not only a question of image, powerfully driven by the leading luxury houses; the French leather sector is also an important economic force. It consists of 9 400 companies, generates 25 billion euros of turnover and has nearly 130 000 employees. More than ever, the automation generated by technology, the digital transformation, customization, environmental sustainability, the principle of transparency and the circular economy of models, plus marketing and communication are major agents for change. It is with this in mind, to dynamize the sector and prepare it for tomorrow’s big challenges, that CUIR INVEST wishes to offer financial support to the visionary entrepreneurs that are shaping the future. CUIR INVEST is an investment fund created to offer long-term support to the most promising young innovative businesses in the sector, while respecting the values that drive us.",VC Firm,France,https://cuir-invest.com/,"Leather, Textile, Circular Economy, Marketplaces, IoT, Logistics, Blockchain, Sustainability",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/cuir-invest/about/,[email protected],FR
Sistafund,https://www.eu-startups.com/investor/sistafund/,"We are a new generation of venture capital funders backing exceptional female founders and gender-balanced teams. SISTAFUND is a pan-European VC fund backing female founders and gender-balanced teams, building companies that challenge the status quo. With a target of €100 million, SISTAFUND will be deployed from pre-seed to Series A, mainly in France and Europe, with some investments in the U.S. SISTAFUND’s ambition is twofold: Drive the performance of backed companies, since start-ups founded or co-founded by women are 2.5 times more profitable investments than others (BCG study, 2018). Accelerate a new generation of diversified leaders, by supporting start-ups with at least one female co-founder",VC Firm,France,https://sistafund.com/,"Fintech, Healthtech, Frontier tech, Sustainability",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/sistafund/,[email protected],FR
New Wave,https://www.eu-startups.com/investor/new-wave/,"We lead ambitious seed rounds. New Wave is a seed only fund, whose purpose is to back the next generation of successful European founders. New Wave was co-founded by two early-stage investors Pia d'Iribarne (ex-Accel, Stride) and Jean de La Rochebrochard (Kima), and is backed by a group of iconic founders (Free, Zenly, Voodoo, Sorare) and GPs from the best later-stage funds(Coatue, Benchmark, DST, Insight Partners).",VC Firm,France,https://www.newwave.vc/,"Social Media, Adtech, AI, Gaming, DevOps, LLM",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/new-wave-vc/,[email protected],FR
GVentures,https://www.eu-startups.com/investor/gventures/,France's 1st Student VC. We back France's most ambitious students and graduates. Our Founders get up to 200k euros in funding. (equity + non dillutive),VC Firm,France,https://www.gventures.co/about,Sector Agnostic,€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/gventures-the-student-vc/,[email protected],FR
ID4 Ventures,https://www.eu-startups.com/investor/id4-ventures-2/,"We finance and mentor young talented entrepreneurs in Europe. We bring our experience, energy and vision. It’s mutually beneficial. We invest our time, expertise and money in exchange for equity with the objective to explode growth and sell the companies for far more than the current worth",VC Firm,France,https://www.id4.vc/,"Marketplaces, Enterprise Tech, Creator Economy, HRtech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/id4ventures/,[email protected],FR
EuraTechnologies,https://www.eu-startups.com/investor/euratechnologies/,"EuraTechnologies, The Financial Times' number 1 startup/tech hub in France, and top 30 in Europe, stands as one of the largest startup incubators on the continent. Annually, we serve hundreds of startups and enterprises, generating thousands of jobs and facilitating fundraising efforts that have surpassed half a billion Euros for our startups! STARTUP PROGRAMS We have developed 2 programs tailored to the needs of entrepreneurs: - The incubation program to turn ideas into businesses - The acceleration program for startups looking to grow in France, internationally, and considering fundraising Every year, EuraTechnologies supports over 200 startups across 5 sites, each focusing on specialized verticals: - Lille Leblan-Lafont: FinTech, InsurTech, EdTech/RHTech - Roubaix (Blanchemaille): RetailTech, PropTech, Mobility - Lille Wenov (Le Campus Cyber Hauts-de-France Lille Métropole): Cybersecurity - Willems: Agtech/Greentech - Saint-Quentin: Robotics, Industry, Spacetech CORPORATE PROGRAMS Our corporate programs assist large corporations and SMEs in their digital transformation and cybersecurity challenges, including: - Collaborations between startups and companies during Learning Expeditions or hackathons. - Continuous training programs such as the 'Innovation & Entrepreneurship' program in partnership with Stanford University or AI for businesses in partnership with the Catholic University of Lille. OFFICES & COWORKING EuraTechnologies offers coworking spaces and private offices to create shared environments where entrepreneurs can connect and engage with our dynamic and innovative ecosystem. EuraTechnologies is also an ideal venue for organizing and participating in business and tech events.",Accelerator,France,https://www.euratechnologies.com/en,"FinTech, InsurTech, EdTech/RHTech, RetailTech, PropTech, Mobility, Cybersecurity, Agtech/Greentech, Robotics, Industry, Spacetech",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/euratechnologies/,[email protected],FR
