name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
GrayBella Capital,https://www.eu-startups.com/investor/graybella-capital/,"GrayBella Capital (GBC) is a pan-European VC Fund based in London. GBC specializes in high-growth deep-tech and health-tech companies across the UK and Europe. We invest at Series A and beyond, backing transformative innovations in AI, material science, robotics, medical devices, digital health, AI, diagnostics, and healthcare platforms. We only invest in B2B. We do not invest in consumer tech or therapeutics. We typically serve as a Lead or co-Lead.",VC Firm,United Kingdom,https://graybellacapital.com/,"Deep-tech, Health-tech",€1.5M-€3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/graybella-capital,[email protected],GB
Clearance Venture Partners,https://www.eu-startups.com/investor/clearance-venture-partners/,"Clearance Venture Partners is the venture investment arm of Clearance Capital, an investment fund based in London with over 15 years of experience investing in listed real estate. Built World focused UK & Europe Pre-seed and seed stages Typically investing £100k - £300k (with room to go up to £1m if needed) Happy to lead or co-lead deals where appropriate",VC Firm,United Kingdom,https://www.clearancevp.com/,"Proptech, Contech, Climate",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/clearance-venture-partners/,[email protected],GB
Beringea,https://www.eu-startups.com/investor/beringea/,"Beringea is a transatlantic venture capital investor that seeks to create lasting success for rapidly scaling entrepreneurial companies. We provide patient and intelligent capital and a global footprint to back entrepreneurs throughout their journey. For U.K. and European entrepreneurs: We'll typically make an initial investment between £1-10 million into companies turning over approximately £1 million or more. We tend to lead Series A or Series B rounds, with further funding available for follow-on investments.",VC Firm,United Kingdom,https://www.beringea.com/,"Advanced Manufacturing, B2B Marketplaces, Clean Technology, Consumer, Healthcare, Media, SaaS",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/beringea-limited/,[email protected],GB
Kohli Ventures,https://www.eu-startups.com/investor/kohli-ventures/,"We back growth-stage ventures in verticals including esports, e-commerce, biotech, artificial intelligence, robotics and technology hardware. We also make private market investments into companies with a clear path toward an imminent IPO.",VC Firm,United Kingdom,https://kohliventures.com/about/,"E-sports, E-commerce, Biotech, AI, Hardware, Robotics",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/kohli-ventures/,[email protected],GB
Crista Galli Ventures,https://www.eu-startups.com/investor/crista-galli-ventures/,"The healthtech arm of IPQ Capital, the Family Office of Fryland Møller Pathiraja family. We invest in ambitious European healthtech companies at Seed and Series A. Our deep medical expertise, powerful network and agile approach enable founders to build important, world-class healthcare businesses.",VC Firm,United Kingdom,https://www.cristagalli.com/,"Healthtech, Deeptech, Digital Health, Personalized Healthcare",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/crista-galli-ventures/about/,[email protected],GB
Creator Ventures,https://www.eu-startups.com/investor/creator-ventures/,"In March 2022 we closed our first $20m fund, to invest globally in early-stage companies innovating in consumer-internet.",VC Firm,United Kingdom,https://www.creator.ventures/,"Consumer Social, Marketplaces, Creator Economy, E-commerce Enablement",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/creatorventuresofficial/,[email protected],GB
SHEIN Circularity Fund,https://www.eu-startups.com/investor/shein-circularity-fund/,"The flagship initiative of the investment programmme will be the Circularity Fund, to which SHEIN will provide the launch capitalisation of €200 million. Building on SHEIN’s existing programs to advance R&D and innovation in circularity for the fashion industry, the Fund will support start-ups and businesses throughout Europe and the UK that are developing next-generation technologies and solutions by: Investing in early-stage start-ups working on textile-to-textile recycled materials innovation and related areas. Entering into offtake agreements or other commercial partnerships with more mature start-ups with existing production capacity in textile-to-textile recycled materials or new and emerging preferred fibres. SHEIN will be the cornerstone investor of the Circularity Fund and is inviting businesses, financial institutions, sovereign wealth funds globally to co-invest in the Fund.",Corporate VC,United Kingdom,https://www.sheingroup.com/about-us/shein-at-a-glance/,"New Fibres, Textile, Sustainability, Circular Economy",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/shein/,[email protected],GB
Backfuture VC,https://www.eu-startups.com/investor/backfuture-vc/,"Backfuture Ventures invests in early-stage SaaS companies, primarily in Europe — and offers them access to SaaStock's big network. They write £100k-200k cheques into pre-seed and seed-stage SaaS companies.",VC Firm,United Kingdom,https://www.backfuture.vc/,SaaS,€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/backfuture/,[email protected],GB
JuneX Capital Partners,https://www.eu-startups.com/investor/junex-capital-partners/,"Founded by two childhood friends, Régis Micheli and Benjamin Vedrenne-Cloquet, who turned entrepreneurs and investors, JuneX Capital Partners is a founder-centric investment firm integrating a “Founders Office” and an evergreen investment fund. JuneX’s investment strategy focuses on backing entrepreneurs in the areas of human capital (training, education, employment, health, nutrition, and environment) and investment management (venture capital, private equity, and asset management). Working closely with entrepreneurs, JuneX provides a range of patient and agile capital solutions tailored to founders’ needs. Moreover, in specific situations, it may offer operational and advisory support as an operating or sparring partner. JuneX invests mostly, but not exclusively, in Europe and operates out of the UK and France.",VC Firm,United Kingdom,https://www.6xcp.com/,"education, knowledge, skills, health and environment",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/6xcp/,[email protected],GB
Leadblock Bitpanda Ventures,https://www.eu-startups.com/investor/leadblock-bitpanda-ventures/,"Leadblock Bitpanda Ventures (LBV) is a EU-based investment fund focusing on digital assets start-ups. LBV focuses on the growth drivers underpinning the next crypto cycle: the middleware and application layers, and user-oriented interfaces contributing to Web3's mainstream adoption.",VC Firm,United Kingdom,https://www.lbv.vc/,"Web3, Blockchain, Crypto",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/leadblock-bitpanda-ventures/about/,[email protected],GB
Delin Ventures,https://www.eu-startups.com/investor/delin-ventures/,"Delin Ventures is a mission-driven, early-stage investor and company builder specialising in cell therapy, the future of work, and the future of learning.",VC Firm,United Kingdom,https://www.delinventures.com/,"Cell therapy (therapeutics, services and manufacturing technologies), HR Tech, Productivity, New Work, Creator & Passion Economy",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/delin-ventures/,[email protected],GB
Pioneer Group Life Science Accelerator,https://www.eu-startups.com/investor/pioneer-group-life-science-accelerator/,"The Pioneer Group Life Science Accelerator Programme works with entrepreneurs at every stage – from idea to exit. For 20 years, we have supported and invested in founders of cutting-edge life science technologies into visionary ventures, that scale. Helping to transfer ideas (and their founders) out of the lab and into the world.",VC Firm,United Kingdom,https://thepioneergroup.com/accelerator-programme/,"Life Sciences, Healthtech, Medtech",0-€100k,Pre-Seed / Seed,,[email protected],GB
Ahren Innovation Capital,https://www.eu-startups.com/investor/ahren-innovation-capital/,"Ahren is a deep tech and deep science investment firm set up by Alice Newcombe-Ellis alongside co-Founding Science Partners. Together, these Founders created companies and/or technologies that are today valued in excess of $100BN combined. The firm was established from first principles with a mission to be disruptive as an investment institution, with a new model – genuine partnership between the creators of deep technology and deep science, and commercially active, long-term capital, to harness tremendous global talent and build and exponentially accelerate the next generation of great enterprises. Ahren’s Portfolio companies include AI21 Labs, Graphcore, Zapata Computing, ZOE, Phaidra, Heirloom Carbon, and Bicycle Therapeutics among others. Ahren has >$800M AUM and has team members in Cambridge (UK), London, and Boston.",VC Firm,United Kingdom,https://www.ahreninnovationcapital.com/,"Brain, AI, Efficient Energy, Genetics, Space & Robotics",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/ahren-innovation-capital/,[email protected],GB
Index Ventures,https://www.eu-startups.com/investor/index-ventures/,"Index Ventures partners with exceptional entrepreneurs – those with unique insight who are intrinsically driven to make their vision a reality. We help them turn their bold ideas into global businesses, and through the companies they build, have a long-lasting and positive impact on the world around us. Index-backed businesses are supported by an experienced team of investors, strategists, and an extensive global network built over three decades of startup investing. Working side-by-side through the scale up journey, we forge deep and long-lasting relationships with founders and their teams. The vast majority of these partnerships begin early in the company’s life, at Seed and Series A, and extend to IPO and beyond. Operating as one team, with feet firmly on both sides of the Atlantic – from London to Tel Aviv, and San Francisco to New York – we are an international team with a global mindset, with experience supporting founders wherever they emerge. When they succeed, they generate returns that in turn support Index’s investors, including non-profit foundations; education, healthcare and research endowments; and other impact-driven organizations.",VC Firm,United Kingdom,https://www.indexventures.com/,"SaaS, Fintech, AI, Enterprise Software",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/index-ventures/,[email protected],GB
Noa VC,https://www.eu-startups.com/investor/noa-vc/,"At noa vc (formerly A/O), we’re building Europe’s largest tech fund dedicated to transforming the built world. We believe the built world is more than just physical infrastructure: it is a manifestation of human ingenuity and a reflection of societal values. We call it humanity’s OS. noa invests in pioneering founders and breakthrough technologies that decarbonise the built world. We're backing tech that matters.",VC Firm,United Kingdom,https://www.noavc.com/about,"Structures, Energy, Materials, Environments, Mobility, Community",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/noavc/,[email protected],GB
UCL Technology Fund,https://www.eu-startups.com/investor/ucl-technology-fund/,"The UCL Technology Fund is dedicated to investing in intellectual property commercialisation opportunities arising from UCL’s world-class research base, focusing in particular on the physical and life sciences. The Fund supports UCL in achieving the full potential of innovations that have prospects for outstanding societal and market impact, right through the development journey from initial proof of concept to practical commercial application.",VC Firm,United Kingdom,https://ucltf.co.uk/,Life Sciences,€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/ucl-technology-fund/,[email protected],GB
Blackseed,https://www.eu-startups.com/investor/blackseed/,"As early-stage investors, our initial funding commitment typically falls within the £100,000 to £400,000 range. We specialise in supporting British tech and tech-enabled businesses with aspirations for global influence. To qualify for our funding, at least one member of the co-founding team must identify as Black. Our primary focus is on backing entrepreneurs who are at the forefront of pioneering innovative solutions for some of the most demanding issues of our time.",VC Firm,United Kingdom,https://www.blackseedvc.co.uk/,"Inclusion, Sector Agnostic",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/blackseedvc/about/,[email protected],GB
