name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Marathon Venture Capital,https://www.eu-startups.com/investor/marathon-venture-capital/,"Marathon caters to those who are willing to go after the seemingly impossible. Those who persevere in the face of adversity. The ones who will ultimately get to redefine entire industries. We aim to bring together everyone who can enable founders to realize their ambitions. We are network builders as well as company builders. Creators of value who are able to see where interests align. We stand for limitless ambition, uncompromising integrity, radical openness and giving back to our community. Marathon is a long-term venture and we are just getting started.",VC Firm,Greece,https://marathon.vc/,"AI, Biotech, Cybersecurity, Defense Tech, Robotics, Mobility, Saas",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/marathon-venture-capital/,[email protected],GR
VentureFriends,https://www.eu-startups.com/investor/venturefriends/,"Skylaunchpad Venture Capital is a firm founded by seasoned entrepreneurs and angel investors Apostolos and George, who have a successful track record of founding and investing in companies like e-food and Beat. Since its inception in 2016 with the launch of VF1, the firm has grown through subsequent funds VF2 and VF3, reaching a total of €170M, focusing on early-stage, scalable B2C and B2B startups across Europe. They are committed to supporting ambitious founders as partners, providing hands-on assistance through the highs and lows of their entrepreneurial journeys.",VC Firm,Greece,http://venturefriends.vc,"Software, Fintech, SaaS",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/venturefriends/,[email protected],GR
venturefriends.vc,https://www.eu-startups.com/investor/venturefriends-vc/,"Marathon caters to those who are willing to go after the seemingly impossible. Those who persevere in the face of adversity. The ones who will ultimately get to redefine entire industries. We aim to bring together everyone who can enable founders to realize their ambitions. We are network builders as well as company builders. Creators of value who are able to see where interests align. We stand for limitless ambition, uncompromising integrity, radical openness and giving back to our community. Marathon is a long-term venture and we are just getting started.",VC Firm,Greece,https://marathon.vc,"Software, AI, ML, Pharmaceutical,",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/marathon-venture-capital/,[email protected],GR
Big Pi Ventures,https://www.eu-startups.com/investor/big-pi-ventures/,"Genesis Ventures partners with teams developing exceptional technologies or ingenious business models. They invest where there are opportunities to improve people's lives or transform entire industries, providing both capital and advice based on extensive experience. Anchored in Greece and targeting global markets, Genesis Ventures is dedicated to supporting innovative startups. Follow them for more updates.",VC Firm,Greece,https://bigpi.vc,"Artificial Intelligence (AI), Finance, Financial Services, Software, Venture Capital",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/big-pi,[email protected],GR
Metavallon VC,https://www.eu-startups.com/investor/metavallon-vc/,"Metavallon is a venture capital fund investing in early-stage technology startups connected to Greece, providing initial funding up to €1.5M. They offer hands-on support to Seed and Seed+ stage investments, focusing on sectors like transportation, energy, AI, and fintech. Metavallon aims to drive innovation by partnering with exceptional tech companies and helping them expand globally.",VC Firm,Greece,http://www.metavallon.vc,"Transportation & Mobility, Energy & Cleantech, Space & Aviation, Machine Learning & AI, Microelectronics & Robotics, Manufacturing & Logistics, Agriculture & Foodtech, Fintech & Insurtech, B2B & Enterprise, Big Data & Analytics, Internet of Things, Maritime, Retail, Healthtech, Blockchain, VR & AR.",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/metavallon/,[email protected],GR
5G Ventures,https://www.eu-startups.com/investor/5g-ventures-2/,"5G Ventures S.A, a Hellenic Corporation of Assets and Participations subsidiary, manages Phaistos Fund and signals an innovative approach in supporting a thriving 5G ecosystem in Greece. Phaistos Fund supports enterprises that develop 5G-related products & services and is an effective bridge between State & Private investments, as it brings together the best of the two worlds. It offers unique capabilities and, through its focus on 5G market, Phaistos is best positioned to produce remarkable returns as well as national economic growth.",VC Firm,Greece,https://5gventures.gr/,"5G, telecoms, AI",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/5gventures,[email protected],GR
Uni.Fund,https://www.eu-startups.com/investor/uni-fund/,"UniFund aims to ignite entrepreneurship by leveraging the hidden potential within Greek universities, R&D, and tech spaces, focusing on people and team development. They invest in sectors such as ICT, fintech, health-tech, IoT, robotics, and more, providing seed funding and support to early-stage startups. UniFund's experienced team helps startups implement successful go-to-market strategies and build the foundations of the entrepreneurial ecosystem.",VC Firm,Greece,https://uni.fund,"ICT, fintech, health-tech, IoT, robotics",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/unifundmakeithappen,[email protected],GR
Velocity Partners,https://www.eu-startups.com/investor/velocity-partners/,"Velocity.Partners is an industry-agnostic venture capital fund dedicated to fueling Greek entrepreneurs globally, helping them build world-class technology companies. They invest in pre-Seed and Seed stages, typically up to EUR 500K, and support their portfolio companies with team building, product-market fit validation, market traction, and preparation for larger VC funding. Velocity.Partners provides access to a global network of experts, investors, and clients, along with lifelong operational support, strategic advice, and mentoring.",VC Firm,Greece,http://www.velocitypartners.vc/,"industry agnostic, Aerospace, Automotive, Consumer, Industrial, Information Technology, Manufacturing, Marketplace, Medical, Software,",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/velocity-partners-vc/,[email protected],GR
L-Stone Capital,https://www.eu-startups.com/investor/l-stone-capital/,"LStone Venture Capital invests in early-stage businesses at the Seed and Seed+ stages, focusing on €500k+ investments, particularly in Greece. They support ambitious management teams in growing scalable international businesses aligned with key megatrends such as digital evolution, healthier living, and sustainability. Their portfolio features industry leaders and disruptors, offering global network access, operational support, team development, and marketing exposure.",VC Firm,Greece,https://lstonecapital.eu/,"ESG, AI, Robotics, greentech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/lstonecapital/,[email protected],GR
Global Finance,https://www.eu-startups.com/investor/global-finance/,"Global Finance, founded in Athens in 1991, is an independent investment firm that has pioneered private equity and venture capital in the region and has established an exceptional investment track record. Global Finance's operations consist of private equity fund management, real estate development and advisory services covering South-Eastern Europe. Global Finance manages a number of funds, each with a distinctive, clearly defined geographic and investment focus, supporting the regional expansion of businesses in Greece and abroad.",VC Firm,Greece,http://www.globalfinance.gr,"Financial Contracts, Investing, Finance, Insurance, Financial Advisers, Consulting & Professional Services, Venture Capital",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/global-finance/about/,[email protected],GR
