name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Nesprit,https://www.eu-startups.com/investor/nesprit/,"We are Nesprit, a pre-seed / seed-stage ClimateTech VC focused on CEE. Typical check size: €100k - €200k.",VC Firm,Hungary,https://nesprit.vc/,"ClimateTech, WaterTech, FoodTech, IoT",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/nesprit/,[email protected],HU
Obuda Uni Venture Capital,https://www.eu-startups.com/investor/obuda-uni-venture-capital/,OUVC is a Venture Capital and Venture Studio supporting early-stage tech startups with capital and venture building.,VC Firm,Hungary,http://www.obudaunivc.com,"startup, innovative startup, university startup, R+D startup, AI startup, Deep Tech Startup, Robotics, Medtech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/99806517,[email protected],HU
Blue Planet Venture Capital,https://www.eu-startups.com/investor/blue-planet-venture-capital/,"Blue Planet Venture Capital is looking for target companies and investment opportunities that directly or indirectly contribute to the achievement of sustainability goals, reduction of emissions, improvement of sustainable quality of life, production of renewable energy, increase of energy storage, transportation and efficiency, solution of global water problems. Innovative ideas and developments in the fields of green energy, climate-friendly agriculture and food use, the circular economy, green transport, smart cities and water protection are typical target areas for our allocations.",VC Firm,Hungary,https://www.klimaalap.hu/en/,"sustainability, greentech, energy, circular economy, water, wastewater",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/kekbolygotokealap/,[email protected],HU
Euroventures,https://www.eu-startups.com/investor/euroventures/,"Euroventures fuels innovation and growth in Central and Eastern Europe by empowering founders to transform their visions into long-term success. With decades of experience, they support startups with AI-powered search solutions, creative ad personalization, and international education franchises, among others. Notable exits include EPAM, a leading global IT outsourcing company, and current portfolio highlights feature companies like Antavo, Daytrip, and Logiscool, showcasing their commitment to fostering technological advancement and market leadership.",VC Firm,Hungary,http://www.euroventures.hu/en,"AI, software, security, SaaS, Travel",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/euroventures-kft/,[email protected],HU
Sup VC,https://www.eu-startups.com/investor/sup-vc-2/,"SUP.VC is a corporate innovation company in Azerbaijan that supports the startup ecosystem by organizing events, implementing projects, and providing mentorship, investment connections, and product development. Collaborating with international brands like Amazon Web Services and Techstars Startup Weekend, SUP.VC offers educational initiatives, strategic partnerships, and community support to foster innovation and growth. With a strong track record of completed projects, satisfied clients, and numerous events, SUP.VC empowers emerging ventures for success through a holistic approach to entrepreneurship.",Accelerator,Hungary,http://www.sup.vc/,"Software, Fintech, Web development",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/sup-az,[email protected],HU
Vespucci Partners,https://www.eu-startups.com/investor/vespucci-partners/,"Vespucci Partners is a Budapest-based venture capital fund focused on finding and supporting Central European startups with disruptive products and global market potential. They provide more than just financial backing, offering smart capital, portfolio management expertise, guidance, and a strong network for international expansion. With a fund size of 41 million EUR, Vespucci Partners targets Seed and Series A investments ranging from 600k to 4.5 million EUR, aiming to help startups achieve long-term success through a combination of sustainability principles, strategic support, and extensive industry experience.",VC Firm,Hungary,https://vespuccipartners.com/,"software, manufacturing, data, biotech, cloud",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/vespucci-partners/about/?viewAsMember=true,[email protected],HU
GB & Partners,https://www.eu-startups.com/investor/gb-partners/,"GB & Partners is Hungary's largest independent venture and private equity fund management company, supporting portfolio companies with active operational involvement to ensure high returns and security for investors. They specialize in ambitious, game-changing ventures, providing strategic, sales, and professional support, contributing to the growth and prosperity of their investments. As a full member of Invest Europe, GB & Partners manages nearly HUF 80 billion in assets, covering a wide range of industries and geographical areas, achieving significant growth and record sales.",VC Firm,Hungary,https://gbpim.com,"Fashion, Financial Services, FinTech, Information Technology, Manufacturing, Retail, Smart Cities, Software, Venture Capital",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/gbandpartnersinvestmentmanagement,[email protected],HU
Impact Ventures Hungary,https://www.eu-startups.com/investor/impact-ventures-hungary/,"Impact Ventures is a specialist fund manager focusing on impact investments. Their mission is to catalyze social impact by supporting and investing in social SMEs in Europe with strong growth potential, addressing areas of social inclusion, education, employment, health, and environmental sustainability. They seek social innovation and scalable business models in ventures building solutions that truly matter, providing support with their know-how, network, capital, and the experience of their team of investors and experts.",VC Firm,Hungary,https://impactventures.hu/,"sustainable, environment, greentech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/impactventures,[email protected],HU
Perion Investment Fund,https://www.eu-startups.com/investor/perion-investment-fund/,"Perion 2013 is a venture capital fund with a registered capital of HUF 4.4 billion, actively investing in companies since March 2014. The fund focuses on companies with international expansion potential, greenfield energy projects, medium-sized companies needing market entry or capacity expansion financing, and innovative early-stage projects.",VC Firm,Hungary,http://perion.hu/,"software, gaming, blockchain",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",,[email protected],HU
Finext Startup,https://www.eu-startups.com/investor/finext-startup/,"FINEXT Investment Fund Management Ltd. is the first Hungarian fund manager focused on alternative investments, managing a diverse range of real estate funds as part of the Futureal Group. Specializing in residential, office, retail, and logistics sectors, as well as international hedge funds and venture capital, FINEXT leverages decades of expertise in the real estate market. Their relationships with leading asset managers and institutions provide unparalleled sectoral and geographical advantages.",VC Firm,Hungary,http://www.finext.hu,"residential, office, retail, and logistics sectors",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",,[email protected],HU
Lead Ventures,https://www.eu-startups.com/investor/lead-ventures/,"Lead Ventures specializes in supporting scale-up companies in Central Europe with validated products and services, providing capital from EUR 1 to 10 million to fuel their growth. With a team experienced in completing over 100 transactions and a strong network of LPs, they contribute extensive business and financial expertise to their portfolio companies. Focused on industries like mobility, energy, sustainability, and B2B services, Lead Ventures partners with other VC and PE firms to create synergistic relationships, aiming for international success.",VC Firm,Hungary,http://leadventures.eu/,"mobility, energy, sustainability, b2b, doftware",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/28138609/,[email protected],HU
