name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Fulcrum,https://www.eu-startups.com/investor/fulcrum-2/,"Fulcrum invests in businesses developing commercially scalable technologies that serve both open markets and national interests. In a world where security, resilience, and infrastructure integrity define economic strength, we invest in the systems that safeguard institutions and underpin strategic advantage.

Deal Stages: Post-seed growth, Mature tech spin-outs International scale-ups

Sectors: Unmanned Aerial and Maritime Systems & Vehicles Data Infrastructure Cyber and AI Simulation Robotics. We are a defence-tech platform focused on European ventures.

Region: Europe, Canada",VC Firm,Ireland,https://www.fulcap.eu/,Unmanned Aerial and Maritime Systems & Vehicles; Data Infrastructure; Cyber and AI; Simulation; Robotics; VR/AR,Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/fulcrum-linkedin,[email protected],IE
Prospera Ventures Ltd,https://www.eu-startups.com/investor/prospera-ventures-ltd/,"Prospera is an angel syndicate supporting early-stage startups across Ireland and Europe. We bring together experienced and emerging business angels to invest in high-potential, founder-led ventures, with a focus on inclusivity, innovation, and long-term impact. Our platform makes angel investing more accessible through a streamlined, regulated syndicate model, enabling syndicate members to co-invest with confidence and efficiency. Beyond capital, we provide founders with strategic support, network access, and operational know-how to help them grow and succeed. We are sector-agnostic and welcome opportunities to back ambitious founders from all industries and backgrounds. At Prospera, we believe in supporting exceptional entrepreneurs at the earliest stages empowering them to build the future.",VC Firm,Ireland,https://prospera.ie,"Early-Stage Startups,Tech-Enabled Innovation,Impact-Driven Businesses, European Founders",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/prosperaie,[email protected],IE
Fountain Healthcare Partners,https://www.eu-startups.com/investor/fountain-healthcare-partners/,"Fountain Healthcare Partners is a life science venture capital firm based in Dublin Ireland with an office in New York. Fountain currently manages over €300M and is actively investing its third fund raised in 2019. The team at Fountain originally worked within the corporate VC group at Elan Corporation and raised its first independent fund in 2008. Fountain invests in drugs, devices and diagnostics with a focus on companies developing innovative products that address unmet medical needs and deliver significant pharmacoeconomic benefits.",VC Firm,Ireland,https://www.fh-partners.com/,"Specialty Pharma, Biopharmaceuticals, Medical Devices, Diagnostics",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/fountain-healthcare-partners/,[email protected],IE
AIB Start-up Accelerator,https://www.eu-startups.com/investor/aib-start-up-accelerator/,"Act VC is an early-stage venture capital firm that partners with founders starting out, and established teams scaling their growth. We have raised over €600m across multiple funds to support this goal. We look for innovative, category-defining companies in large markets. We help founders build and scale these leveraging the experience of backing over 200 founders before. We work closely with them in this process. Over the past 25 years, we have invested in over 120 companies and built a broad global network.",VC Firm,Ireland,https://actventure.capital/,"Smart Energy, AI, Digital Health, Wellness",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/act-venturecapital/,[email protected],IE
Elkstone,https://www.eu-startups.com/investor/elkstone/,"Elkstone is a leading Irish investment firm that specialises in alternatives. Elkstone Venture, supported by the Irish Strategic Investment Fund and Enterprise Ireland, has established itself as the Irish venture ecosystem champion and is recognised as the leading early-stage venture investor in Ireland.",VC Firm,Ireland,https://www.elkstonepartners.com/,Sector Agnostic,€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/elkstone-partners/,[email protected],IE
Allegion Ventures,https://www.eu-startups.com/investor/allegion-ventures/,"Allegion Ventures is the corporate venture fund of Allegion. It invests in and accelerates the growth of companies with innovative, technologies, and products that have the potential to make security and access smarter, stronger, faster, and less intrusive. Allegion Ventures was established in 2003 and is headquartered in Dublin, Ireland.",Corporate VC,Ireland,https://www.allegion.com/corp/en/ventures.html,"Venture Capital, Investment, Innovative, Technologies, Products",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/allegion,[email protected],IE
The Yield Lab Europe,https://www.eu-startups.com/investor/the-yield-lab-europe/,"The Yield Lab was established in 2014 to address the shortage of capital and support for early-stage agriculture technology companies. Recognizing that agricultural innovation is crucial for sustainably feeding a growing global population, the firm aims to enable entrepreneurs to revolutionize agrifood systems worldwide. The Yield Lab operates through four funds across Europe, Latin America, Asia Pacific, and North America. Each regional fund invests in agrifoodtech companies ranging from seed stage to growth stage, providing not only capital but also international business connections and access to the entire Yield Lab international network. Since its founding, the firm has built a portfolio of approximately 90 companies and established a presence in four international locations. The Yield Lab continues to expand and evolve to meet the increasing demand for agricultural innovation, with the ultimate goal of sustainably feeding the world.",VC Firm,Ireland,https://yieldlab.ie/,"AgTech, Biotech, Machine Learning, Foodtech, Novel Farming Systems",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/3860712/,[email protected],IE
Selenean Capital,https://www.eu-startups.com/investor/selenean-capital/,"Selenean Capital has successfully built a diverse portfolio of companies across aviation, defence, cybersecurity, transportation, medical technology, and renewables. The firm currently manages €175 million and is experiencing growth. Their strong performance is based on a comprehensive investment strategy tailored to the specific needs of both their portfolio companies and investors. They believe that future success requires continued innovation and diversification to ensure long-term sustainable growth. Their investments are underpinned by thorough technical assessments, driven by a team of domain experts with proven track records in their respective fields. This approach allows Selenean Capital to make informed investment decisions and provide valuable support to their portfolio companies across various sectors.",VC Firm,Ireland,https://www.selenean.com/,"AI, Blockchain, IoT, Web3",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/selenean-capital/,[email protected],IE
WakeUp Capital,https://www.eu-startups.com/investor/wakeup-capital/,"WakeUp Capital is an early-stage impact venture fund that invests in companies with strong business models and potential for positive societal and environmental change. The firm provides funding and expertise to help visionary entrepreneurs scale their impact and measure their success. WakeUp Capital's approach balances financial returns with social and environmental impact targets, reflecting their commitment to building a cleaner, healthier, and fairer future. By supporting founders in translating their visions into tangible, measurable outcomes, WakeUp Capital aims to accelerate systemic change that benefits both people and the planet.",VC Firm,Ireland,https://www.wakeupcapital.com/,"AgTech, Novel Farming Systems, Circular Economy, FoodTech, Smart Energy, Smart Energy Sustainable Solutions",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/37557491/,[email protected],IE
Seroba Life Sciences,https://www.eu-startups.com/investor/seroba-life-sciences/,"Seroba is a leading European life sciences venture capital firm, dedicated to creating value by supporting innovative biotech and medtech companies. With a focus on breakthrough technologies, Seroba has backed significant advancements such as Shorla Oncology's FDA-approved TEPYLUTE, a ready-to-dilute formulation for treating breast and ovarian cancer. Based in Dublin, Seroba leverages deep industry expertise to help entrepreneurs build world-class businesses, fostering extraordinary scientific innovations.",VC Firm,Ireland,http://www.seroba-lifesciences.com/,"Biotechnology, Therapeutics, Medtech, Health care, science, oncology",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/serobalifesciences/,[email protected],IE
Social Innovation Fund Ireland,https://www.eu-startups.com/investor/social-innovation-fund-ireland/,"Rethink Ireland is dedicated to backing big ideas and sustainable solutions to create an inclusive and equitable Ireland, providing cash grants and business support to social innovations with impactful potential. Partnering with individuals, families, and businesses, they identify and support charities and social enterprises making significant progress across areas like education, health, social enterprise, equality, and climate justice. With a presence in Galway, Cork, and Dublin, Rethink Ireland nurtures communities of like-minded organizations, facilitating access to networks and resources to scale their impact nationwide.",VC Firm,Ireland,http://www.socialinnovation.ie/#modalsimple-id-1,"Charity, Sports, Education, Health, Equality, social enterprise, greentech",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/social-innovation-fund-ireland/,[email protected],IE
