name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Patrimon Cube,https://www.eu-startups.com/investor/patrimon-cube/,"Patrimon Cube is a venture partner that invests in Italian tech startups in the seed and post-seed phase. We accelerate the growth of startups with direct financing of up to 100,000 euros, without hidden fees and with founder-friendly term sheets.",VC Firm,Italy,https://www.patrimoncube.it/,"Fintech, SaaS, AI, HRtech, CRM",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/patrimon-cube/about/,[email protected],IT
Novaterra,https://www.eu-startups.com/investor/novaterra/,"At Novaterra, our fundamental belief is that the most significant innovations arise from backing brilliant individuals tackling formidable problems. Hence, our mission is not to fund businesses, but to invest in intellectual capital: minds capable of solving substantial challenges, those that hold the potential to revolutionize industries and positively impact society at large. Identifying potential transformative leaders is at the core of our strategy, this is why we consider ourselves people investors. We employ a comprehensive evaluation process, made up of a proprietary framework that focuses on the traits of the founders, their tenacity, and their ultimate vision. We learned the hard way that the best founders are those who have a messianic attitude and even believe their venture is fundamental to the world, we discovered on our skin that usually the most successful overcame tough challenges and therefore developed a strong resilience in their past, and they see their company as a revenge to prove to themselves that they are worth it. The more they feel defeated, the heavier they push and the more they are resilient. We want to back the darest, those who have a natural inclination to fail, to take risks, to push the level higher and higher even despite the reality they are forced to face, and the only reason they are doing it is because they feel they have to. Nothing more. For these reasons, our investment mandate allows us to directly invest in people, even before there is a concrete idea.",VC Firm,Italy,https://novaterra.io/,"Health Tech, Life Sciences, SpaceTech, Energy Transition, Climate Change, Agrifood",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/novaterra-fund/,[email protected],IT
Generali Ventures,https://www.eu-startups.com/investor/generali-ventures/,"Generali Ventures is underway: with a dedicated commitment of €250 million, we aim to identify and invest in high-growth opportunities, particularly in the insurtech and fintech sectors. Generali Ventures is more than just a venture capital initiative: it is a testament to our commitment to innovation and our drive to transform the insurance sector. We are dedicated to staying at the forefront of emerging technologies and providing our customers with the best possible service. The initiative was designed to address challenges arising from the sector’s rapid evolution, evolving customer needs and significant global trends.",Corporate VC,Italy,https://www.generali.com/who-we-are/Strategic-Plan-Lifetime-Partner-24/Lead-innovation/innovation/Generali-Ventures,"Insurtech Fintech Proptech Mobility Cybersecurity AI & data analytics Health, Wellness & prevention",Above €3M,Series C & Beyond,https://www.linkedin.com/company/generali/about/,[email protected],IT
Techshop,https://www.eu-startups.com/investor/techshop/,"The Techshop is a new asset management company dedicated to Venture Capital. The first Fund will invest in radical B2B, digital and early stage innovations. The Techshop was born from the desire to amplify our contribution to Italian technological and entrepreneurial development. Over the last 10 years, we have observed how new digital companies have become the main vectors of innovation in the industrial fabric of leading nations and how crucial the “Early Stage” stage is in the acceleration process of startups. This role of digital has strengthened during the economic and social crisis caused by the pandemic and will be crucial for the restart of the global production system. Our recipe is based on a careful selection of talented teams, to whom we will offer capital in increasing quantities and the tools of our “tech workshop”: mentorship, managerial support and access to a large pool of experts. In Digital, the success of a startup is determined by the quality and tenacity of the Founders: the team is the product. We aim to stimulate their potential, challenging them to think big and on a global scale. OUR CREED #VISION We believe in creating value through the investment of active money in talent and technical know-how #MISSION We aim to generate financial returns aligned with the best European Venture Capital funds #VALUES We are driven by Passion, Continuous Training, Rigour, Team Spirit and Respect for people #ECOSYSTEM We want startups to choose us and co-investors to follow us: «We won't let them down!» #INCLUSION We have already made several investments in startups co-founded by women and we want to continue on this path With the aim of integrating environmental, social and governance (ESG) factors into our processes",VC Firm,Italy,http://www.techshop.capital/,"B2B, tech, software",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/techshopcapital/,[email protected],IT
BlackSheep Fund,https://www.eu-startups.com/investor/blacksheep-fund/,"BlackSheep is the first European venture capital fund with an entrepreneurial background that invests in high-potential technology-based companies focused on AI, Big Data, Automation, and its b2b applications for the Marketing & Advertising industry, from Seed to Round B. We are witnessing a big discontinuity: the marketing & communication services market is one of the biggest and less automated industries in the world. In the next 10 years, it will be completely rewritten both by the explosion of artificial intelligence, big data, business process automation technologies, and the continuous changes in privacy laws. We have a clear vision about: marketing agencies, consulting firms and tech players are converging in the same competitive arena, but despite the efforts the final result for marketers is too expensive, too complicated, too slow and privacy unfit. We believe the marketing provider of the future is a software: automated, intelligent, easy. Made by humans, and led by humans. We have the mission to invest in companies based on AI, Big Data, and RPA (namely robotic process automation) which are developing next-generation SaaS solutions that enable brands to plan, orchestrate, and optimize personalized marketing actions, in an explicit consumer’s consent framework. Europe is our playground.",VC Firm,Italy,https://blacksheep.ventures/,"AI, Big Data, Automation, B2B, Marketing & Advertising",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/blacksheep-fund/,[email protected],IT
The Hive FVB Srl,https://www.eu-startups.com/investor/the-hive-fvb-srl/,"The Hive is an incubator and accelerator certified since 2014 by the Italian Ministry of Economic Development, believing in the entrepreneurial dream of startups and the need for businesses to manage innovation. The Hive provides new entrepreneurial initiatives with everything they need to start and grow, offering physical spaces for initial steps, administrative and organizational services, support for finding subsidized and ordinary financing, business plan assistance, and essential contacts and credibility to attract venture capital investments. We believe in our startups' entrepreneurial dreams and are committed to making their ideas successful to meet market needs. The Hive is increasingly becoming a widespread incubator, where startups bring innovation into companies. We promote the synergy between talents, startups, and enterprises, simplifying the challenges of those who want to innovate, and starting innovation projects together based on the highly innovative skills of startups.",Accelerator,Italy,https://www.the-hive.it/,"Developing innovative businesses, Promoting, Supporting, Business Consulting",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/the-hive-business-accelerator/,[email protected],IT
Eden Ventures,https://www.eu-startups.com/investor/eden-ventures/,"Eden Ventures is an international venture capital firm, backed by IAG, the main Italian business angel network. We are the garden of Eden of pre-seed startups allowing founders to let their talents flourish. Our top founders can leverage a 500+ angels network unlocking business connections and fundraising opportunities with club deals and VC partners. Our mantra is: keep it simple and do not waste time! Apply and get a potential investment up to €100k in 30 days",VC Firm,Italy,https://www.eden.ventures/,"cross sector, AI, industry agnostic",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/eden-venture-by-iag/,[email protected],IT
Moonstone,https://www.eu-startups.com/investor/moonstone/,"At Moonstone, they hold a profound belief that the potential within each individual can be harnessed to catalyze positive change within the ecosystem. Their mission is ambitious and far-reaching, rooted in the understanding that a sustainable future requires a collective effort to mend the damages caused by society. By the end of 2024, they have committed to invest up to 50k in 60 startups.",VC Firm,Italy,https://www.moonstone.fund,"Healthtech, Energy, E-Commerce, Future of Work, EdTech, Regtech, MarTech, FemTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/moonstone-fund,[email protected],IT
Neva SGR,https://www.eu-startups.com/investor/neva-sgr/,"Neva SGR combines the strength, reputation, and stability of the Intesa Sanpaolo Group with the best practices of international venture capital firms. Neva aims to boost the Italian economy through new technologies and to be a market maker in the venture capital asset class in Italy. Neva SGR seeks the best Italian and international excellence, targeting companies from Late Seed to Series B/C stages with an average investment ticket of €4M. They focus on market-validated technologies and products, directing proceeds towards scaling efforts. Their value is recognized through an extensive network of experts, in collaboration with the Intesa Sanpaolo Group and corporate partners. The NEVA FIRST fund, with EUR 250 million, invests in companies worldwide, with a minimum of 30% allocated to Italian companies. The NEVA FIRST ITALIA fund co-invests with the Neva First Fund in Italian startups, targeting those headquartered and directed in Italy, or in an EU member country, the UK, or Switzerland, with production or R&D activities in Italy.Neva SGR combines the strength, reputation, and stability of the Intesa Sanpaolo Group with the best practices of international venture capital firms. Neva aims to boost the Italian economy through new technologies and to be a market maker in the venture capital asset class in Italy. Neva SGR seeks the best Italian and international excellence, targeting companies from Late Seed to Series B/C stages with an average investment ticket of €4M. They focus on market-validated technologies and products, directing proceeds towards scaling efforts. Their value is recognized through an extensive network of experts, in collaboration with the Intesa Sanpaolo Group and corporate partners. The NEVA FIRST fund, with EUR 250 million, invests in companies worldwide, with a minimum of 30% allocated to Italian companies. The NEVA FIRST ITALIA fund co-invests with the Neva First Fund in Italian startups, targeting those headquartered and directed in Italy, or in an EU member country, the UK, or Switzerland, with production or R&D activities in Italy.",VC Firm,Italy,https://www.nevasgr.com/,"InsurTech, RegTech, PropTech, FinTech, Aerospace, Agri-Tech, Clean Tech, AI/ML, Quantum Computing, Cybersecurity",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/neva-sgr/,[email protected],IT
NovaCapital,https://www.eu-startups.com/investor/novacapital/,"They invest in entrepreneurs and innovations, always prioritizing people who generate ideas and create new realities. They are committed to industries they believe are both innovative and sustainable in the long term, including Bio-Tech, Green-Tech, Health-Tech, Fin-Tech, Deep-Tech, New Space, and Smart Urban Development. Their investments span across Europe and the US.",VC Firm,Italy,https://www.novacapital.eu/,"BioTech, GreenTech, Healthtech, FinTech, DeepTech, New Space, Urban Development",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/novacapital1/,[email protected],IT
Obloo,https://www.eu-startups.com/investor/obloo/,"Obloo enables corporations and financial institutions to find best in class innovation opportunities among leading universities and research centres. We help academic institutions in exploiting their research outcomes through spin-off creation and licensing opportunities. With 50+ years of combined experience in venture capital investments, R&D management, business development and technology transfer, Obloo is a unique partner for translating science into market opportunity and people's daily lives. Venture Factory is the exclusive advisor of VV3TT fund, subscribed in 2017 with Euro 40M by EIF (European Investment Fund) and CdP (Cassa Depositi e Prestiti) through the ItaTech plattform: the fund is entirely dedicated to seed and early stage investments in tech transfer from italian Universities and Research Institutes.",VC Firm,Italy,https://www.obloo.vc,"SpaceTech, DeepTech, Energy, Robotics, AI, Cybersecurity",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/venture-factory-tt/,[email protected],IT
Oltre Impact,https://www.eu-startups.com/investor/oltre-impact/,"Oltre Venture is the first Italian Social Venture Capital company, an innovative financial instrument to support social issues, which aims to finance and support the development of companies capable of combining economic sustainability and social value. These companies address the gray area of ​​hidden hardship and socio-economic fragility characterized by housing hardship, job insecurity, loneliness, marginalization.",VC Firm,Italy,https://www.oltreimpact.com/,"FoodTech, ConsumerTech, Healthtech, EdTech",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/oltre-impact/,[email protected],IT
Opes Italia,https://www.eu-startups.com/investor/opes-italia/,"Opes Italia is a Venture Capital fund that operates in the field of ""impact investing"". We invest in fast growing companies generating a strong social impact and we believe in the possibility of combining investment performance with positive social and environmental outcomes. We are sector agnostic and intervene mainly in the ""early stage"" phase of the development of a company.",VC Firm,Italy,https://www.opesitalia.com/,"Energy, EdTech, AgTech, Healthcare, AgTech",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/opes-italia-sicaf,[email protected],IT
8a + INVESTMENTS,https://www.eu-startups.com/investor/8a-investments/,"8a+ Investimenti SGR is an asset management company established in 2006 in Varese on the initiative of Marco Bartolomei (Chairman), Mauro Maritano (Vice Chairman) and Andrea Pastorelli (Managing Director and Investment Manager), who previously worked at major companies in the sector. The capital is held by the three founding partners with a minority participation by employees and collaborators. 8a+ Investimenti SGR manages open-ended mutual funds under Italian law, a pure hedge fund, an umbrella Sicav under Luxembourg law, and securities asset management (Gpm). 8a+'s mission is to generate value for the investor through: the direct management of investment instruments characterized by a highly active management and a prevailing focus on equity markets; and the offering of financial products capable of responding to new investment needs and therefore innovative in terms of geographic area, management model, and approach to markets.",VC Firm,Italy,https://www.ottoapiu.it/,"MarTech, MedTech, SaaS, E-Commerce",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/8a-investimenti-sgr/about/,[email protected],IT
P101,https://www.eu-startups.com/investor/p101/,"P101 SGR is one of the leading venture capital firms in Italy, investing in digital and technology-driven companies in Europe. Founded in 2013 by Andrea Di Camillo, it is supported by Azimut, Fondo Italiano di Investimento, European Investment Fund, Fondo Pensione BCC, Cassa Forense, Unicredit, as well as some of the main Italian entrepreneurial families. P101 SGR currently manages five funds, as well as the first VC retail investment fund, developed in collaboration with Azimut Group. Managing assets for over € 400 million, P101 has invested in more than 50 tech companies, including Citynews, Cortilia, Cyber Guru, Deporvillage, Fatmap (Strava), Habyt, Milkman, Musement MusixMatch, Opyn e Tannico.",VC Firm,Italy,https://www.p101.it/en/,"EdTech, Fintech, InsurTech, Digital Health, SaaS, Mobility, Sustainability, TravelTech",€1.5M-€3M,Series A/B,http://www.linkedin.com/company/2962722,[email protected],IT
PranaVentures,https://www.eu-startups.com/investor/pranaventures/,Prana Ventures is a startup investing firm led by Digital industry specialists. Prana ventures helps Italian entrepreneurs become successful global innovative companies. We select and collaborate with entrepreneurs who have big ambitions - who solve today's big problems through technology.,VC Firm,Italy,https://www.pranaventures.it,"InsurTech, MarTech, Logistics, TravelTech, PropTech, HR Tech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/pranaventures/,[email protected],IT
