name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
GameDev Fund,https://www.eu-startups.com/investor/gamedev-fund/,"Founded by video games industry veterans, Gamedev Fund is investment fund aiming to help talented teams in shipping their games by providing knowledge, contacts, and funds. We invest in premium indie games for PC/consoles with a playable demo on hand.",VC Firm,Lithuania,https://gamedevfund.vc/,"Indie games, PC/Consoles, Games",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/gamedev-fund/about/,[email protected],LT
Zabolis Partners,https://www.eu-startups.com/investor/zabolis-partners/,Zabolis Partners is an investment management group specializing in real estate and private equity investments,VC Firm,Lithuania,http://zabolis.com,"EdTech, Digital Retail, Optical Technology",€100k-€1.5M,Series A/B,/www.linkedin.com/company/zabolispartners/,[email protected],LT
DOJUS group,https://www.eu-startups.com/investor/dojus-group/,"DOJUS Group is a united entity of 8 companies operating in Lithuania and Latvia. As leaders in their respective fields, they contribute to the development of agricultural, forestry, and other business sectors. The company offers a wide range of services.Group of companies engaged in heavy machinery distribution, real estate and financial investments.",Corporate VC,Lithuania,https://www.dojusgroup.lt/en/,"Agriculture, AgTech, B2B, Real Estate, Retail, Wholesale",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/dojusgroup/,[email protected],LT
AeroCity Tech Ventures,https://www.eu-startups.com/investor/aerocity-tech-ventures/,"Aerospace, Information Technology, Software, Travel",Corporate VC,Lithuania,https://aerocity.tech/ventures,"Aerospace, Information Technology, Software, Travel",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/aerocitytech,[email protected],LT
Nextury Ventures,https://www.eu-startups.com/investor/nextury-ventures/,"Nextury Ventures is a venture capital firm and incubator that invests in early stage startups and companies. Nextury Ventures is a Venture Capital Fund established by a prominent International Entrepreneur Ilja Laurs in partnership with Mindaugas Glodas, ICT business executive. Nextury Ventures invests in early stage startups and new fast growth and high potential value ideas.",Accelerator,Lithuania,http://www.nextury.com,"Finance, Financial Services, FinTech, Venture Capital",0-€100k,Pre-Seed / Seed,http://www.linkedin.com/company/5014371,[email protected],LT
ScaleWolf,https://www.eu-startups.com/investor/scalewolf-2/,"ScaleWolf is a venture capital fund and an allied technology accelerator program focusing on dual use technologies. Dual-Use Tech VC Fund & Accelerator. A Hybrid Model for NATO Countries. Based in Vilnius, Capital of Lithuania. ScaleWolf is a leading hybrid approach of grants, acceleration, and capital.",Accelerator,Lithuania,https://www.scalewolf.vc/,"Venture Capital, Accelerator, Dual-Use Commercial, Defense",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/scalewolf/about/,[email protected],LT
Katalista Ventures,https://www.eu-startups.com/investor/katalista-ventures/,"Katalista Ventures is a hybrid startup accelerator and private equity fund. At Katalista Ventures we believe in catalysing and connecting people to help them achieve their potential while finding solutions to global challenges. Therefore, we have founded Katalista Ventures as a hybrid startup accelerator and private equity fund to provide customised support, driven by experienced entrepreneurs and professionals in the Baltics.",Accelerator,Lithuania,https://www.katalistaventures.com/,"Startup Consultancy, Early-Stage Venture Acceleration, Scaling, Investing",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/katalista-ventures,[email protected],LT
"Founderheads,",https://www.eu-startups.com/investor/founderheads-2/,"Boutique web3 incubator, accelerator and VC with a founder mentality and hands on approach. Boutique web3 VC with a founder mentality to help you navigate the crypto industry. We're Web3 VC with a founder mentality to help you navigate the crypto industry and successfully launch your project.",Accelerator,Lithuania,https://founderheads.com,"Blockchain Services, Web3, and VC, Crypto",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/founderheads/,[email protected],LT
Hiaka Labs,https://www.eu-startups.com/investor/hiaka-labs/,"Hiaka Labs is a startup studio building the future of fintech. We bring together founders, ideas and capital to drive the next wave of the fintech revolution. Hiaka Labs, a Lithuania based Professional Services organization with 10 employees and revenues of $1.0M selected Fastly for Content Delivery.",Accelerator,Lithuania,https://hiakalabs.com,"AI, Settlement, Custody, Liquidity, Regulation",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/hiakalabs,[email protected],LT
Bridgio,https://www.eu-startups.com/investor/bridgio/,"As a tech accelerator, we help engineering teams grow commercially successful businesses in the global marketplace. We use our experience in electronics product design, customer development and B2B sales on global hi-tech markets to ensure an exciting journey to the commercial success of your project. We help founders of hardware and software projects to construct 'tech bridge' from EUROPE (CEE) to global markets.",Accelerator,Lithuania,https://bridgio.eu,"Medtech, IoT, Smart environment, Hardware, Spin-offs",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/bridgio/,[email protected],LT
