name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Vesna Deep Tech Fund,https://www.eu-startups.com/investor/vesna-deep-tech-fund/,"The Vesna’s mission is to invest into deep tech projects and startups that will help solve our planet’s most urgent problems or tackle them in a more efficient and innovative way. We start at TRL4 on and are not stopping when it comes to growth. We will do this by accessing cutting-edge technologies through our core partnerships with research institutions, and transfer these technologies out to commercially viable products in companies/start-ups by our investment strategy that is in a light of our hands-on startup know-how and full investment lifecycles. Portfolio companies will closely work with industry partners and expert network, especially our Advisors to shape their best path to success.",VC Firm,Luxembourg,https://vesnavc.com/,"Climate & Environment Tech, Advanced Materials & Enabling Tech, Articifical Intelligence & ICT",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/vesna-venture-capital/,[email protected],LU
Adara Ventures,https://www.eu-startups.com/investor/adara-ventures/,"For 20 years, Adara Ventures has partnered with exceptional early-stage European founders targeting global B2B markets. ‍ The fund has a target size of €120 million to invest in cutting-edge technologies and solutions that accelerate the energy transition in Europe. After 20 years of a successful track record in deep tech investments across Europe, Adara is naturally expanding to tackle one of the European economy's most complex challenges: balancing the Energy Trilemma to create an energy system that is reliable, affordable, and sustainable.",VC Firm,Luxembourg,https://www.adara.vc/,"Cybersecurity, Energy Transition, Data and AI, Digital Health, Components, Digital Infrastructure",Above €3M,Series A/B,https://www.linkedin.com/company/adaravc/about/,[email protected],LU
Paladin Capital Group,https://www.eu-startups.com/investor/paladin-capital-group/,"Paladin Capital Group is a leading global investor that supports and grows the world’s most innovative companies through venture investment, expansion, and growth capital. We are headquartered in Washington, DC, with offices in London, Luxembourg, New York City, and Silicon Valley. We seek out diverse investment opportunities across the US and worldwide. Paladin is a leader in investing in technologies, products, and services focused on dual use in both commercial and governmental markets with a strong value-add culture. Paladin Cyber Fund: Our most recent fund focuses on Digital Infrastructure Resilience, investing globally in advanced technologies and solutions which enable, monitor, manage, and defend critical infrastructure that is dependent on cyber space. The Fund is actively investing and has closed eleven investments.",VC Firm,Luxembourg,https://www.paladincapgroup.com/about-paladin-capital-group/,"Cybersecurity, AI, Biotech, Big Data, SaaS",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/paladin-capital-group/,[email protected],LU
Ilavska Vuillermoz Capital,https://www.eu-startups.com/investor/ilavska-vuillermoz-capital/,"Ilavska Vuillermoz Capital is an alternative investment firm based in Luxembourg and the Czech Republic. They focus on investing in startups, particularly in FinTech and ClimateTech. Their fund targets early-stage technologies with applications in the sectors that are the most CO₂ or greenhouse gas equivalent (GHG eq), emitters at a global scale.",VC Firm,Luxembourg,https://ilavska-vuillermoz.com/,"ClimateTech, Fintech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/ilavska-vuillermoz-capital/,[email protected],LU
0100 Ventures,https://www.eu-startups.com/investor/0100-ventures/,"212 backs bold, growth-stage tech companies across Turkey, CEE, MENA and the diaspora. Currently, the fund manages €86M of committed capital and 19 active investments. 212’s time-tested strategy is to advance B2B tech solutions with demonstrated traction, a precise product-market fit, and founders who are ready and eager to scale internationally. As a firm believer in investing in teams, 212 has built a diverse and dynamic team over a decade while establishing and utilizing a robust presence in Istanbul, Doha, and San Francisco. ‘Test Local, Go Global’ is 212’s guiding principle. 212 does more than invest in the region and aims higher than going global. It is a personalized venture capital firm with deeply rooted global networks that bring in growth partners to help expand and guide the ecosystem. The forward-thinking initiative ‘212 Growth Partner’ program is one initiative that supports and provides value-add services to portfolio companies. Over two funds, 212 has created +$2B in value investing in early-stage technology startups. Acclaimed winners from Fund I include Iyzico and Insider. Iyzico exited in 2019, returning the fund’s entire invested capital. Insider, a Sequoia-backed company with a female founder, is the first B2B unicorn to come out of Turkey. To date, Fund II has invested in 16 remarkable companies: 123 Form Builder, App Samurai, Artboard Studio, Avatao, Chooch, Fazla, MallIQ, Marti, Meddy, Metrobi, OMMA, SmartMessage, Trio Mobil, Bolt, Wellbees and Socradar.",VC Firm,Luxembourg,https://212.vc/,"Robotics, AI, HRtech, Agtech, IoT, Digital Health, Retail",0-€100k,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/212vc/,[email protected],LU
Rosberg Ventures,https://www.eu-startups.com/investor/rosberg-ventures/,"At Rosberg Ventures, we have proudly added an in-house $75m VC Fund of Funds alongside Nico Rosberg's existing serial angel investing. With our FoF we serve as a bridge between Corporate Europe and the world's leading startups: By pooling capital from Ultra-High-Net-Worth German and European families with significant local corporate interests and committing it to the global incumbent VC firms. This enables great diversification, which is key in venture capital. On our mission of value creation and through our global network, we then selectively establish collaboration between startups and these corporates, creating win-win scenarios: customers and growth for startups and accelerate transformation for local corporates.",VC Firm,Luxembourg,https://rosberg.ventures/,"AI, Software, Blockchain, Climate Tech, Productivity",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/rosberg-ventures/about/,[email protected],LU
Adara Venture Partners,https://www.eu-startups.com/investor/adara-venture-partners/,"We invest in boldly ambitious businesses, partnering with founders with vision, courage and the capacity to execute. We're experienced investors, we've invested in 35+ companies to date and in 2019 we launched our €80m third fund. We search for early-stage companies solving complex problems with breakthrough solutions. We have a European focus and invest in B2B opportunities in: cybersecurity, data and applications, infrastructure, devops, components and digital health.",VC Firm,Luxembourg,https://www.adara.vc/,"cybersecurity, data and applications, infrastructure, devops, components, digital health and energy transition",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/adaravc/,[email protected],LU
Lunar Ventures,https://www.eu-startups.com/investor/lunar-ventures-2/,Lunar invests in across seed stages in European infrastructure software and deeptech+software startups,VC Firm,Luxembourg,http://Lunarventures.eu,"AI, encryption, cloud, infrastructure, software, devops, data",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/lunar-ventures,[email protected],LU
Digital Space Ventures,https://www.eu-startups.com/investor/digital-space-ventures/,"Digital Space Ventures is a smart money venture fund that invests in early-stage startups. Our focus is on companies that are driving innovation and transformation in the areas of Financial Services, Data/AI, Enterprise Software, and Decentralized Technologies. Backed by experienced investors with a wealth of knowledge and expertise, our investment approach is centred around the concept of “smart money,” which means that we actively partner with the founding entrepreneurs of our portfolio companies.",VC Firm,Luxembourg,https://www.digital.space/,"FinTech, Insurance, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company-beta/7574308,[email protected],LU
BergTop VC,https://www.eu-startups.com/investor/bergtop-vc/,"We are a VC fund backed by global business angels. We invest at seed-stage and Series A in rapidly scalable startups with a focus on international markets. We're hands-on and committed to helping our founders grow. Our investments help them maximize their potential. Most companies we invest in are ""pre-series A,"" which means they've already raised some money, have some traction, and they understand what they need to grow. We have a strong bias in favor of B2B and B2B2C companies, we look at financial models, and we care about unit economics. We actively help with future fundraising rounds, marketing, sales, and management with a combination of structured mentorship.",VC Firm,Luxembourg,https://bergtop.vc,"Advertising, B2B, E-Commerce, EdTech, FinTech, InsurTech, Marketing Automation, Messaging, Productivity Tools, SaaS",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/bergtopvc,[email protected],LU
