name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Commercialisation Reactor,https://www.eu-startups.com/investor/commercialisation-reactor/,"In a nutshell, Commercialization Reactor is a platform with a mission to commercialize science via a specific paradigm: Bring Scientists and Entrepreneurs together to co-create Deep-Tech startup aimed to commercialize the Core Competence of the Scientific Team. The Entrepreneurs become responsible to fulfill business leadership-related activities, taking into a full-time focus and Scientists focus exclusively on their core competence and inhale their knowledge and skills into a product or service that Entrepreneurial Team sets as a vector for business development strategy. This paradigm of commercialization together with over 10 years of experience in creating, pre-incubating and accelerating startups currently resulted in over 100 fully-formed Science-based startup companies born in CR. Most of those received investments are from various venture funds across the globe. Ultimately, this leads to unique Science-based startup creation and performance scoring methodology that is a core know-how of Commercialization Reactor. The methodology is proven successful by a fact of an exit, which already is in the arsenal of achievements of the CR Team.",Accelerator,Latvia,https://www.commercializationreactor.com/#!/create-start-up,"BIOTECH, MEDICAL & HEALTH TECH, ENVIRONMENT, ENERGY & CIRCULAR ECONOMY, INDUSTRIAL TECH & NEW MATERIALS, SPACE, COMPUTING & ELECTRONICS",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/commercialization-reactor/about/,[email protected],LV
Actio Capital Ventures,https://www.eu-startups.com/investor/actio-capital-ventures/,"Actio Capital Ventures is a boutique investment firm dedicated to fueling the growth of innovative startups and empowering entrepreneurs to transform their bold ideas into reality. Founded by experienced entrepreneurs Eric and Zulfukar, we are passionate about supporting businesses at the pre-seed stage of their development.",VC Firm,Latvia,https://www.actiocapital.ventures/,"Health, Retail, Goods",€100k-€1.5M,Pre-Seed / Seed,,[email protected],LV
Overkill Ventures,https://www.eu-startups.com/investor/overkill-ventures-3/,"Overkill Ventures invests in pre-seed stage startups and helps them get to product-market fit. Overkill Ventures is a Nordics based angel fund that invests in pre-seed b2b tech startups across CEE and Nordics. We invest as early as angel investors do, however, have the resources, know-how and network to help startups get to product-market fit and scale from there.",Accelerator,Latvia,https://www.overkill.vc,"3D Technology, Artificial Intelligence (AI), B2B, B2C, Enterprise Software",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/overkillventures/,[email protected],LV
StartupLatvia,https://www.eu-startups.com/investor/startuplatvia/,"Startup Latvia is a government initiative boosting Latvian startup ecosystem through financial and informational support. StartupLatvia stands for innovative ideas, supports turning them into scalable businesses, and raises awareness about the Latvian start-up community abroad. It works to increase the export and competitiveness of Latvian companies, facilitate foreign investment, and implement tourism development and innovation policies - helping throughout the process of setting up operations in Latvia.",VC Firm,Latvia,https://startuplatvia.eu/,"Business Consulting, Services, Finance, Investment",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/startuplatvia,[email protected],LV
Commercialization Reactor,https://www.eu-startups.com/investor/commercialization-reactor-2/,"We create, accelerate and invest in deep-tech startups. In a nutshell, Commercialization Reactor is a platform with a mission to commercialize science via a specific paradigm: Bring Scientists and Entrepreneurs together to co-create Deep-Tech startup aimed to commercialize the Core Competence of the Scientific Team. The Entrepreneurs become responsible to fulfill business leadership-related activities, taking into a full-time focus and Scientists focus exclusively on their core competence and inhale their knowledge and skills into a product or service that Entrepreneurial Team sets as a vector for business development strategy.",Accelerator,Latvia,http://www.commercializationreactor.com,"High tech startups, High technologies, Venture entrepreneurship, Events, Investment",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/commercialization-reactor,[email protected],LV
Buildit Accelerator,https://www.eu-startups.com/investor/buildit-accelerator/,"Buildit, Accelerator of Things, for startups in hardware & IoT. We develop the IoT and Hardware success stories of the future! Buildit is an accelerator for new global success stories in hardware. Buildit is the first accelerator in the Baltic States and Nordic countries with a focus on physical devices (hardware in combination with software).",Accelerator,Latvia,http://www.buildit.lv,"Hardware, Electronics, Gadgets, Robotics, Marketing",0-€100k,Pre-Seed / Seed,http://www.linkedin.com/company/buildit,[email protected],LV
Proks Capital,https://www.eu-startups.com/investor/proks-capital/,Proks Capital supports innovative projects that we believe in rapid growth. The investment firm follows a smart money approach.,VC Firm,Latvia,https://prokscapital.lv/,"deeptech, audio technology, nano technology",€100k-€1.5M,Pre-Seed / Seed,http://N/A,[email protected],LV
Ardelta,https://www.eu-startups.com/investor/ardelta/,"VC investor, pre-seed or seed, in Europe, impact bias, sweet spot EUR 100k. Investing in early stage startups and other alternative assets with a long-term investment horizon and bias towards impact investing.",VC Firm,Latvia,http://ardelta.lv/,"impact investing, manufacturing, retail, healthcare, IT, defence",€100k-€1.5M,Pre-Seed / Seed,http://N/A,[email protected],LV
Startup Holding,https://www.eu-startups.com/investor/startup-holding/,Startup Holding is a small privately owned investment management and holding company. They invest in classified ads marketplaces and other tech-enabled marketplaces.,VC Firm,Latvia,http://www.startupholding.lv,"classified ads, marketplaces",€100k-€1.5M,Pre-Seed / Seed,http://N/A,[email protected],LV
Plasma Capital,https://www.eu-startups.com/investor/plasma-capital/,Plasma Capital is a private investment management firm specialising in disruptive technologies investments. They are specialising in short-term proprietary trading and long-term investments in disruptive technologies.,VC Firm,Latvia,https://plasma.capital,"deeptech, disrupting tech, SaaS, fintech, traveltech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/plasma-capital/,[email protected],LV
