name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Bitdefender Voyager Ventures,https://www.eu-startups.com/investor/bitdefender-voyager-ventures-2/,"Bitdefender Voyager Ventures, established by global cybersecurity leader Bitdefender, is an early-stage investment initiative focused on startups in cybersecurity, automation, and data-driven technologies. Investing at the Seed and Series A stages, Bitdefender Voyafer Ventures supports companies developing innovative solutions to real-world challenges and preparing for sustainable growth. Beyond capital, Bitdefender Voyager Ventures leverages Bitdefender’s expertise, technologies, and global ecosystem of partners to help portfolio companies build credibility, earn trust, and deliver transformative technologies to their customers.",Corporate VC,Netherlands,https://www.bitdefender.com/en-us/company/voyager-ventures,"Cybersecurity, Automation, Data Analytics, Digital Infrastructure",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",,[email protected],NL
Icecat Capital,https://www.eu-startups.com/investor/icecat-capital/,"Icecat Capital is the dedicated investment arm of Icecat N.V., a publicly listed company on the Dutch SME exchange NPEX. Based in Amsterdam, Icecat Capital focuses on investing in high-potential SaaS and platform ventures across Europe, with a particular emphasis on e-commerce, digital infrastructure, and scalable B2B solutions. ￼ Icecat Capital targets early-stage and growth-stage companies that demonstrate strong product-market fit and sustainable growth potential. The fund is especially interested in ventures that enhance digital commerce ecosystems, including areas such as: • Product Information Management (PIM) • Electronic Data Interchange (EDI) • Cloud-based SaaS platforms • Marketplace infrastructure • AI-driven content and data services",VC Firm,Netherlands,https://icecat.com/icecat-capital/,"Ecommerce, AI, PIM/DAM, Product Content, EDI",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/officialicecat,[email protected],NL
Verbeem Ventures Fund,https://www.eu-startups.com/investor/verbeem-ventures-fund/,Venture Capital Firm,VC Firm,Netherlands,https://www.verbeemventuresfund.com,AI,Above €3M,Pre-Seed / Seed,https://www.linkedin.com/company/verbeem-ventures-fund/,[email protected],NL
Startup Chattogram,https://www.eu-startups.com/investor/startup-chattogram/,"Startup Chattogram is a leading platform dedicated to fostering entrepreneurship and innovation in Global. Our mission is to empower young entrepreneurs by providing them with the tools, mentorship, and resources necessary to turn their ideas into impactful businesses.",VC Firm,Netherlands,https://startupchattogram.org/,"Agritech ,ED Tech",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/startup-chattogram,[email protected],NL
Disruptive Technology Ventures,https://www.eu-startups.com/investor/disruptive-technology-ventures-2/,"Disruptive Technology Ventures is a privately held investment firm in disruptive technologies. We believe groundbreaking technologies can help resolve the big challenges the world is facing and can improve our lives. Our mission is to bring the most promising, unique and groundbreaking new technologies to the market in their optimal business model in order to deliver the impact these technologies deserve.",VC Firm,Netherlands,https://www.dtventures.nl/,"Deep learning Big Data Internet of Things Data storage, protection and transmission, Autonomous driving Drones technology Mobility management Clean and energy efficient mobility, Advanced manufacturing tools like 3D printing and Robotics Innovative materials and nano-technology ICT supported manufacturing (eg. block chain, big data, IoT) Supply chain security and traceability",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/disruptive-technology-ventures/about/,[email protected],NL
Gilde Healthcare,https://www.eu-startups.com/investor/gilde-healthcare/,"Gilde Healthcare is a specialized healthcare investor managing over €2.6 billion across two fund strategies: Venture&Growth and Private Equity. Gilde Healthcare is headquartered in Utrecht (the Netherlands) with local offices in Frankfurt (Germany) and Boston (USA). Gilde Healthcare differentiates itself through its deep sector knowledge in healthcare, which has been acquired during the past decades. The investment team consisting of industry experts, ex-consultants and investors provides hands-on support to its managers in designing the growth strategy and by contributing domain expertise. Gilde Healthcare believes optimal value creation in healthcare is associated with better care at lower cost.",VC Firm,Netherlands,https://gildehealthcare.com/portfolio/venture-and-growth/,"Life Sciences, Healthtech, Medtech",Above €3M,Series C & Beyond,https://www.linkedin.com/company/gilde-healthcare-partners/,[email protected],NL
Aglaia,https://www.eu-startups.com/investor/aglaia/,"Aglaia invests in oncology drug development companies. The Aglaia team has decades of experience in cancer research and oncology drug development. Since 2004, Aglaia has built an excellent reputation in starting up biotech companies that focus on oncology drug development. Aglaia is committed to define the strategic directions of the companies it invests in in close collaboration with innovators and entrepreneurs. Aglaia brings hands-on experience in designing research and development plans, ranging from early screening and animal feasibility studies through clinical studies.",VC Firm,Netherlands,https://aglaia-oncology.com/,Drugs aimed at treating cancer,Above €3M,Series C & Beyond,https://www.linkedin.com/company/aglaia-biomedical-ventures/,[email protected],NL
Navus Ventures,https://www.eu-startups.com/investor/navus-ventures/,"Navus Ventures B.V. (“Navus”) is a venture capital firm aimed at high-tech and sustainable start-ups and scale-ups, part of a family office and linked to Lely (farming innovators). Founded in 2013, Navus has invested across a range of sectors and is now primarily focused on the ongoing transitions in food and energy. As a family funded VC, Navus is not subject to entry or exit pressure, invests both in typical VC setup as well as for longer holding periods and has simple governance allowing for quick decisions. Navus draws from the knowledge and network of the Lely family business, with a longstanding history in high-tech product development and successful market entry of innovations (but is not linked to the Lely business strategy). Our approach is hands-on and pragmatic, as an independent fund we can respond well to changing situations and act quickly and we support our portfolio as active shareholders with short communication lines to support management on strategic and operational matters. We value transparency and honesty in our relationship with start-ups and fellow investors.",VC Firm,Netherlands,https://navusventures.com/,"Food, Energy",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/navus-ventures/,[email protected],NL
Aletra Capital Partners,https://www.eu-startups.com/investor/aletra-capital-partners/,"Aletra Capital Partners B.V. is a hands-on investment company focused on corporate divestures of non-core business units, family owned businesses with succession issues and/or stand-alone companies requiring turnaround management or growth acceleration. In Singapore we focus on young ventures looking for a bridge financing or (pre) Serie financing.",VC Firm,Netherlands,https://aletracapitalpartners.com/,"Medtech, Diagnostics, Software, Life Sciences",€1.5M-€3M,"Series A/B, Series C & Beyond",,[email protected],NL
OXO Holdings,https://www.eu-startups.com/investor/oxo-holdings/,"OXO Group is a leading investment firm of the tech sector in the European region. It includes a network of business angels as well as various financial and strategic investors as equity partners. Our investment policy targets the funding, partial or full buyout of early stage tech ventures, accelerate their growth and market expansion and prepare them for subsequent funding rounds and exits.",VC Firm,Netherlands,https://oxoventures.eu/,"fintech, cybersecurity, adtech, HR tech, medtech and IoT, agritech, cleantech, climate tech, energy transition and circular economy",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/oxoholdings/,[email protected],NL
