name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
SINTEF Ventures,https://www.eu-startups.com/investor/sintef-ventures/,"SINTEF has developed venture funds, the latest of which is called SINTEF Venture VI Fund. It will manage a capital of some €50 million, of which EIF is investing some €20 million. This substantial investment aims to promote the creation of 10-15 new companies, leveraging SINTEF’s tradition of pioneering technological innovations. The EIF also invested in SINTEF’s previous funds – EIF invested €10 million in 2014 and increased to €15 million in 2018. Fund’s latest investments: Cartesian AS – Offers heating and cooling solutions by storing and extracting thermal energy from phase change materials. MoreScope – Provides a data-driven platform for companies and investors to use to quantify climate impact, carbon footprint and avoided emissions. Sonair – Offers a 3D ultrasonic sensor for robots. Mia Health – Offers a solution that gives individuals and companies easy and precise insight into the actual health benefits of the activity in which they are involved.",Corporate VC,Norway,https://www.sintef.no/en/,"life sciences, clean energy, ICT",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/sintef/,[email protected],NO
Construct Venture,https://www.eu-startups.com/investor/construct-venture-2/,"Construct Venture is a NOK 80M joint fund between AF Gruppen and OBOS making investments in building and construction industry.Construct Venture is an early-phase investor in ConstructionTech and PropTech, providing smart capital and industry expertise for global growth.",Corporate VC,Norway,https://www.constructventure.no,"Corporate Ventur Capital, Early stage, Investment Management",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/constructventure/,[email protected],NO
Equinor Technology Ventures,https://www.eu-startups.com/investor/equinor-technology-ventures/,"Equinor is an energy company that is engaged in the exploration, development, and production of oil and gas, as well as wind and solar power. It also sells crude oil and is a major supplier of natural gas, with activities in processing, refining, and trading. Its activities are managed through eight business areas, staff and support divisions, and has operations in North and South America, Africa, Asia, Europe and Oceania, and Norway.",Corporate VC,Norway,https://www.equinor.com/en/how-and-why/statoil-technology-invest.html,"Technology, Deep water, Oil and gas, Offshore wind, Solar",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/equinor,[email protected],NO
Eviny Ventures,https://www.eu-startups.com/investor/eviny-ventures/,"Eviny Ventures is the venture fund of the Eviny Group, which invests in start-up and growth companies that think new and have the potential to play a key role in the renewable society of the future. Eviny Ventures is an active early stage investor in companies with great potential that help accelerate the transformation towards a sustainable future. We are hands-on with founders, from seed to venture to growth. As you drive your business forward, we’ll help you prepare for the biggest possible outcomes by leveraging our solid expertise and network from 100+ years in the renewable energy industry.",Corporate VC,Norway,https://ventures.eviny.no/no,"Investment, Renewable energy, Private Equity Principals, Industrial investor",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/eviny-ventures/,[email protected],NO
Agder Energi Venture,https://www.eu-startups.com/investor/agder-energi-venture/,"Agder Energi Venture AS is the venture capital arm of Agder Energi AS specializing in seed, early, mid and late venture investments. The firm prefers to invest in companies operating in the energy sector based in Norway but will also consider making investments in international companies. Agder Energi AS was founded in 2007 and is based in Kristiansand, Norway.",Corporate VC,Norway,https://www.ae.no/var-virksomhet/fornyelse/venture/,"Angel Investment, Venture Capital, Utilities, Renewable energy, Utilities",€1.5M-€3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/agder-energi-as/,[email protected],NO
OBOS Oppstart,https://www.eu-startups.com/investor/obos-oppstart/,OBOS Oppstart is a venture arm of OBOS that invests in start-up companies where they can actively contribute to development and growth.,Corporate VC,Norway,https://www.obos.no/,"Real Estate, Commercial Property, Social responsibility, Investor",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/obos/,[email protected],NO
DNB Ventures,https://www.eu-startups.com/investor/dnb-ventures/,"DNB Ventures is the Corporate Venture Capital arm of the Norwegian DNB group. DNB is Norway's largest financial services group, offering a comprehensive range of financial solutions for individuals and businesses. Leading in digital banking, DNB serves a diverse customer base and is a key player in the Nordic region.",Corporate VC,Norway,https://www.dnb.no/,"Banking, FinTech, Financial services, Insurance, Investment banking",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/dnb,[email protected],NO
Aega ASA,https://www.eu-startups.com/investor/aega-asa/,"A solar utility stock-listed company.Aega ASA: Norwegian energy company excelling in solar power projects in Italy and the Nordics, with a strong emphasis on renewable energy and semiconductor manufacturing for large-scale photovoltaics.",Corporate VC,Norway,https://aega.no,"Energy, Renewable Energy, Solar",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/aega-as,[email protected],NO
Yara Growth Ventures,https://www.eu-startups.com/investor/yara-growth-ventures/,"Yara Growth Ventures is the venture investment team within Yara International ASA. The Yara Growth Ventures team invests in disruptive startups in the agri-food industry globally in order to advance the mission of responsibly feeding the world and protecting the planet. We are patient capital who, while always looking to make financially sound investments, invest in teams looking to change agriculture and the hydrogen economy.",Corporate VC,Norway,http://www.yaragrowthventures.com,"Agriculture, AgTech, Farming, Renewable Energy",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/yara-growth-ventures,[email protected],NO
Equinor Ventures,https://www.eu-startups.com/investor/equinor-ventures/,"Equinor Ventures invests in and supports innovative companies to shape the future of energy. Equinor Ventures is Equinor’s corporate venture arm dedicated to investing in ambitious early phase and growth companies. We believe that the innovation, creativity and agility of start-ups can drive change, and transition the energy industry towards a low carbon future.",Corporate VC,Norway,https://www.equinor.com/energy/ventures,"Sustainability, Investing, Renewable energy, Data sharing",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/showcase/equinor-ventures,[email protected],NO
