name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Joint Polish Investment Fund,https://www.eu-startups.com/investor/joint-polish-investment-fund/,"The Joint Polish Investment Fund, (""JPIF"") is a new Life Science Venture Capital Fund, which focuses on investments in Life Science companies with visible and near-term value inflection points and a prospective holding period of 3-5 years. JPIF consists of a team of people with broad experience in the life-science sector. Scientists and medical doctors with industrial experience work hand in glove with colleagues who have a thorough training in economics and business affairs. Everybody is driven by true interest in the life science field and new technologies, which will greatly contribute to people’s health disease management and quality of life. Entrepreneurs backed by JPIF have access to the knowledge and advice of each member of the JPIF team and to the associated global scientific and commercial network. Together JPIF and entrepreneurs are therefore in the position to accelerate preclinical, clinical or commercial development and a successful market entry into the most important healthcare markets: Europe, the U.S., and Asia.",VC Firm,Poland,http://www.jpifund.com/,"Life Science, Medical Technology, Mobile / Personalized Health, Diagnostics, and Drug Development",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/joint-polish-investment-fund/about/,[email protected],PL
Navivo Capital,https://www.eu-startups.com/investor/navivo-capital/,"We are a Venture Capital fund supporting European tech companies in their global expansion. We focus on companies with a global product, global ambitions, and an amazing team to deliver on these ambitions. We focus on early growth stage (late seed, Series A and B) Our team combines investment (top 10% track record with 20+ exits) and entrepreneurial experience of multiple start-ups and scaling global companies",VC Firm,Poland,https://navivo.vc/,"Fintech, Real Estate, E-Commerce, B2B, HRtech, SaaS",0-€100k,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/navivocapital/,[email protected],PL
Nunatak Capital,https://www.eu-startups.com/investor/nunatak-capital/,"Based in Warsaw, Poland, Nunatak Capital is an early-growth and seed stage Venture Capital Fund focused on the European market. Nunatak Capital was created for startups that face complex challenges and constraints as they pursue their visionary projects. Our data science expertise and belief in entrepreneurship and innovation allow us to support ambitious teams in creating unique solutions. We invest in Teams that base the value of the startups they build on Data Science solutions. We are looking not only for startups that create new technologies, but also those that use existing technology to build the potential of their products. We invest wherever Data Science is used and where technology creates the unique value proposition. The startup development stage does not restrain us, but we are most willing to invest in companies that can prove that their solution is adjusted to market needs.",VC Firm,Poland,https://www.nunatakcapital.com/,"Data Science, Data Analytics, Data Optimisation",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/nunatak-capital/,[email protected],PL
Radix Ventures,https://www.eu-startups.com/investor/radix-ventures/,Radix is a new Venture Capital Fund established by experienced investors and technology entrepreneurs based in Central and Eastern Europe with the mission to empower radical innovations.,VC Firm,Poland,https://radix-vc.com/,"DeepTech, Energy, Renewables, DevOps",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/radix-vc/,[email protected],PL
Freya Capital,https://www.eu-startups.com/investor/freya-capital/,Freya Capital is a venture capital fund supporting and financing innovative businesses making an impact on tomorrow’s world. We invest up to EUR 1 million in early-stage companies with high growth potential and international scaling ambitions.,VC Firm,Poland,https://freyacap.com/,"Marketplaces, AR, VR, HRtech, EV solutions, Food & Beverage",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/freya-cap/about/,[email protected],PL
Accelero Ventures,https://www.eu-startups.com/investor/accelero-ventures/,"Accelero Ventures was established with the Polish Development Fund and private investors. The funds invested by PFR Ventures come from the Starter program. We invest amounts up to PLN 4 million to increase the equity of companies at the pre-seed, seed or series A rund. We focus on technology companies in the area of CleanTech, BioTech, FMCG and IT / ICT, whose innovative projects will qualify as the so-called disruptive innovations.",VC Firm,Poland,https://acceleroventures.pl/en/home-2/,"CleanTech, BioTech, FMCG and IT",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/asi-accelero-ventures/,[email protected],PL
Atmos Ventures,https://www.eu-startups.com/investor/atmos-ventures/,"Atmos' mission is to invest in world class founders, who are motivated to solve the world's most challenging issues, through the use of cutting edge technologies and a data driven approach. Atmos backs innovative teams that have cracked complex scientific problems, entrepreneurs who have commercialized their expertise, companies that are indispensable to their clients and management that understands the markets they serve. Atmos partners with teams working to build these enterprises into category leaders.",VC Firm,Poland,https://www.atmos.vc/,"Robotics&Automation, Quantum Computing, AI, Infrastructure & Cloud, Hardware, IoT, Web3",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/atmos-ventures/,[email protected],PL
Cogito Capital Partners,https://www.eu-startups.com/investor/cogito-capital-partners/,"Cogito Capital Partners is a venture capital firm based in Warsaw, Poland and New York, USA. We partner with ambitious entrepreneurs and support growth of later-stage B2B tech companies with CEE footprint and products & services that have potential to scale globally and transform the key 3 sectors: Enterprise software, Fintech and Healthtech.",VC Firm,Poland,https://cogitocap.com/#about,"Enterprise Software, Healthtech, Fintech",Above €3M,Series A/B,https://www.linkedin.com/company/cogito-capital-partners/,[email protected],PL
WP2 Investments,https://www.eu-startups.com/investor/wp2-investments/,"WP2 Investments is a venture capital and venture building fund. We actively invest in scalable businesses in the areas of fintech, impact & tech (medtech, sporttech, edutech) and green energy. All of our investments are based solely on the private funds of the founders and the freedom of investment policy that goes with it. What distinguishes us in the market is ScaleUP - a proprietary program supporting portfolio companies in effective development and achievement of business goals.",VC Firm,Poland,http://wp2.investments,"fintech, greentech, impact tech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/wp2-investments/,[email protected],PL
Ragnarson,https://www.eu-startups.com/investor/ragnarson/,"Ragnarson was founded in 2006 as a small development studio that helps European startups build their software products. Over the years, we have delivered more than 60 projects, generated more than €16M in revenues, and invested in 10 startups. At Ragnarson, we specialize in supporting climate tech startups by facilitating their financing and product development. We also assist SMEs in achieving their sustainability objectives through our tailored web and mobile software solutions. Notably, 40% of our profit is reinvested in early stage impact-driven startups. What we provide: - Up to €50.000 cash investment - Up to €50.000 worth of software development services - Alignment of business, fundraising, and product goals - Entrepreneurial mentor and sparring partner - Software development teams Who are we looking for: - Early-stage with an MVP or pre-product - Software is an integral part of their solution - A positive impact on the world is as important as becoming a profitable organization - Europe-based",VC Firm,Poland,https://ragnarson.com/impact-investments,"climate tech, software",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/ragnarson,[email protected],PL
Spinaker alfa,https://www.eu-startups.com/investor/spinaker-alfa/,"SPINAKER alfa is a seed capital fund focused on early stage projects. We help startups validate their business ideas, products and connect them with industry partners during commercialization phase. We are interested in R&D projects and new companies with unique technologies. SPINAKER alfa is partnered by National Centre for Research and Development as a part of BRIdge Alfa program, providing VC financing for R&D projects, innovative SMEs.",VC Firm,Poland,https://spinakeralfa.pl/en/3301-2,"FinTech, CleanTech, HealthTech, ICT, and other industries",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/spinaker-alfa-sp-z-o-o,[email protected],PL
FIDIASZ,https://www.eu-startups.com/investor/fidiasz/,"Fidiasz ASI is a VC/PE fund created by Krzysztof Domarecki, founder of the Selena Group and co-creator of its international success. The concept of the fund is simple: we combine business experience from many markets with the experience of executives from various industries and the business ideas of innovators and creators of new technologies. We want to co-create the best and most innovative Polish products and solutions and introduce them to international markets.",VC Firm,Poland,https://fidiasz.com,"fintech,energy ,bio-agro",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/fidiasz-evc/,[email protected],PL
Xplorer Fund,https://www.eu-startups.com/investor/xplorer-fund/,"Xplorer Fund invests in pre-seed and seed technology projects. Alongside with The Polish National Centre for Research and Development (NCBiR) we invest up to 250k EUR per project, within the Innovation Program Bridge Alfa. Our main focus is technologies of ICT and (I)IOT and their applications through different business verticals e.g. MedTech, New Mobility or Digital Industries.",VC Firm,Poland,http://www.xplorerfund.com/,"Fintech, Health Care, Internet of Things, mHealth, Nanotechnology, Seed Tech",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/xplorer-fund-s-a-asi/,[email protected],PL
Carlson ASI EVIG Alfa VC Fund,https://www.eu-startups.com/investor/carlson-asi-evig-alfa-vc-fund/,"Carlson EVIG Alfa is a venture capital fund established in partnership with Carlson Ventures International Limited. The purpose of the fund is to support investments in technology projects at an early stage of development, with research and development character and global potential. It focuses on key industries for a modern knowledge-based economy, with particular emphasis on devices operating within the Internet of Things and dedicated to such areas as FinTech, MedTech and CleanTech",VC Firm,Poland,https://evigalfa.pl/en/,"B2B, B2C, CleanTech, FinTech, Internet of Things, Medical Device, SaaS, Venture Capital",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/evig-alfa-sp-z-o-o/,[email protected],PL
YouNick Mint,https://www.eu-startups.com/investor/younick-mint/,"We specialize in supporting visionary ventures during their formative phases, backing the brightest ideas that hold the potential to redefine industries. Our focus is on partnering with ambitious teams that are at the forefront of technological advancement. YouNick is an unique technology park where people come first – the employer, employee, scientist, and innovation originator.",VC Firm,Poland,http://www.younickmint.com,"Advanced Materials, Biotechnology, Food and Beverage, Health Care, Industrial, Internet of Things",€100k-€1.5M,Pre-Seed / Seed,https://linkedin.com/company/younick,[email protected],PL
ERC,https://www.eu-startups.com/investor/erc/,We are early stage investor in R&D startups with investment ticket up to 250k EUR funded under NCBR Bridge Alfa programme together with PGE Ventures as our investor partner,VC Firm,Poland,https://erc.vc/,"IoT, Robotics, Food, Autonomous Vehicles, DeepTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/epic-alfa,[email protected],PL
EKIPA Investments,https://www.eu-startups.com/investor/ekipa-investments/,"EKIPA ASI is a company that brings a new dimension to investments by challenging conventional beliefs and ideas. They specialize in providing information about projects, conducting internal team analysis, performing initial verification etc.Our mission is to support entrepreneurs in implementing their unconventional ideas . We strive to achieve financial success, but it is equally important for us to educate, inspire and help create value for the entire startup ecosystem.",VC Firm,Poland,https://ekipainvestments.pl/,"Consumer, EdTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/ekipa-investments/,[email protected],PL
Corvus Ventures,https://www.eu-startups.com/investor/corvus-ventures/,"Corvus Ventures is an early-stage venture capital fund focused on CEE. We invest in fast-growing young tech projects managed by exceptional entrepreneurs. Our primary focus is on internet, mobile and information technology related projects. We like XaaS and marketplace business models but we will consider others businesses, as well. We invest early and are keen to be your first institutional investor, although some traction is needed.",VC Firm,Poland,https://corvus.vc/,"Marketplaces, SaaS, Energy, Mental Health",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/corvus-vc,[email protected],PL
bValue Fund,https://www.eu-startups.com/investor/bvalue-fund/,"bValue Fund is a specialised growth equity investment firm that partners with tech and tech-enabled businesses in Central and Eastern Europe. The Fund is investing across 2 distinctive strategies seed and growth always aligning its interest with outstanding founders. The firm manages 100m EUR growth equity fund which is a leading source of growth capital for ambitious entrepreneurs in CEE, investing 5-15m EUR in single investment. We offer regional category leaders looking for international growth a unique combination of strategic and tactical support.",VC Firm,Poland,https://bvaluefund.com/,"SaaS, Healthcare, E-Commerce, AI",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/bvalue.vc/,[email protected],PL
Y Experiment,https://www.eu-startups.com/investor/y-experiment/,"Y Experiment Yx is a startup studio specializing in building cutting-edge hi-tech products and providing IT expertise to startups and investors. They focus on validating opportunities, creating minimum viable products, and supporting the global startup. Y Experiment is a startup studio focused on hi-tech products and support of the global startup ecosystem",VC Firm,Poland,http://yexperiment.com,"IoT, VR, Industry 4.0, IT Services, IT Consulting",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/y-experiment/about/,[email protected],PL
Brave Venture Capital,https://www.eu-startups.com/investor/brave-venture-capital/,"BRAVE Venture Capital is a group of funds investing in dynamically developing ventures at an early stage of development with global aspirations. Our investment horizon is from 4 to 14 years. We are interested in solutions in the area of: Internet, IoT & hardware, RES and Life Science, with particular emphasis on: MedTech and BioTech. Our fund is the founder of BRAVE Seed Fund, operator of WARMIA I MAZUR CAPITAL FUND and KUJAWSKO-POMORSKIE FUNDUSZ KAPITAŁOWEGO, which are a joint venture of Bank Gospodarstwa Krajowego and a group of private investors. Key employees of BRAVE Venture Capital have successfully completed dozens of investments, including the co-creation and management of Seed Funds, one of the most recognizable funds supporting innovative start-ups in Poland.",VC Firm,Poland,https://brave.vc,"Mobile Apps, Software, SaaS, Fintech, Crypto",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/brave-venture-capital,[email protected],PL
4growth VC,https://www.eu-startups.com/investor/4growth-vc/,4growth VC is a VC fund investing in technologies. We invest in technologies in areas where we can bring the most non-financial value (smart money) to portfolio companies. Contact us with your business idea and explore the Venture Capital sector.,VC Firm,Poland,https://4growthvc.pl/,"E-Commerce, MedTech, Machine Learning, Healthcare",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/4growth-vc/,[email protected],PL
Assay Group,https://www.eu-startups.com/investor/assay-group/,"Assay is an independent investment fund that invests in startups redefining everyday products and services, minimizing risks and maximizing profits through market-driven initiatives.We also provide business consulting services for entities that are interested in optimization and dynamic acceleration. Our goal is to invest in young, promising companies and support their development in a way that allows for maximizing operational competitiveness on the Polish and international market. First and foremost, we are interested in innovative and non-secondary solutions implemented in areas with high growth potential. Thanks to comprehensive and active support of the Portfolio, we strive to achieve rates of return that are rarely seen on the market.",VC Firm,Poland,https://assay.pl,"Electromobility, Apps, Software, Health, Biotech, Retail, Cybersecurity",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/assaygroup,[email protected],PL
AIP Seed,https://www.eu-startups.com/investor/aip-seed/,"Our goal is to be the first investor in top CEE startups. Get in touch if you are at day one of building a global tech company. With more than 110 investments, AIP Seed is the largest fund in Poland and among the largest in CEE.",VC Firm,Poland,https://aipseed.com/,"HRtech, Proptech, EdTech, FoodTech, Beauty, Circular Economy",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/aip-seed/,[email protected],PL
Altamira,https://www.eu-startups.com/investor/altamira/,"We named Altamira (meaning ‘aim high' in Spanish) after the famous cave that houses prehistoric paintings. For us, it is a symbol of the power and creativity of the human mind, reaching back millennia. As an equity investor and partner in company development, we cooperate with teams who demonstrate the ambition to achieve technological breakthroughs in their fields. We expect this to translate into significant revenue potential from international markets. We invest our money, time, competence, and contacts - and we only get involved where there is the potential for true partnership and cooperation with a company's founders. We are interested in modern technology that finds a practical use in physical – not virtual – reality, mostly employed for industrial production in the chemical, pharmaceutical, or medical device industries.",VC Firm,Poland,https://altamira.pl/en/,"CleanTech, Chemical, Pharma, MedTech",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/altamira-vc,[email protected],PL
Aligo Venture Capital,https://www.eu-startups.com/investor/aligo-venture-capital/,We support #HealthTech and #CleanTech innovators at every stage of building and developing valuable companies using innovative technologies with global potential. We invest 0.2-1 M Euro. We support entrepreneurs and technologies that matter.,VC Firm,Poland,https://aligo.vc/,"Biotechnology, Energy, Health Care, Life Science",€100k-€1.5M,Pre-Seed / Seed,https://pl.linkedin.com/company/aligovc,[email protected],PL
Online Venture,https://www.eu-startups.com/investor/online-venture/,"Online Venture is a collective of talented programmers, SEO specialists and content creators. We create comprehensive solutions. We manage websites with high traffic and invest in promising ventures in the online industry. We have the ambition to reach tens of millions of Polish and foreign Internet users with a quality product.",VC Firm,Poland,http://www.onlineventure.pl,"Marketplaces, Media websites, Internet, Mobile, Sport, SEO",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/online-venture,[email protected],PL
SpeedUp Energy Innovation,https://www.eu-startups.com/investor/speedup-energy-innovation/,"SpeedUp Energy Innovation was created thanks to the partnership of PGE Ventures, PFR Ventures, the National Center for Research and Development (NCBR) and SpeedUp Group. The fund invests in companies in the growth and market expansion phase, especially those looking for opportunities to enter and scale their operations on foreign markets. The SpeedUp Energy Innovation investment ticket is EUR 1 million with the possibility of a so-called follow-on of up to EUR 4 million. The investment target is companies from industries and sectors that are at least 80% within the area of ​​interest of the PGE Capital Group, as well as companies that go beyond the investment strategy in max. 20%, but are characterized by particularly impressive operating results. By establishing cooperation with the fund, you gain not only financing of up to PLN 20 million, but also a solid and experienced partner who will support your company's operations in the long term and help it enter the next stages of development, as well as obtain the financing needed to implement them.",VC Firm,Poland,https://speedupenergyinnovation.com,"information technology, energy, climate tech",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",,[email protected],PL
Pomerangels ASI S.A.,https://www.eu-startups.com/investor/pomerangels-asi-s-a/,"POMERANGELS is specially designed to invest alongside business angels and syndicates. We back high potential Poland-based businesses together with strong group or syndicate of private angel investors who are looking to make a good commercial investment. Our fund is specially designed to invest alongside business angels and syndicates. The fund invests across Poland and will consider proposals for businesses at all stages of development, with main focus on post-revenue stage.",VC Firm,Poland,http://www.pomerangels.com/,"MedTech, Consumer Eletronics, ICT, Autonomous technologies, New materials, Biotech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/36019407,[email protected],PL
Scanderia Venture,https://www.eu-startups.com/investor/scanderia-venture/,"By investing capital, we put our knowledge and heart into all our projects. The team of experts of the Scanderia Venture fund consists of several dozens years of experience gathered in business practice, which now support the creators of ideas in which we believe. Everyone, even the best businesses, have been beginners at some point and we know that it is not easy to start. On the way from idea to product, we can meet at the idea stage, because our specialty is supporting projects at an early stage. Together with innovators, we develop, improve and introduce them to the market.",VC Firm,Poland,https://scanderiaventure.com/,BioTech and MedTech,€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/scanderia-venture/,[email protected],PL
SATUS Starter,https://www.eu-startups.com/investor/satus-starter/,"SATUS Starter is a venture capital focused on seed and series A investments between $ 100-1M in in Central and Eastern Europe. We are interested in AI & Big Data, SaaS, AR & VR, Industry 4.0, FinTech, blockchain, cybersecurity and marketplace startups.",VC Firm,Poland,https://satus.vc,"Artificial Intelligence (AI), Big Data, Blockchain, Cyber Security, FinTech, Impact Investing, Internet of Things, Marketplace, SaaS, Virtual Reality",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/satus-starter-vc,[email protected],PL
Precapital,https://www.eu-startups.com/investor/precapital/,"Precapital is a private investment fund with a mission to revitalize underutilized urban areas through building renovations and promoting interesting and aesthetically pleasing architecture. They support the growth of young companies. Private investment fund with a focus on real estate, technology and renewable energy.",VC Firm,Poland,http://www.precapital.pl,"Real estate, Technology, Renewable energy, Investment Management",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/precapital/,[email protected],PL
RKKVC,https://www.eu-startups.com/investor/rkkvc/,"RKKVC is part of a single-family office. The fund is based in Warsaw, Poland, but invests throughout Europe and the United States. Our main focus is on software companies, mainly deep tech and B2B SaaS, but we are flexible and open to breakthrough companies from other areas. RKKVC is founder-oriented. The investment team actively supports its portfolio companies with its network and previous entrepreneurial experience throughout every stage of the founders' journey.",VC Firm,Poland,https://rkkvc.com/,"Mobility, SpaceTech, Robotics, AR, Computer Vision, AI, Cybersecurity, Hospitality, DeepTech, Healthcare, Retail",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/rkkvc/?originalSubdomain=pl,[email protected],PL
