name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Olisipo Way,https://www.eu-startups.com/investor/olisipo-way/,"Olisipo Way is an Early Stage Venture Firm focused on IT investments. Our investments are varied in terms of business areas but we have a natural tendency for B2B projects. We speak the same language as entrepreneurs, the language of business. More than investors, we are also entrepreneurs. Our priority is the choice of the right people and the creation of a community that works as a plus in the lives of our startups.",VC Firm,Portugal,https://olisipoway.com/home,"Adtech, AI, Food Delivery, Food Tech, Transportation",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/olisipoway/,[email protected],PT
Faber VC,https://www.eu-startups.com/investor/faber-vc/,"We invest in teams transforming the world with technology. Faber is a Lisbon-based venture capital firm investing in outstanding entrepreneurs who innovate at the intersection of science and technology to drive digital transformation and climate action. The firm combines a specialist focus on deep tech early stage startups with dedicated funds, investment teams, and expert advisors to actively help founders build global companies powered by AI/data or climate/ocean technologies. Faber’s unique approach in Southern Europe is led by an entrepreneurial management partnership and backed by notable thesis-driven institutions and private investors. Investing since 2013, the firm has been an early investor in hard tech companies such as Unbabel, SWORD Health, Codacy, iLoF, Smartex or YData.",VC Firm,Portugal,https://faber.vc/,"AI/Data, Climate/Ocean Tech and Web3",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/faber-vc/,[email protected],PT
COREangels EnterpriseTech,https://www.eu-startups.com/investor/coreangels-enterprisetech/,"First international VC specialized in Total Experience, focused on disruptive solutions for Customer or Talent acquistion, retention and engagement. We invest in Europe & USA",VC Firm,Portugal,https://www.coreangels.com/angel-groups/enterprisetech,SaaS B2B Adtech MarTech HRTech,€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/coreangels-enterprisetech,[email protected],PT
3XP Global,https://www.eu-startups.com/investor/3xp-global/,"3XP Global is an Asset Management firm that aggregates a unique track record in terms of ESG Integration in the Investment Process and Active Role by supporting founders during the all life of the investments cycle. Sustainability Best Practices for Sustainable Investments are our Ethos! Being the first financial company as a B Corp in Portugal, 3xP Global has the 17 United Nations SDG’s (Sustainable Development Goals) as key core values, sustained by the idea that along with sustainability comes return. We are UN PRI signatories and follow the GRI Standards Reporting. 3XP Global invests in companies whose sustainable trends and practices create real value for investors while contributing to a more Sustainable EARTH. Regulated and supervised by Portuguese Securities Market Commission (CMVM), 3XP Global ensures full Transparency, Integrity and Independence. We are fully committed to lead all investments to increase companies' sustainability levels into business models. Therefore, 3XP Global provides the leading platform Grow Sustainable connecting founders to international markets, from Europe to Asia and America.",VC Firm,Portugal,https://www.3xpglobal.eu/,"Impact Investments; Health and Life Sciences, ESG",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/3xpglobal/about/,[email protected],PT
Massar International,https://www.eu-startups.com/investor/massar-international/,"Massar Associates, the predecessor organization of Massar International, was founded by Palestinian businessman Bashar Masri in 1994 as a vehicle to promote sustainable economic development in Palestine. Massar is an Arabic word meaning ""path"". The name symbolizes the vision of its founder to create a company which would successfully link the very best of local professionalism in Palestine with international best practices and an understanding of Western management perspectives in order to integrate the Palestinian economy fully into the global economy.",Corporate VC,Portugal,http://www.massar.com,"Association, Government, Non Profit, Investment Management, Financial, Real State",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/massar-international,[email protected],PT
PROEF,https://www.eu-startups.com/investor/proef/,"Proef develops integrated solutions for the IT, Telecom, Power, Cities and Corporate sectors.Proef is a company that develops integrated solutions in a turnkey model for the Telecom, Power, Cities, and Corporate sectors. They aim to drive and lead change in the industry by working closely with customers, partners, and employees",Corporate VC,Portugal,https://proef.com/en,"Electricity, Telecommunications, IT, Renewable Energy, IoT",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/proefgroup,[email protected],PT
Bright Pixel,https://www.eu-startups.com/investor/bright-pixel/,"Former Sonae IM, Bright Pixel Capital is a venture capital company with a global aim, financially driven and oriented to make businesses prosper. We have the power of transformational change across our DNA sectors: Cybersecurity, Retail Technologies, Digital Infrastructure and Emerging Technologies. Envisioned as the tech investment arm of Sonae Group, a Portuguese multinational with a diversified portfolio of innovative brands, Bright Pixel Capital has invested over 250M€ in the first 5 years in more than 50 direct investments, and will continue this path using our expertise to spot unique opportunities with the potential to change an industry.",Corporate VC,Portugal,https://brpx.com/,"Cloud Infrastructure, Cyber Security, Financial Services, IT Infrastructure, Telecommunications, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/brightpixelcapital/,[email protected],PT
Startup Braga,https://www.eu-startups.com/investor/startup-braga/,"At Startup Braga we know that success is only possible with work and the right tools, so our mission is to provide entrepreneurs with the support and knowledge they need to achieve their goals. In partnership with Microsoft, Startup Braga is a leading innovation hub, designed to assist the inception and development of high potential entrepreneurial projects for international markets. We provide business pre-acceleration, acceleration, and incubation programs, as well as facilitated access to investment sources, for startups with global ambitions.",Accelerator,Portugal,http://startupbraga.com/,"Sustainability, Accelerator, Incubator, Investment Management, Digital",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/startup-braga,[email protected],PT
Startup Lisboa,https://www.eu-startups.com/investor/startup-lisboa/,"Startup Lisboa mentorship-driven pre-seed to series A stage incubator for tech startups. Startup Lisboa is an incubation program based in downtown Lisbon with work and residence spaces to welcome startups from all over the world. Founded in 2012 by the Lisbon Municipality, Montepio Bank and IAPMEI, it's a private non-profit association that provides physical and virtual incubation.",Accelerator,Portugal,http://www.startuplisboa.com,"Financing, Incubation, Coaching, Mentoring",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/startup-lisboa,[email protected],PT
Startup Lighthouse,https://www.eu-startups.com/investor/startup-lighthouse/,"Startup Lighthouse is committed to developing cross border connections within and beyond Europe. The project lights the way for startups within Europe by organising 8 Deep Dive Weeks in 4 ecosystems, meeting over 1,600 different ecosystem players in specific themes and culminating with a Lighthouse Award each year. Startup Lighthouse is a Startup Europe initiative.",Accelerator,Portugal,http://startuplighthouse.eu,"Technology, Information, Internet services, Blockchain, Healthcare",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/startup-lighthouse/,[email protected],PT
