name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Sofortgmbh,https://www.eu-startups.com/investor/sofortgmbh/,"At Romanian Invest, we specialize in supporting startups in Romania from the ground up. We’re more than just a business formation agency – we’re your strategic partner throughout the entire journey. We help entrepreneurs establish their Romanian companies quickly and efficiently, navigating all legal and administrative steps with ease. But our support doesn’t stop there. If you have a promising idea, we offer financial backing to help bring your vision to life. Our focus is primarily on the IT and AI sectors, but we are open to investing in other innovative fields as well. We believe in the power of bold ideas and ambitious founders. In exchange for our investments, we usually take an equity stake in the company, aligning our success with yours. With our local expertise, professional network, and capital support, we empower startups to grow, scale, and succeed in the Romanian and international markets. Let’s build the future – together.",Accelerator,Romania,https://firmengrundung-rumanien.eu/,"IT, AI, Construction",0-€100k,Series C & Beyond,,[email protected],RO
Smart Impact Capital,https://www.eu-startups.com/investor/smart-impact-capital/,"We are an enthusiastic, professional team of investors and subject matter experts with diverse expertise in business. We invest in CEE region, at early and very early stages, small tickets 10-100k. We impact businesses with a solid social or environmental return. We accelerate you & prepare to series A.",VC Firm,Romania,https://impactcapital.ro/,"Digital Health, Crowdfunding, B2B software, Fintech",0-€100k,Pre-Seed / Seed,,[email protected],RO
Hellen’s Rock Capital,https://www.eu-startups.com/investor/hellens-rock-capital/,"Hellen's Rock is a single family office with diversified assets under management. Its venture capital fund partners with innovative doers and thinkers who have the know-how and vision to build game-changing companies. Our investments are driven by the overarching goal of inspiring and improving the lives of current and future generations. We support people who share our goal of exploring new ideas to build a more connected world - a world where everyone has access to wellbeing, education, finance and entertainment. Our Founder, Sacha Dragic, is a serial entrepreneur from CEE who gained valuable experience in launching a wide range of initiatives before founding the Superbet Group - a European market-leading multi-billion business that attracted one of the world's largest private equity funds - the Blackstone Group - to invest €175 million to accelerate Superbet's global business expansion.",VC Firm,Romania,https://www.hellensrock.com/,"Media & Entertainment, Health & Wellbeing, Fintech",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/hellensrock/,[email protected],RO
Netopia Ventures,https://www.eu-startups.com/investor/netopia-ventures/,Netopia Ventures provides venture capital to game changers and disruptors. The company focuses on platform-driven ecosystems that are e-tail and fintech-centric and generate network effects with scalability at the regional level.,Corporate VC,Romania,https://netopia.ventures,"Finance, FinTech, Venture Capital, Innovation",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/netopia-ventures,[email protected],RO
Broadcast Content Fund,https://www.eu-startups.com/investor/broadcast-content-fund/,"The Broadcast Content Fund aims to help the sustainable growth of Scotland’s broadcast production sector, encouraging the development of new projects, the scaling up of already successful activities and the production of commissioned programmes. The Fund has an allocation of £3m for the period 2018/19 and will prioritise projects which have the potential to generate lasting benefits to build companies of scale, reflect or promote Scottish culture, creativity and diversity, as well as projects which offer significant opportunities to people currently under-represented in the screen sector.",Corporate VC,Romania,https://www.screen.scot/funding-and-support/screen-scotland-funding/broadcast-content-fund,"Financial Services, Movies, Videos, Sound, Funding",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/screen-scotland,[email protected],RO
Banca Transilvania,https://www.eu-startups.com/investor/banca-transilvania/,"Banca Transilvania (BT) is the Bank for Entrepreneurial People in Romania. BT is ranked 2nd amongst Romanian banks, in terms of assets. Banca Transilvania’s mission is to support the development of the business environment, through innovative products and services, offered with professionalism. The bank’s history began in Cluj-Napoca in 1994, at the initiative of a group of business people.",Corporate VC,Romania,https://www.bancatransilvania.ro/en,"Asset Management, Banking, Financial Services, Lending",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/banca-transilvania/,[email protected],RO
Arsat Group,https://www.eu-startups.com/investor/arsat-group/,"Wieland Ventures is a corporate venture company and part of the Wieland Group, the world’s leading supplier of semi-finished products and components made of copper and copper alloys. The investments of Wieland Ventures support the Wieland Group’s innovation and growth strategy. The target investment areas include (e)mobility and recycling. Beyond providing growth capital, they offer startups access to the knowledge and broad market networks of Wieland.",Corporate VC,Romania,https://www.arsat.ro/,"Aerospace, Automotive, Aviation, Aerospace",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/arsat-industries/,[email protected],RO
Underline Ventures,https://www.eu-startups.com/investor/underline-ventures/,"Underline Ventures invests at the seed stage, including pre-seed, seed, and late seed rounds, often collaborating with other investors whom they can help founders connect with. Their average investment is €500k. The firm assists founders in defining appropriate strategies, milestones, and priorities as their companies progress from seed to Series A, while also facilitating connections with capital and talent. Prediction Capital strongly believes in founders maintaining control of their companies and aligns its interests for the long term with the entrepreneurs it backs. While subscribing to the founders' strategies, the firm also provides a valuable critical perspective to help guide decision-making and growth.",VC Firm,Romania,https://underline.vc/,"Manufacturing, Dev Tools, Travel Tech, Cybersecurity, Software",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/underline-vc/,[email protected],RO
Early Game Ventures,https://www.eu-startups.com/investor/early-game-ventures/,"Early Game Ventures is an early-stage VC focused on identifying and investing in the best tech startups in Central and Eastern Europe, with a focus on Romania. The fund focuses on 11 themes, both B2B and B2C with special focus on Enterprise Software, Cybersecurity, Dev Tools and Ed Tech, targeting founders addressing big markets. Driven by a conviction-based approach, Early Game Ventures prefers to lead investments at Pre-Seed stage, while also investing at Seed stage and in follow-ons at Series A. Sweet spot initial ticket is €500,000 - €2 million per startup with the capacity to invest up to €6 million per company over time. The fund supports rapid globalization of its portfolio companies and provides direct in-depth advice to help founders overcome the 0 to 1 hurdles.",VC Firm,Romania,https://earlygame.vc/,Enterprise Software; Cybersecurity; Dev tools; Ed Tech; AI; Mobility; Agri Tech; Energy Tech; Fin Tech; Health Tech; Media & Mar Tech,€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/early-game-ventures/,[email protected],RO
Fortech Investments,https://www.eu-startups.com/investor/fortech-investments/,"Fortech Investments is an investment fund and strategic partner for early-stage start-ups in Energy, Healthcare, Manufacturing, Automotive, and FinTech. Fortech Investments focuses on early-stage startups, offering funding tickets ranging from €100,000 to €500,000 in pre-seed and seed rounds. Beyond financial support, they provide smart money and strategic assistance to their portfolio companies. As a strategic investor and partner, Fortech Investments leverages its technical and business expertise to help founders make better and quicker decisions.",VC Firm,Romania,https://www.fortechinvestments.ro/,"Automotive, EdTech, Energy, FinTech, Health Care, Manufacturing, Medical, Real Estate",0-€100k,,https://www.linkedin.com/company/fortechinvestments,[email protected],RO
