name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Volvo Cars Tech Fund,https://www.eu-startups.com/investor/volvo-cars-tech-fund/,We aim to build and nurture a portfolio of high-potential startups in the mobility space that can scale and become our closest partners to help us create better and more competitive products and services.,Corporate VC,Sweden,https://www.volvocars.com/intl/v/tech-fund/,"Mobility, IoT, Computer Vision, VR/XR, Automotive",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/volvocars/about/,[email protected],SE
STOAF,https://www.eu-startups.com/investor/stoaf/,"STOAF, is an early stage VC fund, registered as an AIF under the EuVECA framework. Started in 2008, STOAF is now operating its third fund, STOAF III SciTech. The focus is on early stage investments in sustainable research based spin-outs within deep tech and life sciences.",VC Firm,Sweden,https://stoaf.se/,"Sustainable Energy Technologies, Advanced ICT, Advanced Industrial Technologies, Life Sciences",Above €3M,Series C & Beyond,https://www.linkedin.com/company/stockholms-aff-rs-nglar-ab/,[email protected],SE
Oxx Ventures,https://www.eu-startups.com/investor/oxx-ventures/,"Oxx partners with the most promising European B2B software companies at the scale-up stage. As a specialist SaaS investor, Oxx provides each entrepreneur with a support system of unique specialist expertise and network, and a culture of unfaltering partnership and absolute conviction. The firm’s strategy is built around the concept of “Go-To-Market Fit”, developing a structure for thinking about how to build a repeatable, sustainable growth engine that accelerates and propels the growth of SaaS companies. Oxx was founded by Richard Anton and Mikael Johnsson in 2017 and is headquartered in London and Stockholm.",VC Firm,Sweden,https://www.oxx.vc/,"AI, Cybersecurity, HRtech, Martech, B2B, SaaS, Climate",€1.5M-€3M,Series A/B,https://www.linkedin.com/company/oxx-vc/,[email protected],SE
Goose Valley Ventures,https://www.eu-startups.com/investor/goose-valley-ventures/,"Investing in Nordic FinTech & Impact stars. Goose Valley is invested in some of the leading FinTechs in the Nordics: Klarna, Lunar, Open Payments, Receipt Hero, Indo. The name Goose Valley comes from the U-shaped valley Lapporten, a symbol of Sweden and its magnificent nature. In Northern Sami it is called Čuonjávággi which translates into Goose Valley.",VC Firm,Sweden,https://goosevalley.vc/,"Fintech, Payments, Digital Banking, Lending, Insurtech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/goose-valley-ventures/,[email protected],SE
eEquity,https://www.eu-startups.com/investor/eequity/,"eEquity is a sector-focused fund, investing in the intersection between technology and retail including companies with physical products, digital services and software. We actively invest in the digital space, having led 40 platform investments deploying over EUR 420 million. Our preference is to invest as the first institutional investor. Our investments range from EUR 5-20 million per company. Typically, we take large minority ownership stakes and dedicate substantial time and resources to guide, support and nurture our portfolio companies.",VC Firm,Sweden,https://www.eequity.se/,"Consumer Brand, Reseller, Technology",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/eequity/,[email protected],SE
D-Ax Corporate Venture Capital,https://www.eu-startups.com/investor/d-ax-corporate-venture-capital/,"D-Ax is a partnership between Axel Johnson, a Swedish retail conglomerate and RECAPEX, a Nordic Investment company. Axel Johnson’s aim with D-ax is to invest in digital entrepreneurial companies. The ambition is to increase the trading group’s digital resources. As one of the Nordic region’s leading trading groups, Axel Johnson aims to meet with customers across all contact channels and develop new digital offers. The ambition is to is to increase the trading group’s digital resources. The firm looking for entrepreneurial digital companies that do business in trading and services. The companies should have achieved a certain level of sales and have a proven business model. While they may be e-commerce companies, this is not a must; they might also be companies that work with other digital business ideas within the spectrum covering online marketing, data transparency and data analysis.",Corporate VC,Sweden,http://www.d-ax.se,"Finance, Financial Services, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/d-ax/,[email protected],SE
BillerudKorsnäs Venture,https://www.eu-startups.com/investor/billerudkorsnas-venture/,BillerudKorsnäs Venture invests in startups that will define tomorrow’s packaging solutions. We look for companies with financially and environmentally sustainable packaging products and services and a dedicated team. BillerudKorsnäs Venture is a wholly owned subsidiary of BillerudKorsnäs.,Corporate VC,Sweden,https://www.billerudkorsnas.com,"Packaging Services, Paper Manufacturing, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/billerudkorsn-s-ab,[email protected],SE
Collector Ventures,https://www.eu-startups.com/investor/collector-ventures/,"Collector Ventures is the investment vehicle of of Collector Bank, founded by Lena Apler.Collector Bank is a digital niche bank providing personal loans, credit cards, savings accounts, e-commerce payment solutions, factoring, and corporate lending with a strong emphasis on innovation and entrepreneurship.",Corporate VC,Sweden,https://www.collector.se/,"Financial Services, Sustainability, Complaint, Data protection",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/collector,[email protected],SE
Telia Ventures,https://www.eu-startups.com/investor/telia-ventures/,"Telia Ventures invests in consumer and enterprise markets focusing on cloud, mobile, and security. Telia Ventures looks for companies with the capability to become leaders in their segments. They invest in Series A and B rounds and their geographical focus is Northern Europe and other selected innovation hubs. Telia Ventures is the venture capital arm of Telia Company.",Corporate VC,Sweden,https://www.teliacompany.com/en/about-the-company/our-operations/telia-ventures/,"Business Development, Consumer, Enterprise, Financial Services, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://linkedin.com/company/teliacompany,[email protected],SE
Bonnier Ventures,https://www.eu-startups.com/investor/bonnier-ventures/,"Launched as Bonnier Growth Media in 2013, Bonnier Ventures is the venture arm of media group Bonnier. As a financially driven corporate venture investor, they make minority investments in fast growing digital technology companies across multiple growth stages. Bonnier Capital is the investment division of the Bonnier Group, a Swedish based family owned group within media, publishing and real estate. The Bonnier Group has partnered with entrepreneurs for almost 200 years to enable innovation and the fostering of ideas and new businesses.",Corporate VC,Sweden,http://www.bonnierventures.com,"Digital Media, Finance, Financial Services, Venture Capital, Investment",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/11392105/,[email protected],SE
