name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
Vision Ventures,https://www.eu-startups.com/investor/vision-ventures/,"VC fund focused on pre-seed and seed investments in Slovakia. We seek and actively connect ideas, people and a capital for the exponential growth of a company. We support ideas or companies at the beginning of their journey. We are not just a passive investor, we also have experience, skills and energy to actively help our companies achieve mutual success.",VC Firm,Slovakia,https://visionventures.vc/,"Consumer, Medtech, Drones, Robotics, Food",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/visionventures/,[email protected],SK
Neulogy Ventures,https://www.eu-startups.com/investor/neulogy-ventures/,"We founded Neulogy Ventures to finance and develop talented entrepreneurs and help their companies succeed in the global market. Neulogy Ventures builds on our thorough knowledge of the local tech scene, our deep and wide network of mentors and advisors from Silicon Valley to Vienna, and years of realizing equity investment transactions as both investors and entrepreneurs. We know both sides of the early-stage investment world and offer our portfolio companies unique expertise based on our past experience as entrepreneurs, investors and transaction managers. Neulogy Ventures is the first ever Slovakia-based management company to run fully regulated seed and VC funds structured along the highest industry standards.",VC Firm,Slovakia,http://www.neulogy.vc/,"Software, Healthtech, Natural Language Processing, AI, Consumer Electronics",€100k-€1.5M,Pre-Seed / Seed,http://www.linkedin.com/company/neulogy-ventures,[email protected],SK
Zero One Hundred,https://www.eu-startups.com/investor/zero-one-hundred-2/,"We are here to help foster businesses from their earliest stages to their expansion. Be it just an early-stage venture with a few months of operations or innovative advanced business, we want to support it. Successful businesses are often started by mature founders who have several years of work experience and do not conform to the status quo. That’s why we are looking for professionals or ambitious talents who have a knack for solving market failures and those who embody leadership and efficient problem-solving qualities.",VC Firm,Slovakia,http://www.zerogravitycap.com,"AI, MedTech, Big Data, Streaming, Proptech, Smart City, Fintech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/zeroonehundred/,[email protected],SK
Innovations and Technologies Fund (FIT),https://www.eu-startups.com/investor/innovations-and-technologies-fund-fit/,"Fond FIT: Venture capital fund supporting innovative projects and fostering entrepreneurship for a more innovative economy. Venture capital fund focused on projects in: Seed Stage, Startup Stage, Growth Stage and/or Expansion. The mission of the Innovation and Technology Fund is to support business initiatives in the form of providing risk capital and thus develop business, employment and the economy towards an innovative economy. It was created as a response to the emerging demand for venture capital to support entrepreneurs with ideas and is the result of cooperation between the Slovak Business Agency (SBA) and investors.",VC Firm,Slovakia,http://www.fondfit.sk,"Environment, Renewable energy sources, Industrial innovation, E-commerce, Information technology, Telecommunications",€100k-€1.5M,Pre-Seed / Seed,,[email protected],SK
Fond fondov,https://www.eu-startups.com/investor/fond-fondov/,"Fond fondov was established by the National Agency for Development of Small and Medium sized enterprises uback in 1994 to manage the Start-up Capital Fund financed by the National PHARE Programme. The fund's resources facilitated the foundation and development of many small and medium-sized enterprises. Fond fondov was a Bratislava, Slovakia based venture capital firm. The firm invested in the sectors including software, logistics and environmental services.",VC Firm,Slovakia,http://www.fondfondov.sk,"Software, Logistics, Environmental services, B2B, B2C",€100k-€1.5M,Pre-Seed / Seed,,[email protected],SK
365.fintech,https://www.eu-startups.com/investor/365-fintech-2/,"365.fintech is VC focused on providing financing and support to early to scale-up stage technology startups. Besides financing, 365.fintech is uniquely positioned to enable its portfolio companies to develop, test and pilot their products and services in a live regulated setting. As part of a forward-looking banking grup, we help our startups to accelerate their market entry by preferential access and roll-out in banking environment.",VC Firm,Slovakia,https://www.365fintech.vc,"B2B, B2C, fintech, insurance tech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/18594526,[email protected],SK
Zero One Hundred,https://www.eu-startups.com/investor/zero-one-hundred/,"Zero One Hundred is a venture capital company founded by builders, supported by a unique entrepreneurial ecosystem, backing the best startups from Emerging Europe. With our Fund II, we go all-in in Emerging Europe. 21 countries, a 200M population, local talent in the global spotlight, and untapped opportunities. From the Baltics to Central Europe to the Balkans and Eastern Mediterranean, we support the best startups on their path to success. With our unique strategy of complementary investments combined with state-of-the-art venture capital technology we capture the most lucrative regional returns.",VC Firm,Slovakia,https://www.0100.vc/,"Blockchain, E-Commerce, AR/VR, Fintech, Mobile Games, AI, B2B, Healthcare",€100k-€1.5M,Series A/B,https://www.linkedin.com/company/zeroonehundred,[email protected],SK
Crowdberry,https://www.eu-startups.com/investor/crowdberry/,"Crowdberry is the leading private investment group in growth capital and debt financing for private and institutional investors in Czechia and Slovakia. Crowdberry manages an ECSP regulated alternative investment platform that allows private investors to directly invest and finance specific companies and real estate projects. Crowdberry manages EUR 120m+ of capital and a portfolio of 100+ start-up, SME and real estate investments through the alternative investment platform and managed investment funds.",VC Firm,Slovakia,https://www.crowdberry.eu,"Pharma, Manufacturing, E-Commerce, Biotech, Precision Medicine, Food, Diagnostics",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/crowdberry,[email protected],SK
CB Investment Management,https://www.eu-startups.com/investor/cb-investment-management/,"CB Investment Management is managing an investment fund to support young Slovak companies with international potential. We provide growth capital and support during and after the investment process from setting up internal processes to strategy and exit management. Along with the investment, the companies will also gain knowledge and experience from the world of start-ups and multinational corporations, including access to the network of 3,000 investors of the largest Czech-Slovak alternative investment platform Crowdberry. CB Investment Management is a subsidiary of the Crowdberry investment platform, which connects private investors with Slovak and Czech companies with global potential. Crowdberry investors become co-owners of these companies and can actively help them grow.",VC Firm,Slovakia,https://www.cbim.sk/,"B2B, B2C, energy, financial services, healthcare, and technology",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/cb-im/,[email protected],SK
CB ESPRi,https://www.eu-startups.com/investor/cb-espri/,CB ESPRI is the manager of a fund to support businesses and non-profit organizations with a positive social impact. The fund will be to invest in the period of 2022 and 2023 up to 10.5 mil. euro,VC Firm,Slovakia,https://www.cbespri.sk/,"Impact Investing, Social Impact",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/cbespri/?originalSubdomain=sk,[email protected],SK
