name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
Upwordo â App to Learn German with Micro Stories,https://www.eu-startups.com/directory/upwordo-app-to-learn-german-with-micro-stories/,Switzerland,"Upwordo is an ad-free language learning platform that helps users build German vocabulary through ultra-short “Micro Stories,” offering focused practice in bite-sized audio and interactive exercises.","Upwordo is an innovative language learning service specializing in German vocabulary acquisition through its unique Micro Stories approach. The platform delivers short, quirky, and context-rich stories - each just one to two minutes long - with targeted vocabulary integrated into each narrative.
Learners receive new micro stories regularly via app, email newsletter, or podcast, allowing them to practice and repeat words in consistent, memorable contexts until mastery.
Upwordo stands out by prioritizing deep learning over gamification, using a minimalist, distraction-free interface and avoiding ads altogether. Learners access a growing library of hundreds of micro stories with exercises like fill-in-the-blank challenges, personalized vocabulary drills, and audio listening tasks.
Accessible both on desktop and mobile browsers with no downloads required, Upwordo offers a free story each week and expanded access through its subscription. With an engaged community of thousands, including a top-ranked podcast listeners and newsletter subscribers, Upwordo appeals to learners who want effective, enjoyable, and lasting results.",Zurich,"edTech, language learning, app",No funding announced yet,2024,https://upwordo.com/,Active,https://www.linkedin.com/company/upwordo,CH
ubertiger,https://www.eu-startups.com/directory/ubertiger/,Switzerland,"Professional search engine optimization (SEO) and search engine advertising (SEA) freelancer for local companies, SMEs and B2B startups that works – throughout Switzerland and internationally.","ubertiger is your agency for professional search engine optimization (SEO) that truly works – locally, throughout Switzerland, and internationally. We help local businesses, SMEs, and B2B startups be found more easily on Google and other search engines and grow visibility online. Our focus is on sustainable SEO strategies, clean on-page optimization, local SEO, and optional link building for measurable results. We analyze, optimize, and support you over the long term – without empty promises. ubertiger drives your business forward – with a clear plan, transparent collaboration, and a genuine interest in your success.",Lucerne,"seo, sea, sem, ppc",No funding announced yet,2024,https://www.ubertiger.com,Active,https://www.linkedin.com/company/ubertiger,CH
DeepDocs,https://www.eu-startups.com/directory/deepdocs/,Switzerland,AI that updates docs when you ship code,"DeepDocs is a GitHub AI agent that automatically keeps your docs like API documentation, SDK guides, and tutorials in sync with your codebase, so you never have to manually update them again.
Key Features
- Continuous Documentation: Automatically detects and updates out-of-sync docs whenever your codebase changes—no manual effort required.
- Intelligent Updates: Preserves your existing doc format and structure without rewriting from scratch.
- Deep Scan: Scans your entire repository to fix broken docs
- Syncs Everything: Supports every type of documentation—from single files to full directories, across monorepos or separate docs repos.
- GitHub Native: Integrates smoothly into your GitHub workflow and works with tools like Mintlify or Docusaurus.
- Privacy First: Your code repositories are never stored on our servers—only processed ephemerally when needed.
Benefits
- Save Time: Stop wasting time updating API docs, and user guides after every change. DeepDocs handles it automatically for you
- Delight Your Users: Whether it’s internal team mates or external customers, your users will love you for keeping your docs accurate, complete, and always up to date.
- Prevent Documentation Drift: Keep your high-level docs tightly aligned with your evolving code, so nothing goes out-of-date or misleading.
- Ship with Confidence: Merge code without worrying about the docs. DeepDocs ensures your documentation keeps pace with your pull requests.",Basel,"Developer Tool, Automate documentation , GitHub docs automation, LLM documentation updates",No funding announced yet,2025,https://deepdocs.dev/,Active,,CH
Videreo GmbH,https://www.eu-startups.com/directory/videreo-gmbh/,Switzerland,"Videreo is a social-commerce travel platform that turns creators into travel sellers. Our AI-powered technology transforms their videos into personalized storefronts, interactive travel guides, and a chat-based booking experience, all bookable and fast to launch. Instead of relying on traditional ads, brands pay a commission only when bookings happen, which we split with the creators.",,Zurich,"SaaS, TravelTech, Mobile Video, Platform",Between €100K-€500K,2024,https://videreo.com/,Active,https://www.linkedin.com/company/videreo/,CH
Exped Tribe,https://www.eu-startups.com/directory/exped-tribe/,Switzerland,"The business model might not be groundbreaking and resembles a classic expedition company/mountaineering company, yet our marketing efforts and approach to lead generation is, as well as the type of trips and activities we offer (many pioneer expeditions). 

Our company targets active, adventurous and young users, willing to explore the mountains and secluded areas worldwide with selected mountain guides. 

Exped Tribe develops unique and innovative expeditions to the remotest corners of the earth, as well as adventures in Switzerland, led by experienced mountain guides.",,Erstfeld,"expedition travel, tour operator, mountaineering, sustainable adventures",Between €100K-€500K,2023,https://expedtribe.com/,Active,https://www.linkedin.com/company/exped-tribe/,CH
PaperCheck,https://www.eu-startups.com/directory/papercheck/,Switzerland,"PaperCheck is an AI-powered academic proofreading platform that helps students confidently hand in their work and optimize for the best grade. Featured in Zuger Zeitung and other publications, PaperCheck provides precise feedback on structure, language, and clarity. Its most popular features include argument analysis to strengthen reasoning, a citation checker to ensure accuracy, and logical error detection for consistency. The tool also helps plan remaining tasks efficiently and prepares students for thesis defenses with tailored practice questions and actionable feedback. Affordable and fast, PaperCheck empowers students to submit their work with confidence, ensuring no critical errors are overlooked.","PaperCheck is an AI-powered proofreading service designed to help students improve the quality of their academic papers including Theses, Research Papers and Dissertation quickly and affordably. Offering instant and detailed feedback on structure, clarity, and content, PaperCheck empowers students and researchers to refine their work with precision.
Beyond basic proofreading, PaperCheck includes features such as task planning to help manage remaining steps in the writing process, ensuring students stay on track. The platform also offers a unique defense preparation tool, which generates potential defense questions and allows students to practice their responses, receiving constructive feedback to boost confidence.
With specialized models tailored for academic writing, PaperCheck’s AI delivers targeted and in-depth analysis, far exceeding what general tools provide. It highlights areas for improvement without rewriting content, encouraging students to strengthen their own work. Available at a fraction of the cost of traditional proofreading services, PaperCheck makes high-quality academic feedback accessible to all, helping students reach their full potential.","Zug, zug","Academic Writing, AI proofreading, Thesis Defense Prep",No funding announced yet,2024,https://papercheck.ai/,Active,https://www.linkedin.com/company/papercheck/posts/?feedView=all,CH
Tensor Suisse AG,https://www.eu-startups.com/directory/tensor-suisse-ag/,Switzerland,"Tensor Suisse AG is a Swiss-based investment vehicle dedicated to decentralized artificial intelligence. Modeled after MicroStrategy’s treasury approach, the company strategically accumulates and delegates Bittensor ($TAO) to generate compounding validator yield. Operating under a regulated Swiss equity structure with 10 million bearer shares, Tensor Suisse offers professional and qualified investors long-term exposure to the infrastructure layer of decentralized AI, without token custody or fund complexity.","Tensor Suisse AG (in Gründung) is an institutional-grade equity vehicle based in Zug, Switzerland, designed to provide direct and compliant exposure to the emerging sector of decentralized artificial intelligence. Our model draws inspiration from MicroStrategy’s strategic balance sheet approach — but instead of Bitcoin, our core focus is Bittensor ($TAO), a protocol enabling open-source machine learning through a decentralized validator network.
Our business model centers around three compounding value pillars:
Strategic accumulation of $TAO at early-stage valuations
Validator participation, producing protocol-native staking rewards (approx. 14–18% p.a.)
Equity-based NAV growth, rotating investor capital into the treasury with increasing traction
We are currently conducting a CHF 250,000 private placement for 4.25% equity (on a CHF 5.75M pre-money valuation), with ticket sizes starting at CHF 25,000. Investors benefit from early-stage access, a clear equity structure under Swiss law (no token), and exposure to a $50B+ market opportunity in AI and decentralized infrastructure.
Our structure avoids regulatory bottlenecks by not issuing tokens or managing third-party assets. Instead, investors receive shares in a Swiss AG with TAO as the underlying treasury engine — building long-term NAV, validator revenue, and future optionality (subnet participation, listing, M&A).
This investment is suited for professional investors, angels, and family offices looking for early access to disruptive infrastructure in AI and crypto, under a clear European legal framework.",Zug,"Decentralized AI, Bittensor TAO, Swiss equity, Crypto infrastructure, Validator staking",No funding announced yet,2025,https://www.tensorsuisse.com/,Idea Stage,https://www.linkedin.com/company/tensorsuisse/,CH
Generation Impact Global SA,https://www.eu-startups.com/directory/generation-impact-global-sa/,Switzerland,Software solution for non financial data management and RegTech,"At Generation Impact Global, we build software that helps organisations make sense of their non-financial data—understanding risks, spotting opportunities, and showing the impact they’re making.  As a RegTech company, we work where regulation, innovation, and technology.   Our goal is to make powerful tools for sustainability and compliance accessible to everyone—through clear, affordable, and easy-to-use software.  We’re proud to be a female-founded company, guided by the UN Sustainable Development Goals. We support equal rights (SDG 5), work with policymakers to strengthen institutions (SDG 16), and build partnerships to drive change (SDG 17).   We believe managing impact and compliance shouldn’t be complicated—or expensive. It should be something every organisation can do well.",Geneva,"RegTech, DeepTech, Sustainability, Innovation",Between €500K-€ 1 million,2022,https://generationimpact.global/,Active,https://www.linkedin.com/company/generation-impact-global,CH
Neo-hypotheque,https://www.eu-startups.com/directory/neo-hypotheque/,Switzerland,We connect you with the best experts to finance your property in Switzerland.,,Vevey,"mortgage, advisor, lending",No funding announced yet,2024,https://www.neo-hypotheque.ch/,Active,https://www.linkedin.com/company/neo-hypotheque,CH
ekona,https://www.eu-startups.com/directory/ekona/,Switzerland,"ekona is a Swiss AI engineering boutique based in Basel, specializing in the development of trustworthy, production-grade AI solutions for highly regulated industries. 

We combine deep domain expertise in pharma and life sciences, supply chain and manufacturing, financial services and more to deliver tailored AI systems that meet the highest standards of Swiss quality, compliance, and eco-conscious innovation.

Our lean, senior-led teams co-create with clients, focusing on scalable architectures, MLOps excellence, and agent-based systems that move beyond prototypes to real-world impact.",,Basel,"AI, Agents, Machine Learning",No funding announced yet,2025,ekona.ai,Active,https://www.linkedin.com/company/ekona/,CH
