name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
Dawiso,https://www.eu-startups.com/directory/dawiso/,Czechia,"Dawiso is an AI-powered data catalog and knowledge management platform that centralizes business glossaries, data catalogs, lineage, and more, making it easier for teams to discover, collaborate, and trust their data.","Founded in 2019 and headquartered in Prague, Dawiso is an independent software company with a clear mission: to make data governance practical and affordable for businesses of all sizes. While traditional solutions often remain complex and limited to technical specialists, Dawiso emphasizes usability, quick adoption, and engagement across the entire company.
The company develops its own data governance platform, which centralizes business glossaries, data catalogs, data lineage, and knowledge management into one place. With strong AI capabilities and integrations to popular databases and BI tools, Dawiso’s solution enables organizations to understand their data, ensure transparency, and build a stronger data culture.
Active across industries such as finance, insurance, and technology, Dawiso supports enterprises in Europe and beyond, offering flexible deployment models in the cloud, on-premises, or hybrid environments. The company is privately held and continues to expand its reach by partnering with system integrators and data consultancy firms.",Prague,"SaaS, Data Catalog, AI context, Knowledge sharing",No funding announced yet,2019,https://www.dawiso.com/,Active,https://www.linkedin.com/company/dawiso,Czechia
TimTodo,https://www.eu-startups.com/directory/timtodo/,Czechia,"TimTodo is a simple SaaS built for agencies that need clarity instead of complexity. It lets teams manage projects and tasks with deadlines, track time, and instantly see profitability of clients, projects, and team members. Agencies can generate reports, create invoices directly from logged work, and collaborate transparently with both colleagues and clients. Designed from agency feedback, TimTodo focuses only on what really matters and continues to evolve to stay even more intuitive and user-friendly.","TimTodo is designed with agencies in mind — creative, marketing, digital, or software teams that juggle multiple projects, clients, and deadlines every day. Many agencies told us they avoid using project tools altogether because existing solutions are overloaded with features and too complex to adopt. That’s exactly why we built TimTodo: to give agencies a tool that focuses on the essentials and makes their work easier, not harder.
With TimTodo, agencies can create and manage projects, assign tasks with deadlines, set priorities, and keep every team member aligned. Built-in time tracking lets employees log hours on tasks effortlessly, while managers gain full visibility into where time is spent. By defining hourly rates and internal costs, agencies can immediately see the profitability of each project, client, or even individual team member. This helps answer the most critical questions: Are we charging enough? Which projects are losing money? Where is our team’s time best invested?
The platform also simplifies reporting and invoicing. Agencies can generate clear reports for internal use or client transparency, and turn tracked work into professional invoices in just a few clicks. This not only saves admin time but also ensures that no billable hour is lost.
Collaboration is straightforward: team members can comment on tasks, attach files, and share updates without switching tools. Clients can also be granted access to specific projects, creating transparency and building trust.
TimTodo isn’t about giving you every possible feature — it’s about giving agencies the right features. Simple, focused, and practical. And we’re committed to evolving the platform further, making it even more intuitive and user-friendly, so agencies can keep doing what matters most: delivering great work and growing profitably",Prague,"Agencies, Time tracking, Profitability, Task managemen",No funding announced yet,2025,https://timtodo.com,Active,,Czechia
Moneysky.app,https://www.eu-startups.com/directory/moneysky.app,Czechia,"MoneySky is a comprehensive financial tracking application that automates budget management and provides real-time financial insights. The app offers both manual and automated finance tracking capabilities, allowing users to sync unlimited bank accounts, automatically import transactions, and monitor stock market investments and digital wallets.
Designed for individuals seeking to streamline their personal finance management, MoneySky eliminates manual data entry while providing comprehensive budget oversight and net worth tracking in a secure, user-controlled environment.",,Prague,"finance, budget, investments, automation",No funding announced yet,2025,https://moneysky.app/,Active,https://www.linkedin.com/company/moneysky-app/,Czechia
Clickadu,https://www.eu-startups.com/directory/clickadu/,Czechia,"Clickadu is a global advertising network whose main goal is to connect advertisers with high-quality audiences and help publishers monetize their traffic. By offering diverse ad formats and worldwide reach, Clickadu ensures measurable growth for advertisers and sustainable revenue for publishers.","Clickadu is a global advertising network built to connect ambitious advertisers with publishers who want to maximize the value of their traffic. Since our founding in 2014, we’ve grown into one of the most recognized performance-driven ad tech companies worldwide, delivering billions of impressions daily across every major format.
Our mission is simple: to make digital advertising more effective, transparent, and profitable for everyone involved. We serve a wide spectrum of verticals, from iGaming and Entertainment to Finance, E-commerce, and Utilities, with campaigns active in over 240 geographies. Whether it’s Tier-1 markets like the US and Western Europe or fast-growing regions across LATAM, Africa, and Asia, Clickadu ensures advertisers reach the right users, while publishers unlock new revenue opportunities.
Innovation is at the heart of what we do. We’ve invested heavily in technology that prioritizes targeting precision, fraud prevention, and real-time optimization. Our self-serve platform empowers partners to manage campaigns with full control, while our dedicated account teams provide strategic guidance to drive long-term results.
Beyond the numbers, Clickadu is defined by its culture. We are a team of international professionals who thrive on experimentation, collaboration, and measurable impact. We believe in moving fast, learning continuously, and celebrating wins together.
We are privately held and have scaled sustainably without external funding, which allows us to keep our focus sharp: creating the most flexible and effective solutions for advertisers and publishers worldwide.
At Clickadu, we’re not just moving ads — we’re powering growth stories.",Prague,"traffic source, ad network, affiliate marketing",No funding announced yet,2014,https://www.clickadu.com/,Active,https://www.linkedin.com/company/clickadu,Czechia
NeDieta,https://www.eu-startups.com/directory/nedieta/,Czechia,"NeDieta – revoluce ve vztahu k jídlu a zdraví

NeDieta není jen další dietní program, ale úplně nový přístup k výživě a péči o tělo. Staví na vědomém kousání, respektu k přirozeným signálům těla a kvalitě potravin, nikoli na restrikcích nebo kalorických tabulkách. Pomáhá lidem zbavit se stresu ze stravování, zlepšit trávení a obnovit zdravý vztah k jídlu – což vede k dlouhodobému zlepšení zdraví a životní energie.

Projekt nabízí jasně definovaný systém, který může být snadno implementován jako online program, aplikace nebo součást wellbeing služeb firem. Díky unikátnímu mixu psychologie, výživy a mindfulness má velký potenciál na trhu zdravého životního stylu, který každoročně roste o desítky procent.

Investice do NeDiety znamená vstup do perspektivního segmentu, kde lidé hledají skutečnou změnu, nikoli dočasná řešení. Je to příležitost stát se součástí inovace, která změní způsob, jak lidé jedí a vnímají své zdraví.","NeDieta – nové paradigma ve zdravém stravování a životním stylu
NeDieta není klasická dieta ani přísný jídelníček. Je to holistický koncept, který klade důraz na vědomé jedení, hluboký respekt k signálům vlastního těla a kvalitu potravin. Místo omezování a počítání kalorií učí uživatele, jak si vybudovat zdravý, udržitelný vztah k jídlu, který snižuje stres, podporuje lepší trávení a přirozenou regulaci váhy.
Základní pilíře NeDiety jsou:
Vědomé kousání a pomalé jedení: pomáhá lepšímu trávení a sytosti.
Respekt k přirozeným potřebám těla: naučí člověka poslouchat a reagovat na skutečné signály hladu a nasycení.
Kvalita potravin nad kvantitou: důraz na čerstvé, minimálně zpracované a živiny bohaté suroviny.
Psychologie stravování: odbourání negativních vzorců a stresu spojeného s jídlem.
Projekt NeDieta je připravený jako škálovatelný online program, který může být rozšířen o aplikaci, workshopy, nebo B2B služby pro firmy, které chtějí zlepšit wellbeing svých zaměstnanců. Tento přístup má potenciál oslovit širokou skupinu – od jednotlivců hledajících zdravější životní styl až po korporace, které chtějí podpořit zdraví a produktivitu svých týmů.
Trh s wellness a zdravým stravováním roste rychlým tempem a NeDieta přináší inovaci tím, že nevsází na krátkodobé diety, ale na dlouhodobou změnu vztahu k jídlu a sobě samému. To přináší vyšší míru udržitelnosti výsledků a loajality uživatelů.
Investice do NeDiety znamená příležitost být součástí konceptu, který má potenciál stát se významným hráčem na trhu zdraví a wellness, s možností rychlé expanze a multiplatformního rozvoje.",Uherské Hradiště,"dieta, jezení, zdraví, energie",No funding announced yet,2020,https://www.facebook.com/nedieta,Active,,Czechia
mÅ¯jBrand,https://www.eu-startups.com/directory/mujbrand/,Czechia,můjBrand is an AI-powered platform that helps anyone create a professional brand in minutes.,"můjBrand is a smart app that helps you create a brand that makes sense to you, your customers, and the world.
For freelancers, business owners, startups, and agencies.
No more guessing where even to start.
No more “every expert says something different.”
Most importantly, no more hours were spent staring at a blank page that was supposed to be your brand.
What do you get?
✔️ Clear brand values
✔️ An archetype that reflects your approach
✔️ A communication style that resonates with your audience
✔️ Suggested colors, fonts, and a moodboard
✔️ A complete brand profile in just minutes
Are you an investor or interested in collaboration?
Get in touch at [email protected] and request our pitch deck.
We’d love to take you behind the scenes of what’s coming next.
Enough with the trial and error.
Create the DNA of your brand!",Prague,"Smart, Fast, Personal, Branding",No funding announced yet,2025,https://mujbrand.cz/,Active,https://www.linkedin.com/company/mujbrand,Czechia
PostFlow,https://www.eu-startups.com/directory/postflow/,Czechia,"One space to create, collaborate, schedule and publish your social media posts. One click, all platforms, hours saved.",,Prague,"social media, social media scheduler, social media management",No funding announced yet,2021,https://postflow.app,Active,https://www.linkedin.com/company/postflow-app,Czechia
Nadles,https://www.eu-startups.com/directory/nadles/,Czechia,"We help API providers start selling APIs within minutes. White-label user portal, world's most advanced monetization engine and globally distributed API gateway are ready to help you sell API products.",,Prague,"API, monetization, subscriptions, payments",No funding announced yet,2020,https://www.nadles.com/,Active,https://www.linkedin.com/company/nadles/,Czechia
GuideGlare,https://www.eu-startups.com/directory/guideglare/,Czechia,"GuideGlare is a comprehensive AI platform that revolutionizes how you create, edit, and optimize content. Whether you're a marketer, content creator, or entrepreneur, our tools help you work more efficiently with better results.",,Pilsen,"ai, artificial intelligence",No funding announced yet,2023,https://www.guideglare.com/,Active,,Czechia
TeleStore,https://www.eu-startups.com/directory/telestore/,Czechia,A new international marketplace for browser-based games and web applications,"TeleStore aims to reinvent the digital marketplace by making it fair, flexible, and truly accessible for both developers and users from all over the world.
The heart of TeleStore’s philosophy is the commitment to developers and creators. The platform aims to simplify the process of launching and monetizing projects. No legal entity is required to get started — a major advantage for small studios and indie developers. Early adopters can benefit from a built-in promotional budget, giving their games or apps free exposure within the platform and a real chance to gain visibility without upfront marketing spend.
One of TeleStore’s key strengths is its commercial model. The platform fee is capped at just 15%, significantly lower than the 30% industry norm. Some developers can also count on a system of dynamic discounts, depending on the size and activity of their audience. On top of that, TeleStore ensures fast and smooth payouts, with no cash flow gaps. Developers can easily withdraw their earnings in cryptocurrency via the platform’s integrated crypto service partner.
TeleStore is just getting started, and now is the perfect moment for developers from all over the world to join, stand out, and grow alongside the ecosystem. Unlike older and more established platforms, TeleStore offers a simpler, more adaptable environment — from onboarding to monetization.
More than just a marketplace, TeleStore is a global space where creators get real support, visibility, and opportunities. TeleStore’s goal is to build a vibrant, developer-first community — and now is the ideal time to become a part of it.",Prague,"marketplace, web apps, browser games, web development",No funding announced yet,2025,https://tele.store/,Active,https://www.linkedin.com/company/telestore-marketplace,Czechia
