name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country,longBusinessDescription
clockin,https://www.eu-startups.com/directory/clockin/,Germany,"clockin ramps-up the Deskless Workforce to the 21st. century! The deskless workforce isn’t resisting digitalization - today's software just isn’t built for them. clockin is the simplest and most intuitive B2B SaaS platform to digitalize and empower deskless workers worldwide, transforming paper-based processes into efficient, data-drivenworkflows and let them benefit from the latest AI-technologies. Having a key-focus on SMBs (<100 employees) clockin focusses on the ""forgotten market"" - 99% of all companies have less than 100 employees and are heavely underdigitalized.",Münster,"b2b, saas, hr-tech",Between €2.5 million-5 million,2018,https://www.clockin.de,Active,https://www.linkedin.com/company/clockinzeiterfassung/,DE,
Emproof,https://www.eu-startups.com/directory/emproof/,Germany,Emproof provides security solutions for embedded systems that address multiple layers of the software security stack.,Bochum,"security, embedded devices, software protection",Between €1 million-€ 2.5 million,2021,https://emproof.com,Active,,DE,
Buchbaum.de,https://www.eu-startups.com/directory/buchbaumde/,Germany,"Buchbaum.de is a modern book exchange platform that makes reading affordable and sustainable. Members send books, earn points, and use them to order titles from others in the community. This helps reduce costs while lowering the ecological footprint of the book industry.",Berlin,"book exchange, sustainable reading, affordable books, sharing community",No funding announced yet,2023,https://buchbaum.de/,Active,https://de.linkedin.com/company/buchbaum,DE,
shopvibes,https://www.eu-startups.com/directory/shopvibes-2/,Germany,"shopcibes centralizes and optimizes product data, ensuring error-free listings across 70+ eCommerce channels. With AI content generation and real-time analytics, brands save time, reduce returns, and scale sales faster",Munich,"PIM, eCommerce Listing Automation, Product Data management",Between €500K-€ 1 million,2022,https://www.shop-vibes.de/,Active,https://www.linkedin.com/company/shopvibes/?viewAsMember=true,DE,"shopvibes is an AI-powered PIM and Feed Management platform for eCommerce brands, manufacturers, and retailers. It centralizes product data, improves quality, and automates listings across 70+ channels like OTTO, Wayfair, Galaxus, and XXXLutz. With shopvibes, teams save up to 90% of listing time while reducing errors and ensuring compliance with retailer requirements. The built-in AI Content Studio generates and translates product descriptions, while analytics and price tracking deliver real-time insights to boost sales. Trusted by leading Home & Living brands, shopvibes simplifies expansion into new markets, maintains a consistent brand presence across channels, and provides a single source of truth for product data—making eCommerce operations faster, smarter, and more scalable."
Find-Your-Software,https://www.eu-startups.com/directory/find-your-software/,Germany,"Find-Your-Software revolutionizes digital decision-making by enabling companies to select tailored software solutions independently. Powered by advanced AI and a broad database across ERP, HR & ESG, it replaces consultancy dependence with fast, transparent recommendations. The MVP proves feasibility; its broad application supports sustainable business transformation. By democratizing access to technology and reducing barriers to digitalization, it accelerates innovation and competitiveness across industries.",Potsdam / Berlin,"Software selection, consulting, ERP, HR",Between €100K-€500K,2024,http://find-your-erp.de,Active,https://www.linkedin.com/company/sectorlens/,DE,"Find-Your-Software – the intelligent platform for software selection
Find-Your-Software is an AI-powered platform that enables companies to make informed software decisions in just a few minutes – tailored, transparent, and without requiring in-depth expertise. The solution analyzes a company’s specific requirements and delivers a customized shortlist of suitable providers. Instead of months of manual research, users receive a qualified selection of relevant software solutions – including data on functionalities, implementation experience, and future viability.
By combining AI technology, market data, and best practices, automated, individualized preselection of enterprise software becomes possible for the first time. Within just six minutes, users receive a reliable decision-making foundation. The platform spans a wide range of software markets and creates genuine market transparency – from comprehensive ERP systems to specialized applications.
Find-Your-Software serves both companies and consultancies: companies benefit from rapid orientation in a complex market, while consultancies use the Selection Portal to support full software selection projects in a methodically structured way – from requirements gathering to contract analysis.
Find-Your-Software fundamentally transforms the software selection process: for the first time, strategic, data-driven preselection is possible – automated, transparent, and clearly structured. The platform was developed by Sectorlens GmbH, a university spin-off based in Potsdam specializing in AI-driven data analysis and digital decision support."
ConbaseAI,https://www.eu-startups.com/directory/conbaseai/,Germany,"The #1 AI for E-commerce. Instantly generate SEO content from your CSV — product descriptions, meta titles, ad copy & more.",Stuttgart,"software, ai",No funding announced yet,2023,https://conbase.ai/,,https://www.linkedin.com/company/conbase-ai/,DE,"Conbase.ai helps e-commerce teams instantly generate thousands of product descriptions, bullet points, meta titles, and ad copy — directly from a spreadsheet. Our enterprise-grade AI platform offers zero-markup pricing, infinite scale potential, and a library of ready-to-use prompt templates."
suchimpuls,https://www.eu-startups.com/directory/suchimpuls/,Germany,"Suchimpuls is an agency specializing in digital visibility, based in Augsburg, Germany.
We help businesses strengthen their online presence in a targeted way and generate high-quality inquiries. Our focus is on developing intelligent SEO strategies that uncover the true intent behind every search query. We use innovative AI-powered SEO methods to achieve top rankings in established search engines like Google while also building visibility in emerging AI-based search systems.
Through measurable results and transparent collaboration, we create the foundation for sustainable growth and support companies in establishing themselves as digital authorities.",Augsburg,"SEO Strategy, SEO Consulting, AI SEO, Technical SEO, Google Ads",Between €1-€100K,2025,https://www.suchimpuls.de,Active,https://www.linkedin.com/in/florian-podewils/,DE,"Suchimpuls is a specialized digital visibility agency based in Augsburg, Germany, dedicated to helping businesses strengthen their online presence and achieve measurable growth. We focus on creating intelligent, data-driven SEO strategies that go beyond keywords to uncover the real intent behind every search query.
By integrating advanced AI-powered SEO techniques, we ensure our clients secure top rankings in established search engines like Google while also building and maintaining visibility within emerging AI-driven search platforms. This dual approach allows businesses to stay competitive in both traditional and next-generation search landscapes.
Our process is grounded in transparency, measurable results, and a deep understanding of each client’s unique goals and industry. From strategic planning to technical optimization and high-quality content creation, we deliver solutions tailored to generate qualified leads, enhance brand authority, and drive long-term digital success."
Aurelytix,https://www.eu-startups.com/directory/aurelytix/,Germany,"Aurelytix is an AI-driven financial intelligence platform that transforms how CFOs and finance teams work. Its flagship module, InsightPulse, connects ERP, CRM, and other data sources in real time to detect anomalies, forecast trends, and deliver actionable insights. Built for GDPR compliance in EU data centers, Aurelytix empowers companies to make faster, data-led decisions with confidence.",Hamburg,"Augmented Finance, Human Focus, AI",No funding announced yet,2025,https://aurelytix.com,Active,https://www.linkedin.com/company/aurelytix,DE,
Heimat Software,https://www.eu-startups.com/directory/heimat-software/,Germany,"Heimat is a B2B SaaS startup building a Skill & Resource Management platform that helps people-centered organizations like consultancies, IT-service companies or tech departments utilize their employees to their full potential by helping give employee competencies and potential a platform and providing AI-based project staffing assistance.",Stuttgart,"skills, ai-based project staffing, resource management",Between €100K-€500K,2024,www.heimat-software.com,Active,https://www.linkedin.com/company/heimat-software-gmbh,DE,"Heimat is a B2B SaaS startup building a Skill & Resource Management platform that helps people-centered organizations like consultancies, IT-service companies or tech departments utilize their employees to their full potential by helping give employee competencies and potential a platform and providing AI-based project staffing assistance."
HIBS Germany,https://www.eu-startups.com/directory/hibs-germany/,Germany,"HIBS Germany specializes in international business expansion and market entry strategies for companies seeking growth in Germany and Europe. From business immigration and company setup to tax consulting and networking at German trade fairs, HIBS provides end-to-end support for global enterprises aiming to establish a strong presence in the European market.",Hannover,"business expansion to europe, hannover robotic city, immigartion in germany, german residence permit",Between €500K-€ 1 million,2007,https://www.hibs-germany.com/,Active,,DE,"HIBS Germany is a premier consulting firm dedicated to helping businesses expand into Germany and the broader European market. We provide comprehensive solutions that cover every stage of market entry, including company registration, branch office setup, business immigration services, legal compliance, and taxation for international companies in Germany. Our team specializes in delivering tailored market research and Germany market entry strategies designed to minimize risk and accelerate success.
Beyond setup, we support clients with business networking opportunities through Germany’s leading trade fairs and events, ensuring they connect with the right partners and stakeholders. Whether you are a startup exploring Germany investment opportunities or an established enterprise looking for cross-border business solutions, HIBS ensures seamless expansion backed by deep local expertise and a global perspective."
RechnungsAPI,https://www.eu-startups.com/directory/rechnungsapi/,Germany,API-Compliant German E-Invoices: Save Development Time and Legal Effort. Generate all German business documents (incl. XRechnung and ZUGFeRD) with a single integration.,Hamburg,"e-invoice,saas,api,accounting",No funding announced yet,2025,https://www.rechnungs-api.de,Active,,DE,"What the SaaS Does
RechnungsAPI is a Software-as-a-Service (SaaS) solution that lets businesses create legally compliant German e-invoices and other important business documents via a single, user-friendly API. This significantly cuts down on development time and reduces legal effort.
With RechnungsAPI, you can generate not only invoices but also credit notes, quotes, orders, purchase orders, and delivery notes. The platform supports common formats like XRechnung and ZUGFeRD and offers customizable designs for your PDF documents, allowing for easy integration into existing systems."
iknowly,https://www.eu-startups.com/directory/iknowly/,Germany,"iknowly is a platform where users book 1:1 video calls with professionals in Germany to get support with job applications, career advice, or studying. It’s a simple way to access real-world guidance from people who’ve been there.",Stuttgart,"career guidance, mentoring, job search, education",Between €100K-€500K,2025,https://www.iknowly.com/,Active,https://www.linkedin.com/company/iknowly,DE,"iknowly is a platform that connects jobseekers, students, and newcomers in Germany with professionals from top companies through 1:1 video consultations. Users can book personalized career, job, or study guidance directly from verified experts. The platform is flexible, easy to use, and helps users gain real insights based on lived experience in the German job and education market."
