name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,country,longBusinessDescription,companyStatus,linkedin
Overchat AI,https://www.eu-startups.com/directory/overchat-ai/,Estonia,"Overchat AI is an all-in-one platform that unifies multiple leading AI models, including ChatGPT, Claude, and Gemini, into a single application. It helps users write, chat, generate images and videos, and complete tasks easily without switching between different apps.","Harjumaa, Tallin","Artificial Intelligence, AI, Chat, Tool, Tools, Software As A Service, Software, SaaS, Freemium, Generator",No funding announced yet,2024,https://overchat.ai,EE,,,
GiBSeS OÃ,https://www.eu-startups.com/directory/gibses-ou/,Estonia,"GiBSeS OÜ designs and delivers vendor-independent, end-to-end technology ecosystems that turn complexity into measurable business value. Our USP: we fuse engineering, digital innovation, and strategy into turnkey solutions that scale.",Tallin,"Technology Synergy, Vendor-Independent, Scalable Ecosystems, ROI-Driven Innovation",Between €100K-€500K,2025,www.gibses.com,EE,"Most companies accumulate fragmented technologies that slow them down instead of accelerating growth.
GiBSeS OÜ solves this problem with a unique vendor-independent, end-to-end model:
We start from user experience and strategic goals, not from a specific tool.
We combine engineering,  prototyping, digital platforms, and R&D into coherent architectures.
We deliver turnkey solutions, from concept to operational handover.
This approach reduces implementation risks, maximizes ROI, and creates ecosystems that work for your business—not the other way around.",Active,https://www.linkedin.com/company/gibses
KnowUp,https://www.eu-startups.com/directory/knowup/,Estonia,Seamless in-app training through embedding academy directly into your SaaS product.,Harju,"Customer Education, LMS",No funding announced yet,2025,https://knowup.io/,EE,,Active,https://www.linkedin.com/company/knowup-io/
Coffset,https://www.eu-startups.com/directory/coffset/,Estonia,"Coffset is a cutting-edge digital platform that empowers individuals to calculate, track, and offset their carbon footprint. By connecting users to verified climate action projects worldwide, Coffset makes personal and corporate sustainability simple, transparent, and impactful.",Tallin,"Carbon, Offset, Footprint, Sustainability",No funding announced yet,2025,coffset.org,EE,"Coffset is a leading climate tech platform dedicated to helping users take measurable action against climate change. Through its intuitive carbon footprint calculator, individuals and organizations can quickly assess their emissions from travel, energy use, and daily activities. Coffset then connects users to verified carbon offset projects, including reforestation, renewable energy, and innovative carbon removal initiatives, ensuring every contribution drives real environmental impact.
The platform stands out for its combination of user-friendly technology, educational resources, and verified impact. Users can track their footprint over time, learn practical sustainability tips, and engage with a portfolio of high-quality offset projects globally. Coffset aligns its offerings with the latest scientific principles for carbon offsetting, empowering users to support climate-positive outcomes while promoting transparency and accountability.
Coffset’s mission is to make climate action accessible, effective, and measurable. By bridging technology, education, and verified offset solutions, the platform enables users to actively reduce their carbon footprint and contribute to global sustainability goals. Whether for individuals or small businesses, Coffset transforms environmental responsibility into a tangible, rewarding experience.",Active,https://www.linkedin.com/company/coffset/
AI/ML API,https://www.eu-startups.com/directory/aiml-api/,Estonia,"AI/ML API offers access to 300+ AI and ML models through a single secure interface. It supports multiple programming languages, making it easy to build smart apps for any scale.",Tallinn,"AI API, API Provider, ML, AI",Between €1-€100K,2024,https://aimlapi.com/,EE,"AI/ML API provides developers with a robust platform for implementing 300+ AI, NLP, and machine learning models in one secure unified interface. It supports seamless integration with various programming languages, enabling users to build intelligent applications effortlessly. The platform’s versatility makes it ideal for both small projects and large-scale deployments.",Active,
Fintech Market,https://www.eu-startups.com/directory/fintech-market/,Estonia,"Fintech Market (FTM) offers a SaaS-based lending and risk management software for financial service providers. The platform covers loans, deposits, current accounts, and investments and includes features such as CRM, KYC, risk, and debt management. The solution is designed for neobanks, personal and SME loan providers, car leasing businesses, and buy-now-pay-later providers. FTM serves clients in the EU, Mexico, and Indonesia.",Tallinn,"banking software, saas fintech, loan management system",No funding announced yet,2017,https://fintech-market.com/,EE,"Fintech Market scalable no-code platform enables quick implementation and flexibility to build the solution according to specific business needs. With minimal development and integration time, you can speed up change management and improve the adaptability of your business processes. A highly configurable and modular approach gives a chance to customise the software and use it as a complete solution or in independent modules. Separate applications such as Decision Engines for better risk assessment and Banning Policies for improving compliance and customer data oversight can also be integrated into your existing systems.",Active,https://www.linkedin.com/company/fintech-market
Lith Games,https://www.eu-startups.com/directory/lith-games/,Estonia,"Lith Games is a next-generation gaming company building social, user-generated content (UGC) platforms and cutting-edge multiplayer technologies.

Our flagship product Placial is a swipe-based UGC game platform where players can instantly play, share, and discover multiplayer games—without downloads.

We also offer the Placial SDK, a powerful toolset that enables developers and publishers to build and publish cross-platform, instant multiplayer games with one-click deployment, integrated social features, and live-ops capabilities.

Alongside our platform, we design and publish engaging mobile games, blending fast gameplay with smart monetization.

At Lith Games, we believe in pushing boundaries - empowering creators, delighting players, and reshaping the future of interactive entertainment.",Tallinn,"mobile, game, casual",No funding announced yet,2022,https://lithgames.com/,EE,,Active,https://www.linkedin.com/company/lith-games/
Great Software Company,https://www.eu-startups.com/directory/great-software-company/,Estonia,"Great Software Company is the new home of jv16 PowerTools and other trusted software originally developed by Macecraft Software, such as Uninstalr and WinFindr. We also develop SaaS products like IsMyWebsiteOkay and more. While the company name has changed, the team, the products, and our commitment to quality remain exactly the same. We make great software. And we like cats.","Harjumaa, Tallinn","Windows, Software, SaaS, Software As A Service, Software Development, Web, Tools, Software Factory, App, Apps",No funding announced yet,2024,https://greatsoftwarecompany.com,EE,,,
Mirto AI,https://www.eu-startups.com/directory/mirto-ai/,Estonia,Transform Your Ideas into Stunning Videos with AI,"Tallinn, Harjumaa, Estonia","Content creators, AI enthusiasts, Regular people",No funding announced yet,2025,https://mirto.ai/,EE,"Mirto AI is an innovative platform that allows users to transform their written descriptions into stunning videos. With advanced AI technology, you can create high-quality, fluid videos that match your creative vision. Whether you're a content creator, marketer, or storyteller, Mirto AI provides the tools you need to bring your ideas to life. Customize your video settings, adjust the duration, and choose from various artistic styles to create the perfect video for your audience.",Active,https://www.linkedin.com/company/mirto-ai/
Toritark,https://www.eu-startups.com/directory/toritark/,Estonia,Toritark: Your Personal AI Language Tutor,Tartu,"language learning, edtech",No funding announced yet,2025,https://toritark.com,EE,"Toritark is a language learning app for people who are tired of memorizing vocabulary lists and want to actually use the language. Instead of flashcards, Toritark uses AI to generate short, interesting stories based on topics you choose, tailored to your learning level. You can read the story at your own pace, get instant translations for any word you don't know, and easily save unfamiliar words with a long-press to build a personal study list.
The real power of Toritark comes when you're ready to practice producing the language yourself. After reading, you're prompted to retell the story in your own words. Our AI then checks your writing and provides instant, sentence-by-sentence feedback on your grammar, vocabulary choice, and spelling, showing you exactly where you went wrong and how to fix it. Finally, the app creates targeted exercises from the words you saved, helping you master them in context and completing the learning loop from comprehension to production.",Active,https://www.linkedin.com/company/toritark/
Mealpreper Guide OÃ,https://www.eu-startups.com/directory/mealpreper-guide-ou/,Estonia,"Mealpreper Guide is a smart meal planning app designed for busy individuals and families, helping them save 3-6 hours weekly by providing flexible meal prep menus for delicious, stress-free home cooking.",Leiria,"Meal planning, healthy eating, time-saving",No funding announced yet,2024,https://mealpreper.guide/,EE,"In today's fast-paced world, preparing healthy, diverse meals often leads to stress and wasted time. Mealpreper Guide offers a smarter approach to home cooking, transforming meal preparation from a chore into a seamless, enjoyable experience.
Our app provides flexible meal prep menus, allowing users to cook once and effortlessly assemble varied, delicious plates for 3+ days. Key features include precise shopping lists, guided cooking timers, detailed nutrition information, and the unique ability to scale menus for single individuals or entire families. This smart system consistently frees up 3-6 hours per week for our users, empowering them to focus on living life, not just cooking.
We are driven by a mission to make healthy eating accessible, enjoyable, and truly stress-free, even for those with the most demanding schedules. Our vision extends to integrating online grocery ordering directly within the app, further streamlining the entire meal preparation process from planning to plate.
As a testament to our innovative approach and significant potential in the AgriFood sector, Mealpreper Guide has proudly been accepted into the prestigious AgriFood Innovation Camp 2025 accelerator program. We are committed to continuous development, leveraging user feedback and cutting-edge insights to evolve Mealpreper Guide into the ultimate kitchen companion.",Active,https://www.linkedin.com/company/mealpreper-guide
Great Software Company,https://www.eu-startups.com/directory/great-software-company/,Estonia,"Great Software Company is the new home of jv16 PowerTools and other trusted software originally developed by Macecraft Software, such as Uninstalr and WinFindr. We also develop SaaS products like IsMyWebsiteOkay and more. While the company name has changed, the team, the products, and our commitment to quality remain exactly the same. We make great software. And we like cats.","Harjumaa, Tallinn","Windows, Software, SaaS, Software As A Service, Software Development, Web, Tools, Software Factory, App, Apps",No funding announced yet,2024,https://greatsoftwarecompany.com,EE,,,
ElGrupito.com,https://www.eu-startups.com/directory/elgrupito.com,Estonia,"ElGrupito.com is an innovative digital platform that forms smart virtual family groups to access premium subscriptions at reduced prices. The service offers access to 17+ major platforms including Adobe, ChatGPT, YouTube, Spotify, and MAX.

Through automated group matching and hassle-free management, users can save up to 70% compared to individual subscriptions.

The platform handles all aspects of group formation, payments, and renewals, while maintaining strict compliance with platforms' terms and conditions. Users can easily join through a simple selection process and access customer support through multiple channels.",Taillinn,"Smart family plans, premium access for less⁠",Between €100K-€500K,2023,https://elgrupito.com/,EE,,Active,
AI Electronics,https://www.eu-startups.com/directory/ai-electronics/,Estonia,We are developing an app that automates troubleshooting of broken electronics. Take a photo of your defect electronic circuit board and the app detects defects and guides you through the reparation process. Empowering everyone to repair instead of discard reducing global e-waste.,Estonia,"AI, App, Electronics",Between €100K-€500K,2024,https://aielectronics.vercel.app/,EE,,Active,
Ookulli,https://www.eu-startups.com/directory/ookulli/,Estonia,An Ai powered platform that helps consumers validate their contacts. Highlights important parts and cross references them with local regulations. Consumers pay per document.,Glasgow,"AI, Software Development, Automated",Between €100K-€500K,2024,https://www.ookulli.com,EE,,Active,https://www.linkedin.com/company/ookulli/
Guardian,https://www.eu-startups.com/directory/guardian/,Estonia,B2C monthly subscription: we provide sensors + software to elderly who live alone and their close ones(family or caretaker). Our sensors and software monitor the vitals of the elderly and let the family know when there has been a fall or a health issue and the elderly is unable to call for help by themselves. Supporting elderly aging independently in their own homes providing peace of mind for the family.,Tallinn,"AI, Radartech, Elderly Care, Health Tech",Between €100K-€500K,2024,https://www.guardianhome.eu/,EE,,Active,https://www.linkedin.com/company/guardianou/
FMA Estonia,https://www.eu-startups.com/directory/fma-estonia/,Estonia,We connect enterprises to accounting services. The client will upload their bank statement and fill short questionnaire and the accountants will receive anonymous price inquiry with necessary data. Client will receive “bids” and the winning service provider will pay service fee.,Tallin,"Business Consulting, Services, Entrepreneurs, Finance",Between €100K-€500K,2024,https://www.fmaestonia.com/en,EE,,Active,https://www.linkedin.com/company/fma-find-my-accountant-estonia/
Rentarround,https://www.eu-startups.com/directory/rentarround/,Estonia,"Rentarround eliminates the hassle of navigating multiple rental platforms. As a mobile first hub for various rentals, Rentaround simplifies the renting process, making it more accessible, straightforward, and quicker than with any other platform in the market. From homes to help—everything's here discover a wide range of rentals—from experiences and activities to properties and services—all at your fingertips on Rentaround.",Tallinn,"Rental, Online App, Services, Sports",Between €500K-€ 1 million,2024,https://rentarround.com/,EE,,Active,https://www.linkedin.com/in/rent-around-096382325/
Help Me Now,https://www.eu-startups.com/directory/help-me-now/,Estonia,"The right solution to safety and emergency needs in any situation you find yourself.

 Help Me Now offers free, instant access to personal safety and emergency response services to all people.
 
 Help Me Now technology offers a feeling of security at any time of the day and in any situation.",Estonia,"Cutting-edge technology, Ease of use, Customization, Expandability",Between €100K-€500K,2024,https://www.helpmenow.me/,EE,,Active,
INFOMYCITY,https://www.eu-startups.com/directory/infomycity/,Estonia,"Infomycity and InfoMyCity Manager are a free applications available for iOS and Android. InfoMyCity which allows you to find, worldwide, all the places dedicated to social life and sorted by type. Discover, look, search, find and book: all types of restaurants, pubs, lounge bars, clubs, wine bars, night clubs, hotels, fairs, festivals, events, beach, bathing establishments and spas.",Estonia,"Digital, App, Software Development",Between €100K-€500K,2024,https://infomycity.eu/,EE,,Active,
GreenGalaxy,https://www.eu-startups.com/directory/greengalaxy/,Estonia,"GreenGalaxy is a pioneering 3D VR platform designed to empower startups, brands, and entrepreneurs by uniting collaboration, innovation, and community in a sustainable digital ecosystem.
 Our mission is to help startups and brands to create immersive virtual spaces for collaboration, product demos, networking, growth and visibility.
 
 By blending professional and personal engagement with full autonomy and transparency, GreenGalaxy fosters a, forward-thinking ecosystem for start-ups and brands.",Tallin,"Technology, Information, Internet",Between €100K-€500K,2024,https://green-galaxy.tech,EE,,Active,https://www.linkedin.com/company/greengalaxy/
ASVEL,https://www.eu-startups.com/directory/asvel/,Estonia,"We’re developing an AI-driven soft robotic system that automatically controls endoscope cameras during surgeries. By using AI to follow surgical field and adjusting views, surgeons can operate with both hands free. Additionally, a surgeon can take control of the endoscope and move it manually or with voice control if necessary.",Tallinn,"Medical Equipment Manufacturing,",Between €100K-€500K,2023,https://www.asvel.ee/,EE,,Active,https://www.linkedin.com/company/asvelmed/
Go4Loyal,https://www.eu-startups.com/directory/go4loyal/,Estonia,"Go4Loyal is a B2B2C SaaS platform that streamlines loyalty programs, helping the hospitality industry drive direct bookings and increase customer engagement. Our technology integrates multiple loyalty programs, allowing travelers to redeem rewards effortlessly while providing carbon footprint calculations to promote sustainable travel choices. Revenue is generated through commissions on bookings, marketing partnerships with travel providers, and user subscriptions for premium services.",Tallinn,"Travel, Hospitality, Logistic, Hotels",Between €100K-€500K,2023,https://www.go4loyal.com/,EE,,Active,https://www.linkedin.com/company/go4loyal/
Othersâ Eyes,https://www.eu-startups.com/directory/others-eyes/,Estonia,"We are a SaaS B2C freemium mobile app with premium features. Our revenue comes from targeted advertisements and user subscriptions, providing a sustainable and scalable business model. An AI-powered social reflection app.",Tallin,"Social Media, AI, ML, SaaS B2C",Between €100K-€500K,2022,https://www.otherseyes.com,EE,,Active,https://www.linkedin.com/company/otherseyes
Coursy.io,https://www.eu-startups.com/directory/coursyio/,Estonia,"Coursy.io is a smart learning system for medium and large enterprises, helping organizations streamline training and drive business impact. Business model is SaaS combined with content marketplace. With workforce expenses accounting for over half of company revenue, effective employee training is crucial to organizational development and success.",Tallinn,"Software Development, Employee Training, HR, Training Solution",Between €500K-€ 1 million,2019,https://www.coursy.io,EE,,Active,https://www.linkedin.com/company/coursyio/
