name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
Persona Key,https://www.eu-startups.com/directory/persona-key/,France,"Welcome to the mbti types website, which provides mbti types analysis, 16 personality analysis, personality type test, mbti test, various mbti personality types, to help you understand yourself.","Welcome to the mbti types website, which provides mbti types analysis, 16 personality analysis, personality type test, mbti test, various mbti personality types, to help you understand yourself.",Marseille,mbti types，mbti test,Between €1-€100K,2024,https://www.typesmbti.com/,Active,FR,
Meinhard Benne,https://www.eu-startups.com/directory/meinhard-benne/,France,"Meinhard Benne propose un service complet de location de bennes dans le Var, les Bouches-du-Rhône et toute la région PACA. Des volumes de 3 à 10 m³ sont disponibles pour répondre à tous les besoins d’évacuation : gravats, DIB, terre, déchets verts ou encombrants. Chaque location comprend la livraison et l’enlèvement, garantissant un service simple, rapide et conforme aux normes. Destiné aux particuliers comme aux professionnels, ce service s’adapte aussi bien aux petits chantiers qu’aux travaux de grande ampleur. En complément, des prestations de démolition, de débarras et d’aide aux petits travaux viennent faciliter encore davantage la gestion des projets. Une équipe qualifiée, réactive et disponible 7j/7 accompagne les clients dans le choix de la benne la plus adaptée et veille à une installation efficace directement sur site. Avec son expertise et sa fiabilité, Meinhard Benne offre une solution clé en main pour simplifier l’évacuation des déchets et assurer la réussite de tous types de chantiers en Provence-Alpes-Côte d’Azur.","Meinhard Benne est une entreprise spécialisée dans la location de bennes à déchets, active dans le Var, les Bouches-du-Rhône et l’ensemble de la région Provence-Alpes-Côte d’Azur. Ce service s’adresse aussi bien aux particuliers qu’aux professionnels et permet de répondre à tous les besoins liés à l’évacuation de gravats, déchets industriels banals (DIB), encombrants, déchets verts ou encore de terre. Différents volumes de bennes sont proposés, allant de 3 à 10 m³, afin de s’adapter à la nature et à l’ampleur de chaque projet, qu’il s’agisse d’un simple débarras, d’une rénovation, d’un aménagement extérieur ou d’un chantier de construction de grande envergure. Les tarifs sont transparents et compétitifs, et chaque prestation comprend la livraison ainsi que l’enlèvement de la benne, garantissant une gestion des déchets simple, rapide et conforme aux réglementations en vigueur.
L’activité ne se limite pas uniquement à la mise à disposition de bennes : des services complémentaires viennent renforcer l’offre, tels que la démolition, le débarras et l’aide aux petits travaux. Ces prestations supplémentaires permettent d’apporter une solution globale et clé en main, adaptée aux besoins variés des clients. L’équipe, expérimentée et réactive, accompagne chaque demande avec sérieux et professionnalisme, en conseillant sur le choix de la benne la plus adaptée, en assurant son installation directement sur site et en organisant l’enlèvement dans les meilleurs délais.
La zone d’intervention est étendue et couvre un grand nombre de communes, incluant notamment Toulon, Marseille, Aubagne, Aix-en-Provence, Hyères, Fréjus, Draguignan, Bandol, La Seyne-sur-Mer, Saint-Raphaël, Salon-de-Provence et bien d’autres encore. Grâce à cette large couverture territoriale, il est possible de réserver une ou plusieurs bennes en fonction de la durée nécessaire, avec la certitude d’un service fiable et efficace.
En combinant expertise technique, qualité de service et forte réactivité, Meinhard Benne se distingue comme un partenaire incontournable pour simplifier la gestion des déchets. Chaque projet bénéficie d’une solution adaptée, qu’il soit modeste ou ambitieux, permettant d’avancer sereinement tout en respectant les normes en vigueur. Cette approche centrée sur l’efficacité et la satisfaction client fait de Meinhard Benne une référence en matière de location de bennes dans toute la région PACA.",Toulon,Location de bennes,No funding announced yet,2004,https://meinhardbenne.fr/,Active,FR,
Remodify.io,https://www.eu-startups.com/directory/remodifyio/,France,"Remodify is a Cleveland-based startup reshaping how home repairs get done. Our platform connects homeowners with vetted trades professionals through transparent vetting (Remodscore), instant AI-powered estimates (Remodquotes), and smarter job matching (Remodmatch). Built for trust, clarity, and results—Remodify makes repairs simpler for homeowners and growth easier for professionals.","At Remodify, we’re rethinking the way home repairs connect homeowners and trades professionals. Built on trust and powered by clarity, our Cleveland-based platform is designed to eliminate the frustrations of the repair industry—missed callbacks for homeowners, empty leads for contractors, and broken trust on both sides.
Our three key solutions transform the process:
Remodscore offers homeowners a transparent, data-driven vetting system.
Remodquotes delivers fast, accurate, AI-powered cost estimates—clear, upfront, and reliable.
Remodmatch connects skilled professionals to the right jobs without junk leads or overpriced fees.
We’re not another gig economy app. Instead, we’re building a sustainable future where tradespeople are valued for their craft and homeowners gain peace of mind. Guided by our Rhythm of Re—reimagine, reinvent, redefine, rediscover, and reshape—we are rebuilding the repair industry from the ground up.
Our mission is simple: make home repairs easier, help professionals grow, and restore trust in the trades.",Paris,"Home Improvement, SaaS, AI",No funding announced yet,2024,https://remodify.io,Active,FR,https://linkedin.com/company/remodifyio
Pinpointed,https://www.eu-startups.com/directory/pinpointed/,France,"Pinpointed creates expert AI advisors for online businesses. Our AI agents turn browsers into buyers by providing personalized product recommendations, wine pairings, and expert guidance - just like having a knowledgeable store associate available 24/7.","Pinpointed revolutionizes online customer experience by deploying expert AI agents that transform browsers into buyers in under 60 seconds. Our intelligent assistants provide the personal touch that's missing from traditional e-commerce, offering tailored product recommendations, wine pairings, and expert guidance just like a knowledgeable store associate. 
With voice-activated capabilities and support for 16 languages, our AI agents work 24/7 to guide customers through complex decisions, match products to budgets, and access real-time inventory. Proven to boost conversions and reduce support load, Pinpointed creates standout digital experiences that turn casual visitors into loyal customers.",Nice,"sommelier, AI, chat,",No funding announced yet,2025,https://pinpointed.dev,Active,FR,https://www.linkedin.com/in/ian-pinpointed/
OCTOCELLS,https://www.eu-startups.com/directory/octocells/,France,OCTOCELLS develops next-generation biomaterials that revolutionize cellular culture by replacing traditional liquid systems with high-efficiency solid-state bioproduction platforms.,"OCTOCELLS is a pioneering biotech company at the forefront of biomaterial engineering, specializing in the development and commercialization of next-generation biomaterials specifically designed for cellular culture and bioproduction applications. Our proprietary biomaterial-cellular integration platform represents a paradigm shift from traditional liquid suspension cultures to innovative solid-state bioproduction systems, delivering unprecedented efficiency gains while maintaining the highest standards of biocompatibility and sustainability.",Rouen,"Biomaterial, bioproduction, Bioreactor, Degital twin",Between €100K-€500K,2023,https://www.octocells.com/,Active,FR,https://www.linkedin.com/company/octocells
Fluum,https://www.eu-startups.com/directory/fluum/,France,"Fluum is an AI co-founder for solopreneurs and independent service providers.

Instead of juggling 10+ tools, Fluum brings everything into one platform: storefront, client portal, CRM, scheduling, payments, invoices, funnels, and forms. At the core is an AI partner that learns how you work: it supports business strategy, helps you plan social media posts, copywriting for your page or offerings, SEO optimisation for your pages, and even keeps you motivated when building alone.

Fluum matters because it gives solo founders the power of a full team of experts without the cost or complexity.",,Paris,"AI, Productivity, CRM",No funding announced yet,2025,https://fluum.ai/,Active,FR,https://www.linkedin.com/in/company/fluum/
Activhandi,https://www.eu-startups.com/directory/activhandi/,France,"Accessible Tourism ! From the discovering of the Destination to the promotion with a travel.
We create new outdoor activities (paragliding, fishing point...).","We have 4 parts :
- Engineering about outdoor activities (customers : Tourist office, Cities, ski resort...)
- Engineering about Itineraries (customers : Tourist office, Cities, ski resort...)
- Travels
- Formation (ERASMUS programs).",Annecy,"tourism, disabilities, sport, mountain",Between €1-€100K,2023,https://www.activhandi.fr/,Active,FR,https://www.linkedin.com/company/activhandi
Advisena,https://www.eu-startups.com/directory/advisena/,France,"Advisena is AI-Powered Knowledge Consultant, Provide instant, reliable answers from your company data","Advisena is an AI-powered virtual assistant designed to help businesses provide instant and accurate answers to customer questions. It works directly on your website, analyzing queries and retrieving relevant information from your knowledge base, documents, and site content. By using advanced retrieval-augmented generation (RAG) technology, Advisena ensures responses are precise and context-aware. If the system cannot find the right answer, it can escalate the conversation to a human operator. Businesses can customize quick questions, appearance, and language settings to match their brand. With multilingual support, Advisena serves customers across global markets.",Montpelier,"RAG, AI, chatbot",No funding announced yet,2025,https://advisena.com/fr,Active,FR,https://www.linkedin.com/company/108263936/
GÃ©nÃ©rateur Mots MÃªlÃ©s,https://www.eu-startups.com/directory/generateur-mots-meles/,France,Word search generator for people to play all together,,France,"Mots Mêlés, Générateur, IA",No funding announced yet,2025,https://www.generateur-mots-meles.fr,Active,FR,
Lightyshare,https://www.eu-startups.com/directory/lightyshare/,France,"LightyShare is Europe’s first — and France’s largest — peer‑to‑peer marketplace for renting audiovisual equipment among professionals and creatives.

The platform links owners and renters, insures every transaction against damage and theft, and automates quotes, contracts, and payments. Over nine years it has attracted roughly 30,000 verified users, lists more than 22,000 ads totaling around €50 million in gear, maintains a 98 % five‑star rating, and saves renters 40‑60 % compared with traditional rental houses.","LightyShare unleashes creative potential by turning idle film gear into instant firepower. Conceived in a production truck in 2014, the platform now connects about 30 000 verified professionals and creatives across France. With more than 22 000 camera, lighting and audio listings—worth over €50 million—anything from an ALEXA Mini to a Nanlite panel is just a few taps away, fully insured against damage and theft, and available 24/7.
Renters slash budgets by 40–60 percent compared with traditional houses, while owners earn money and extend the life of their equipment—a win for wallets and the planet. A fast geolocated search engine, built‑in insurance and AI‑powered identity checks keep every deal smooth and trustworthy, as proven by a 98 percent five‑star rating.
After winning the SATIS “Most Innovative Service” award, LightyShare expanded nationwide in 2018 and delivered its 2.0 platform in 2021. Next up: moving into other French‑speaking markets and adding smart services that keep Europe’s creative engines humming.",Paris,"rental, marketplace, audiovisual",No funding announced yet,2015,www.lightyshare.com,Active,FR,https://fr.linkedin.com/company/lightyshare
