name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
AI Compliance Advisor,https://www.eu-startups.com/directory/ai-compliance-advisor/,Croatia,"AI Compliance Advisor helps small businesses, startups, and solo founders instantly assess legal and regulatory risks for their AI-powered products. Our tool provides clear, actionable compliance insights — not just for the EU AI Act, but across multiple regulatory areas — without the need for expensive legal teams or complex frameworks.","AI Compliance Advisor is an easy-to-use, AI-powered platform that enables small businesses, startups, and solo founders to quickly identify compliance risks across AI and digital regulations. Designed for those without in-house legal expertise, it delivers instant, plain-language reports tailored to your product or service, covering the EU AI Act, data usage, transparency requirements, and sector-specific rules.
With AI Compliance Advisor, you can:
Run quick compliance scans in minutes
Get tailored, step-by-step recommendations
Avoid costly mistakes before launch
Build trust with customers and partners through proactive compliance
Our mission is to make regulatory readiness simple, fast, and affordable for innovators who want to focus on building — not navigating complex legal documents.",Zagreb,"compliance, AI, legal, solofounder",No funding announced yet,2025,https://aicomplianceadvisor.eu,https://www.linkedin.com/company/ai-compliance-advisor,HR,
Travel Calculator,https://www.eu-startups.com/directory/travel-calculator/,Croatia,"Save time and money on your travels! Calculatortrip.com offers powerful free calculators to estimate fuel costs, driving duration, route distance, and emissions for your car trips. Optimize your route planning and travel budget effortlessly.",,Split,Travel Calculator,No funding announced yet,2025,calculatortrip.com,,HR,
Sonder AI,https://www.eu-startups.com/directory/sonder-ai/,Croatia,"Sonder AI is a skills-based social network that empowers individuals to develop themselves, connect with opportunities, and showcase their talents. Our AI-driven platform helps users set and achieve goals, gain visibility, and grow themselves through interactive tasks, mentorship, and skill-sharing. By integrating gamification and a token-based reward system, we drive engagement while fostering a supportive and dynamic community.",,Zagreb,"Software Development, AI, Mobile App",Between €100K-€500K,2024,https://sonder-ai.com/,https://www.linkedin.com/company/sonderai/,HR,Active
Biljarica,https://www.eu-startups.com/directory/biljarica/,Croatia,"We are a startup developing innovative eco-friendly solid shampoos made with 99% natural ingredients. Our technology combines sustainable formulas free from harmful chemicals with biodegradable packaging, reducing environmental impact. We focus on highly effective natural ingredients that nourish the hair while promoting a zero-waste philosophy.",,Zagreb,"Retail Health, Personal Care Products, Phytotherapy, Herbal workshops",Between €100K-€500K,2024,"https://biljarica.hr/We are a startup developing innovative eco-friendly solid shampoos made with 99% natural ingredients. Our technology combines sustainable formulas free from harmful chemicals with biodegradable packaging, reducing environmental impact. We focus on highly effective natural ingredients that nourish the hair while promoting a zero-waste philosophy. Our goal is to provide consumers with a healthier and environmentally responsible alternative to traditional liquid shampoos.We are a startup developing innovative eco-friendly solid shampoos made with 99% natural ingredients. Our technology combines sustainable formulas free from harmful chemicals with biodegradable packaging, reducing environmental impact. We focus on highly effective natural ingredients that nourish the hair while promoting a zero-waste philosophy. Our goal is to provide consumers with a healthier and environmentally responsible alternative to traditional liquid shampoos.",https://www.linkedin.com/company/biljarica/,HR,Active
Bizzdom,https://www.eu-startups.com/directory/bizzdom/,Croatia,"With the whole world going mobile, we believe even the smallest business can benefit from their own mobile apps. Using our platform, any business owner can generate and publish their own personalized app for virtually any industry. All this is done at no upfront cost for the user.",,Zagreb,"Hospitality, SaaS, Business Intelligence, Sales tools",Between €100K-€500K,2023,https://bizzdom.com,https://www.linkedin.com/company/bizzon-ltd-croatia/,HR,Active
Loties,https://www.eu-startups.com/directory/loties/,Croatia,"Helping you introduce tech to your children. By providing you with a safe and gentle environment, nurturing creativity with personalizable educational content, short screen time, and offline activities that complement the stories, creating a smooth bridge from digital back to the real world. Selling digital content in-app, soon to introduce subscription model as well as working B2B with KGs, schools and other educational institutions.",,Zagreb,"B2B, Technology, Information, Internet",Between €100K-€500K,2023,https://loties.co,https://www.linkedin.com/company/loties/,HR,Active
Smart Garden Systems,https://www.eu-startups.com/directory/smart-garden-systems/,Croatia,"Our business focuses on smart garden systems designed for both educational and household use. In 2023, we launched the first educational smart gardens in Croatia, successfully implementing them in schools to teach children about sustainable food production. We have since developed and begun selling a household smart garden online, offering customers an innovative way to grow plants indoors.",,Karlovac,"plants, garden, gardening, smart garden",Between €100K-€500K,2023,https://smartgarden.hr/,https://www.linkedin.com/company/smartgarden-hr/,HR,Active
Daidream,https://www.eu-startups.com/directory/daidream/,Croatia,"We are transforming the children's entertainment industry by personalizing children's books and generating AI-powered content. Foremost, we emphasize active content consumption over passive consumption. We are building AI-powered products to entertain and educate millions of households.",,Vukovar,"AI, Mobile Computing, Software, Products",Between €500K-€ 1 million,2023,https://www.daidream.io/,https://www.linkedin.com/company/daidream-io/,HR,Active
NorgÃ¤te,https://www.eu-startups.com/directory/norgate/,Croatia,"Norgäte is a fashion brand specializing in premium alpaca and fine fiber clothing, with a focus on sustainability and ethical production. The brand designs annual collections under its motto, Knitting Consciousness, emphasizing craftsmanship, quality, and environmental responsibility. Norgäte operates through a combination of direct-to-consumer e-commerce, pop-up retail collaborations, and partnerships with multi-brand stores.",,Zagreb,"Retail Luxury Goods, Jewelry, Environmental sustainability",Between €100K-€500K,2022,https://www.norgate.com.pe,https://www.linkedin.com/company/norg%C3%A4te/,HR,Active
Xolvi,https://www.eu-startups.com/directory/xolvi/,Croatia,"Xolvi is an unified platform that allows you to deploy all verticals on a single platform and integrate devices or applications (i.e. ERP, CRM, Billing, DWH) and aggregate data from different verticals e.g. smart cities, healthcare, manufacturing - into a centralized system, providing cross-domain insights and enabling holistic optimization. Collect, integrate, and visualize data from all your connected things, applications or systems — making it easy to gain real-time insights and automate your operations from a holistic, horizontal, interoperable platform.",,Maksimir,"Low-Code Customization, Device-to-Cloud Integration, Cloud-to-Cloud Integration, Interoperability",Between €100K-€500K,2022,https://www.xolvi.com,https://www.linkedin.com/company/xolvi,HR,Active
