name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,country,companyStatus,linkedin,longBusinessDescription
Zoidii,https://www.eu-startups.com/directory/zoidii/,Ireland,"Zoidii is a modern CMMS (Computerized Maintenance Management System) designed to help maintenance teams efficiently manage work orders, preventive maintenance schedules, inventory, and assets across one or multiple locations.","Dublin, Sandyford","CMMS, Maintenance, Software, Software As A Service, Tech, Technology, Technology Services, Management, System, Teams",No funding announced yet,2021,https://zoidii.com,IE,,,
Holedo,https://www.eu-startups.com/directory/holedo/,Ireland,"Holedo is an end-to-end Talent Management and Recruitment (TMR) platform purpose-built for high-volume industries like hospitality. We replace fragmented tools incl. ATS, CRM, spreadsheets, job boards, messaging apps, with one unified system that connects employers directly to a persistent, multi-company talent pool.",Sandyford,"Hospitality, ATS, CRM, Spreadsheets",Between €100K-€500K,2024,https://employers.holedo.com,IE,Active,https://www.linkedin.com/company/holedo/,
Roamr,https://www.eu-startups.com/directory/roamr/,Ireland,"Roamr helps companies save 30% on travel accommodation by paying employees instead of hotels. When travelling for work, employees can stay with a friend or colleague and Roamr redistributes the hotel budget. Eg employee travelling to New York for a 2 night event.",Ireland,"Productive teams, Cost reduction, Collaborative tools",Between €500K-€ 1 million,2023,https://www.roamr.com/,IE,Active,https://www.linkedin.com/company/roamrrevolution/,
linkjob.ai,https://www.eu-startups.com/directory/linkjobai/,Ireland,"Top AI Interview Assistant for Real-Time Responses and Mock Interview Practice | 
Linkjob AI",Dublin,AI Interview assistant,No funding announced yet,2025,https://www.linkjob.ai/,IE,Active,,"Linkjob AI is the leading AI interview assistant for job seekers, providing real-time guidance with immediate, customized feedback and intelligent recommendations. Perfect for tech and finance interviews, it also includes free AI-powered mock interview practice."
Conjura,https://www.eu-startups.com/directory/conjura/,Ireland,"Unlock eCommerce Data That Drives Profit.

Conjura transforms your omnichannel data into actionable insights for eCommerce, merchandising and marketing teams.",Dublin,"eCommerce, Analytics, Data",No funding announced yet,2018,https://www.conjura.com/,IE,Active,https://www.linkedin.com/company/conjuradigital/,"Conjura is a leading eCommerce analytics platform that empowers brands to drive smarter decisions across marketing, merchandising, and operations. Acting as your single source of truth, Conjura seamlessly integrates with platforms like Shopify, Amazon, Google, Meta, and Cin7 - turning complex performance metrics into clear, actionable insights that drive profitability.
Get started with 1-click set-up, pre-built dashboards, and detailed multi-channel insights. Track performance across your eCommerce, marketplaces and ads platforms right down to product SKU."
Tuarity,https://www.eu-startups.com/directory/tuarity/,Ireland,"Most small businesses struggle with HR. It's risky, confusing, and too slow to fix. Tuarity solves this with instant, AI-powered advice and compliant documents. No consultants. No delays. Just clear answers that help you handle HR the right way, right when you need it.",Dublin,"HRtech, LegalTech, RegTech, AI",Between €1-€100K,2025,https://tuarity.com,IE,Active,https://www.linkedin.com/company/tuarity/,"Tuarity gives small businesses instant, reliable HR support without hiring a consultant or building an HR team.
Ask a question. Get a compliant answer in seconds. Tuarity is AI-powered and trained on real employment law, not generic content. It understands your business, your policies, and your tone. It delivers ready-to-use contracts, letters, and guidance the moment you need them.
No legal jargon. No delays. No more guesswork.
Tuarity lives where your team works—inside Slack, Microsoft Teams, or your browser. It handles the everyday HR moments that make or break trust. Hiring, firing, managing performance, writing handbooks. All done clearly, consistently, and within the law.
It is not a chatbot. It is a trained, explainable engine. It shows the legal basis behind every answer. That means you can act with confidence and learn as you go.
The platform is live. Early customers are already replacing expensive outsourced support. Pricing starts at €199 per month. The system scales with your team, adapts to your needs, and grows with your business.
Tuarity is here for businesses that want to get HR right, the first time. Every time."
Nexus Inclusion,https://www.eu-startups.com/directory/nexus-inclusion/,Ireland,"Nexus Inclusion was founded by Kyran O’Mahoney in 2024 to make the world digitally equal to everyone of all abilities. Our suite of tools will enable organisations to quickly, simply and effectively make themselves inclusive and accessible to everyone.",Dublin,"digital inclusion, web accessibility, digital accessibility, accessibility",Between €1 million-€ 2.5 million,2024,https://www.nexusinclusion.com/,IE,Active,https://www.linkedin.com/company/nexusinclusion/,"Nexus Inclusion was founded by Kyran O’Mahoney in 2024 to make the world digitally equal to everyone of all abilities.
Our mission is to move beyond digital accessibility and ensure that Inclusion is considered at every step of the product development process from idea, design, development, testing, content management, product management and maintaining inclusion post go live.
It’s important for us that the barriers of making something accessible and inclusive are broken down and that it’s simply part of the overall steps that every company takes in releasing digital products to their customers. We focus on finding the best solution and not the problem.
Our suite of tools will enable organisations to quickly, simply and effectively make themselves inclusive and accessible to everyone.
There is currently a growing team based in Ireland and alongside them, Nexus Inclusion has an international team of developers, designers, software architects and product owners all focused with a passion for digital inclusion.
It’s time to double down on inclusion because it’s the right thing to do."
Venture8 AI,https://www.eu-startups.com/directory/venture8-ai/,Ireland,"Discover how visible your local Irish business is to AI tools & how likely you are to become the #1 recommended choice on AI Tools like ChatGPT, Perplexity & Gemini.

Located in the heart of the West of Ireland; Venture8 Amplifies Local Irish Businesses AI Search Visibility & Authority on AI Tools like ChatGPT, Perplexity & Gemini. 

Get your free Local Business AI Visibility Score™",West of Ireland,"AI Visibility, AEO, AI Search Tools, AEO Optimization,",No funding announced yet,2025,https://www.venture8ai.com/,IE,Active,https://www.linkedin.com/company/venture8ai/,
Server Scheduler,https://www.eu-startups.com/directory/server-scheduler/,Ireland,"Servers don't need to be online at 3 a.m. Manually schedule instances with our visual time grid. Shut down servers during off hours, downsize idle machines, and manage resources across AWS, GCP, and Azure. Stop paying for idle cloud resources. With ServerScheduler, you can automatically power down your servers and databases when your team isn't working, whether it's overnight, on weekends, or during holidays. This simple automation can reduce your cloud bill by up to 70% —all without requiring manual effort.","Louth, Dundalk","Developer Tools, AWS, Google, Azure, Servers, Software, Software As A Service, Cloud, Schedule, B2B",No funding announced yet,2025,https://serverscheduler.com,IE,,,
Coso.ai,https://www.eu-startups.com/directory/cosoai/,Ireland,"Coso analyzes your brand style, past content, and industry trends to create weekly multimedia posts. If you want something changed, just let Coso know. Once approved, everything is published automatically.","Dublin, Ireland. D01 Y6H7","SaaS, Startup, Martech, AI",Between €1-€100K,2020,https://coso.ai/,IE,Active,,"In today’s fast-paced digital world, managing social media can be overwhelming. That’s where Coso steps in—a powerful AI-driven solution that takes care of content creation and publishing so you can focus on growing your business.
How it works:
Each week, Coso generates multimedia content tailored to your brand. It analyzes your existing posts, visual assets, and the latest industry trends to create relevant, engaging content. You simply review and approve. Want to make changes? Just tell Coso what you want to adjust, and it edits everything for you. Once approved, your content goes live across all your social channels.
Think of it as your virtual content team—always ready, always aligned with your brand voice."
