name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,country,longBusinessDescription,companyStatus,linkedin
Traininpink,https://www.eu-startups.com/directory/traininpink/,Italy,"Since 2019, we've transformed 159,000 women with our Traininpink app. Today, we're the #1 Pilates and workout app in Italy with over 30,000 subscribers. Our success is built on customer satisfaction, which remains at the heart of everything we do. With a single subscription, you can access 10 different courses, hundreds of single workouts, and challenges every month, all designed to keep you motivated and achieving results.","Milano, Milano","Fitness, Health, Wellness, App, Software, Software As A Service, Yoga, Women, Nutrition, Workouts",No funding announced yet,2017,https://www.traininpink.net,IT,,,
Renovo srl,https://www.eu-startups.com/directory/renovo-srl-2/,Italy,"Renovo S.r.l. develops advanced robotic recycling solutions for end-of-life photovoltaic panels. By optimizing material recovery of silicon, glass, and metals, we enable closed-loop recycling systems that reduce waste, lower costs, and support the circular economy in the renewable energy sector.",Milan,"Recycling, Robotic, Solar pannels",Between €1-€100K,2024,https://www.renovo-recycling.it/,IT,"Renovo S.r.l. is transforming the end-of-life management of photovoltaic panels through innovative automated robotic processes.
Our project focuses on introducing advanced recycling solutions that optimize material recovery and reintegration into new production cycles. By implementing cutting-edge filtration and processing technologies, we enhance the circularity of our operations, reducing waste and maximizing resource efficiency.
This initiative aligns with our commitment to sustainability by introducing a new approach to our core business. The expected outcome is a scalable, efficient, and environmentally friendly recycling system that supports the circular economy.
Renovo S.r.l. specializes in the recycling of end-of-life photovoltaic panels, addressing one of the main sustainability challenges in the renewable energy sector: the inefficient recovery of valuable materials. Our primary challenge is to develop automated and cost-effective technologies that maximize material recovery while minimizing environmental impact.
We have already conducted feasibility studies and tested preliminary automation processes, showing strong potential to increase recovery rates of silicon, glass, and metals. By further refining and integrating these technologies, we aim to create a closed-loop recycling system that significantly reduces waste, decreases dependence on virgin materials, and improves circularity in the photovoltaic sector.
This project is fully aligned with Renovo’s long-term strategy to lead sustainable solar panel recycling by improving efficiency, reducing processing costs, and contributing to the circular economy.",Idea Stage,https://www.linkedin.com/feed/
GridShare,https://www.eu-startups.com/directory/gridshare/,Italy,"GridShare gestisce parchi solari condivisi e ti permette di avere una quota di questi progetti e ricevere quindi il corrispettivo dell'energia prodotta, stabilizzando la bolletta e riducendo la volatilità dei prezzi.",Milan,"energy,solar,investment",No funding announced yet,2023,https://www.gridshare.it/,IT,"GridShare è una società del gruppo Fastweb®, nata da un programma di venture building di Founders Factory, incubatore e acceleratore di startup con sede a Londra.
‍
Per la raccolta quote ci supporta CrowdFundMe, una piattaforma di crowdfunding regolamentata dalla CONSOB e quotata sulla borsa italiana per permettere a tutti di investire in tranquillità.
‍
Collaboriamo con i massimi esperti del settore sia nella parte di costruzione e manutenzione, sia nella parte tecnica e legale. L'obiettivo è offrire un'esperienza sicura e affidabile nel settore dell'energia solare condivisa, aumentando la fiducia degli investitori e riducendo i rischi associati a questo tipo di investimento.",Active,
ChatGPT Logo,https://www.eu-startups.com/directory/chatgpt-logo/,Italy,GPT-Powered AI Logo Maker,Rome,AI logo maker,Between €1-€100K,2025,https://chatgptlogo.ai/,IT,Create a custom logo in seconds using our ChatGPT-powered AI. Simply describe your brand in one sentence and pick the ideas you love — no design skills needed.,Active,
Top Advisor,https://www.eu-startups.com/directory/top-advisor/,Italy,Top Advisor is the first review portal for freelancers,Venezia,"reviews, personalbranding, reviewsplatform",No funding announced yet,2024,www.top-advisor.it,IT,Top Advisor is the first review portal for freelancers,Active,https://www.linkedin.com/company/top-advisor
Cubish,https://www.eu-startups.com/directory/cubish/,Italy,"Cubish is a seamless experience where the digital world merges with the physical.
It's already around you anywhere on Earth.",Napoli,"Spatial Web, Geo Web, Immersive Tech",No funding announced yet,2025,www.cubish.com,IT,"Cubish digitally divides the entire surface of the Earth into over 5.1 trillion cubes, each covering 100 square meters of real-world space.
Each cube is a geolocated container where anyone can create one or more Cube Domains, digital spaces that can host multimedia content such as videos, audio, images, documents, and much more.
Thousands of Cube Domains, owned by different people, can coexist within a single cube, creating a unique layering of data in the real world.
In the future, Cube Domains within each cube will be organized based on content quality, thanks to a merit-based system that will highlight the relevance, usefulness, and impact of each Cube Domain.
Who is it for? Cubish is an open, general-purpose system, just like the web once was.
""The cube will relate to Cube Domains like a search engine relates to web domains.""
With one fundamental difference: Cube Domains are anchored to real-world coordinates and can be expanded into other cubes through expansions, across entire areas, squares, shops, buildings, public or private spaces, even far apart from each other.
Each expansion of a Cube Domain can host different content based on its location, shaping a distributed, geolocated digital network.
""It's like taking a web domain and spreading it across the real world.""
Today, it starts with data. Tomorrow, immersive technologies will be integrated.
Cubish paves the way for the coexistence of digital and immersive realities, layered onto physical spaces.
It is the first true Spatial Web, designed to bring the web into the real world and create an intelligent, living digital layer integrated into the space around us.
Cubish S.r.l. is an innovative startup officially registered in the Business Register (VAT: IT10724711212). The company is composed of 26 cofounders, including two corporate entities.
Cubish is protected by PATENT PENDING No. 102025000004906, filed on March 10, 2025, and currently within the 18-month confidentiality period.",Active,https://www.linkedin.com/company/cubish/
Xwanderlust,https://www.eu-startups.com/directory/xwanderlust/,Italy,"Xwanderlust is building the first travel social network focused on authentic and sustainable experiences. Our business model combines a free community platform with paid premium memberships for travelers, and marketing and visibility services for destinations and businesses. We integrate AI to personalize content and recommendations, gamification to boost engagement, and storytelling to help users discover hidden gems and connect with local culture.",Italy,"Tourist, AI, Internet marketing",Between €100K-€500K,2024,https://xwanderlust.com/,IT,,Active,https://www.linkedin.com/company/xwanderlust/about/
TheBellBoy srl.,https://www.eu-startups.com/directory/thebellboy-srl/,Italy,"We help travellers commute in a sustainable way, bridging the gap between micromobility and long-distance transports. Our travel App nudges the modal shift offering a seamless door2door travel experience for smarter and more sustainable tourism.
A bike-transit oriented service that makes cycling the best way to go on a trip.",Ravenna,"Consumer Services, B2C, App",Between €100K-€500K,2023,https://bellboy.bike/,IT,,Active,https://www.linkedin.com/company/thebellboy/
Cora,https://www.eu-startups.com/directory/cora/,Italy,We are creating the first operations management platform powered by AI and designed for every type of accommodation. We launched our product in october ‘23 and since then we have reached 178 paying properties all over Italy with our Saas + pay per use model. We are now preparing for the international expansion.,Cusano Milanino,"Embedded Software Products, AI, App",Between €100K-€500K,2023,https://corahospitality.com/,IT,,Active,https://www.linkedin.com/company/corahospitality/
ALOE,https://www.eu-startups.com/directory/aloe/,Italy,"ALOE is the experience layer for hospitality - a plug-and-play platform where hotels can sell their own services and offer curated experiences from local providers through an integrated marketplace. Guests can book everything in one place, while hotels earn a commission on every sale, even for experiences they don’t run themselves. ALOE is a hotel experience platform connecting guests with curated local activities.",Milan,"Software Development, Easy booking, Management, Payment processing",No funding announced yet,2023,https://www.aloesuite.com/en,IT,,Active,https://www.linkedin.com/company/aloesuite/
