name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin,longBusinessDescription
Emblem,https://www.eu-startups.com/directory/emblem/,Luxembourg,"Emblems are representative collectible digital art souvenirs made by companies or institutions for places, events and experiences.",Luxembourg,"tourism, AI, blockchain",Between €1-€100K,2025,https://emblem.lu/,Active,LU,,
EasyBiz,https://www.eu-startups.com/directory/easybiz/,Luxembourg,"At EasyBiz, we make company incorporation and accounting services in Luxembourg easy for entrepreneurs. From handling the paperwork with Luxembourg Business Register to managing your financial services and payroll, our dedicated team ensures smooth processes and compliance. Our experienced tax consultants and accountants are here to guide you through every step, making your business journey easier and more efficient.",Luxembourg,accounting services,Between €1-€100K,2024,https://easybiz.lu/,Active,LU,https://www.linkedin.com/company/easybizlu,
Chronotax,https://www.eu-startups.com/directory/chronotax/,Luxembourg,"Chronotax makes filing a Luxembourg tax return easy and fast, streamlining the process with a simple, intuitive interface. It not only helps complete the tax return but also optimizes it to minimize taxes. By maximizing deductions and credits, Chronotax ensures the least possible tax is paid with minimal effort!",Luxembourg,Tax,No funding announced yet,2023,www.chronotax.lu,Active,LU,,
ElleQuant,https://www.eu-startups.com/directory/ellequant/,Luxembourg,Digitizing Private Markets with Automation and GenAI,Luxembourg,"FinTech, GenAI, SaaS, Artificial Intelligence",Between €1-€100K,2023,https://invest.ellequant.com/,Active,LU,https://www.linkedin.com/company/ellequant/,"Building hybrid intelligence for better informed investment decisions: Half-human, half-AI. Ellequant helps clients scale deal flow and optimize deal insights. In a competitive landscape, funds focus on better sourcing and LPs seek unique advantages. With more dry powder and fewer opportunities, scaling and improving deal quality is crucial to remain competitive."
C1 Innovations,https://www.eu-startups.com/directory/c1-innovations/,Luxembourg,Social impact historic RPG adventure game development,Luxembourg,"Social Impact, RPG, AI, Gaming, History",No funding announced yet,2024,https://www.storydoc.com/6792d04175375e60bbdac36ee30c6540/0c778b-c6a5-a51e-4b70-aa2f1b783d4/67408e445c193c0c061fc204,Active,LU,,"""Human Heritage"" is an immersive historic adventure RPG developed by *C1 Innovations* using Unreal Engine 5. Players embark on a thrilling journey through pivotal moments in history, from Ancient Egypt to the Middle Ages, meeting iconic figures and influencing events. With dynamic storytelling, stunning environments, and educational elements, Human Heritage offers a unique blend of entertainment and learning. The game features age-appropriate content, in-game purchases, and regular expansions to keep the adventure alive. Experience history like never before!"
Vai,https://www.eu-startups.com/directory/vai/,Luxembourg,"The connection hub for the startup ecosystem. Helping startups, investors, and ecosystem players find each other faster and grow together.",Bereldange,"startup ecosystem, fundraising, matchmaking platform, SaaS",No funding announced yet,2024,www.letsvai.com,Active,LU,https://www.linkedin.com/company/letsvai,"Vai is an innovative online platform that connects startups, investors and service providers to accelerate growth and innovation. Users can create live, professional profiles, discover relevant matches and communicate directly on the platform. Our matchmaking algorithms streamlines the process of fundraising, partnerships and collaboration, reducing time and effort for startups and investors alike.
Vai aims to simplify fragmented startup ecosystems, delivering clarity, relevance and connectivity to all stakeholders, while fostering a fair and transparent environment for success."
CryptaCount,https://www.eu-startups.com/directory/cryptacount/,Luxembourg,"CryptaCount operates on a SaaS subscription model, offering tiered pricing for businesses and individuals based on transaction volumes and advanced features. Our platform integrates with major wallets, exchanges, and blockchain networks to automate transaction aggregation, tax calculations, and compliance reporting. Using proprietary algorithms, CryptaCount handles complex digital asset transactions, such as DeFi, and provides jurisdiction-specific, audit-ready reports. This scalable, cloud-based model allows us to serve a global market while delivering value through automation, accuracy, and compliance.",Luxembourg,SaaS Crypto Fintech Accounting,No funding announced yet,2024,www.cryptacount.com,Active,LU,https://www.linkedin.com/company/cryptacount/,
Rescape AI,https://www.eu-startups.com/directory/rescape-ai/,Luxembourg,AI Garden designs and idea generator.,Worldwild,"AI, Image Generator, Design, Lanscapping",No funding announced yet,2024,https://rescapeai.com,Active,LU,,"AI garden design gives you the ability to generate variations of your actual outdoor space. The tool accepts an image of your garden or landscaping project and based on selections, and text prompts will redesign that outdoor space for you."
College Tools,https://www.eu-startups.com/directory/college-tools/,Luxembourg,Homework Solver that integrates with any website or learning management system.,Luxembourg,Homework Solver by College Tools,No funding announced yet,2021,https://www.collegetools.io/,,LU,,"Homework Solver that integrates with any website or learning management system.
Click, Relax & Excel: Your Stress-Free Quiz Solution
College Tools, the ultimate LMS-integrated exam assistant. Our software utilizes advanced AI algorithms to deliver accurate quiz and homework solutions with AI, giving you more time to focus on understanding the material and achieving your academic goals.
Whether you're a freshman or a senior, College Tools can help you stay on track and succeed in your academic journey with our discreet college exam Chrome extension.
Multi platform compatibility
College Tools seamlessly integrates with leading platforms including Blackboard, Canvas, Top Hat, Moodle and many other websites.
Snapshot
Capture any question from any website with this feature, and receive the answer in our extension popup, making it the ultimate multiple-choice question solver.
Text Selection
Highlight any question from any website, right-click on the highlighted text and select ""Ask College Tools."" A popup will appear, displaying the correct answer to the question.
Explanation
Get a detailed explanation to better comprehend the underlying concepts and logic that are fundamental to the solution.
Camouflage Mode
Enable this feature to transform the look of the extension popup, blending seamlessly with the background color and text style of the webpage you're using. 
Stealth Mode
Experience complete visual discretion with this mode, as our software fully camouflages into the existing elements of the educational platform, without the appearance of our logo.
User Privacy
Our exam assistant ensures user privacy by going unnoticed on compatible platforms. All user data is anonymized at all times.
Questions Solved History
Access recently solved questions to review and revise your understanding. Plus, discover the underlying reasoning behind the answers, which can be beneficial for exam preparation.
Do Not Track
Enable this option to prevent future questions from being added to the history of solved questions on the dashboard."
OKR Dash,https://www.eu-startups.com/directory/okr-dash/,Luxembourg,"OKR Dash is a free, user-friendly dashboard for managing Objectives and Key Results (OKRs). It helps teams align around important work, visualize progress, and achieve more together. With easy setup, customizable features, and real-time updates, OKR Dash streamlines goal-setting and progress tracking for businesses of all sizes.",Echternach,"SaaS, OKR Software",No funding announced yet,2024,https://okr-dash.com,,LU,,"OKR Dash is the premier solution for tracking and managing Objectives and Key Results (OKRs), designed to align teams and drive success. This free, intuitive dashboard empowers organizations to focus on their most critical work and achieve more through collaborative effort.
Simple Structure: OKR Dash provides a secure workspace for your company or department. Users join the workspace and are grouped into teams, working together on multiple OKRs within customizable business cycles.
High-Quality OKR Creation: Following best practices, OKR Dash supports the creation of 3-5 Objectives per team, each with 3-5 Key Results. The platform accommodates various Key Result types, including numeric values, binary milestones, and target delivery dates.
Progress Visualization: Easily update OKRs and leave comments on achievements. The home screen displays overall progress for each Objective and individual Key Results. A detailed history of updates and comments is available for each Key Result.
Big Screen Dashboard: Perfect for office displays or stakeholder presentations, this feature allows for easy sharing of OKR progress across the organization.
Customization: Configure the platform to fit your company's unique needs and workflow."
BlazeSQL,https://www.eu-startups.com/directory/blazesql/,Luxembourg,"BlazeSQL is an AI-powered tool that helps you turn questions into data insights from your SQL database. It writes SQL code based on your input, runs the queries, and visualizes the results. BlazeSQL is for anyone in a company who needs data insights, whether they're technical or non-technical Ideal for teams of 10+ users, including product managers, marketing, sales, and operations staff, users can comfortably interact with this AI chatbot without needing any codes or technical skills. It supports all popular SQL databases, including Snowflake, MySQL, PostgreSQL, BigQuery, AWS Redshift, and Microsoft SQL Server. Your data stays private since the AI only needs the table and column names. BlazeSQL is perfect for creating complex queries and dashboards quickly and easily.",Luxembourg,"Data Analyst AI,Data Visualization SQL Server",No funding announced yet,2023,https://www.blazesql.com/,Active,LU,https://www.linkedin.com/company/blaze-sql/,"BlazeSQL is designed to make data analysis straightforward and efficient. Unlike other database products, BlazeSQL's AI handles everything for you. Users don't need to write SQL queries or manually create graphs; the AI effortlessly connects to databases and generates insights automatically. With BlazeSQL, you can create and share interactive dashboards that help visualize data in an understandable way.
This allows people to get insights faster, and non-technical users to get insights without depending on technical users. It means everyone saves time, and people are generally more informed since it’s much easier to get insights. This results in people getting more insights, and that allows them to work much smarter using that information.
Collaboration is easy with BlazeSQL. Team members can work together on data projects in real time, ensuring everyone stays on the same page. Additionally, it provides automated report generation, saving you time and effort.
BlazeSQL caters to business owners and non-technical. Ideal for teams of 10+ users, including product managers, marketing, sales, and operations staff, who work with SQL data and need a reliable, user-friendly tool for smooth and simple data analysis.
Key Features
Data Visualization
Interactive Dashboards
Automated Reporting
Team Collaboration
AI-Powered Insights
Quick Database Connection
Data Security"
Capyflow,https://www.eu-startups.com/directory/capyflow/,Luxembourg,"Capyflow is a powerful CSV import platform. It helps other software to build the best possible CSV importer, easily, safely and reliably.",Luxembourg,"software, file, ai, data",No funding announced yet,2024,https://capyflow.com,Active,LU,https://www.linkedin.com/company/93073946,
LetzAI,https://www.eu-startups.com/directory/letzai/,Luxembourg,"Generative AI to which you can add yourself, your products & styles.",Luxembourg,"Generative AI, Content Creation, Brand Marketing",No funding announced yet,2023,https://letz.ai,Active,LU,https://www.linkedin.com/company/letz-ai,"LetzAI is a generative AI platform that lets users create their own AI models to create images of themselves, their products, styles and more. 
These models can also be made public for others to use, enabling new ways of engaging with brands and creators."
