name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
ComputerShop,https://www.eu-startups.com/directory/computershop/,Romania,"We are an international store of refurbished products. Each device is checked and reconditioned to ensure top quality, reducing e-waste, water use, and carbon emissions, making technology reliable, accessible, and eco-friendly.","ComputerShop.eu is an international online store specializing in high-quality refurbished technology. Our mission is to make technology reliable, accessible, and sustainable. Each device undergoes a thorough inspection and reconditioning process to ensure optimal performance and durability.
Key Features:
Premium Refurbished Devices: Laptops, desktops, Mac computers, workstations, and accessories are tested and certified for top quality.
Eco-Friendly Technology: Refurbished devices reduce raw material usage, water consumption, e-waste, and carbon emissions compared to new products.
Affordable Solutions: High-quality technology at a fraction of the cost, making it accessible for individuals, businesses, and educational institutions.
B2B & Bulk Options: Custom configurations, bulk orders, and priority support for businesses, IT resellers, and schools.
Seamless Online Experience: User-friendly, fast, and secure platform, compatible with all major browsers including Google Chrome.
Sustainability Impact:
Choosing refurbished devices helps save the planet: up to 93.7% less raw materials, 84.7% less water, 91% less e-waste, and 93.2% less carbon emissions per device.
Why Choose ComputerShop.eu:
Reliable, tested technology without compromise
Eco-friendly and sustainable solutions
Flexible options for individuals and organizations
Strong focus on customer satisfaction and support
ComputerShop.eu combines innovation, affordability, and sustainability to provide high-quality technology solutions while contributing to a greener planet.",Bucharest,"Refurbished Computers, Second-hand Laptops, IT Accessories",Between €1-€100K,2025,https://computershop.eu/,Active,RO,
Gatekeepr,https://www.eu-startups.com/directory/gatekeepr/,Romania,Threat Intelligence API to protect your platform.,"Gatekeepr is designed to protect against platform abuse by running checks on the user's email, domain, IP address, and user agent before actions like signing up, joining a newsletter, posting a comment, or submitting a form.",Bucharest,"saas, security, abuse",No funding announced yet,2025,https://gatekeepr.ro,Active,RO,
Esenca Sizing,https://www.eu-startups.com/directory/esenca-sizing/,Romania,"sizing tools, software solution for sizing, sizing app","Body measurement solution provides tailored sizing recommendations for fashion, workwear, protective, and medical equipment in seconds. At Esenca Sizing, we're revolutionizing the way businesses approach sizing. Our innovative 3D body measurement technology offers unparalleled accuracy and flexibility for industries ranging from workwear, fashion to healthcare.",romonia,"sizing tools, software solution for sizing, sizing app",No funding announced yet,2025,https://esencasizing.com/,Active,RO,
Ovesio,https://www.eu-startups.com/directory/ovesio/,Romania,"Ovesio is the first E-Commerce Scaling Engine fully powered by AI, helping you translate 10,000+ SKUs into 27 languages in no time, write conversion-oriented product descriptions and multilingual SEO tags.","Ovesio is the first E‑Commerce Scaling Engine fully powered by AI, designed to automate localization at enterprise scale. Originally launched in 2016 by a team with over 20 years of experience in coding and 15 years in online commerce, Ovesio was created to eliminate language barriers and simplify international expansion for merchants and content creators (ovesio.com).
At its core, Ovesio integrates multiple top-tier translation engines,including Google Translate, DeepL, Microsoft Bing and OpenAI,and then uses its own AI to analyze and automatically select the best translation for each text segment. This multi‑engine routing approach consistently delivers higher quality and contextually accurate outputs at machine speed.
Ovesio supports bulk automation for e‑commerce, handling entire product catalogs, SEO metadata, variant attributes, titles and descriptions,across more than 20 languages (now supporting up to 27 languages in live use). Its AI‑Inspector™ evaluates and scores segments,",Bucharest,"e-commerce, ai, ai translation, ecommerce ai",No funding announced yet,2025,https://ovesio.com/,Active,RO,https://www.linkedin.com/company/ovesio/
SuperTrader,https://www.eu-startups.com/directory/supertrader/,Romania,"SuperTrader is an AI-powered trading journal that helps retail traders auto-track trades, analyze performance, and build discipline - without spreadsheets.","SuperTrader is an intelligent trading journal and performance analytics platform built for modern retail traders. Whether you're trading stocks, options, crypto, or forex, SuperTrader helps you track, analyze, and improve your performance — without the spreadsheets or manual work.
At its core, SuperTrader offers effortless trade tracking with one-click CSV and broker integrations (including Robinhood, Interactive Brokers, ThinkorSwim, Coinbase, and more). It automatically imports your trading data, categorizes trade types, and calculates key metrics such as win rate, expectancy, risk-reward ratio, and P&L – all in real time.
But SuperTrader goes beyond logging. It’s your personal trading coach.
Our AI-powered analytics engine uncovers your behavioral patterns and blind spots, helping you identify what’s working and what’s holding you back. Whether it’s poor risk management, inconsistent sizing, or trading outside of plan — SuperTrader gives you the clarity to trade better.
Key features:
Auto-sync and CSV import from 200+ brokers
Real-time AI Coach that highlights behavioral flaws and missed opportunities
Smart tagging and journaling to capture the ""why"" behind your trades
Performance dashboards that go beyond P&L to track discipline, emotions, and edge
Backtesting (coming soon) so you can validate your strategies
Mobile and web apps for anytime access
SuperTrader is built by traders, for traders — with a focus on usability, discipline, and continuous improvement. It’s trusted by thousands of active users and growing fast.
We believe every trader should have the tools to trade like a professional. That’s why we offer a generous free trial and transparent pricing — no hidden fees, no upsells.",Bucharest,"finance,trading,forex,stocks",No funding announced yet,2025,https://www.supertrader.me,Active,RO,
TrackerJoy,https://www.eu-startups.com/directory/trackerjoy/,Romania,Competitive Analysis On Autopilot - AI powered website monitoring,"The New Way: Automated Insights That Give You an Edge
Imagine an AI assistant that never sleeps — one that continuously monitors your competitors' websites and LinkedIn activity while you focus on big-picture strategy.
Here's how it works (easy as 1, 2, 3):
1. Monitor Competitor Activity
Your AI sidekick scans competitor websites and LinkedIn feeds 24/7, capturing key updates in real time.
2. Analyze Key Insights
Instead of drowning you in data, it filters the noise — highlighting strategic moves like new product launches, leadership changes, pricing shifts, and evolving messaging.
3. Stay Ahead & Take Action
You get instant alerts and smart, data-driven recommendations — empowering you to respond proactively, not reactively.
No more guesswork. No more hours lost to endless scrolling.",Cluj-Napoca,AI powered website monitoring,No funding announced yet,2025,https://www.trackerjoy.com/,Active,RO,https://www.linkedin.com/company/trackerjoy/
Opticomm.AI,https://www.eu-startups.com/directory/opticommai/,Romania,"Opticomm.AI is an intelligent prediction platform that goes beyond demand forecasting by predicting customer needs, allowing companies to know exactly what, when, and how much a client will order.","Our platform goes beyond demand forecasting, enabling companies not just to predict the future, but also to change it. By combining state-of-the-art AI with reality-based process design, we reveal hidden opportunities and provide the actionable intelligence needed to seize them.
Stop merely responding to market forces. Our intelligent prediction platform transforms:
- Reactive order fulfillment into proactive need anticipation
- Historical analysis into future opportunity mapping
- Data complexity into clear, actionable insights",Bucharest,"prediction, AI, intelligent, demand",No funding announced yet,2025,www.opticomm.ai,Active,RO,https://www.linkedin.com/company/opticommai
FamilyPilot,https://www.eu-startups.com/directory/familypilot/,Romania,"FamilyPilot was born from a real-life crisis. When our youngest daughter was hospitalized with meningitis, my wife (a pediatrician) and I were overwhelmed. In the chaos, the simple app I had built for our own family became our lifeline, allowing us to track every symptom, medication, and doctor's instruction with perfect clarity. We realized then that every family deserves a tool that brings order and calm to their most stressful moments.

Our mission is to reduce the mental load for busy parents and caregivers. FamilyPilot is a secure and intuitive app that acts as a single source of truth for your family's health. It allows you to log symptoms, manage complex medication and appointment schedules, and seamlessly coordinate with your partner or other caregivers. Built under strict GDPR privacy rules on secure EU servers, FamilyPilot is designed to be the simple, trustworthy hub for all your family's health information, giving you back time and invaluable peace of mind.",,Timisoara,"Parenting, Health, Children",No funding announced yet,2025,https://www.familypilot.app/,Active,RO,
Expressive Animator,https://www.eu-startups.com/directory/expressive-animator/,Romania,"Expressive Animator is a professional SVG animation editor. Create animated SVG icons, logos, and illustrations - export to SVG, Lottie, GIF, Video, and more.","Expressive Animator is an SVG vector animation software that helps users create and export animated icons, logos, and illustrations. It provides professional vector tools and keyframe-based timeline animation features for bringing motion to vector graphics. Users can import SVG, PDF, Adobe Illustrator files, and Figma designs, and animate them using easing controls, motion paths, masking, and other techniques. Expressive Animator also allow users to export their animations in other formats as Lottie, GIF, PNG, and video.",Oradea,SVG,Between €500K-€ 1 million,2022,https://expressive.app/expressive-animator,,RO,https://www.linkedin.com/company/expressivesuite
MobilaDalin,https://www.eu-startups.com/directory/mobiladalin/,Romania,"MobilaDalin este o companie românească, producătoare de mobilier tapițat care activează pe piața din România începând cu anul 1992.","MobilaDalin este o companie românească, producătoare de mobilier tapițat care activează pe piața din România începând cu anul 1992. Suntem o familie de ingineri, specializați în industria lemnului, industria mobilei și industria materialelor textile.
 MobilaDalin ofera produse de mobilier precum canapele, scaune, paturi, măsuțe dar și alte accesorii precum corpuri de iluminat sau oglinzi.
Produsele de la MobilaDalin se vând astăzi în aproximativ  150 de magazine din România, Ungaria și Republica Moldova.",Romanai,"mobilier la comanda, mobilier tapitat, mobilier horeca, canapele, fotolii",No funding announced yet,2004,https://www.mobiladalin.ro/,Active,RO,
