Name,Link
"build! Gründungszentrum Carinthia","https://www.eu-startups.com/investor/build-grundungszentrum-carinthia/"
"Lophas","https://www.eu-startups.com/investor/lophas-2/"
"Lophas","https://www.eu-startups.com/investor/lophas/"
"Carinthian Venture Fonds GmbH","https://www.eu-startups.com/investor/carinthian-venture-fonds-gmbh/"
"Pentech VC","https://www.eu-startups.com/investor/pentech-vc/"
"PUSH Ventures","https://www.eu-startups.com/investor/push-ventures/"
"Forbion Capital Partners","https://www.eu-startups.com/investor/forbion-capital-partners/"
"Grow F","https://www.eu-startups.com/investor/grow-f/"
"Gateway Ventures","https://www.eu-startups.com/investor/gateway-ventures/"
"GC Investments","https://www.eu-startups.com/investor/gc-investments/"
"Epopée Gestion","https://www.eu-startups.com/investor/epopee-gestion/"
"Partech","https://www.eu-startups.com/investor/partech-2/"
"Founders Future","https://www.eu-startups.com/investor/founders-future-2/"
"Genesis Ventures","https://www.eu-startups.com/investor/genesis-ventures/"
"Ioconic","https://www.eu-startups.com/investor/ioconic/"
"Fable Investments","https://www.eu-startups.com/investor/fable-investments/"
"Smartworks Innovation","https://www.eu-startups.com/investor/smartworks-innovation/"
"whataventure","https://www.eu-startups.com/investor/whataventure/"
"Symbia VC","https://www.eu-startups.com/investor/symbia-vc-2/"
"Agro Innovation Lab Gmbh","https://www.eu-startups.com/investor/agro-innovation-lab-gmbh/"
"Elevator Ventures","https://www.eu-startups.com/investor/elevator-ventures/"
"UNIQA Ventures","https://www.eu-startups.com/investor/uniqa-ventures-2/"
"Start-up Center Start Up Tirol","https://www.eu-startups.com/investor/start-up-center-start-up-tirol/"
"StartupHighway","https://www.eu-startups.com/investor/startuphighway/"
"StartupLab","https://www.eu-startups.com/investor/http-www-startuplab-no/"
"Seedraisr","https://www.eu-startups.com/investor/accelerator-incubator-micro-vc/"
"Next Floor","https://www.eu-startups.com/investor/next-floor/"
"Next Monday Ventures","https://www.eu-startups.com/investor/next-monday-ventures-2/"
"SBA Research","https://www.eu-startups.com/investor/sba-research/"
"Science Park Graz","https://www.eu-startups.com/investor/science-park-graz/"
"MAD Ventures","https://www.eu-startups.com/investor/mad-ventures/"
"tech2b Inkubator","https://www.eu-startups.com/investor/tech2b-inkubator/"
"Female Founders","https://www.eu-startups.com/investor/female-founders/"
"Up to Eleven Digital Solutions","https://www.eu-startups.com/investor/up-to-eleven-digital-solutions/"
"DuckDAO","https://www.eu-startups.com/investor/duckdao/"
"King’s 20 Accelerator","https://www.eu-startups.com/investor/kings-20-accelerator/"
"Kingsley Ventures","https://www.eu-startups.com/investor/kingsley-ventures/"
"Joyn Ventures","https://www.eu-startups.com/investor/joyn-ventures/"
"ISE Accelerator & Venture Capital Firm","https://www.eu-startups.com/investor/ise-accelerator-venture-capital-firm-2/"
"ISE Accelerator & Venture Capital Firm","https://www.eu-startups.com/investor/ise-accelerator-venture-capital-firm/"
"Zentrum Für Angewandte Technologie","https://www.eu-startups.com/investor/zentrum-fur-angewandte-technologie/"
"Zajl","https://www.eu-startups.com/investor/zajl/"
"weXelerate","https://www.eu-startups.com/investor/wexelerate/"
"Frequentis","https://www.eu-startups.com/investor/frequentis/"
"Werkstaette Wattens","https://www.eu-startups.com/investor/werkstaette-wattens/"
"INiTS Gründerservice","https://www.eu-startups.com/investor/inits-grunderservice/"
"Venturr","https://www.eu-startups.com/investor/venturr/"
"Gold Ventures Incubator","https://www.eu-startups.com/investor/gold-ventures-incubator/"
"Growth Ninjas","https://www.eu-startups.com/investor/growth-ninjas/"
"Hatch Blue","https://www.eu-startups.com/investor/hatch-blue/"
"C5 Capital","https://www.eu-startups.com/investor/c5-capital/"
"IMPACT Growth","https://www.eu-startups.com/investor/impact-growth/"
"Impact Hub","https://www.eu-startups.com/investor/impact-hub/"
"Impulse Partners","https://www.eu-startups.com/investor/impulse-partners/"
"1MillionStartups","https://www.eu-startups.com/investor/1millionstartups/"
"A1 Start Up Campus","https://www.eu-startups.com/investor/a1-start-up-campus/"
"accent Inkubator","https://www.eu-startups.com/investor/accent-inkubator/"
"Agro Innovation Lab","https://www.eu-startups.com/investor/agro-innovation-lab/"
"Kvantia","https://www.eu-startups.com/investor/kvantia/"
"Fjord Invest","https://www.eu-startups.com/investor/https-www-linkedin-com-company-448502fjord-invest/"
"Radforsk Invest","https://www.eu-startups.com/investor/radium-hospital-research-foundation/"
"Wiski Capital","https://www.eu-startups.com/investor/wiski-capital/"
"Pale blue dot","https://www.eu-startups.com/investor/pale-blue-dot/"
"HERAN Partners","https://www.eu-startups.com/investor/heran-partners/"
"Symbia VC","https://www.eu-startups.com/investor/symbia-vc/"
"Zen11 Holdings","https://www.eu-startups.com/investor/zen11-holdings/"
"OOE Hightechfonds","https://www.eu-startups.com/investor/ooe-hightechfonds/"
"Calm/Storm Ventures","https://www.eu-startups.com/investor/calm-storm-ventures/"
"New Renaissance Ventures","https://www.eu-startups.com/investor/new-renaissance-ventures/"
"Pioneers Ventures","https://www.eu-startups.com/investor/pioneers-ventures/"
"APEX Ventures","https://www.eu-startups.com/investor/apex-ventures/"
"3VC","https://www.eu-startups.com/investor/3vc/"
"PUSH VC","https://www.eu-startups.com/investor/push-vc/"
"CNB Capital","https://www.eu-startups.com/investor/cnb-capital/"
"xista science ventures","https://www.eu-startups.com/investor/xista-science-ventures/"
"Speedinvest","https://www.eu-startups.com/investor/speedinvest/"
"aws Gründungsfonds","https://www.eu-startups.com/investor/aws-grundungsfonds/"
"Onsight Ventures","https://www.eu-startups.com/investor/onsight-ventures/"
"QC·VENTURES","https://www.eu-startups.com/investor/qcventures/"
"tecnet equity","https://www.eu-startups.com/investor/tecnet-equity/"
"Fund F","https://www.eu-startups.com/investor/fund-f/"
"Mpoweru","https://www.eu-startups.com/investor/mpoweru/"
"red-stars.com","https://www.eu-startups.com/investor/red-stars-com/"
"Square One Foods","https://www.eu-startups.com/investor/square-one-foods/"
"FSP Ventures","https://www.eu-startups.com/investor/fsp-ventures/"
"Segnalita","https://www.eu-startups.com/investor/segnalita/"
"WaVe-X","https://www.eu-startups.com/investor/wave-x/"
"Findus Venture","https://www.eu-startups.com/investor/findus-venture/"
"Hermann Hauser Investment","https://www.eu-startups.com/investor/hermann-hauser-investment/"
"Katharo Ventures","https://www.eu-startups.com/investor/katharo-ventures/"
"Camouflage Ventures","https://www.eu-startups.com/investor/camouflage-ventures/"
"Situlus","https://www.eu-startups.com/investor/situlus/"
"RKP InnoInvest","https://www.eu-startups.com/investor/rkp-innoinvest/"
"Hornet Ventures","https://www.eu-startups.com/investor/hornet-ventures/"
"Motec ventures","https://www.eu-startups.com/investor/motec-ventures/"
"Gasser + Partner","https://www.eu-startups.com/investor/gasser-partner-gmbh/"
"Smart Capital","https://www.eu-startups.com/investor/smart-capital/"
"Loonshot","https://www.eu-startups.com/investor/loonshot/"
"eQventure","https://www.eu-startups.com/investor/eqventure/"
"UNIQA Ventures","https://www.eu-startups.com/investor/uniqa-ventures/"
"asp. group","https://www.eu-startups.com/investor/asp-group/"
"Next Monday Ventures","https://www.eu-startups.com/investor/next-monday-ventures/"
