Name,Link
"EIT Food RisingFoodStars","https://www.eu-startups.com/investor/eit-food-risingfoodstars/"
"Seven Camp","https://www.eu-startups.com/investor/seven-camp/"
"Ethias Ventures","https://www.eu-startups.com/investor/ethias-ventures/"
"QBIC Fund","https://www.eu-startups.com/investor/qbic-fund/"
"Miles Ahead Capital","https://www.eu-startups.com/investor/miles-ahead-capital/"
"Finindus","https://www.eu-startups.com/investor/finindus/"
"Crescent Ventures","https://www.eu-startups.com/investor/crescent-ventures/"
"Aliaxis Next","https://www.eu-startups.com/investor/aliaxis-next/"
"Lab Box","https://www.eu-startups.com/investor/lab-box-3/"
"Sparkalis","https://www.eu-startups.com/investor/sparkalis/"
"UCB Ventures","https://www.eu-startups.com/investor/ucb-ventures/"
"FF2032","https://www.eu-startups.com/investor/ff2032/"
"VERSO Capital","https://www.eu-startups.com/investor/verso-capital/"
"Aliaxis Ventures","https://www.eu-startups.com/investor/aliaxis-ventures/"
"EIB Global","https://www.eu-startups.com/investor/eib-global/"
"FNX Ventures","https://www.eu-startups.com/investor/fnx-ventures/"
"PARSEC Accelerator","https://www.eu-startups.com/investor/parsec-accelerator/"
"Novalis Biotechnology Incubation","https://www.eu-startups.com/investor/novalis-biotechnology-incubation-2/"
"symbIoTe","https://www.eu-startups.com/investor/symbiote/"
"Lab Box","https://www.eu-startups.com/investor/lab-box-2/"
"Industrya","https://www.eu-startups.com/investor/industrya/"
"Hartwood","https://www.eu-startups.com/investor/hartwood/"
"IHUB","https://www.eu-startups.com/investor/ihub/"
"imec","https://www.eu-startups.com/investor/imec-2/"
"imec","https://www.eu-startups.com/investor/imec/"
"imec.istart","https://www.eu-startups.com/investor/imec-istart/"
"Impact Shakers","https://www.eu-startups.com/investor/impact-shakers-2/"
"Incubaid","https://www.eu-startups.com/investor/incubaid/"
"Boot Ventures","https://www.eu-startups.com/investor/boot-ventures/"
"B-Sprouts","https://www.eu-startups.com/investor/b-sprouts/"
"Beangels","https://www.eu-startups.com/investor/beangels/"
"Biotope","https://www.eu-startups.com/investor/biotope/"
"BlueHealth Innovation Center","https://www.eu-startups.com/investor/bluehealth-innovation-center/"
"Junction Growth Investors","https://www.eu-startups.com/investor/junction-growth-investors/"
"White Fund","https://www.eu-startups.com/investor/white-fund/"
"Agri Investment Fund","https://www.eu-startups.com/investor/agri-investment-fund/"
"Viralety Ventures","https://www.eu-startups.com/investor/viralety-ventures/"
"Water Lemon Ventures","https://www.eu-startups.com/investor/water-lemon-ventures/"
"Lean FUND","https://www.eu-startups.com/investor/lean-fund/"
"Novalis Biotechnology Incubation","https://www.eu-startups.com/investor/novalis-biotechnology-incubation/"
"PMV","https://www.eu-startups.com/investor/pmv/"
"Verlinvest","https://www.eu-startups.com/investor/verlinvest/"
"Ninepointfive","https://www.eu-startups.com/investor/ninepointfive/"
"EIT Digital Accelerator","https://www.eu-startups.com/investor/eit-digital-accelerator/"
"Project Rise","https://www.eu-startups.com/investor/project-rise/"
"Impact Shakers","https://www.eu-startups.com/investor/impact-shakers/"
"Lab Box","https://www.eu-startups.com/investor/lab-box/"
"Limburgse Reconversie Maatschappij","https://www.eu-startups.com/investor/limburgse-reconversie-maatschappij/"
"TCD Capital (ex TheClubDeal)","https://www.eu-startups.com/investor/tcd-capital-ex-theclubdeal/"
"Saffelberg Investments","https://www.eu-startups.com/investor/saffelberg-investments/"
"Akiles","https://www.eu-startups.com/investor/akiles/"
"Monus","https://www.eu-startups.com/investor/monus/"
"Entourage","https://www.eu-startups.com/investor/entourage/"
"ForsVC","https://www.eu-startups.com/investor/forsvc/"
"imec.istart Future Fund","https://www.eu-startups.com/investor/imec-istart-future-fund/"
"Fortino Capital","https://www.eu-startups.com/investor/fortino-capital/"
"Gimv","https://www.eu-startups.com/investor/gimv/"
"SmartFin","https://www.eu-startups.com/investor/smartfin/"
"Nausicaa Ventures","https://www.eu-startups.com/investor/nausicaa-ventures/"
"Cleverton Ventures","https://www.eu-startups.com/investor/cleverton-ventures/"
"The CoFoundry","https://www.eu-startups.com/investor/the-cofoundry/"
"Media Invest Flanders","https://www.eu-startups.com/investor/media-invest-flanders/"
"Lumiares","https://www.eu-startups.com/investor/lumiares/"
"Sopartec","https://www.eu-startups.com/investor/sopartec/"
"Cascara Ventures","https://www.eu-startups.com/investor/cascara-ventures/"
"Comate Ventures","https://www.eu-startups.com/investor/comate-ventures/"
"Nivelinvest","https://www.eu-startups.com/investor/nivelinvest/"
"Airborn","https://www.eu-startups.com/investor/airborn/"
"Torus Capital","https://www.eu-startups.com/investor/torus-capital/"
"Investsud","https://www.eu-startups.com/investor/investsud/"
"Rise PropTech","https://www.eu-startups.com/investor/rise-proptech/"
"V-Bio Ventures","https://www.eu-startups.com/investor/v-bio-ventures/"
"Inventures SA","https://www.eu-startups.com/investor/inventures-sa/"
"Green Park Investment Partners","https://www.eu-startups.com/investor/green-park-investment-partners/"
"Scale II","https://www.eu-startups.com/investor/scale-ii/"
"Vives Louvain Technology Fund","https://www.eu-startups.com/investor/vives-louvain-technology-fund/"
"LeanSquare","https://www.eu-startups.com/investor/leansquare/"
"Theodorus III","https://www.eu-startups.com/investor/theodorus-iii/"
"WING by Digital Wallonia","https://www.eu-startups.com/investor/wing-by-digital-wallonia/"
"Sambrinvest","https://www.eu-startups.com/investor/sambrinvest/"
"KBC Focus Fund","https://www.eu-startups.com/investor/kbc-focus-fund/"
"SFPIM","https://www.eu-startups.com/investor/sfpim/"
"Aconterra","https://www.eu-startups.com/investor/aconterra/"
"AMAVI Capital","https://www.eu-startups.com/investor/amavi-capital/"
"Seeder Fund","https://www.eu-startups.com/investor/seeder-fund/"
"Biovision Ventures","https://www.eu-startups.com/investor/biovision-ventures/"
"Bioqube Ventures","https://www.eu-startups.com/investor/bioqube-ventures/"
"Astanor Ventures","https://www.eu-startups.com/investor/astanor-ventures/"
"Capricorn Partners","https://www.eu-startups.com/investor/capricorn-partners/"
"Pitchdrive","https://www.eu-startups.com/investor/pitchdrive/"
"Tioga Capital Partners","https://www.eu-startups.com/investor/tioga-capital-partners/"
"Volta Ventures","https://www.eu-startups.com/investor/volta-ventures/"
"Boundary Holding","https://www.eu-startups.com/investor/boundary-holding/"
"imec.xpand","https://www.eu-startups.com/investor/imec-xpand/"
"Hummingbird Ventures","https://www.eu-startups.com/investor/hummingbird-ventures/"
