Name,Link
"Sofia Angels Ventures","https://www.eu-startups.com/investor/sofia-angels-ventures/"
"Zaz Ventures","https://www.eu-startups.com/investor/zaz-ventures/"
"Shelly Group","https://www.eu-startups.com/investor/shelly-group/"
"Eleven Ventures","https://www.eu-startups.com/investor/eleven-ventures/"
"Innovation Capital","https://www.eu-startups.com/investor/innovation-capital-2/"
"LAUNCHub Ventures","https://www.eu-startups.com/investor/launchub-ventures/"
"Vitosha Venture Partners","https://www.eu-startups.com/investor/vitosha-venture-partners-2/"
"Impetus Capital","https://www.eu-startups.com/investor/impetus-capital/"
"New Vision 3","https://www.eu-startups.com/investor/new-vision-3/"
"Neo Ventures","https://www.eu-startups.com/investor/neo-ventures/"
"Morningside Hill Capital Management","https://www.eu-startups.com/investor/morningside-hill-capital-management/"
"HR Capital","https://www.eu-startups.com/investor/hr-capital/"
"Neo Gravity","https://www.eu-startups.com/investor/neo-gravity/"
"AlfaStar Ventures","https://www.eu-startups.com/investor/alfastar-ventures/"
"StartItSmart","https://www.eu-startups.com/investor/startitsmart/"
"InvestHorizon","https://www.eu-startups.com/investor/investhorizon/"
"Innovation Capital","https://www.eu-startups.com/investor/innovation-capital/"
"Vitosha Venture Partners","https://www.eu-startups.com/investor/vitosha-venture-partners/"
"AE Ventures","https://www.eu-startups.com/investor/ae-ventures/"
"Beyond","https://www.eu-startups.com/investor/beyond-2/"
