Name,Link
"First Serve Ventures","https://www.eu-startups.com/investor/first-serve-ventures-2/"
"First Serve Ventures","https://www.eu-startups.com/investor/first-serve-ventures/"
"Nestle Ventures","https://www.eu-startups.com/investor/nestle-ventures/"
"Founderful","https://www.eu-startups.com/investor/founderful/"
"Quadia","https://www.eu-startups.com/investor/quadia/"
"Pureos Bioventures","https://www.eu-startups.com/investor/pureos-bioventures/"
"TX Ventures","https://www.eu-startups.com/investor/tx-ventures/"
"SNGLR","https://www.eu-startups.com/investor/snglr/"
"Syngenta Group Ventures","https://www.eu-startups.com/investor/syngenta-group-ventures/"
"Olive Capital","https://www.eu-startups.com/investor/olive-capital/"
"MTIP","https://www.eu-startups.com/investor/mtip/"
"Spicehaus Partners","https://www.eu-startups.com/investor/spicehaus-partners/"
"Lightbird","https://www.eu-startups.com/investor/lightbird-2/"
"Forestay VC","https://www.eu-startups.com/investor/forestay-vc/"
"Emerald VC","https://www.eu-startups.com/investor/emerald-vc/"
"DeepTech Ventures","https://www.eu-startups.com/investor/deeptech-ventures/"
"BackBone Ventures","https://www.eu-startups.com/investor/backbone-ventures/"
"MEDKAP Investor Association","https://www.eu-startups.com/investor/medkap-investor-association/"
"Collateral Good","https://www.eu-startups.com/investor/collateral-good/"
"IPV Global Capital","https://www.eu-startups.com/investor/ipv-global-capital/"
"Chi Impact Capital","https://www.eu-startups.com/investor/chi-impact-capital/"
"DD Venture Capital","https://www.eu-startups.com/investor/dd-venture-capital/"
"Swiss Staking","https://www.eu-startups.com/investor/swiss-staking/"
"Cyverse Capital","https://www.eu-startups.com/investor/cyverse-capital/"
"LOREA AG","https://www.eu-startups.com/investor/lorea-ag/"
"Romande Energie Cooperate Venture Capital","https://www.eu-startups.com/investor/romande-energie-cooperate-venture-capital/"
"Delwik Group","https://www.eu-startups.com/investor/delwik-group/"
"Alpvent","https://www.eu-startups.com/investor/alpvent/"
"XR Invest","https://www.eu-startups.com/investor/xr-invest/"
"Fongit Seed Invest","https://www.eu-startups.com/investor/fongit-seed-invest/"
"Key Family Partners","https://www.eu-startups.com/investor/key-family-partners/"
"DIventures","https://www.eu-startups.com/investor/diventures/"
"HBM Healthcare Investments","https://www.eu-startups.com/investor/hbm-healthcare-investments/"
"exelixis capital","https://www.eu-startups.com/investor/exelixis-capital/"
"Eclosion SA","https://www.eu-startups.com/investor/eclosion-sa/"
"Aare Ventures","https://www.eu-startups.com/investor/aare-ventures/"
"Caliza Holding","https://www.eu-startups.com/investor/caliza-holding/"
"Investment Solutions AG","https://www.eu-startups.com/investor/investment-solutions-ag/"
"Mission Possible","https://www.eu-startups.com/investor/mission-possible/"
"Anchor Group","https://www.eu-startups.com/investor/anchor-group/"
"Bulb Capital","https://www.eu-startups.com/investor/bulb-capital/"
"Transaction Partner","https://www.eu-startups.com/investor/transaction-partner-2/"
"Capital Risque Fribourg","https://www.eu-startups.com/investor/capital-risque-fribourg/"
"Swiss Entrepreneurs Foundation","https://www.eu-startups.com/investor/swiss-entrepreneurs-foundation/"
"HS LifeSciences","https://www.eu-startups.com/investor/hs-lifesciences/"
"Swiss Investment Fund for Emerging Markets (SIFEM)","https://www.eu-startups.com/investor/swiss-investment-fund-for-emerging-markets-sifem/"
"Seed4Equity","https://www.eu-startups.com/investor/seed4equity/"
"Alpine Capital AS","https://www.eu-startups.com/investor/alpine-capital-as/"
"Constructor Start","https://www.eu-startups.com/investor/constructor-start/"
"Affentranger Associates","https://www.eu-startups.com/investor/affentranger-associates/"
"Abalis Finance","https://www.eu-startups.com/investor/abalis-finance/"
"Network Capital Holding AG","https://www.eu-startups.com/investor/network-capital-holding-ag/"
"Renaissance","https://www.eu-startups.com/investor/renaissance/"
"Scala Ventures","https://www.eu-startups.com/investor/scala-ventures/"
"Grönemeyer Health","https://www.eu-startups.com/investor/gronemeyer-health/"
"MontBlu Capital","https://www.eu-startups.com/investor/montblu-capital/"
"Kickfund","https://www.eu-startups.com/investor/kickfund/"
"FORM Life Ventures","https://www.eu-startups.com/investor/form-life-ventures/"
"Convergence Partners AG","https://www.eu-startups.com/investor/convergence-partners-ag/"
"Helvetica Capital","https://www.eu-startups.com/investor/helvetica-capital/"
"Forty51 Ventures","https://www.eu-startups.com/investor/forty51-ventures/"
"Virtus: Energy AGI","https://www.eu-startups.com/investor/virtus-energy-agi-2/"
"Privilège Ventures","https://www.eu-startups.com/investor/privilege-ventures/"
"Business Angels Switzerland (BAS)","https://www.eu-startups.com/investor/business-angels-switzerland-bas/"
"Maximon","https://www.eu-startups.com/investor/maximon/"
"BlueOcean Ventures","https://www.eu-startups.com/investor/blueocean-ventures/"
"Tomahawk.VC","https://www.eu-startups.com/investor/tomahawk-vc/"
"The New Frontiers (TNF)","https://www.eu-startups.com/investor/the-new-frontiers-tnf/"
"QBIT Capital","https://www.eu-startups.com/investor/qbit-capital/"
"Beyond Impact","https://www.eu-startups.com/investor/beyond-impact/"
"Lurra Capital","https://www.eu-startups.com/investor/lurra-capital/"
"Quan Technology Fund","https://www.eu-startups.com/investor/quan-technology-fund/"
"Planven Entrepreneur Ventures","https://www.eu-startups.com/investor/planven-entrepreneur-ventures/"
"EFI Lake Geneva Ventures","https://www.eu-startups.com/investor/efi-lake-geneva-ventures/"
"Kodori AG","https://www.eu-startups.com/investor/kodori-ag/"
"Stake Capital Group","https://www.eu-startups.com/investor/stake-capital-group-2/"
