Name,Link
"Polyvalent Capital","https://www.eu-startups.com/investor/polyvalent-capital/"
"Schwarzwald Capital Fund","https://www.eu-startups.com/investor/schwarzwald-capital-fund/"
"MVST:MG","https://www.eu-startups.com/investor/mvstmg/"
"ULTRA.VC","https://www.eu-startups.com/investor/ultra-vc-2/"
"JOINT JOURNEY","https://www.eu-startups.com/investor/joint-journey/"
"Insta Ventures","https://www.eu-startups.com/investor/insta-ventures/"
"AddVenture","https://www.eu-startups.com/investor/addventure/"
"Vershina Capital","https://www.eu-startups.com/investor/vershina-capital/"
"Bulba Ventures","https://www.eu-startups.com/investor/bulba-ventures/"
"Melnichek Investments","https://www.eu-startups.com/investor/melnichek-investments/"
"Rider Global","https://www.eu-startups.com/investor/rider-global/"
"Chrome Capital","https://www.eu-startups.com/investor/chrome-capital/"
"D2 Digital Venture","https://www.eu-startups.com/investor/d2-digital-venture/"
"GEM Capital","https://www.eu-startups.com/investor/gem-capital/"
"Jetpack Ventures","https://www.eu-startups.com/investor/jetpack-ventures-2/"
"Bigspace Investments","https://www.eu-startups.com/investor/bigspace-investments/"
"Mueller Management","https://www.eu-startups.com/investor/mueller-management/"
"Adiva Investments","https://www.eu-startups.com/investor/adiva-investments/"
"Capinvest21","https://www.eu-startups.com/investor/capinvest21/"
"EA Ventures","https://www.eu-startups.com/investor/ea-ventures/"
"Oggin","https://www.eu-startups.com/investor/oggin/"
"Nucleus Ventures","https://www.eu-startups.com/investor/nucleus-ventures/"
"ULTRA.VC","https://www.eu-startups.com/investor/ultra-vc/"
"Embria","https://www.eu-startups.com/investor/embria/"
"Jetpack Ventures","https://www.eu-startups.com/investor/jetpack-ventures/"
"Gravity Ventures Incubator","https://www.eu-startups.com/investor/gravity-ventures-incubator/"
"Aivitam Ventures (CY)","https://www.eu-startups.com/investor/aivitam-ventures-cy/"
