Name,Link
"Jet Ventures","https://www.eu-startups.com/investor/jet-ventures/"
"J&T Ventures","https://www.eu-startups.com/investor/jt-ventures-2/"
"PurposeTech","https://www.eu-startups.com/investor/purposetech/"
"DLTG Fund","https://www.eu-startups.com/investor/dltg-fund/"
"LEVERAGE","https://www.eu-startups.com/investor/leverage/"
"KOOPEO Ventures","https://www.eu-startups.com/investor/koopeo-ventures/"
"TCF Capital","https://www.eu-startups.com/investor/tcf-capital/"
"QQ Capital","https://www.eu-startups.com/investor/qq-capital/"
"Nextech Ventures","https://www.eu-startups.com/investor/nextech-ventures/"
"EXOVERSE","https://www.eu-startups.com/investor/exoverse/"
"i&i Prague","https://www.eu-startups.com/investor/ii-prague-2/"
"SPM Invest","https://www.eu-startups.com/investor/spm-invest/"
"Finance Zealand","https://www.eu-startups.com/investor/finance-zealand/"
"Metatron Global","https://www.eu-startups.com/investor/metatron-global/"
"JIC Ventures","https://www.eu-startups.com/investor/jic-ventures/"
"PRIME FUND Group","https://www.eu-startups.com/investor/prime-fund-group/"
"Enern","https://www.eu-startups.com/investor/enern/"
"Purpose Ventures","https://www.eu-startups.com/investor/purpose-ventures/"
"V-Sharp Venture Studio","https://www.eu-startups.com/investor/v-sharp-venture-studio/"
"Miton C","https://www.eu-startups.com/investor/miton-c/"
"Patero","https://www.eu-startups.com/investor/patero/"
"Token Ventures","https://www.eu-startups.com/investor/token-ventures/"
"Springtide Ventures","https://www.eu-startups.com/investor/springtide-ventures/"
"Credo Ventures","https://www.eu-startups.com/investor/credo-ventures/"
"Air Ventures","https://www.eu-startups.com/investor/air-ventures/"
"Pale Fire Capital","https://www.eu-startups.com/investor/pale-fire-capital/"
"Rockaway Ventures","https://www.eu-startups.com/investor/rockaway-ventures/"
"Czech Founders VC","https://www.eu-startups.com/investor/czech-founders-vc/"
"Tilia Impact Ventures","https://www.eu-startups.com/investor/tilia-impact-ventures/"
"Purple Ventures","https://www.eu-startups.com/investor/purple-ventures/"
"Tensor Ventures","https://www.eu-startups.com/investor/tensor-ventures/"
"MITON","https://www.eu-startups.com/investor/miton/"
"ORBIT Capital","https://www.eu-startups.com/investor/orbit-capital/"
"Presto Ventures","https://www.eu-startups.com/investor/presto-ventures/"
"ZAKA VC","https://www.eu-startups.com/investor/zaka-vc/"
"KAYA","https://www.eu-startups.com/investor/kaya/"
"Impulse Ventures","https://www.eu-startups.com/investor/impulse-ventures/"
"Inven Capital","https://www.eu-startups.com/investor/inven-capital/"
"Rockaway Capital","https://www.eu-startups.com/investor/rockaway-capital/"
"N1","https://www.eu-startups.com/investor/n1/"
"Lighthouse Ventures","https://www.eu-startups.com/investor/lighthouse-ventures-2/"
"J&T Ventures","https://www.eu-startups.com/investor/jt-ventures/"
"Look AI Ventures","https://www.eu-startups.com/investor/look-ai-ventures/"
"McWin Partners","https://www.eu-startups.com/investor/mcwin-partners/"
"DEPO Ventures","https://www.eu-startups.com/investor/depo-ventures/"
"Soulmates Ventures","https://www.eu-startups.com/investor/soulmates-ventures-2/"
"Zásilkovna","https://www.eu-startups.com/investor/zasilkovna/"
"Y Soft Ventures","https://www.eu-startups.com/investor/y-soft-ventures/"
"Braiins","https://www.eu-startups.com/investor/braiins/"
"Soulmates Ventures","https://www.eu-startups.com/investor/soulmates-ventures/"
"Principal Engineering","https://www.eu-startups.com/investor/principal-engineering/"
"Frame100r","https://www.eu-startups.com/investor/frame100r/"
"TopMonks Startup Studio","https://www.eu-startups.com/investor/topmonks-startup-studio/"
"Pilulka Lab","https://www.eu-startups.com/investor/pilulka-lab/"
"StartupYard","https://www.eu-startups.com/investor/startupyard/"
"Lighthouse Ventures","https://www.eu-startups.com/investor/lighthouse-ventures/"
"PowerHUB","https://www.eu-startups.com/investor/powerhub/"
"Venture Club","https://www.eu-startups.com/investor/venture-club-2/"
"Venture Club","https://www.eu-startups.com/investor/venture-club/"
"JIC STARCUBE","https://www.eu-startups.com/investor/jic-starcube/"
"ITACA Business Incubator","https://www.eu-startups.com/investor/itaca-business-incubator/"
"Creative Dock","https://www.eu-startups.com/investor/creative-dock/"
"i&i Prague","https://www.eu-startups.com/investor/ii-prague/"
"BUDETO","https://www.eu-startups.com/investor/budeto/"
"AI Startup Incubator","https://www.eu-startups.com/investor/ai-startup-incubator/"
"Biometric Ventures","https://www.eu-startups.com/investor/biometric-ventures/"
