Name,Link
"BlueYard Capital","https://www.eu-startups.com/investor/blueyard-capital-2/"
"Merantix","https://www.eu-startups.com/investor/merantix/"
"BOOOM","https://www.eu-startups.com/investor/booom/"
"Green European Tech Fund","https://www.eu-startups.com/investor/green-european-tech-fund/"
"Kärcher New Ventures","https://www.eu-startups.com/investor/karcher-new-ventures/"
"Better Ventures","https://www.eu-startups.com/investor/better-ventures/"
"hub:raum","https://www.eu-startups.com/investor/hubraum-2/"
"DB1 Ventures","https://www.eu-startups.com/investor/db1-ventures/"
"Schumpeter VC","https://www.eu-startups.com/investor/schumpeter-vc/"
"blueworld.group","https://www.eu-startups.com/investor/blueworld-group/"
"Masawa","https://www.eu-startups.com/investor/masawa/"
"WestTech Ventures","https://www.eu-startups.com/investor/westtech-ventures/"
"STIHL Ventures","https://www.eu-startups.com/investor/stihl-ventures/"
"āltitude","https://www.eu-startups.com/investor/altitude-2/"
"DTCP","https://www.eu-startups.com/investor/dtcp/"
"G + D Ventures","https://www.eu-startups.com/investor/g-d-ventures/"
"Blockchain Founders Group","https://www.eu-startups.com/investor/blockchain-founders-group/"
"Burda Principal Investments","https://www.eu-startups.com/investor/burda-principal-investments/"
"Creathor Ventures","https://www.eu-startups.com/investor/creathor-ventures/"
"Techvision Fonds","https://www.eu-startups.com/investor/techvision-fonds/"
"Urban Impact","https://www.eu-startups.com/investor/urban-impact/"
"Allianz X","https://www.eu-startups.com/investor/allianz-x/"
"Heartfelt_","https://www.eu-startups.com/investor/heartfelt_/"
"Greenfield","https://www.eu-startups.com/investor/greenfield/"
"Headline","https://www.eu-startups.com/investor/headline/"
"Extantia Capital","https://www.eu-startups.com/investor/extantia-capital/"
"BonVenture","https://www.eu-startups.com/investor/bonventure/"
"Avala Capital","https://www.eu-startups.com/investor/avala-capital/"
"Verdane","https://www.eu-startups.com/investor/verdane/"
"Beurer GmbH","https://www.eu-startups.com/investor/beurer-gmbh/"
"Flossbach von Storch – Innovation Hub","https://www.eu-startups.com/investor/flossbach-von-storch-innovation-hub/"
"Munich Re Ventures","https://www.eu-startups.com/investor/munich-re-ventures/"
"Sixt Ventures","https://www.eu-startups.com/investor/sixt-ventures/"
"OHB Venture Capital","https://www.eu-startups.com/investor/ohb-venture-capital/"
"pd ventures","https://www.eu-startups.com/investor/pd-ventures/"
"Friedrich Boysen","https://www.eu-startups.com/investor/friedrich-boysen/"
"Mücke Roth & Company","https://www.eu-startups.com/investor/mucke-roth-company/"
"co-pace","https://www.eu-startups.com/investor/co-pace/"
"Vogel Ventures","https://www.eu-startups.com/investor/vogel-ventures/"
"ZEISS Ventures","https://www.eu-startups.com/investor/zeiss-ventures/"
"Curious Capital","https://www.eu-startups.com/investor/curious-capital-2/"
"Archimedes New Ventures","https://www.eu-startups.com/investor/archimedes-new-ventures/"
"naturalX Health Ventures","https://www.eu-startups.com/investor/naturalx-health-ventures/"
"DKV Mobility","https://www.eu-startups.com/investor/dkv-mobility/"
"Intermedia Venture","https://www.eu-startups.com/investor/intermedia-venture/"
"DocCheck Guano","https://www.eu-startups.com/investor/doccheck-guano/"
"KUBIKx","https://www.eu-startups.com/investor/kubikx/"
"Resolution Reichert Network Solutions","https://www.eu-startups.com/investor/resolution-reichert-network-solutions/"
"Katjes Greenfood","https://www.eu-startups.com/investor/katjes-greenfood/"
"Evonik Venture Capital","https://www.eu-startups.com/investor/evonik-venture-capital/"
"Henkel Ventures","https://www.eu-startups.com/investor/henkel-ventures/"
"Peppermint Holding","https://www.eu-startups.com/investor/peppermint-holding/"
"Jebsen & Jessen Hamburg Group","https://www.eu-startups.com/investor/jebsen-jessen-hamburg-group/"
"Lufthansa Innovation Hub","https://www.eu-startups.com/investor/lufthansa-innovation-hub/"
"CHECK24 Ventures","https://www.eu-startups.com/investor/check24-ventures/"
"Enercity","https://www.eu-startups.com/investor/enercity/"
"Diehl Ventures","https://www.eu-startups.com/investor/diehl-ventures/"
"Orange Corp","https://www.eu-startups.com/investor/orange-corp-2/"
