Name,Link
"Final Frontier (Space & Defence VC)","https://www.eu-startups.com/investor/final-frontier-space-defence-vc/"
"Upfin","https://www.eu-startups.com/investor/upfin/"
"Odense Robotics StartUp Fund","https://www.eu-startups.com/investor/odense-robotics-startup-fund/"
"Likeminded","https://www.eu-startups.com/investor/likeminded/"
"Nordic Secondary Fund","https://www.eu-startups.com/investor/nordic-secondary-fund/"
"Sunstone Life Science Ventures","https://www.eu-startups.com/investor/sunstone-life-science-ventures/"
"Look Up Ventures","https://www.eu-startups.com/investor/look-up-ventures/"
"PSV","https://www.eu-startups.com/investor/preseed-ventures/"
"Kompas VC","https://www.eu-startups.com/investor/kompas-vc-2/"
"KRING","https://www.eu-startups.com/investor/kring/"
"IDC Ventures","https://www.eu-startups.com/investor/idc-ventures/"
"Circles & Squares","https://www.eu-startups.com/investor/circles-squares/"
"Hazelpond Capital","https://www.eu-startups.com/investor/hazelpond-capital/"
"Investo Capital","https://www.eu-startups.com/investor/investo-capital/"
"Rulebreaker Ventures","https://www.eu-startups.com/investor/rulebreaker-ventures/"
"Incuba Venture","https://www.eu-startups.com/investor/incuba-venture/"
"KMD Venture","https://www.eu-startups.com/investor/kmd-venture/"
"Damgaard Company","https://www.eu-startups.com/investor/damgaard-company/"
"volvér.vc","https://www.eu-startups.com/investor/volver-vc/"
"Sealand Capital","https://www.eu-startups.com/investor/sealand-capital/"
"Black Capital Ventures","https://www.eu-startups.com/investor/black-capital-ventures/"
"CAPNOVA","https://www.eu-startups.com/investor/capnova/"
"North Ventures","https://www.eu-startups.com/investor/north-ventures/"
"DICO","https://www.eu-startups.com/investor/dico/"
"byFounders","https://www.eu-startups.com/investor/byfounders/"
"Nordic Impact Funds","https://www.eu-startups.com/investor/nordic-impact-funds/"
"LoveMondays","https://www.eu-startups.com/investor/lovemondays/"
"VÅR Ventures","https://www.eu-startups.com/investor/var-ventures/"
"Ugly Duckling Ventures","https://www.eu-startups.com/investor/ugly-duckling-ventures/"
"Kickass Capital","https://www.eu-startups.com/investor/kickass-capital/"
"Science Ventures","https://www.eu-startups.com/investor/science-ventures/"
"Sagitta Ventures","https://www.eu-startups.com/investor/sagitta-ventures/"
"North-East Family Office","https://www.eu-startups.com/investor/north-east-family-office/"
"Planetary Impact Ventures","https://www.eu-startups.com/investor/planetary-impact-ventures/"
"Heartland","https://www.eu-startups.com/investor/heartland/"
"Novo Holdings","https://www.eu-startups.com/investor/novo-holdings/"
"Founderment Ventures","https://www.eu-startups.com/investor/founderment-ventures/"
"NOON Ventures","https://www.eu-startups.com/investor/noon-ventures/"
"KRING Innovation","https://www.eu-startups.com/investor/kring-innovation/"
"Unconventional Ventures","https://www.eu-startups.com/investor/unconventional-ventures/"
"Morph Capital","https://www.eu-startups.com/investor/morph-capital/"
"The Aventures","https://www.eu-startups.com/investor/the-aventures/"
"Lundbeckfonden Ventures","https://www.eu-startups.com/investor/lundbeckfonden-ventures/"
"BlackWood Ventures","https://www.eu-startups.com/investor/blackwood-ventures/"
"PSV","https://www.eu-startups.com/investor/psv-2/"
"Dreamcraft Ventures","https://www.eu-startups.com/investor/dreamcraft-ventures/"
"Seed Capital","https://www.eu-startups.com/investor/seed-capital/"
"Founders","https://www.eu-startups.com/investor/founders/"
"Climentum Capital","https://www.eu-startups.com/investor/climentum-capital/"
"People Ventures","https://www.eu-startups.com/investor/people-ventures/"
"Kost Capital","https://www.eu-startups.com/investor/kost-capital/"
"Nordic Alpha Partners","https://www.eu-startups.com/investor/nordic-alpha-partners/"
"Nordic Eye Venture Capital","https://www.eu-startups.com/investor/nordic-eye-venture-capital/"
"The Footprint Firm","https://www.eu-startups.com/investor/the-footprint-firm/"
"Scale Capital","https://www.eu-startups.com/investor/scale-capital/"
"Underground Ventures","https://www.eu-startups.com/investor/underground-ventures/"
"Accelerace","https://www.eu-startups.com/investor/accelerace-2/"
"Heartcore Capital","https://www.eu-startups.com/investor/heartcore-capital/"
"Vestas Ventures","https://www.eu-startups.com/investor/vestas-ventures/"
"ALFA Ventures","https://www.eu-startups.com/investor/alfa-ventures/"
"Danfoss Ventures","https://www.eu-startups.com/investor/danfoss-ventures/"
"A.P. Moller Holding","https://www.eu-startups.com/investor/a-p-moller-holding/"
"TotalEnergies Ventures","https://www.eu-startups.com/investor/totalenergies-ventures/"
"Maersk Growth","https://www.eu-startups.com/investor/maersk-growth/"
"SDG Invest","https://www.eu-startups.com/investor/sdg-invest/"
"Stairways","https://www.eu-startups.com/investor/stairways/"
"Urbantech","https://www.eu-startups.com/investor/urbantech/"
"Layer Three Ventures","https://www.eu-startups.com/investor/layer-three-ventures/"
"ITU Startup Programme","https://www.eu-startups.com/investor/itu-startup-programme/"
"Copenhagen FinTech Accelerator","https://www.eu-startups.com/investor/copenhagen-fintech-accelerator/"
"FST Growth","https://www.eu-startups.com/investor/fst-growth/"
"Gray Matter","https://www.eu-startups.com/investor/gray-matter/"
"Growth Train Accelerator","https://www.eu-startups.com/investor/growth-train-accelerator/"
"CBS Startup","https://www.eu-startups.com/investor/cbs-startup/"
"Orsted Propel","https://www.eu-startups.com/investor/orsted-propel/"
"Accelerace","https://www.eu-startups.com/investor/accelerace/"
"Alter State","https://www.eu-startups.com/investor/alter-state/"
"BioInnovation Institute Venture House","https://www.eu-startups.com/investor/bioinnovation-institute-venture-house/"
"Blazar Capital","https://www.eu-startups.com/investor/blazar-capital/"
"PSV","https://www.eu-startups.com/investor/psv/"
