Name,Link
"Thorgate Ventures","https://www.eu-startups.com/investor/thorgate-ventures/"
"The Better Fund","https://www.eu-startups.com/investor/the-better-fund/"
"Metaplanet","https://www.eu-startups.com/investor/metaplanet/"
"Trind VC","https://www.eu-startups.com/investor/trind-vc/"
"Breakaway Partners","https://www.eu-startups.com/investor/breakaway-partners/"
"Honey Badger Capital","https://www.eu-startups.com/investor/honey-badger-capital/"
"Spring Capital","https://www.eu-startups.com/investor/spring-capital-2/"
"Virtue Capital Fund","https://www.eu-startups.com/investor/virtue-capital-fund/"
"Siena Secondary Fund","https://www.eu-startups.com/investor/siena-capital/"
"TLG Ventures","https://www.eu-startups.com/investor/tlg-ventures/"
"I Am The Fund","https://www.eu-startups.com/investor/i-am-the-fund/"
"Netsolid Investments","https://www.eu-startups.com/investor/netsolid-investments/"
"Impulse Generator Fund","https://www.eu-startups.com/investor/impulse-generator-fund/"
"Krokodilli Kapital","https://www.eu-startups.com/investor/krokodilli-kapital/"
"Server Partners","https://www.eu-startups.com/investor/server-partners/"
"Good Deed Education Fund","https://www.eu-startups.com/investor/good-deed-education-fund/"
"Lemonade Stand","https://www.eu-startups.com/investor/lemonade-stand/"
"Specialist VC","https://www.eu-startups.com/investor/specialist-vc/"
"Trigon Capital","https://www.eu-startups.com/investor/trigon-capital/"
"FStage","https://www.eu-startups.com/investor/fstage/"
"Superangel","https://www.eu-startups.com/investor/superangel/"
"Tera Ventures","https://www.eu-startups.com/investor/tera-ventures/"
"Change Ventures","https://www.eu-startups.com/investor/change-ventures/"
"BlockGrounds","https://www.eu-startups.com/investor/blockgrounds/"
"Broadgate Capital","https://www.eu-startups.com/investor/broadgate-capital/"
"Karma Ventures","https://www.eu-startups.com/investor/karma-ventures/"
"LIFT99","https://www.eu-startups.com/investor/lift99/"
"Kontaveit Group","https://www.eu-startups.com/investor/kontaveit-group/"
"Startup Wise Guys","https://www.eu-startups.com/investor/startup-wise-guys/"
"NGI TETRA","https://www.eu-startups.com/investor/ngi-tetra/"
"Tehnopol","https://www.eu-startups.com/investor/tehnopol/"
"Tallinn Business Incubators","https://www.eu-startups.com/investor/tallinn-business-incubators/"
"Digital Invest","https://www.eu-startups.com/investor/digital-invest/"
"Wise Guys Cyber","https://www.eu-startups.com/investor/wise-guys-cyber/"
"CEED Tech","https://www.eu-startups.com/investor/ceed-tech/"
"Ajujaht","https://www.eu-startups.com/investor/ajujaht/"
"Alpine House Spring 2020","https://www.eu-startups.com/investor/alpine-house-spring-2020/"
"Beamline Accelerator","https://www.eu-startups.com/investor/beamline-accelerator/"
