Name,Link
"Club GLOBALS","https://www.eu-startups.com/investor/club-globals/"
"Prosegur Tech Ventures","https://www.eu-startups.com/investor/prosegur-tech-ventures/"
"Inveready","https://www.eu-startups.com/investor/inveready/"
"Mutua Ventures","https://www.eu-startups.com/investor/mutua-ventures/"
"The Valley Venture Capital","https://www.eu-startups.com/investor/the-valley-venture-capital/"
"Creas","https://www.eu-startups.com/investor/creas-2/"
"Cardumen Capital","https://www.eu-startups.com/investor/cardumen-capital/"
"Athos Capital","https://www.eu-startups.com/investor/athos-capital/"
"HWK Techinvestment","https://www.eu-startups.com/investor/hwk-techinvestment/"
"Fierce Capital","https://www.eu-startups.com/investor/fierce-capital/"
"Capsa Vida","https://www.eu-startups.com/investor/capsa-vida/"
"Enagas Emprende","https://www.eu-startups.com/investor/enagas-emprende-2/"
"FI Nvest","https://www.eu-startups.com/investor/fi-nvest/"
"Capital Energy Quantum","https://www.eu-startups.com/investor/capital-energy-quantum-2/"
"LLYC Venturing","https://www.eu-startups.com/investor/llyc-venturing/"
"Adevinta Ventures","https://www.eu-startups.com/investor/adevinta-ventures/"
"Cuatrecasas Ventures","https://www.eu-startups.com/investor/cuatrecasas-ventures/"
"Cognitive Corporate Finance","https://www.eu-startups.com/investor/cognitive-corporate-finance-2/"
"Cognitive Corporate Finance","https://www.eu-startups.com/investor/cognitive-corporate-finance/"
"Popular Impact Fund","https://www.eu-startups.com/investor/popular-impact-fund/"
"Avançsa","https://www.eu-startups.com/investor/avancsa/"
"Fotowatio Renewable Ventures","https://www.eu-startups.com/investor/fotowatio-renewable-ventures/"
"ICF Capital","https://www.eu-startups.com/investor/icf-capital/"
"Telefónica Open Innovation","https://www.eu-startups.com/investor/telefonica-open-innovation/"
"Telefónica Innovation Ventures","https://www.eu-startups.com/investor/telefonica-innovation-ventures/"
"GENESIS Tech Transfer Boost","https://www.eu-startups.com/investor/genesis-tech-transfer-boost/"
"Cemex Ventures","https://www.eu-startups.com/investor/cemex-ventures-2/"
"Bankinter","https://www.eu-startups.com/investor/bankinter/"
"AXIS","https://www.eu-startups.com/investor/axis/"
"Cobo Ventures","https://www.eu-startups.com/investor/cobo-ventures/"
"Optare Ventures","https://www.eu-startups.com/investor/optare-ventures/"
"HOTUSA Ventures","https://www.eu-startups.com/investor/hotusa-ventures/"
"Amadeus Ventures","https://www.eu-startups.com/investor/amadeus-ventures/"
"Prosegur","https://www.eu-startups.com/investor/prosegur/"
"Repsol Energy Ventures","https://www.eu-startups.com/investor/repsol-energy-ventures/"
"Wayra","https://www.eu-startups.com/investor/wayra/"
"Peninsula Open Innovation","https://www.eu-startups.com/investor/peninsula-open-innovation/"
"Orizont","https://www.eu-startups.com/investor/orizont/"
"Star Startups","https://www.eu-startups.com/investor/star-startups/"
