Name,Link
"FOV Ventures","https://www.eu-startups.com/investor/fov-ventures-2/"
"Equilibrium Ventures","https://www.eu-startups.com/investor/equilibrium-ventures/"
"Kvanted Ventures","https://www.eu-startups.com/investor/kvanted-ventures/"
"Stephen Industries","https://www.eu-startups.com/investor/stephen-industries/"
"Sisu Ventures","https://www.eu-startups.com/investor/sisu-ventures/"
"NordicNinja","https://www.eu-startups.com/investor/nordicninja/"
"FOV Ventures","https://www.eu-startups.com/investor/fov-ventures/"
"VNT Management","https://www.eu-startups.com/investor/vnt-management-2/"
"Metsa Spring","https://www.eu-startups.com/investor/metsa-spring-2/"
"Vertical.vc","https://www.eu-startups.com/investor/vertical-vc-2/"
"Metsa Spring","https://www.eu-startups.com/investor/metsa-spring/"
"VNT Management","https://www.eu-startups.com/investor/vnt-management/"
"Grid.vc","https://www.eu-startups.com/investor/grid-vc/"
"Trifecta Retail Ventures","https://www.eu-startups.com/investor/trifecta-retail-ventures-2/"
"Trifecta Retail Ventures","https://www.eu-startups.com/investor/trifecta-retail-ventures/"
"Greencode Ventures","https://www.eu-startups.com/investor/greencode-ventures/"
"Evli Growth Partners","https://www.eu-startups.com/investor/evli-growth-partners/"
"Korpun Siemen","https://www.eu-startups.com/investor/korpun-siemen/"
"Nexit Ventures","https://www.eu-startups.com/investor/nexit-ventures/"
"Failup Ventures","https://www.eu-startups.com/investor/failup-ventures/"
"Tikura Ventures","https://www.eu-startups.com/investor/tikura-ventures/"
"Liquido.VC","https://www.eu-startups.com/investor/liquido-vc/"
"Sparkmind.vc","https://www.eu-startups.com/investor/sparkmind-vc/"
"Wave Ventures","https://www.eu-startups.com/investor/wave-ventures/"
"Ajanta","https://www.eu-startups.com/investor/ajanta/"
"Visionplus","https://www.eu-startups.com/investor/visionplus/"
"Nordic Development Fund","https://www.eu-startups.com/investor/nordic-development-fund/"
"Helmet Capital","https://www.eu-startups.com/investor/helmet-capital/"
"Reaktor Ventures","https://www.eu-startups.com/investor/reaktor-ventures/"
"IPR.VC","https://www.eu-startups.com/investor/ipr-vc/"
"Nuard Ventures","https://www.eu-startups.com/investor/nuard-ventures/"
"8 Media Ventures","https://www.eu-startups.com/investor/8-media-ventures/"
"Voima Ventures","https://www.eu-startups.com/investor/voima-ventures/"
"Prodeko Ventures","https://www.eu-startups.com/investor/prodeko-ventures/"
"Nordic Foodtech VC","https://www.eu-startups.com/investor/nordic-foodtech-vc/"
"Gorilla Capital","https://www.eu-startups.com/investor/gorilla-capital/"
"Straightforward Capital","https://www.eu-startups.com/investor/straightforward-capital/"
"Icebreaker.vc","https://www.eu-startups.com/investor/icebreaker-vc/"
"Innovestor","https://www.eu-startups.com/investor/innovestor/"
"Green Campus Innovations Oy","https://www.eu-startups.com/investor/green-campus-innovations-oy-2/"
"Vendep Capital","https://www.eu-startups.com/investor/vendep-capital/"
"Lagoon Capital","https://www.eu-startups.com/investor/lagoon-capital/"
"Butterfly Ventures","https://www.eu-startups.com/investor/butterfly-ventures/"
"Superhero Capital","https://www.eu-startups.com/investor/superhero-capital/"
"Nordic Venture Family","https://www.eu-startups.com/investor/nordic-venture-family/"
"Monttu Ventures","https://www.eu-startups.com/investor/monttu-ventures/"
"Nordic XR Startups","https://www.eu-startups.com/investor/nordic-xr-startups-2/"
"SijoittajaPRO","https://www.eu-startups.com/investor/sijoittajapro/"
"Aboa Advest","https://www.eu-startups.com/investor/aboa-advest/"
"Tesi","https://www.eu-startups.com/investor/tesi/"
"Guida Invest","https://www.eu-startups.com/investor/guida-invest/"
"3TS Capital Partners","https://www.eu-startups.com/investor/3ts-capital-partners/"
"OpenOcean","https://www.eu-startups.com/investor/openocean/"
"Maki.vc","https://www.eu-startups.com/investor/maki-vc/"
"Inventure","https://www.eu-startups.com/investor/inventure/"
"Lifeline Ventures","https://www.eu-startups.com/investor/lifeline-ventures/"
"Raison","https://www.eu-startups.com/investor/raison/"
"Sitra","https://www.eu-startups.com/investor/sitra/"
"Helen Ventures","https://www.eu-startups.com/investor/helen-ventures/"
"Nordic XR Startups","https://www.eu-startups.com/investor/nordic-xr-startups/"
"EnergySpin","https://www.eu-startups.com/investor/energyspin/"
"Kiuas","https://www.eu-startups.com/investor/kiuas/"
"Kielo Growth","https://www.eu-startups.com/investor/kielo-growth/"
"Yle Media Start Accelerator","https://www.eu-startups.com/investor/yle-media-start-accelerator/"
"xEdu","https://www.eu-startups.com/investor/xedu/"
"Vertical.vc","https://www.eu-startups.com/investor/vertical-vc/"
"Venture Gym","https://www.eu-startups.com/investor/venture-gym/"
"Gorilla Ventures","https://www.eu-startups.com/investor/gorilla-ventures/"
"Green Campus Innovations Oy","https://www.eu-startups.com/investor/green-campus-innovations-oy/"
"Business Finland","https://www.eu-startups.com/investor/business-finland/"
"Business Joensuu","https://www.eu-startups.com/investor/business-joensuu/"
"Ääkköset Oy","https://www.eu-startups.com/investor/aakkoset-oy/"
"Arctic15 Pitching Competition","https://www.eu-startups.com/investor/arctic15-pitching-competition/"
"WeBuust","https://www.eu-startups.com/investor/webuust/"
