Name,Link
"Preminent Investments","https://www.eu-startups.com/investor/preminent-investments/"
"Varsity VC","https://www.eu-startups.com/investor/varsity-vc/"
"Scientipole Capital","https://www.eu-startups.com/investor/scientipole-capital/"
"ADP Invest","https://www.eu-startups.com/investor/adp-invest/"
"The Faktory Fund","https://www.eu-startups.com/investor/the-faktory-fund/"
"Xplore by Épopée Gestion","https://www.eu-startups.com/investor/xplore-by-epopee-gestion/"
"L’Oreal Bold Ventures","https://www.eu-startups.com/investor/loreal-bold-ventures/"
"5M Ventures","https://www.eu-startups.com/investor/5m-ventures/"
"Sia Partners","https://www.eu-startups.com/investor/sia-partners/"
"Cuir Invest","https://www.eu-startups.com/investor/cuir-invest/"
"Sistafund","https://www.eu-startups.com/investor/sistafund/"
"New Wave","https://www.eu-startups.com/investor/new-wave/"
"GVentures","https://www.eu-startups.com/investor/gventures/"
"ID4 Ventures","https://www.eu-startups.com/investor/id4-ventures-2/"
"EuraTechnologies","https://www.eu-startups.com/investor/euratechnologies/"
"Adelie","https://www.eu-startups.com/investor/adelie-2/"
"Blisce","https://www.eu-startups.com/investor/blisce/"
"Citizen Capital","https://www.eu-startups.com/investor/citizen-capital/"
"Hitchhiker Ventures","https://www.eu-startups.com/investor/hitchhiker-ventures/"
"White Star Capital","https://www.eu-startups.com/investor/white-star-capital/"
"Cap Horn","https://www.eu-startups.com/investor/cap-horn/"
"SCALE-UP BOOSTER","https://www.eu-startups.com/investor/scale-up-booster/"
"LC Capital","https://www.eu-startups.com/investor/lc-capital/"
"Andera Partners","https://www.eu-startups.com/investor/actomezz/"
"Jezby Ventures","https://www.eu-startups.com/investor/jezby-ventures/"
"H INVEST","https://www.eu-startups.com/investor/h-invest/"
"Inocap Gestion","https://www.eu-startups.com/investor/inocap-gestion/"
"Vesper Investment","https://www.eu-startups.com/investor/vesper-investment/"
"Elige Capital","https://www.eu-startups.com/investor/elige-capital/"
"Climate Club","https://www.eu-startups.com/investor/climate-club/"
"Club Holnest","https://www.eu-startups.com/investor/club-holnest/"
"Exergon","https://www.eu-startups.com/investor/exergon/"
