Name,Link
"GrayBella Capital","https://www.eu-startups.com/investor/graybella-capital/"
"Clearance Venture Partners","https://www.eu-startups.com/investor/clearance-venture-partners/"
"Beringea","https://www.eu-startups.com/investor/beringea/"
"Kohli Ventures","https://www.eu-startups.com/investor/kohli-ventures/"
"Crista Galli Ventures","https://www.eu-startups.com/investor/crista-galli-ventures/"
"Creator Ventures","https://www.eu-startups.com/investor/creator-ventures/"
"SHEIN Circularity Fund","https://www.eu-startups.com/investor/shein-circularity-fund/"
"Backfuture VC","https://www.eu-startups.com/investor/backfuture-vc/"
"JuneX Capital Partners","https://www.eu-startups.com/investor/junex-capital-partners/"
"Leadblock Bitpanda Ventures","https://www.eu-startups.com/investor/leadblock-bitpanda-ventures/"
"Delin Ventures","https://www.eu-startups.com/investor/delin-ventures/"
"Pioneer Group Life Science Accelerator","https://www.eu-startups.com/investor/pioneer-group-life-science-accelerator/"
"Ahren Innovation Capital","https://www.eu-startups.com/investor/ahren-innovation-capital/"
"Index Ventures","https://www.eu-startups.com/investor/index-ventures/"
"Noa VC","https://www.eu-startups.com/investor/noa-vc/"
"UCL Technology Fund","https://www.eu-startups.com/investor/ucl-technology-fund/"
"Blackseed","https://www.eu-startups.com/investor/blackseed/"
"Valia Ventures","https://www.eu-startups.com/investor/valia-ventures/"
"UP VC","https://www.eu-startups.com/investor/up-vc/"
"Martlet Capital","https://www.eu-startups.com/investor/martlet-capital/"
"KHP Ventures","https://www.eu-startups.com/investor/khp-ventures/"
"Mercuri VC","https://www.eu-startups.com/investor/mercuri-vc/"
"Volution Ventures","https://www.eu-startups.com/investor/volution-ventures/"
"Mouro Capital","https://www.eu-startups.com/investor/mouro-capital-2/"
"The Players Fund","https://www.eu-startups.com/investor/the-players-fund/"
"Pact VC","https://www.eu-startups.com/investor/pact-vc/"
"Passion Capital","https://www.eu-startups.com/investor/passion-capital/"
"Pink Salt Ventures","https://www.eu-startups.com/investor/pink-salt-ventures/"
"SFC Capital","https://www.eu-startups.com/investor/sfc-capital/"
"Infinium Partners","https://www.eu-startups.com/investor/infinium-partners/"
"Diana NATO Accelerator","https://www.eu-startups.com/investor/diana-nato-accelerator/"
"Embryo Ventures","https://www.eu-startups.com/investor/embryo-ventures/"
"Cell VC","https://www.eu-startups.com/investor/cell-vc/"
"Unruly Capital","https://www.eu-startups.com/investor/unruly-capital/"
"AlbionVC","https://www.eu-startups.com/investor/albionvc/"
"Ascension","https://www.eu-startups.com/investor/ascension-2/"
"Simsan Ventures","https://www.eu-startups.com/investor/simsan-ventures/"
"Sprints","https://www.eu-startups.com/investor/sprints/"
"Flight Fund","https://www.eu-startups.com/investor/flight-fund/"
"Notion Capital","https://www.eu-startups.com/investor/notion-capital/"
"Outsized Ventures","https://www.eu-startups.com/investor/outsized-ventures/"
"Mustard Seed+ Partners","https://www.eu-startups.com/investor/mustard-seed-partners/"
"Highland Europe","https://www.eu-startups.com/investor/highland-europe/"
"inHealth Ventures","https://www.eu-startups.com/investor/inhealth-ventures/"
"Lightrock","https://www.eu-startups.com/investor/lightrock/"
"Localglobe","https://www.eu-startups.com/investor/localglobe/"
"Expansion Capital","https://www.eu-startups.com/investor/expansion-capital-2/"
"FPE Capital","https://www.eu-startups.com/investor/fpe-capital/"
"Edge","https://www.eu-startups.com/investor/edge/"
"Entreé Capital","https://www.eu-startups.com/investor/entree-capital/"
"DN Capital","https://www.eu-startups.com/investor/dn-capital/"
"ETF Partners","https://www.eu-startups.com/investor/etf-partners/"
"Circularity Capital","https://www.eu-startups.com/investor/circularity-capital/"
"Climate VC","https://www.eu-startups.com/investor/climate-vc/"
"Adjuvo","https://www.eu-startups.com/investor/adjuvo/"
"Anamcara","https://www.eu-startups.com/investor/anamcara/"
"BGF","https://www.eu-startups.com/investor/bgf/"
"Backed VC","https://www.eu-startups.com/investor/backed-vc/"
"20VC","https://www.eu-startups.com/investor/20vc/"
"83North","https://www.eu-startups.com/investor/83north/"
"ACF Investors","https://www.eu-startups.com/investor/acf-investors/"
"AER Ventures","https://www.eu-startups.com/investor/aer-ventures/"
"Zouk Capital","https://www.eu-startups.com/investor/zouk-capital/"
"Praetura Ventures","https://www.eu-startups.com/investor/praetura-ventures/"
"Newzone Ventures","https://www.eu-startups.com/investor/newzone-ventures/"
"Ascension VC","https://www.eu-startups.com/investor/ascension-vc/"
"Connect Ventures","https://www.eu-startups.com/investor/connect-ventures/"
"Fuel Ventures","https://www.eu-startups.com/investor/fuel-ventures/"
"Oakvale Capital","https://www.eu-startups.com/investor/oakvale-capital/"
"Innvotec","https://www.eu-startups.com/investor/innvotec/"
"North East Growth Capital Fund","https://www.eu-startups.com/investor/north-east-growth-capital-fund/"
"The Santon Group","https://www.eu-startups.com/investor/the-santon-group/"
"Middleton Enterprises","https://www.eu-startups.com/investor/middleton-enterprises/"
"UCLB","https://www.eu-startups.com/investor/uclb/"
"Kerdos Ventures","https://www.eu-startups.com/investor/kerdos-ventures/"
