Name,Link
"Marathon Venture Capital","https://www.eu-startups.com/investor/marathon-venture-capital/"
"VentureFriends","https://www.eu-startups.com/investor/venturefriends/"
"venturefriends.vc","https://www.eu-startups.com/investor/venturefriends-vc/"
"Big Pi Ventures","https://www.eu-startups.com/investor/big-pi-ventures/"
"Metavallon VC","https://www.eu-startups.com/investor/metavallon-vc/"
"5G Ventures","https://www.eu-startups.com/investor/5g-ventures-2/"
"Uni.Fund","https://www.eu-startups.com/investor/uni-fund/"
"Velocity Partners","https://www.eu-startups.com/investor/velocity-partners/"
"L-Stone Capital","https://www.eu-startups.com/investor/l-stone-capital/"
"Global Finance","https://www.eu-startups.com/investor/global-finance/"
"Elikonos Capital Partners","https://www.eu-startups.com/investor/elikonos-capital-partners/"
"TECS Capital","https://www.eu-startups.com/investor/tecs-capital/"
"PJ Tech Catalyst","https://www.eu-startups.com/investor/pj-tech-catalyst/"
"Attica Ventures","https://www.eu-startups.com/investor/attica-ventures/"
"Startup Greece","https://www.eu-startups.com/investor/startup-greece/"
"Metavallon","https://www.eu-startups.com/investor/metavallon/"
"Develop Greece","https://www.eu-startups.com/investor/develop-greece/"
"IQbility","https://www.eu-startups.com/investor/iqbility/"
"Corallia – Hellenic Technology Cluster Initiative","https://www.eu-startups.com/investor/corallia-hellenic-technology-cluster-initiative/"
"i4G","https://www.eu-startups.com/investor/i4g/"
"Aephoria.net","https://www.eu-startups.com/investor/aephoria-net/"
