Name,Link
"Nesprit","https://www.eu-startups.com/investor/nesprit/"
"Obuda Uni Venture Capital","https://www.eu-startups.com/investor/obuda-uni-venture-capital/"
"Blue Planet Venture Capital","https://www.eu-startups.com/investor/blue-planet-venture-capital/"
"Euroventures","https://www.eu-startups.com/investor/euroventures/"
"Sup VC","https://www.eu-startups.com/investor/sup-vc-2/"
"Vespucci Partners","https://www.eu-startups.com/investor/vespucci-partners/"
"GB & Partners","https://www.eu-startups.com/investor/gb-partners/"
"Impact Ventures Hungary","https://www.eu-startups.com/investor/impact-ventures-hungary/"
"Perion Investment Fund","https://www.eu-startups.com/investor/perion-investment-fund/"
"Finext Startup","https://www.eu-startups.com/investor/finext-startup/"
"Lead Ventures","https://www.eu-startups.com/investor/lead-ventures/"
"SmartWare.tech","https://www.eu-startups.com/investor/smartware-tech/"
"Oktogon Ventures","https://www.eu-startups.com/investor/oktogon-ventures/"
"Széchenyi Capital Fund Management","https://www.eu-startups.com/investor/szechenyi-capital-fund-management/"
"Andgo Partners","https://www.eu-startups.com/investor/andgo-partners/"
"OXO Labs","https://www.eu-startups.com/investor/oxo-labs-ltd-2/"
"Bonitás Ventures","https://www.eu-startups.com/investor/bonitas-ventures/"
"X-Ventures","https://www.eu-startups.com/investor/x-ventures-2/"
"BnL Growth Partners","https://www.eu-startups.com/investor/bnl-growth-partners/"
"PortfoLion Capital Partners","https://www.eu-startups.com/investor/portfolion-capital-partners/"
"Cashline Group","https://www.eu-startups.com/investor/cashline-group/"
"Hiventures","https://www.eu-startups.com/investor/hiventures/"
"Day One Capital","https://www.eu-startups.com/investor/day-one-capital/"
"Valor Capital","https://www.eu-startups.com/investor/valor-capital/"
"MKB Fintechlab","https://www.eu-startups.com/investor/mkb-fintechlab-2/"
"Smart Future Lab","https://www.eu-startups.com/investor/smart-future-lab/"
"OXO Cybersecurity Lab","https://www.eu-startups.com/investor/oxo-cybersecurity-lab/"
"OXO Labs Ltd.","https://www.eu-startups.com/investor/oxo-labs-ltd/"
"STRT Holding","https://www.eu-startups.com/investor/strt-holding/"
"MKB Fintechlab","https://www.eu-startups.com/investor/mkb-fintechlab/"
"MyCo Incubation","https://www.eu-startups.com/investor/myco-incubation/"
"Sup VC","https://www.eu-startups.com/investor/sup-vc/"
"STRT Holding Zrt","https://www.eu-startups.com/investor/strt-holding-zrt/"
"EIT Jumpstarter","https://www.eu-startups.com/investor/eit-jumpstarter/"
"Drukka Startup Studio","https://www.eu-startups.com/investor/drukka-startup-studio/"
"KVX Innovations","https://www.eu-startups.com/investor/kvx-innovations/"
"DBH SeedStar","https://www.eu-startups.com/investor/dbh-seedstar/"
"Creative Accelerator","https://www.eu-startups.com/investor/creative-accelerator/"
"Innonic Group","https://www.eu-startups.com/investor/innonic-group/"
"Virgo Ventures","https://www.eu-startups.com/investor/virgo-ventures/"
"H13 Student and Enterprise Development Center","https://www.eu-startups.com/investor/h13-student-and-enterprise-development-center/"
"Health Venture Lab","https://www.eu-startups.com/investor/health-venture-lab/"
".wave","https://www.eu-startups.com/investor/wave/"
"ACME Labs","https://www.eu-startups.com/investor/acme-labs/"
"BnL Start Partners","https://www.eu-startups.com/investor/bnl-start-partners/"
"Baconsult","https://www.eu-startups.com/investor/baconsult/"
