Name,Link
"Fulcrum","https://www.eu-startups.com/investor/fulcrum-2/"
"Prospera Ventures Ltd","https://www.eu-startups.com/investor/prospera-ventures-ltd/"
"Fountain Healthcare Partners","https://www.eu-startups.com/investor/fountain-healthcare-partners/"
"AIB Start-up Accelerator","https://www.eu-startups.com/investor/aib-start-up-accelerator/"
"Elkstone","https://www.eu-startups.com/investor/elkstone/"
"Allegion Ventures","https://www.eu-startups.com/investor/allegion-ventures/"
"The Yield Lab Europe","https://www.eu-startups.com/investor/the-yield-lab-europe/"
"Selenean Capital","https://www.eu-startups.com/investor/selenean-capital/"
"WakeUp Capital","https://www.eu-startups.com/investor/wakeup-capital/"
"Seroba Life Sciences","https://www.eu-startups.com/investor/seroba-life-sciences/"
"Social Innovation Fund Ireland","https://www.eu-startups.com/investor/social-innovation-fund-ireland/"
"Two Culture Capital","https://www.eu-startups.com/investor/two-culture-capital/"
"Atlantic Bridge University Fund","https://www.eu-startups.com/investor/atlantic-bridge-university-fund/"
"APRIL Ventures","https://www.eu-startups.com/investor/april-ventures/"
"MASV.com","https://www.eu-startups.com/investor/masv-com/"
"Venturewave Capital","https://www.eu-startups.com/investor/venturewave-capital/"
"CircleRock Capital","https://www.eu-startups.com/investor/circlerock-capital/"
"Deeptech Seed Fund","https://www.eu-startups.com/investor/deeptech-seed-fund/"
"Earth First Food Ventures","https://www.eu-startups.com/investor/earth-first-food-ventures/"
"Hatch Blue Ltd","https://www.eu-startups.com/investor/hatch-blue-ltd/"
"Enterprise Equity","https://www.eu-startups.com/investor/enterprise-equity/"
"Furthr VC","https://www.eu-startups.com/investor/furthr-vc/"
"Growing Capital","https://www.eu-startups.com/investor/growing-capital/"
"Irelandia Aviation","https://www.eu-startups.com/investor/irelandia-aviation/"
"Irrus Investments","https://www.eu-startups.com/investor/irrus-investments/"
"Irish Venture Capital Association","https://www.eu-startups.com/investor/irish-venture-capital-association/"
"Kernel Capital","https://www.eu-startups.com/investor/kernel-capital/"
"LEAF Investments","https://www.eu-startups.com/investor/leaf-investments/"
"Malin Corporation","https://www.eu-startups.com/investor/malin-corporation/"
"OLMA Luxury Holdings","https://www.eu-startups.com/investor/olma-luxury-holdings/"
"Delta Partners","https://www.eu-startups.com/investor/delta-partners/"
"Development Capital","https://www.eu-startups.com/investor/development-capital/"
"eDot Invest","https://www.eu-startups.com/investor/edot-invest/"
"BES Management","https://www.eu-startups.com/investor/bes-management/"
"Chirisa","https://www.eu-startups.com/investor/chirisa/"
"COSIMO Ventures","https://www.eu-startups.com/investor/cosimo-ventures/"
"Ronoc","https://www.eu-startups.com/investor/ronoc/"
"Tribal.vc","https://www.eu-startups.com/investor/tribal-vc/"
"Atlantic Bridge","https://www.eu-startups.com/investor/atlantic-bridge/"
"Act Venture Capital","https://www.eu-startups.com/investor/act-venture-capital/"
"Business Venture Partners","https://www.eu-startups.com/investor/business-venture-partners/"
"StartLab Galway","https://www.eu-startups.com/investor/startlab-galway/"
"SportsTech Ireland","https://www.eu-startups.com/investor/sportstech-ireland/"
"Small Foundation","https://www.eu-startups.com/investor/small-foundation/"
"New Frontiers","https://www.eu-startups.com/investor/new-frontiers/"
"NDRC","https://www.eu-startups.com/investor/ndrc/"
"NDRC LaunchPad","https://www.eu-startups.com/investor/ndrc-launchpad/"
"The Pearse Lyons Accelerator","https://www.eu-startups.com/investor/the-pearse-lyons-accelerator/"
"Terenure Enterprise","https://www.eu-startups.com/investor/terenure-enterprise/"
"Team ABC","https://www.eu-startups.com/investor/team-abc/"
"Dogpatch Labs","https://www.eu-startups.com/investor/dogpatch-labs/"
"Continuous Ventures","https://www.eu-startups.com/investor/continuous-ventures/"
"Guinness Enterprise Centre","https://www.eu-startups.com/investor/guinness-enterprise-centre/"
"Hartnett Enterprise Acceleration Centre","https://www.eu-startups.com/investor/hartnett-enterprise-acceleration-centre/"
"Accelerate Green","https://www.eu-startups.com/investor/accelerate-green/"
"Accenture Accelerator","https://www.eu-startups.com/investor/accenture-accelerator/"
"AgTechUCD","https://www.eu-startups.com/investor/agtechucd/"
"AIB Equity","https://www.eu-startups.com/investor/aib-equity/"
"Alpha Programme Dublin","https://www.eu-startups.com/investor/alpha-programme-dublin/"
"Alsessor","https://www.eu-startups.com/investor/alsessor/"
"Amena Ventures","https://www.eu-startups.com/investor/amena-ventures/"
