Name,Link
"Patrimon Cube","https://www.eu-startups.com/investor/patrimon-cube/"
"Novaterra","https://www.eu-startups.com/investor/novaterra/"
"Generali Ventures","https://www.eu-startups.com/investor/generali-ventures/"
"Techshop","https://www.eu-startups.com/investor/techshop/"
"BlackSheep Fund","https://www.eu-startups.com/investor/blacksheep-fund/"
"The Hive FVB Srl","https://www.eu-startups.com/investor/the-hive-fvb-srl/"
"Eden Ventures","https://www.eu-startups.com/investor/eden-ventures/"
"Moonstone","https://www.eu-startups.com/investor/moonstone/"
"Neva SGR","https://www.eu-startups.com/investor/neva-sgr/"
"NovaCapital","https://www.eu-startups.com/investor/novacapital/"
"Obloo","https://www.eu-startups.com/investor/obloo/"
"Oltre Impact","https://www.eu-startups.com/investor/oltre-impact/"
"Opes Italia","https://www.eu-startups.com/investor/opes-italia/"
"8a + INVESTMENTS","https://www.eu-startups.com/investor/8a-investments/"
"P101","https://www.eu-startups.com/investor/p101/"
"PranaVentures","https://www.eu-startups.com/investor/pranaventures/"
"Proximity Capital","https://www.eu-startups.com/investor/proximity-capital/"
"Selected Investments","https://www.eu-startups.com/investor/selected-investments/"
"Spinnvest","https://www.eu-startups.com/investor/spinnvest/"
"TechWald Holding S.p.A.","https://www.eu-startups.com/investor/techwald-holding-s-p-a/"
"Ulixes Capital","https://www.eu-startups.com/investor/ulixes-capital/"
"Vento","https://www.eu-startups.com/investor/vento-2/"
"Zanichelli Venture","https://www.eu-startups.com/investor/zanichelli-venture/"
"Zeta Holding","https://www.eu-startups.com/investor/zeta-holding/"
"XGEN Venture","https://www.eu-startups.com/investor/xgen-venture/"
"Giano Ventures","https://www.eu-startups.com/investor/giano-ventures/"
"Italian Founders Fund","https://www.eu-startups.com/investor/italian-founders-fund/"
"Korify Capital","https://www.eu-startups.com/investor/korify-capital/"
"Lio Factory","https://www.eu-startups.com/investor/lio-factory/"
"Padda Health","https://www.eu-startups.com/investor/padda-health/"
"Premiaweb","https://www.eu-startups.com/investor/premiaweb/"
"Primo Ventures","https://www.eu-startups.com/investor/primo-ventures/"
"Rialto Ventures","https://www.eu-startups.com/investor/rialto-ventures/"
"Sella Ventures","https://www.eu-startups.com/investor/sella-ventures/"
"Sensible Capital","https://www.eu-startups.com/investor/sensible-capital/"
"Terna Forward","https://www.eu-startups.com/investor/terna-forward/"
"Ulysses","https://www.eu-startups.com/investor/ulysses/"
"United Ventures","https://www.eu-startups.com/investor/united-ventures/"
"Utopia","https://www.eu-startups.com/investor/utopia/"
"WE! Fund","https://www.eu-startups.com/investor/we-fund/"
"Alecla7","https://www.eu-startups.com/investor/alecla7/"
"Angelini Ventures","https://www.eu-startups.com/investor/angelini-ventures/"
"Anya Capital","https://www.eu-startups.com/investor/anya-capital/"
"ALIcrowd","https://www.eu-startups.com/investor/alicrowd/"
"Azimut Digitech Fund","https://www.eu-startups.com/investor/azimut-digitech-fund/"
"Deep Blue Ventures","https://www.eu-startups.com/investor/deep-blue-ventures/"
"Excellis","https://www.eu-startups.com/investor/excellis/"
"GERBER-RAUTH","https://www.eu-startups.com/investor/gerber-rauth-2/"
"Growth Engine","https://www.eu-startups.com/investor/growth-engine/"
"Indaco Venture Partners","https://www.eu-startups.com/investor/indaco-venture-partners/"
"Isartal Ventures","https://www.eu-startups.com/investor/isartal-ventures/"
"Innova Venture","https://www.eu-startups.com/investor/innova-venture/"
"LIFTT","https://www.eu-startups.com/investor/liftt/"
"Lumen Ventures","https://www.eu-startups.com/investor/lumen-ventures/"
"MGH7 Venture Capital","https://www.eu-startups.com/investor/mgh7-venture-capital/"
"Pi Campus","https://www.eu-startups.com/investor/pi-campus/"
"Barcamper Ventures","https://www.eu-startups.com/investor/barcamper-ventures/"
"RedSeed Ventures","https://www.eu-startups.com/investor/redseed-ventures/"
"Sistema Investimenti","https://www.eu-startups.com/investor/sistema-investimenti/"
"a|impact","https://www.eu-startups.com/investor/aimpact/"
"Cysero","https://www.eu-startups.com/investor/cysero/"
"CDP Venture Capital","https://www.eu-startups.com/investor/cdp-venture-capital/"
"Cube Labs","https://www.eu-startups.com/investor/cube-labs/"
"Delirus Capital","https://www.eu-startups.com/investor/delirus-capital/"
"Oltre Venture","https://www.eu-startups.com/investor/oltre-venture/"
"Panakes Partners","https://www.eu-startups.com/investor/panakes-partners/"
"Pariter Partners","https://www.eu-startups.com/investor/pariter-partners/"
"Invent Innovation Ventures","https://www.eu-startups.com/investor/invent-innovation-ventures/"
"Lazio Innova","https://www.eu-startups.com/investor/lazio-innova/"
"Levante Capital","https://www.eu-startups.com/investor/levante-capital/"
"MITO Technology","https://www.eu-startups.com/investor/mito-technology/"
"Moffu Labs","https://www.eu-startups.com/investor/moffu-labs/"
"New Venture Development","https://www.eu-startups.com/investor/new-venture-development/"
"Equiter","https://www.eu-startups.com/investor/equiter/"
"Eureka Venture SGR","https://www.eu-startups.com/investor/eureka-venture-sgr/"
"Genextra","https://www.eu-startups.com/investor/genextra/"
"Grafoventures","https://www.eu-startups.com/investor/grafoventures/"
"HTH","https://www.eu-startups.com/investor/hth/"
"Innogest Capital","https://www.eu-startups.com/investor/innogest-capital/"
"Alchimia Investments","https://www.eu-startups.com/investor/alchimia-investments/"
"A.M.E. Ventures","https://www.eu-startups.com/investor/a-m-e-ventures/"
"B4 Investments","https://www.eu-startups.com/investor/b4-investments/"
"Blu1877","https://www.eu-startups.com/investor/blu1877/"
"Club Italia Investimenti 2","https://www.eu-startups.com/investor/club-italia-investimenti-2/"
"Claris Ventures","https://www.eu-startups.com/investor/claris-ventures/"
"Embed Capital","https://www.eu-startups.com/investor/embed-capital/"
"Angel Capital Management","https://www.eu-startups.com/investor/angel-capital-management/"
"Club Digitale","https://www.eu-startups.com/investor/club-digitale/"
"Milano Investment Partners SGR","https://www.eu-startups.com/investor/milano-investment-partners-sgr/"
"Sport Horizon Holding S.p.a.","https://www.eu-startups.com/investor/sport-horizon-holding-s-p-a/"
"035 Investimenti","https://www.eu-startups.com/investor/035-investimenti/"
"3LB Seed Capital Srl","https://www.eu-startups.com/investor/3lb-seed-capital-srl/"
"A11 Venture","https://www.eu-startups.com/investor/a11-venture/"
"Ad4Ventures","https://www.eu-startups.com/investor/ad4ventures/"
"Grey Silo Ventures","https://www.eu-startups.com/investor/grey-silo-ventures/"
"IH1","https://www.eu-startups.com/investor/ih1/"
"Cereal Docks","https://www.eu-startups.com/investor/cereal-docks/"
"Healthware Ventures","https://www.eu-startups.com/investor/healthware-ventures/"
"ADR Ventures","https://www.eu-startups.com/investor/adr-ventures-2/"
"Brembo Ventures","https://www.eu-startups.com/investor/brembo-ventures/"
"Banca Sella","https://www.eu-startups.com/investor/banca-sella/"
"Neva Finventures","https://www.eu-startups.com/investor/neva-finventures/"
"GERBER-RAUTH","https://www.eu-startups.com/investor/gerber-rauth/"
"WindeX Investment Club","https://www.eu-startups.com/investor/windex-investment-club/"
"Eni Next","https://www.eu-startups.com/investor/eni-next/"
"TIM WCAP","https://www.eu-startups.com/investor/tim-wcap/"
"Startupbootcamp FoodTech Rome","https://www.eu-startups.com/investor/startupbootcamp-foodtech-rome/"
"Startalia.com","https://www.eu-startups.com/investor/startalia-com/"
"Open Accelerator","https://www.eu-startups.com/investor/open-accelerator/"
"SocialFare","https://www.eu-startups.com/investor/socialfare/"
"StartupHer","https://www.eu-startups.com/investor/startupher/"
"STEP","https://www.eu-startups.com/investor/step/"
"NextSTEP","https://www.eu-startups.com/investor/nextstep/"
"SELLALAB","https://www.eu-startups.com/investor/sellalab/"
"UniCredit Start Lab FinTech Accelerator","https://www.eu-startups.com/investor/unicredit-start-lab-fintech-accelerator/"
"LVenture Group","https://www.eu-startups.com/investor/lventure-group/"
"MonacoTech","https://www.eu-startups.com/investor/monacotech/"
"The Qube","https://www.eu-startups.com/investor/the-qube/"
"Motor Valley Accelerator","https://www.eu-startups.com/investor/motor-valley-accelerator/"
"Nanabianca","https://www.eu-startups.com/investor/nanabianca/"
"Takeoff Accelerator","https://www.eu-startups.com/investor/takeoff-accelerator/"
"PoliHub","https://www.eu-startups.com/investor/polihub/"
"Supernova Hub","https://www.eu-startups.com/investor/supernova-hub/"
"Styleit Accelerator","https://www.eu-startups.com/investor/styleit-accelerator/"
"Pushapp Lab","https://www.eu-startups.com/investor/pushapp-lab/"
"Retail Hub","https://www.eu-startups.com/investor/retail-hub/"
"Fin+Tech","https://www.eu-startups.com/investor/fintech/"
"Fondazione Filarete","https://www.eu-startups.com/investor/fondazione-filarete/"
"Enry’s Island","https://www.eu-startups.com/investor/enrys-island/"
"LAB Creative Thinking","https://www.eu-startups.com/investor/lab-creative-thinking/"
"dPixel","https://www.eu-startups.com/investor/dpixel/"
"Key Capital","https://www.eu-startups.com/investor/key-capital/"
"Corner Stones","https://www.eu-startups.com/investor/corner-stones/"
"FoodSeed","https://www.eu-startups.com/investor/foodseed/"
"FoodTech Accelerator","https://www.eu-startups.com/investor/foodtech-accelerator/"
"FoolFarm","https://www.eu-startups.com/investor/foolfarm/"
"Forward Factory","https://www.eu-startups.com/investor/forward-factory/"
"Wylab","https://www.eu-startups.com/investor/wylab/"
"Vulcanic","https://www.eu-startups.com/investor/vulcanic/"
"Vittoria Hub","https://www.eu-startups.com/investor/vittoria-hub/"
"VITA Accelerator","https://www.eu-startups.com/investor/vita-accelerator/"
"Future Food","https://www.eu-startups.com/investor/future-food/"
"G2 Startups","https://www.eu-startups.com/investor/g2-startups/"
"Industrio","https://www.eu-startups.com/investor/industrio/"
"GrowITup","https://www.eu-startups.com/investor/growitup/"
"Growth Club Capital","https://www.eu-startups.com/investor/growth-club-capital/"
"H-FARM","https://www.eu-startups.com/investor/h-farm/"
"I3P","https://www.eu-startups.com/investor/i3p/"
"Club Acceleratori","https://www.eu-startups.com/investor/club-acceleratori/"
"Impact Hub Milan","https://www.eu-startups.com/investor/impact-hub-milan/"
"iN3 Ventures","https://www.eu-startups.com/investor/in3-ventures/"
"INCENSe Accelerator","https://www.eu-startups.com/investor/incense-accelerator/"
"BrainDTech","https://www.eu-startups.com/investor/braindtech/"
"20V","https://www.eu-startups.com/investor/20v/"
"Boox","https://www.eu-startups.com/investor/boox/"
"Seed Money","https://www.eu-startups.com/investor/seed-money/"
"AC75 Startup Accelerator","https://www.eu-startups.com/investor/ac75-startup-accelerator/"
"ADR Ventures","https://www.eu-startups.com/investor/adr-ventures/"
"Agrofood BIC","https://www.eu-startups.com/investor/agrofood-bic/"
"b-ventures","https://www.eu-startups.com/investor/b-ventures/"
"B4i – Bocconi for innovation","https://www.eu-startups.com/investor/b4i-bocconi-for-innovation/"
"Bemycompany","https://www.eu-startups.com/investor/bemycompany/"
"Bio4Dreams","https://www.eu-startups.com/investor/bio4dreams/"
"BiovelocITA","https://www.eu-startups.com/investor/biovelocita/"
"BlockchainLab","https://www.eu-startups.com/investor/blockchainlab/"
