Name,Link
"GameDev Fund","https://www.eu-startups.com/investor/gamedev-fund/"
"Zabolis Partners","https://www.eu-startups.com/investor/zabolis-partners/"
"DOJUS group","https://www.eu-startups.com/investor/dojus-group/"
"AeroCity Tech Ventures","https://www.eu-startups.com/investor/aerocity-tech-ventures/"
"Nextury Ventures","https://www.eu-startups.com/investor/nextury-ventures/"
"ScaleWolf","https://www.eu-startups.com/investor/scalewolf-2/"
"Katalista Ventures","https://www.eu-startups.com/investor/katalista-ventures/"
"Founderheads,","https://www.eu-startups.com/investor/founderheads-2/"
"Hiaka Labs","https://www.eu-startups.com/investor/hiaka-labs/"
"Bridgio","https://www.eu-startups.com/investor/bridgio/"
"70Ventures","https://www.eu-startups.com/investor/70ventures/"
"Baltic Sandbox","https://www.eu-startups.com/investor/baltic-sandbox/"
"Contrarian Ventures","https://www.eu-startups.com/investor/contrarian-ventures/"
"Practica Capital","https://www.eu-startups.com/investor/practica-capital/"
"FIRSTPICK","https://www.eu-startups.com/investor/firstpick/"
"Founderheads","https://www.eu-startups.com/investor/founderheads/"
"Iron Wolf Capital","https://www.eu-startups.com/investor/iron-wolf-capital/"
"Baltic Sandbox Ventures","https://www.eu-startups.com/investor/baltic-sandbox-ventures/"
"Coinvest Capital","https://www.eu-startups.com/investor/coinvest-capital/"
"Open Circle Capital","https://www.eu-startups.com/investor/open-circle-capital/"
"Cats.vc","https://www.eu-startups.com/investor/cats-vc/"
"Willgrow","https://www.eu-startups.com/investor/willgrow/"
"Business Angels Fund","https://www.eu-startups.com/investor/business-angels-fund/"
"Equite","https://www.eu-startups.com/investor/equite/"
"WeChange.group","https://www.eu-startups.com/investor/wechange-group/"
"Kolas Ventures","https://www.eu-startups.com/investor/kolas-ventures/"
"Circle Venture Capital","https://www.eu-startups.com/investor/circle-venture-capital/"
"ScaleWolf","https://www.eu-startups.com/investor/scalewolf/"
