Name,Link
"Vesna Deep Tech Fund","https://www.eu-startups.com/investor/vesna-deep-tech-fund/"
"Adara Ventures","https://www.eu-startups.com/investor/adara-ventures/"
"Paladin Capital Group","https://www.eu-startups.com/investor/paladin-capital-group/"
"Ilavska Vuillermoz Capital","https://www.eu-startups.com/investor/ilavska-vuillermoz-capital/"
"0100 Ventures","https://www.eu-startups.com/investor/0100-ventures/"
"Rosberg Ventures","https://www.eu-startups.com/investor/rosberg-ventures/"
"Adara Venture Partners","https://www.eu-startups.com/investor/adara-venture-partners/"
"Lunar Ventures","https://www.eu-startups.com/investor/lunar-ventures-2/"
"Digital Space Ventures","https://www.eu-startups.com/investor/digital-space-ventures/"
"BergTop VC","https://www.eu-startups.com/investor/bergtop-vc/"
"INTEMA","https://www.eu-startups.com/investor/intema-2/"
"NP Capital","https://www.eu-startups.com/investor/np-capital/"
"Candy Ventures","https://www.eu-startups.com/investor/candy-ventures/"
"Accurafy 4","https://www.eu-startups.com/investor/accurafy-4/"
"Careventures","https://www.eu-startups.com/investor/careventures/"
"Société Familiale d’Investissements","https://www.eu-startups.com/investor/societe-familiale-dinvestissements/"
"Dedicated","https://www.eu-startups.com/investor/dedicated/"
"Isometric Ventures","https://www.eu-startups.com/investor/isometric-ventures/"
"2be.lu","https://www.eu-startups.com/investor/2be-lu/"
"Shift Capital","https://www.eu-startups.com/investor/shift-capital-2/"
"Mojo Capital","https://www.eu-startups.com/investor/mojo-capital/"
"Tech Family Ventures","https://www.eu-startups.com/investor/tech-family-ventures-2/"
"TNN CAPITAL","https://www.eu-startups.com/investor/tnn-capital/"
"MouvemenT & Finance","https://www.eu-startups.com/investor/mouvement-finance/"
"Fort Rock Capital","https://www.eu-startups.com/investor/fort-rock-capital/"
"Hoche Partners","https://www.eu-startups.com/investor/hoche-partners/"
"Sustainable Growth Fund","https://www.eu-startups.com/investor/sustainable-growth-fund/"
"Seasight Holdings","https://www.eu-startups.com/investor/seasight-holdings/"
"Trois I Investments Industriels Internationaux","https://www.eu-startups.com/investor/trois-i-investments-industriels-internationaux/"
"VOX CAPITAL","https://www.eu-startups.com/investor/vox-capital/"
"Aperam Ventures","https://www.eu-startups.com/investor/aperam-ventures/"
"Takara Capital","https://www.eu-startups.com/investor/takara-capital/"
"Hinna Park Capital","https://www.eu-startups.com/investor/hinna-park-capital/"
"Phi Square Holdings","https://www.eu-startups.com/investor/phi-square-holdings/"
"Vasuki Tech Fund","https://www.eu-startups.com/investor/vasuki-tech-fund/"
"Waarde Capital","https://www.eu-startups.com/investor/waarde-capital/"
"Reinet Investments S.C.A.","https://www.eu-startups.com/investor/reinet-investments-s-c-a/"
"Shift Capital","https://www.eu-startups.com/investor/shift-capital/"
"Kinetik","https://www.eu-startups.com/investor/kinetik/"
"i&i Biotech Fund","https://www.eu-startups.com/investor/ii-biotech-fund/"
"Una Terra","https://www.eu-startups.com/investor/una-terra/"
"VAM Investments","https://www.eu-startups.com/investor/vam-investments/"
"Ambrosia Investments","https://www.eu-startups.com/investor/ambrosia-investments/"
"QuantumWave Capital","https://www.eu-startups.com/investor/quantumwave-capital/"
"Simile Venture Partners","https://www.eu-startups.com/investor/simile-venture-partners/"
"Hydrogen Capital Partners","https://www.eu-startups.com/investor/hydrogen-capital-partners/"
"Ceecat Capital","https://www.eu-startups.com/investor/ceecat-capital/"
"ROCH Ventures","https://www.eu-startups.com/investor/roch-ventures/"
"Blue like an Orange","https://www.eu-startups.com/investor/blue-like-an-orange/"
"Cycle Group","https://www.eu-startups.com/investor/cycle-group/"
"DLF Venture","https://www.eu-startups.com/investor/dlf-venture/"
"DeBa Ventures","https://www.eu-startups.com/investor/deba-ventures/"
"Alter Venture Partners","https://www.eu-startups.com/investor/alter-venture-partners/"
"Praesidium","https://www.eu-startups.com/investor/praesidium/"
"Hello World","https://www.eu-startups.com/investor/hello-world/"
"LIAN Group","https://www.eu-startups.com/investor/lian-group/"
"Veris Ventures","https://www.eu-startups.com/investor/veris-ventures/"
"Equinox","https://www.eu-startups.com/investor/equinox/"
"Vesalius Biocapital Partners","https://www.eu-startups.com/investor/vesalius-biocapital-partners/"
"Insitor Partners","https://www.eu-startups.com/investor/insitor-partners/"
"Runa Capital","https://www.eu-startups.com/investor/runa-capital/"
"IQ-EQ","https://www.eu-startups.com/investor/iq-eq/"
"Mangrove Capital Partners","https://www.eu-startups.com/investor/mangrove-capital-partners/"
"Alpha Intelligence Capital","https://www.eu-startups.com/investor/alpha-intelligence-capital/"
"JAB Holding Company","https://www.eu-startups.com/investor/jab-holding-company/"
"NVO Capital","https://www.eu-startups.com/investor/nvo-capital/"
"Market One Capital","https://www.eu-startups.com/investor/market-one-capital/"
"SGH CAPITAL","https://www.eu-startups.com/investor/sgh-capital/"
"Redline Capital","https://www.eu-startups.com/investor/redline-capital/"
"Stake Capital Group","https://www.eu-startups.com/investor/stake-capital-group/"
"Citius","https://www.eu-startups.com/investor/citius/"
"Planet First Partners","https://www.eu-startups.com/investor/planet-first-partners/"
"Middlegame Ventures","https://www.eu-startups.com/investor/middlegame-ventures/"
"Expon Capital","https://www.eu-startups.com/investor/expon-capital/"
"Droia Ventures","https://www.eu-startups.com/investor/droia-ventures/"
"Satgana","https://www.eu-startups.com/investor/satgana/"
"HOWZAT Partners","https://www.eu-startups.com/investor/howzat-partners/"
"Porsche Investments Management","https://www.eu-startups.com/investor/porsche-investments-management/"
"Orevon Partners","https://www.eu-startups.com/investor/orevon-partners/"
"Social Business Incubator","https://www.eu-startups.com/investor/social-business-incubator/"
"Luxembourg-City Incubator","https://www.eu-startups.com/investor/luxembourg-city-incubator/"
"Tech Family Ventures","https://www.eu-startups.com/investor/tech-family-ventures/"
"INTEMA","https://www.eu-startups.com/investor/intema/"
"CATAPULT: Inclusion Africa","https://www.eu-startups.com/investor/catapult-inclusion-africa/"
