Name,Link
"Commercialisation Reactor","https://www.eu-startups.com/investor/commercialisation-reactor/"
"Actio Capital Ventures","https://www.eu-startups.com/investor/actio-capital-ventures/"
"Overkill Ventures","https://www.eu-startups.com/investor/overkill-ventures-3/"
"StartupLatvia","https://www.eu-startups.com/investor/startuplatvia/"
"Commercialization Reactor","https://www.eu-startups.com/investor/commercialization-reactor-2/"
"Buildit Accelerator","https://www.eu-startups.com/investor/buildit-accelerator/"
"Proks Capital","https://www.eu-startups.com/investor/proks-capital/"
"Ardelta","https://www.eu-startups.com/investor/ardelta/"
"Startup Holding","https://www.eu-startups.com/investor/startup-holding/"
"Plasma Capital","https://www.eu-startups.com/investor/plasma-capital/"
"Expansion Capital","https://www.eu-startups.com/investor/expansion-capital/"
"ZGI Capital","https://www.eu-startups.com/investor/zgi-capital/"
"Baltic Tech Ventures","https://www.eu-startups.com/investor/baltic-tech-ventures/"
"FlyCap","https://www.eu-startups.com/investor/flycap/"
"RubyLight","https://www.eu-startups.com/investor/rubylight/"
"Commercialization Reactor","https://www.eu-startups.com/investor/commercialization-reactor/"
"iTech Capital","https://www.eu-startups.com/investor/itech-capital/"
"New Nordic Ventures","https://www.eu-startups.com/investor/new-nordic-ventures/"
"Overkill Ventures","https://www.eu-startups.com/investor/overkill-ventures-2/"
"Overkill Ventures","https://www.eu-startups.com/investor/overkill-ventures/"
