Name,Link
"TokePortal.com","https://www.eu-startups.com/investor/tokeportal-com/"
"GO Ventures","https://www.eu-startups.com/investor/go-ventures/"
"MALTAccelerate","https://www.eu-startups.com/investor/maltaccelerate/"
"Malta VC","https://www.eu-startups.com/investor/malta-vc/"
"Dating Group","https://www.eu-startups.com/investor/dating-group/"
"re.Mind Capital","https://www.eu-startups.com/investor/re-mind-capital/"
"Prediction Capital","https://www.eu-startups.com/investor/prediction-capital/"
"Optimizer Invest","https://www.eu-startups.com/investor/optimizer-invest/"
"PeakBridge","https://www.eu-startups.com/investor/peakbridge/"
"InboundMuse","https://www.eu-startups.com/investor/inboundmuse/"
"Binance Labs","https://www.eu-startups.com/investor/binance-labs/"
