Name,Link
"Bitdefender Voyager Ventures","https://www.eu-startups.com/investor/bitdefender-voyager-ventures-2/"
"Icecat Capital","https://www.eu-startups.com/investor/icecat-capital/"
"Verbeem Ventures Fund","https://www.eu-startups.com/investor/verbeem-ventures-fund/"
"Startup Chattogram","https://www.eu-startups.com/investor/startup-chattogram/"
"Disruptive Technology Ventures","https://www.eu-startups.com/investor/disruptive-technology-ventures-2/"
"Gilde Healthcare","https://www.eu-startups.com/investor/gilde-healthcare/"
"Aglaia","https://www.eu-startups.com/investor/aglaia/"
"Navus Ventures","https://www.eu-startups.com/investor/navus-ventures/"
"Aletra Capital Partners","https://www.eu-startups.com/investor/aletra-capital-partners/"
"OXO Holdings","https://www.eu-startups.com/investor/oxo-holdings/"
"Move Energy","https://www.eu-startups.com/investor/move-energy/"
"Revo Capital","https://www.eu-startups.com/investor/revo-capital/"
"ScaleX","https://www.eu-startups.com/investor/scalex/"
"Graduate Entrepreneur","https://www.eu-startups.com/investor/graduate-entrepreneur/"
"ING Ventures","https://www.eu-startups.com/investor/ing-ventures-2/"
"Peak Capital","https://www.eu-startups.com/investor/peak-capital/"
"Gapminder VC","https://www.eu-startups.com/investor/gapminder-vc/"
"Global Cleantech Fund","https://www.eu-startups.com/investor/global-cleantech-fund/"
"Connected Capital","https://www.eu-startups.com/investor/connected-capital/"
"Convent Capital","https://www.eu-startups.com/investor/convent-capital/"
"Arches Capital","https://www.eu-startups.com/investor/arches-capital/"
"Road Ventures","https://www.eu-startups.com/investor/road-ventures/"
"Future Food Fund","https://www.eu-startups.com/investor/future-food-fund/"
"FORWARD.one","https://www.eu-startups.com/investor/forward-one/"
"First Degree Capital","https://www.eu-startups.com/investor/first-degree-capital/"
"Eyos Capital","https://www.eu-startups.com/investor/eyos-capital/"
"EVO Venture Partners","https://www.eu-startups.com/investor/evo-venture-partners/"
"Horizon 3","https://www.eu-startups.com/investor/horizon-3/"
"Granpool Innovative Investments","https://www.eu-startups.com/investor/granpool-innovative-investments/"
"Peak","https://www.eu-startups.com/investor/peak/"
"Noaber","https://www.eu-startups.com/investor/noaber/"
"MMVentures","https://www.eu-startups.com/investor/mmventures/"
"MedSciences Capital","https://www.eu-startups.com/investor/medsciences-capital/"
"Mainport Innovation Fund","https://www.eu-startups.com/investor/mainport-innovation-fund/"
"Endeit Capital","https://www.eu-startups.com/investor/endeit-capital/"
"Keen Venture Partners","https://www.eu-startups.com/investor/keen-venture-partners/"
"Keadyn","https://www.eu-startups.com/investor/keadyn/"
"Esperante Ventures","https://www.eu-startups.com/investor/esperante-ventures-2/"
"Innovatiefonds Noord-Holland","https://www.eu-startups.com/investor/innovatiefonds-noord-holland/"
"ifund foundation","https://www.eu-startups.com/investor/ifund-foundation/"
"BrightCap Ventures","https://www.eu-startups.com/investor/brightcap-ventures/"
"SanomaVentures","https://www.eu-startups.com/investor/sanomaventures/"
"RUG Holding","https://www.eu-startups.com/investor/rug-holding/"
"Brooklyn Ventures","https://www.eu-startups.com/investor/brooklyn-ventures/"
"Capital Mills","https://www.eu-startups.com/investor/capital-mills/"
"RoboValley Fund","https://www.eu-startups.com/investor/robovalley-fund/"
"Pymwymic","https://www.eu-startups.com/investor/pymwymic-2/"
"Pymwymic","https://www.eu-startups.com/investor/pymwymic/"
"Carduso Capital","https://www.eu-startups.com/investor/carduso-capital/"
"Prime Ventures","https://www.eu-startups.com/investor/prime-ventures/"
"DFZ Participaties","https://www.eu-startups.com/investor/dfz-participaties/"
"Anterra Capital","https://www.eu-startups.com/investor/anterra-capital/"
"BFly Ventures","https://www.eu-startups.com/investor/bfly-ventures/"
"BioGeneration Ventures","https://www.eu-startups.com/investor/biogeneration-ventures/"
"SET Ventures","https://www.eu-startups.com/investor/set-ventures/"
"The Hatch Firm","https://www.eu-startups.com/investor/the-hatch-firm/"
"TIIN Capital","https://www.eu-startups.com/investor/tiin-capital/"
"TRGC","https://www.eu-startups.com/investor/trgc/"
"5square","https://www.eu-startups.com/investor/5square/"
"Aescap Venture","https://www.eu-startups.com/investor/aescap-venture/"
"ALS Investment Fund","https://www.eu-startups.com/investor/als-investment-fund/"
"Antea Participaties","https://www.eu-startups.com/investor/antea-participaties/"
"Summer Capital","https://www.eu-startups.com/investor/summer-capital/"
"Salamander Investment Network","https://www.eu-startups.com/investor/salamander-investment-network/"
"XO Ventures","https://www.eu-startups.com/investor/xo-ventures/"
"Volve Capital","https://www.eu-startups.com/investor/volve-capital/"
"Vlasroot Group","https://www.eu-startups.com/investor/vlasroot-group/"
"VIE Tech Capital","https://www.eu-startups.com/investor/vie-tech-capital/"
"Scranton Enterprises BV","https://www.eu-startups.com/investor/scranton-enterprises-bv/"
"Philips Health Technology Ventures","https://www.eu-startups.com/investor/philips-health-technology-ventures/"
"Velocity Capital Fintech Ventures","https://www.eu-startups.com/investor/velocity-capital-fintech-ventures/"
"Velio Ventures","https://www.eu-startups.com/investor/velio-ventures/"
