Name,Link
"SINTEF Ventures","https://www.eu-startups.com/investor/sintef-ventures/"
"Construct Venture","https://www.eu-startups.com/investor/construct-venture-2/"
"Equinor Technology Ventures","https://www.eu-startups.com/investor/equinor-technology-ventures/"
"Eviny Ventures","https://www.eu-startups.com/investor/eviny-ventures/"
"Agder Energi Venture","https://www.eu-startups.com/investor/agder-energi-venture/"
"OBOS Oppstart","https://www.eu-startups.com/investor/obos-oppstart/"
"DNB Ventures","https://www.eu-startups.com/investor/dnb-ventures/"
"Aega ASA","https://www.eu-startups.com/investor/aega-asa/"
"Yara Growth Ventures","https://www.eu-startups.com/investor/yara-growth-ventures/"
"Equinor Ventures","https://www.eu-startups.com/investor/equinor-ventures/"
"Selvaag Invest","https://www.eu-startups.com/investor/selvaag-invest/"
"FinStart Nordic","https://www.eu-startups.com/investor/finstart-nordic-2/"
"YaraGerminate","https://www.eu-startups.com/investor/yaragerminate-2/"
"Pangea accelerator","https://www.eu-startups.com/investor/pangea-accelerator/"
"Oslo International Hub","https://www.eu-startups.com/investor/oslo-international-hub/"
"TheFactory Proptech Accelerator","https://www.eu-startups.com/investor/thefactory-proptech-accelerator/"
"TheFactory","https://www.eu-startups.com/investor/thefactory/"
"Valide","https://www.eu-startups.com/investor/valide-2/"
"Kjeller Innovation","https://www.eu-startups.com/investor/kjeller-innovation/"
"Katapult","https://www.eu-startups.com/investor/katapult-2/"
"Katapult Foundation","https://www.eu-startups.com/investor/katapult-foundation/"
"Katapult Ocean","https://www.eu-startups.com/investor/katapult-ocean/"
"iPark","https://www.eu-startups.com/investor/ipark/"
"X2 Labs","https://www.eu-startups.com/investor/x2-labs/"
"HATCH Aquaculture Accelerator","https://www.eu-startups.com/investor/hatch-aquaculture-accelerator/"
"6AM Accelerator","https://www.eu-startups.com/investor/6am-accelerator/"
"Aleap","https://www.eu-startups.com/investor/aleap/"
"Scale Leap Capital","https://www.eu-startups.com/investor/scale-leap-capital/"
"Klein Invest","https://www.eu-startups.com/investor/klein-invest/"
"FinStart Nordic","https://www.eu-startups.com/investor/finstart-nordic/"
"Vestland Group","https://www.eu-startups.com/investor/vestland-group/"
"Penny Venture","https://www.eu-startups.com/investor/penny-venture/"
"Alytic","https://www.eu-startups.com/investor/alytic/"
"Silicon Valley","https://www.eu-startups.com/investor/silicon-valley/"
"Norinnova Forvaltning","https://www.eu-startups.com/investor/norinnova-forvaltning/"
"Bertel O Steen Kapital","https://www.eu-startups.com/investor/bertel-o-steen-kapital/"
"2M2D","https://www.eu-startups.com/investor/2m2d/"
"YaraGerminate","https://www.eu-startups.com/investor/yaragerminate/"
"Wallcross","https://www.eu-startups.com/investor/wallcross/"
"Datum AS","https://www.eu-startups.com/investor/datum-as/"
"Nano Future Invest","https://www.eu-startups.com/investor/nano-future-invest/"
"Spring Capital","https://www.eu-startups.com/investor/spring-capital/"
"Skagerak Maturo","https://www.eu-startups.com/investor/skagerak-maturo/"
"Arctic Fund Management","https://www.eu-startups.com/investor/arctic-fund-management/"
"Convexa Capital Ventures","https://www.eu-startups.com/investor/convexa-capital-ventures/"
"Farvatn Venture","https://www.eu-startups.com/investor/farvatn-venture/"
"The Visionary Company & VC","https://www.eu-startups.com/investor/the-visionary-company-vc/"
"Melesio Capital","https://www.eu-startups.com/investor/melesio-capital/"
"Norinnova Invest","https://www.eu-startups.com/investor/norinnova-invest/"
"Blommenholm Industrier","https://www.eu-startups.com/investor/blommenholm-industrier/"
"TRK Group","https://www.eu-startups.com/investor/trk-group/"
"Serendipity Partners","https://www.eu-startups.com/investor/serendipity-partners/"
"Change Com","https://www.eu-startups.com/investor/change-com/"
"TeleVenture Management","https://www.eu-startups.com/investor/televenture-management/"
"Nunchi","https://www.eu-startups.com/investor/nunchi/"
"TRENT","https://www.eu-startups.com/investor/trent/"
"Arctic Investment Group","https://www.eu-startups.com/investor/arctic-investment-group/"
"Axxelerator Capital","https://www.eu-startups.com/investor/axxelerator-capital/"
"Midwest Fondene","https://www.eu-startups.com/investor/midwest-fondene/"
"Scatec AS","https://www.eu-startups.com/investor/scatec-as/"
"K4 Group","https://www.eu-startups.com/investor/k4-group/"
