Name,Link
"Joint Polish Investment Fund","https://www.eu-startups.com/investor/joint-polish-investment-fund/"
"Navivo Capital","https://www.eu-startups.com/investor/navivo-capital/"
"Nunatak Capital","https://www.eu-startups.com/investor/nunatak-capital/"
"Radix Ventures","https://www.eu-startups.com/investor/radix-ventures/"
"Freya Capital","https://www.eu-startups.com/investor/freya-capital/"
"Accelero Ventures","https://www.eu-startups.com/investor/accelero-ventures/"
"Atmos Ventures","https://www.eu-startups.com/investor/atmos-ventures/"
"Cogito Capital Partners","https://www.eu-startups.com/investor/cogito-capital-partners/"
"WP2 Investments","https://www.eu-startups.com/investor/wp2-investments/"
"Ragnarson","https://www.eu-startups.com/investor/ragnarson/"
"Spinaker alfa","https://www.eu-startups.com/investor/spinaker-alfa/"
"FIDIASZ","https://www.eu-startups.com/investor/fidiasz/"
"Xplorer Fund","https://www.eu-startups.com/investor/xplorer-fund/"
"Carlson ASI EVIG Alfa VC Fund","https://www.eu-startups.com/investor/carlson-asi-evig-alfa-vc-fund/"
"YouNick Mint","https://www.eu-startups.com/investor/younick-mint/"
"ERC","https://www.eu-startups.com/investor/erc/"
"EKIPA Investments","https://www.eu-startups.com/investor/ekipa-investments/"
"Corvus Ventures","https://www.eu-startups.com/investor/corvus-ventures/"
"bValue Fund","https://www.eu-startups.com/investor/bvalue-fund/"
"Y Experiment","https://www.eu-startups.com/investor/y-experiment/"
"Brave Venture Capital","https://www.eu-startups.com/investor/brave-venture-capital/"
"4growth VC","https://www.eu-startups.com/investor/4growth-vc/"
"Assay Group","https://www.eu-startups.com/investor/assay-group/"
"AIP Seed","https://www.eu-startups.com/investor/aip-seed/"
"Altamira","https://www.eu-startups.com/investor/altamira/"
"Aligo Venture Capital","https://www.eu-startups.com/investor/aligo-venture-capital/"
"Online Venture","https://www.eu-startups.com/investor/online-venture/"
"SpeedUp Energy Innovation","https://www.eu-startups.com/investor/speedup-energy-innovation/"
"Pomerangels ASI S.A.","https://www.eu-startups.com/investor/pomerangels-asi-s-a/"
"Scanderia Venture","https://www.eu-startups.com/investor/scanderia-venture/"
"SATUS Starter","https://www.eu-startups.com/investor/satus-starter/"
"Precapital","https://www.eu-startups.com/investor/precapital/"
"RKKVC","https://www.eu-startups.com/investor/rkkvc/"
"Prometeia Capital","https://www.eu-startups.com/investor/prometeia-capital/"
"Netrix Ventures","https://www.eu-startups.com/investor/netrix-ventures/"
"MedVenture","https://www.eu-startups.com/investor/medventure/"
"mAccelerator.vc","https://www.eu-startups.com/investor/maccelerator-vc/"
"Renaissance Partners","https://www.eu-startups.com/investor/renaissance-partners/"
"Invento VC","https://www.eu-startups.com/investor/invento-vc/"
"Infini VC","https://www.eu-startups.com/investor/infini-vc/"
"Xevin Investments","https://www.eu-startups.com/investor/xevin-investments/"
"SATUS","https://www.eu-startups.com/investor/satus/"
"Impera Alfa","https://www.eu-startups.com/investor/impera-alfa/"
"Simpact Ventures","https://www.eu-startups.com/investor/simpact-ventures/"
"Unfold.vc","https://www.eu-startups.com/investor/unfold-vc/"
"GTTechnologies","https://www.eu-startups.com/investor/gttechnologies/"
"VCLink","https://www.eu-startups.com/investor/vclink/"
"Green Ventures","https://www.eu-startups.com/investor/green-ventures/"
"VIGO Ventures","https://www.eu-startups.com/investor/vigo-ventures/"
"FundingBox Deep Tech Fund","https://www.eu-startups.com/investor/fundingbox-deep-tech-fund/"
"Warsaw Equity Group","https://www.eu-startups.com/investor/warsaw-equity-group/"
"Tangent Line Ventures","https://www.eu-startups.com/investor/tangent-line-ventures/"
"National Capital Fund","https://www.eu-startups.com/investor/national-capital-fund/"
"Sunfish Partners","https://www.eu-startups.com/investor/sunfish-partners/"
"Kogito Ventures","https://www.eu-startups.com/investor/kogito-ventures/"
"TERRA seed","https://www.eu-startups.com/investor/terra-seed/"
"Innovation Nest","https://www.eu-startups.com/investor/innovation-nest/"
"TDJ Pitango Ventures","https://www.eu-startups.com/investor/tdj-pitango-ventures/"
"Invento Capital","https://www.eu-startups.com/investor/invento-capital/"
"Vinci","https://www.eu-startups.com/investor/vinci/"
"RST Ventures For Earth","https://www.eu-startups.com/investor/rst-ventures-for-earth/"
