Name,Link
"Olisipo Way","https://www.eu-startups.com/investor/olisipo-way/"
"Faber VC","https://www.eu-startups.com/investor/faber-vc/"
"COREangels EnterpriseTech","https://www.eu-startups.com/investor/coreangels-enterprisetech/"
"3XP Global","https://www.eu-startups.com/investor/3xp-global/"
"Massar International","https://www.eu-startups.com/investor/massar-international/"
"PROEF","https://www.eu-startups.com/investor/proef/"
"Bright Pixel","https://www.eu-startups.com/investor/bright-pixel/"
"Startup Braga","https://www.eu-startups.com/investor/startup-braga/"
"Startup Lisboa","https://www.eu-startups.com/investor/startup-lisboa/"
"Startup Lighthouse","https://www.eu-startups.com/investor/startup-lighthouse/"
"Startup Leiria","https://www.eu-startups.com/investor/startup-leiria/"
"Startup LAB","https://www.eu-startups.com/investor/startup-lab/"
"Poolside Accelerator","https://www.eu-startups.com/investor/poolside-accelerator/"
"SURFnCODE","https://www.eu-startups.com/investor/surfncode/"
"Protechting","https://www.eu-startups.com/investor/protechting/"
"Fabrica de Startups","https://www.eu-startups.com/investor/fabrica-de-startups/"
"Venture Catalysts","https://www.eu-startups.com/investor/venture-catalysts-3/"
"EDP Energy Starter","https://www.eu-startups.com/investor/edpstarter/"
"Discoveries","https://www.eu-startups.com/investor/discoveries/"
"KickUP Sports Innovation","https://www.eu-startups.com/investor/kickup-sports-innovation/"
"From Start-to-Table","https://www.eu-startups.com/investor/from-start-to-table/"
"Venture Catalysts","https://www.eu-startups.com/investor/venture-catalysts-2/"
"Gotbit","https://www.eu-startups.com/investor/gotbit/"
"Grow","https://www.eu-startups.com/investor/grow/"
"Build Up Labs","https://www.eu-startups.com/investor/build-up-labs/"
"Building Global Innovators","https://www.eu-startups.com/investor/building-global-innovators/"
"Amorim Cork Ventures","https://www.eu-startups.com/investor/amorim-cork-ventures-2/"
"ASTROPRENEURS Space Startup Accelerator","https://www.eu-startups.com/investor/astropreneurs-space-startup-accelerator/"
"Beta-Start","https://www.eu-startups.com/investor/beta-start/"
"Blue Bio Value","https://www.eu-startups.com/investor/blue-bio-value/"
"Lince Capital","https://www.eu-startups.com/investor/lince-capital-2/"
"Bynd Venture Capital","https://www.eu-startups.com/investor/bynd-venture-capital/"
"Iberis Capital","https://www.eu-startups.com/investor/iberis-capital/"
"MSM","https://www.eu-startups.com/investor/msm/"
"HCapital Partners","https://www.eu-startups.com/investor/hcapital-partners/"
"Caixa Capital","https://www.eu-startups.com/investor/caixa-capital/"
"Bright Ventures","https://www.eu-startups.com/investor/bright-ventures/"
"N1 investment fund","https://www.eu-startups.com/investor/n1-investment-fund/"
"33N Ventures","https://www.eu-startups.com/investor/33n-ventures/"
"LC Ventures","https://www.eu-startups.com/investor/lc-ventures/"
"Explorer Investments","https://www.eu-startups.com/investor/explorer-investments/"
"Sparkfood","https://www.eu-startups.com/investor/sparkfood/"
"hypra.fund","https://www.eu-startups.com/investor/hypra-fund/"
"Ask Capital","https://www.eu-startups.com/investor/ask-capital/"
"BlueCrow Capital","https://www.eu-startups.com/investor/bluecrow-capital/"
"Start Ventures","https://www.eu-startups.com/investor/start-ventures/"
"Critical Ventures","https://www.eu-startups.com/investor/critical-ventures/"
"GED Ventures Portugal","https://www.eu-startups.com/investor/ged-ventures-portugal/"
"Pathena","https://www.eu-startups.com/investor/pathena/"
"M4 Ventures","https://www.eu-startups.com/investor/m4-ventures/"
"WISENEXT","https://www.eu-startups.com/investor/wisenext/"
"Valutia","https://www.eu-startups.com/investor/valutia/"
"Beta-i","https://www.eu-startups.com/investor/beta-i/"
"Alpac Capital","https://www.eu-startups.com/investor/alpac-capital/"
"Best Horizon","https://www.eu-startups.com/investor/best-horizon/"
"3 Comma Capital","https://www.eu-startups.com/investor/3-comma-capital/"
"EDP Ventures","https://www.eu-startups.com/investor/edp-ventures/"
"Cedrus Capital","https://www.eu-startups.com/investor/cedrus-capital/"
"Hangar X","https://www.eu-startups.com/investor/hangar-x/"
"BAE Ventures","https://www.eu-startups.com/investor/bae-ventures/"
"Venture Catalysts","https://www.eu-startups.com/investor/venture-catalysts/"
"Pacific Capital Partners","https://www.eu-startups.com/investor/pacific-capital-partners/"
"Teal Impact","https://www.eu-startups.com/investor/teal-impact/"
"Aquarius Innovation Fund","https://www.eu-startups.com/investor/aquarius-innovation-fund/"
"ISQ Fund","https://www.eu-startups.com/investor/isq-fund/"
"Inter Risco","https://www.eu-startups.com/investor/inter-risco/"
"Tejo Ventures","https://www.eu-startups.com/investor/tejo-ventures/"
"2bpartner Sociedade de Capital de Risco S.A.","https://www.eu-startups.com/investor/2bpartner-sociedade-de-capital-de-risco-s-a/"
"Amorim Cork Ventures","https://www.eu-startups.com/investor/amorim-cork-ventures/"
"Ground Capital","https://www.eu-startups.com/investor/ground-capital/"
"Alea Capital Partners","https://www.eu-startups.com/investor/alea-capital-partners/"
"Semapa Next","https://www.eu-startups.com/investor/semapa-next/"
"Lince Capital","https://www.eu-startups.com/investor/lince-capital/"
"Shilling","https://www.eu-startups.com/investor/shilling/"
"APEX Capital","https://www.eu-startups.com/investor/apex-capital/"
"Indico Capital Partners","https://www.eu-startups.com/investor/indico-capital-partners/"
"Armilar Venture Partners","https://www.eu-startups.com/investor/armilar-venture-partners/"
"Portugal Ventures","https://www.eu-startups.com/investor/portugal-ventures/"
"Faber","https://www.eu-startups.com/investor/faber/"
