Name,Link
"Sofortgmbh","https://www.eu-startups.com/investor/sofortgmbh/"
"Smart Impact Capital","https://www.eu-startups.com/investor/smart-impact-capital/"
"Hellen’s Rock Capital","https://www.eu-startups.com/investor/hellens-rock-capital/"
"Netopia Ventures","https://www.eu-startups.com/investor/netopia-ventures/"
"Broadcast Content Fund","https://www.eu-startups.com/investor/broadcast-content-fund/"
"Banca Transilvania","https://www.eu-startups.com/investor/banca-transilvania/"
"Arsat Group","https://www.eu-startups.com/investor/arsat-group/"
"Underline Ventures","https://www.eu-startups.com/investor/underline-ventures/"
"Early Game Ventures","https://www.eu-startups.com/investor/early-game-ventures/"
"Fortech Investments","https://www.eu-startups.com/investor/fortech-investments/"
"Gecad Ventures","https://www.eu-startups.com/investor/gecad-ventures/"
"Leryon Holdings","https://www.eu-startups.com/investor/leryon-holdings/"
"Catalyst Romania","https://www.eu-startups.com/investor/catalyst-romania/"
"Clever Capital","https://www.eu-startups.com/investor/clever-capital/"
"Brookfund","https://www.eu-startups.com/investor/brookfund/"
"Cleverage VentureCapital","https://www.eu-startups.com/investor/cleverage-venturecapital/"
"Parachain Ventures","https://www.eu-startups.com/investor/parachain-ventures/"
"Startarium","https://www.eu-startups.com/investor/startarium/"
"Orange Fab Romania","https://www.eu-startups.com/investor/orange-fab-romania/"
"Spherik Accelerator","https://www.eu-startups.com/investor/spherik-accelerator/"
"StepFWD","https://www.eu-startups.com/investor/stepfwd/"
"Techcelerator","https://www.eu-startups.com/investor/techcelerator/"
"Reaktor incubator","https://www.eu-startups.com/investor/reaktor-incubator/"
"InnovX","https://www.eu-startups.com/investor/innovx-2/"
"Innovation Labs","https://www.eu-startups.com/investor/innovation-labs/"
"InnovX","https://www.eu-startups.com/investor/innovx/"
"Carbon","https://www.eu-startups.com/investor/carbon/"
"Afaceri Sociale","https://www.eu-startups.com/investor/afaceri-sociale/"
"Sparking Capital","https://www.eu-startups.com/investor/sparking-capital/"
