Name,Link
"Volvo Cars Tech Fund","https://www.eu-startups.com/investor/volvo-cars-tech-fund/"
"STOAF","https://www.eu-startups.com/investor/stoaf/"
"Oxx Ventures","https://www.eu-startups.com/investor/oxx-ventures/"
"Goose Valley Ventures","https://www.eu-startups.com/investor/goose-valley-ventures/"
"eEquity","https://www.eu-startups.com/investor/eequity/"
"D-Ax Corporate Venture Capital","https://www.eu-startups.com/investor/d-ax-corporate-venture-capital/"
"BillerudKorsnäs Venture","https://www.eu-startups.com/investor/billerudkorsnas-venture/"
"Collector Ventures","https://www.eu-startups.com/investor/collector-ventures/"
"Telia Ventures","https://www.eu-startups.com/investor/telia-ventures/"
"Bonnier Ventures","https://www.eu-startups.com/investor/bonnier-ventures/"
"MobilityXlab","https://www.eu-startups.com/investor/mobilityxlab/"
"Husqvarna Ventures","https://www.eu-startups.com/investor/husqvarna-ventures/"
"AxSol","https://www.eu-startups.com/investor/axsol/"
"PINC","https://www.eu-startups.com/investor/pinc/"
"H&M Group Ventures","https://www.eu-startups.com/investor/hm-group-ventures/"
"Volvo Group Venture Capital","https://www.eu-startups.com/investor/volvo-group-venture-capital/"
"Pophouse Ventures","https://www.eu-startups.com/investor/pophouse-ventures/"
"SSE Ventures","https://www.eu-startups.com/investor/sse-ventures/"
"SmiLe Incubator","https://www.eu-startups.com/investor/smile-incubator/"
"Norrsken Accelerator","https://www.eu-startups.com/investor/norrsken-accelerator/"
"Norrkoping Science Park","https://www.eu-startups.com/investor/norrkoping-science-park/"
"Nicoya","https://www.eu-startups.com/investor/nicoya-2/"
"Sting","https://www.eu-startups.com/investor/sting/"
"Unboxx","https://www.eu-startups.com/investor/unboxx/"
"SUP46","https://www.eu-startups.com/investor/sup46/"
"Eureka Partners","https://www.eu-startups.com/investor/eureka-partners/"
"Fast Track Malmo","https://www.eu-startups.com/investor/fast-track-malmo/"
"LEVELS – The Venture Studio","https://www.eu-startups.com/investor/levels-the-venture-studio/"
"Uppsala Innovation Centre","https://www.eu-startups.com/investor/uppsala-innovation-centre/"
"LEAD","https://www.eu-startups.com/investor/lead/"
"DigitalWell Ventures","https://www.eu-startups.com/investor/digitalwell-ventures/"
"Krinova","https://www.eu-startups.com/investor/krinova/"
"Yuncture Invest","https://www.eu-startups.com/investor/yuncture-invest/"
"Framtidens Foretag","https://www.eu-startups.com/investor/framtidens-foretag/"
"WhaleShark","https://www.eu-startups.com/investor/whaleshark/"
"Walerud Ventures","https://www.eu-startups.com/investor/walerud-ventures-2/"
"Hatchbay","https://www.eu-startups.com/investor/hatchbay/"
"Chromia Innovation Lab","https://www.eu-startups.com/investor/chromia-innovation-lab/"
"Arctic Business","https://www.eu-startups.com/investor/arctic-business/"
"Nxt2b","https://www.eu-startups.com/investor/nxt2b/"
"+Cap","https://www.eu-startups.com/investor/cap/"
"Klimatet Invest","https://www.eu-startups.com/investor/klimatet-invest/"
"All Generation Ventures","https://www.eu-startups.com/investor/all-generation-ventures/"
"Tigrim","https://www.eu-startups.com/investor/tigrim/"
"Ocean Impact","https://www.eu-startups.com/investor/ocean-impact/"
"20 North Street","https://www.eu-startups.com/investor/20-north-street/"
"Cryptowell","https://www.eu-startups.com/investor/cryptowell/"
"Enexis AB","https://www.eu-startups.com/investor/enexis-ab/"
"Aligned","https://www.eu-startups.com/investor/aligned/"
"Walerud Ventures","https://www.eu-startups.com/investor/walerud-ventures/"
"Northislet","https://www.eu-startups.com/investor/northislet/"
"Red Pill VC","https://www.eu-startups.com/investor/red-pill-vc/"
"Immetric","https://www.eu-startups.com/investor/immetric/"
"Devotion Ventures","https://www.eu-startups.com/investor/devotion-ventures/"
"Carl Westin","https://www.eu-startups.com/investor/carl-westin/"
"Njord Ventures","https://www.eu-startups.com/investor/njord-ventures/"
"Nordic Game Ventures","https://www.eu-startups.com/investor/nordic-game-ventures/"
"Norrsken Launcher","https://www.eu-startups.com/investor/norrsken-launcher/"
"Halland Invest","https://www.eu-startups.com/investor/halland-invest/"
"Futurology Ventures","https://www.eu-startups.com/investor/futurology-ventures/"
"Crosslight Partners","https://www.eu-startups.com/investor/crosslight-partners/"
"Quinary Investment","https://www.eu-startups.com/investor/quinary-investment/"
"E14 Invest","https://www.eu-startups.com/investor/e14-invest/"
"Confidus Venture Capital","https://www.eu-startups.com/investor/confidus-venture-capital/"
"First Venture","https://www.eu-startups.com/investor/first-venture/"
"Beijer Ventures","https://www.eu-startups.com/investor/beijer-ventures/"
"RP Ventures","https://www.eu-startups.com/investor/rp-ventures/"
"Starbright Invest","https://www.eu-startups.com/investor/starbright-invest/"
"Astrec Invest","https://www.eu-startups.com/investor/astrec-invest/"
"SEB Greentech Venture Capital","https://www.eu-startups.com/investor/seb-greentech-venture-capital/"
"Ampli Ventures","https://www.eu-startups.com/investor/ampli-ventures/"
"Bonit Capital","https://www.eu-startups.com/investor/bonit-capital/"
"MOOR","https://www.eu-startups.com/investor/moor/"
"Linc AB","https://www.eu-startups.com/investor/linc-ab/"
"Gullspång Invest","https://www.eu-startups.com/investor/gullspang-invest/"
"Nineyards Equity","https://www.eu-startups.com/investor/nineyards-equity/"
"Curitas Ventures","https://www.eu-startups.com/investor/curitas-ventures/"
"Webrock Ventures","https://www.eu-startups.com/investor/webrock-ventures/"
"DHS Venture Partners","https://www.eu-startups.com/investor/dhs-venture-partners/"
"Axilium Holding","https://www.eu-startups.com/investor/axilium-holding/"
"East Hill Equity","https://www.eu-startups.com/investor/east-hill-equity/"
"Mist Ventures","https://www.eu-startups.com/investor/mist-ventures/"
"LRF Ventures","https://www.eu-startups.com/investor/lrf-ventures/"
"Course Corrected","https://www.eu-startups.com/investor/course-corrected/"
"Proptech Farm","https://www.eu-startups.com/investor/proptech-farm/"
"Partnerinvest Norr","https://www.eu-startups.com/investor/partnerinvest-norr/"
"The Case for Her","https://www.eu-startups.com/investor/the-case-for-her/"
"RYMD Kapital","https://www.eu-startups.com/investor/rymd-kapital/"
"Talent Venture Group","https://www.eu-startups.com/investor/talent-venture-group/"
"LIU Invest","https://www.eu-startups.com/investor/liu-invest/"
"RightBridge Ventures","https://www.eu-startups.com/investor/rightbridge-ventures/"
"Kale United","https://www.eu-startups.com/investor/kale-united/"
"Creandum","https://www.eu-startups.com/investor/creandum-3/"
"Creandum","https://www.eu-startups.com/investor/creandum-2/"
"Norrsken VC","https://www.eu-startups.com/investor/norrsken-vc-2/"
"Norrsken VC","https://www.eu-startups.com/investor/norrsken-vc/"
"Kinnevik","https://www.eu-startups.com/investor/kinnevik/"
"Creandum","https://www.eu-startups.com/investor/creandum/"
"Luminar Ventures","https://www.eu-startups.com/investor/luminar-ventures/"
"Chalmers Ventures AB","https://www.eu-startups.com/investor/chalmers-ventures-ab/"
"J12","https://www.eu-startups.com/investor/j12/"
"Industrifonden","https://www.eu-startups.com/investor/industrifonden/"
"VNV Global","https://www.eu-startups.com/investor/vnv-global/"
"Prima Materia","https://www.eu-startups.com/investor/prima-materia/"
"Trill Impact","https://www.eu-startups.com/investor/trill-impact/"
"SEB Venture Capital","https://www.eu-startups.com/investor/seb-venture-capital/"
"HealthCap","https://www.eu-startups.com/investor/healthcap/"
"Schibsted","https://www.eu-startups.com/investor/schibsted/"
"BackingMinds","https://www.eu-startups.com/investor/backingminds/"
"LongRun Capital","https://www.eu-startups.com/investor/longrun-capital/"
"Spintop Ventures","https://www.eu-startups.com/investor/spintop-ventures/"
"Wellstreet","https://www.eu-startups.com/investor/wellstreet/"
"Inbox Capital","https://www.eu-startups.com/investor/inbox-capital/"
"Gullspång Re:food","https://www.eu-startups.com/investor/gullspang-refood/"
"Nordic Makers","https://www.eu-startups.com/investor/nordic-makers/"
"Mudcake","https://www.eu-startups.com/investor/mudcake/"
"Centripetal","https://www.eu-startups.com/investor/centripetal/"
"LU Innovation","https://www.eu-startups.com/investor/lu-innovation/"
"Insignius Capital","https://www.eu-startups.com/investor/insignius-capital/"
"Flat Capital","https://www.eu-startups.com/investor/flat-capital/"
"Flerie Invest","https://www.eu-startups.com/investor/flerie-invest/"
"Navigare Ventures","https://www.eu-startups.com/investor/navigare-ventures/"
"Saab Ventures","https://www.eu-startups.com/investor/saab-ventures/"
"Brightly Ventures","https://www.eu-startups.com/investor/brightly-ventures/"
"EQT Ventures","https://www.eu-startups.com/investor/eqt-ventures-2/"
"NFT Ventures","https://www.eu-startups.com/investor/nft-ventures/"
"Blq Invest","https://www.eu-startups.com/investor/blq-invest/"
"Alfvén & Didrikson","https://www.eu-startups.com/investor/alfven-didrikson/"
